"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d7ef8b87-5d1a-4056-9b7f-860ed5de950f","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections "
"cc140beb-bb44-434b-ba0a-e426fcf318bb","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 4"
"d0d212d7-ddb9-4f71-a842-766ec1ec0286","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 4","Electrofusion Welding"
"2e354bf0-d3a5-4eb2-b23e-a81261aceb37","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 5"
"a02dc114-9d86-4f4e-b88c-3c122d292534","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 5","Electrofusion Welding"
"81aa4c3a-6a55-46bf-8696-cd7c4e77905f","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 6"
"f2c917ac-06de-436e-b15d-e50bfdb5e214","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 6","Electrofusion Welding"
"e7126e47-5ae5-4969-a949-ac279b791614","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 7"
"66b764e1-fb06-47bd-8e47-4e91a4a898f6","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 7","Electrofusion Welding"
"61989cff-f1e9-4b8b-a599-6f90cecfd510","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 8"
"23eb1494-2992-45de-a1e1-6eec8ff62d94","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 8","Electrofusion Welding"
"ca4afa42-586b-4e8c-8757-9f655c2de95b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 9"
"8672e6ec-7fd5-4e98-a3d8-89da3ce550a2","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 9","Electrofusion Welding"
"5029c92e-c045-4bb8-b3cd-acd6b8bc114d","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 11-20"
"c2b0bbe0-d9e6-47f5-b450-5e3c328b8cc2","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 11"
"b6673a8a-02c1-4586-9572-5f98a3552ed5","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 11","Electrofusion Welding"
"a6fa9fce-3aed-4c20-8101-06211119e20c","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 12"
"2b6bd5ec-f2e1-4721-b88b-205467c347ea","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 12","Electrofusion Welding"
"a384c6e6-fb4c-41c2-bff2-d89a1d9f3802","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 21-30"
"fc5f5aeb-904f-4264-b7b0-ccf7f36c39b6","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 21-30","Weld 22"
"6adbe1b1-b941-4422-a4e4-cfc729aa4ee1","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 21-30","Weld 22","Electrofusion Welding"
"0f3c6825-d3b7-4200-9249-1bf564ca4232","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 21-30","Weld 23"
"b2d6c5fd-7799-4a3c-8f7f-5077611533a5","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 21-30","Weld 23","Electrofusion Welding"
"613b46ac-aafa-40c3-b066-af48b6c9f4f1","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 21-30","Weld 24"
"e4bcf468-0408-4cef-b9f4-e80c89ed601a","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 21-30","Weld 24","Electrofusion Welding"
"da034c7d-cf70-4b56-9efe-bceb0dcbfad6","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 31-40"
"21db4300-50a7-4f29-8200-2654a0eeeb34","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 31-40","Weld 34"
"066c7b03-e99c-4433-ba2f-6554eacbc851","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 31-40","Weld 34","Electrofusion Welding"
"c57fe5bb-1d26-448b-be36-9132b0fe8132","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 31-40","Weld 35"
"ad5f9d64-e9d7-42a1-b9e1-dacf6361af9f","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 31-40","Weld 35","Electrofusion Welding"
"304a4f40-9265-4790-bd7d-78ae719b3010","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 31-40","Weld 36"
"bccdf8dd-a17b-4a93-b4c3-621a29218bb9","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 31-40","Weld 36","Electrofusion Welding"
"dc8be753-5337-425e-b672-8638e22ce12c","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 31-40","Weld 37"
"67b1ce45-7874-4d83-bedb-484391bd4f2b","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 31-40","Weld 37","Electrofusion Welding"
"9b32680c-cd3c-4e3e-b6b1-f9efa8eb81ea","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 31-40","Weld 39"
"4477f56e-06e2-42ec-a86a-6e7b227f2a7d","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 31-40","Weld 39","Electrofusion Welding"
"88eac4a6-3880-4652-9702-59d3ce4bd841","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 31-40","Weld 40"
"1543ad53-cbca-4777-9010-e4e4c088861d","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 31-40","Weld 40","Electrofusion Welding"
"23595ef7-9eda-4493-a9bc-6d29a0d5759f","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50"
"4b1e2de8-c64a-4a91-9163-f39ac8a6a93a","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 41"
"adc472c3-96b8-41a0-894f-205f6ca897f6","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 41","Electrofusion Welding"
"3c91ab55-f4e0-4894-b531-a111400f88c5","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 42"
"a5cfad3a-d6cd-4160-bae9-2631f5cccb1d","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 42","Electrofusion Welding"
"34ffe334-a733-4d11-a3c9-b49eb32afd16","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 43"
"987219fb-5eff-444a-92bf-cde808f64284","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 43","Electrofusion Welding"
"b8244efc-f92a-4e46-bbfb-82827c023d01","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 44"
"e859ec60-153b-4577-89c2-b153da718bdb","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 44","Electrofusion Welding"
"3adb7acf-d578-48dc-8c35-5cce8fd7f7ae","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 45"
"b34cb7b1-3594-4666-8f81-35b337462757","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 45","Electrofusion Welding"
"3509115d-f303-4ed1-8bf4-5f86812d3574","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 46"
"78a6059d-4735-4435-b602-0478626ef42f","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 46","Electrofusion Welding"
"4943e825-9256-4aca-9b59-4b0bebf499fc","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 47"
"af8019c8-5ebc-432a-8275-417c4cab361e","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 47","Electrofusion Welding"
"19269dab-2245-4ffa-b587-dcf6419185ad","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 48"
"beca4132-0654-4bec-be4a-5313eb2e3736","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 48","Electrofusion Welding"
"8a23785f-93ae-4373-aa40-6349742e4c3c","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 49"
"df91ca12-4a86-40cc-8195-0a027b2d7216","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 41-50","Weld 49","Electrofusion Welding"
