ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
,,"level 25","expanded","floor/wall penetrations (base build)","level 25"
,,"level 26","expanded","level 26","floor/wall penetrations (base build)"
,,"level 27","expanded","level 27","floor/wall penetrations (base build)"
,,"level 28","expanded","floor/wall penetrations (base build)","level 28"
,,"level 29","expanded","level 29","floor/wall penetrations (base build)"
,,"level 30","expanded","level 30","floor/wall penetrations (base build)"
,"Columns"
,,"Fire Collars Floor/Wall Penetrations checked off as below",,"fire collars floor/wall penetrations checked off as below"
,,"Installer is a Registered Plumber (VIC) with endorsements for this work","Installer is a Registered Plumber (VIC) with endorsements for this work","fire collars floor/wall penetrations checked off as below"
,,"Installation complies with current AS3500 & AS5600","Installation complies with current AS3500 & AS5600","fire collars floor/wall penetrations checked off as below"
,,"Installation complies with current drawings & specifications","Installation complies with current drawings & specifications","fire collars floor/wall penetrations checked off as below"
,,"Installation materials were used in accordance with manufacturer requirements","Installation materials were used in accordance with manufacturer requirements","fire collars floor/wall penetrations checked off as below"
,,"Check for damage","Check for damage","fire collars floor/wall penetrations checked off as below"
,,"Confirm all collars and sleeves are capped & sealed","Confirm all collars and sleeves are capped & sealed","fire collars floor/wall penetrations checked off as below"
,,"Check floor fire collars types & sizes are correct","Check floor fire collars types & sizes are correct","fire collars floor/wall penetrations checked off as below"
,,"Check wall fire collars types & sizes are correct","Check wall fire collars types & sizes are correct","fire collars floor/wall penetrations checked off as below"
,,"Check metal sleeves installed correctly","Check metal sleeves installed correctly","fire collars floor/wall penetrations checked off as below"
,,"Check cast-in RWO bodies installed correctly","Check cast-in RWO bodies installed correctly","fire collars floor/wall penetrations checked off as below"
,,"Confirm Richstone will be in attendance during the pour","Confirm Richstone will be in attendance during the pour","fire collars floor/wall penetrations checked off as below"
,,"Final sign-off - Supervisor has cleared test as successful",,"final sign-off - supervisor has cleared test as successful"
,,"Confirm area has been left clean","Confirm area has been left clean","final sign-off - supervisor has cleared test as successful"

"Residential - Primary Gravity Services (Base Build)"
,"Scope",,
,"Rows"
,,"Primary Gravity Services (Base Build)","grouping","primary gravity services (base build)"
,,"basement 4","expanded","basement 4","primary gravity services (base build)"
,,"basement 3","expanded","basement 3","primary gravity services (base build)"
,,"basement 2","expanded","basement 2","primary gravity services (base build)"
,,"basement 1","expanded","primary gravity services (base build)","basement 1"
,,"lower ground level","expanded","lower ground level","primary gravity services (base build)"
,,"ground level","expanded","ground level","primary gravity services (base build)"
,,"mezzanine level","expanded","mezzanine level","primary gravity services (base build)"
,,"level 1","expanded","level 1","primary gravity services (base build)"
,,"level 2","expanded","level 2","primary gravity services (base build)"
,,"level 3","expanded","primary gravity services (base build)","level 3"
,,"level 4","expanded","level 4","primary gravity services (base build)"
,,"level 5","expanded","level 5","primary gravity services (base build)"
,"Columns"
,,"Sewer - Pump Station Rising Main",
,,"Stormwater - Pump Station Rising Main",
,,"Sewer Stack (Risers)",
,,"Trade Waste Stack (Risers)",
,,"Down Pipe (Risers)",
,,"Syphonic Down Pipe (Risers)",
,,"Suction Line",

"Residential - Primary Pressure Services (Base Build)"
,"Scope",,
,"Rows"
,,"Primary Pressure Services (Base Build)","grouping","primary pressure services (base build)"
,,"lower ground level","expanded","lower ground level","primary pressure services (base build)"
,,"ground level","expanded","primary pressure services (base build)","ground level"
,,"mezzanine level","expanded","primary pressure services (base build)","mezzanine level"
,,"level 1","expanded","primary pressure services (base build)","level 1"
,,"level 2","expanded","primary pressure services (base build)","level 2"
,,"level 3","expanded","primary pressure services (base build)","level 3"
,,"level 4","expanded","level 4","primary pressure services (base build)"
,,"level 5","expanded","level 5","primary pressure services (base build)"
,,"level 6","expanded","primary pressure services (base build)","level 6"
,,"level 7","expanded","primary pressure services (base build)","level 7"
,,"level 8","expanded","level 8","primary pressure services (base build)"
,,"level 9","expanded","level 9","primary pressure services (base build)"
,,"level 10","expanded","primary pressure services (base build)","level 10"
,,"level 11","expanded","primary pressure services (base build)","level 11"
,,"level 12","expanded","level 12","primary pressure services (base build)"
,,"level 13","expanded","primary pressure services (base build)","level 13"
,,"level 14","expanded","primary pressure services (base build)","level 14"
,,"level 15","expanded","level 15","primary pressure services (base build)"
,,"level 16","expanded","level 16","primary pressure services (base build)"
,,"level 17","expanded","primary pressure services (base build)","level 17"
,,"level 18","expanded","primary pressure services (base build)","level 18"
,,"level 19","expanded","level 19","primary pressure services (base build)"
,,"level 20","expanded","primary pressure services (base build)","level 20"
,,"level 21","expanded","primary pressure services (base build)","level 21"
,,"level 22","expanded","primary pressure services (base build)","level 22"
,,"level 23","expanded","level 23","primary pressure services (base build)"
,,"level 24","expanded","primary pressure services (base build)","level 24"
,,"level 25","expanded","primary pressure services (base build)","level 25"
,,"level 26","expanded","level 26","primary pressure services (base build)"
,,"level 27","expanded","level 27","primary pressure services (base build)"
,,"level 28","expanded","primary pressure services (base build)","level 28"
,,"level 29","expanded","primary pressure services (base build)","level 29"
,,"level 30","expanded","level 30","primary pressure services (base build)"
,"Columns"
,,"Cold Water (Risers)",,"cold water (risers)"
,,"Hot Water (Risers)",,"hot water (risers)"
,,"Gas (Risers)",,"gas (risers)"
,,"Non-Potable Water (Risers)",,"non-potable water (risers)"
,,"Potable Cold Water S/S Pipework Movement Absorber",

"Residential - Sub-Mains Pressure Services (Base Build)"
,"Scope",,
,"Rows"
,,"Sub-Mains Pressure Services (Base Build)","grouping","sub-mains pressure services (base build)"
,,"basement 4","expanded","basement 4","sub-mains pressure services (base build)"
,,"basement 3","expanded","sub-mains pressure services (base build)","basement 3"
,,"basement 2","expanded","sub-mains pressure services (base build)","basement 2"
,,"basement 1","expanded","sub-mains pressure services (base build)","basement 1"
,,"lower ground level","expanded","sub-mains pressure services (base build)","lower ground level"
,,"ground level","expanded","sub-mains pressure services (base build)","ground level"
,,"level 5","expanded","sub-mains pressure services (base build)","level 5"
,,"level 6","expanded","sub-mains pressure services (base build)","level 6"
,,"level 7","expanded","sub-mains pressure services (base build)","level 7"
,,"level 8","expanded","level 8","sub-mains pressure services (base build)"
,,"level 9","expanded","sub-mains pressure services (base build)","level 9"
,,"level 10","expanded","sub-mains pressure services (base build)","level 10"
,,"level 11","expanded","sub-mains pressure services (base build)","level 11"
,,"level 12","expanded","sub-mains pressure services (base build)","level 12"
,,"level 13","expanded","sub-mains pressure services (base build)","level 13"
,,"level 14","expanded","sub-mains pressure services (base build)","level 14"
,,"level 15","expanded","sub-mains pressure services (base build)","level 15"
,,"level 16","expanded","level 16","sub-mains pressure services (base build)"
,,"level 17","expanded","sub-mains pressure services (base build)","level 17"
,,"level 18","expanded","sub-mains pressure services (base build)","level 18"
,,"level 19","expanded","sub-mains pressure services (base build)","level 19"
,,"level 20","expanded","sub-mains pressure services (base build)","level 20"
,,"level 21","expanded","sub-mains pressure services (base build)","level 21"
,,"level 22","expanded","sub-mains pressure services (base build)","level 22"
,,"level 23","expanded","sub-mains pressure services (base build)","level 23"
,,"level 24","expanded","sub-mains pressure services (base build)","level 24"
,,"level 25","expanded","sub-mains pressure services (base build)","level 25"
,,"level 26","expanded","sub-mains pressure services (base build)","level 26"
,,"level 27","expanded","level 27","sub-mains pressure services (base build)"
,,"level 28","expanded","sub-mains pressure services (base build)","level 28"
,,"level 29","expanded","sub-mains pressure services (base build)","level 29"
,,"level 30","expanded","level 30","sub-mains pressure services (base build)"
,"Columns"
,,"Cold Water (Corridors/High Level)",,"cold water (corridors/high level)"
,,"Hot Water (Corridors/High Level)",,"hot water (corridors/high level)"
,,"Gas (Corridors/High Level)",,"gas (corridors/high level)"
,,"Non-Potable Water (Corridors/High Level)",,"non-potable water (corridors/high level)"
,,"TST Testing Natural Gas Service (Nitrogen)  High Working Pressure",,"tst testing natural gas service (nitrogen)  high working pressure"
,,"TST Testing Potable Water - (1500 kPa)",,"tst testing potable water - (1500 kpa)"
,,"TST Testing Non Potable Water - (1500 kPa)",,"tst testing non potable water - (1500 kpa)"
,,"TST Testing Hot Flow/Return Potable Water - (1500 kPa)",,"tst testing hot flow/return potable water - (1500 kpa)"

"Residential - Stacks/Vents & Under-Slung Drainage (Apartments)"
,"Scope",,
,"Rows"
,,"Level 5","grouping","level 5","stacks/vents & under-slung drainage (apartments)"
,,"501","expanded","501","level 5","stacks/vents & under-slung drainage (apartments)"
,,"502","expanded","502","level 5","stacks/vents & under-slung drainage (apartments)"
,,"503","expanded","503","level 5","stacks/vents & under-slung drainage (apartments)"
,,"504","expanded","504","level 5","stacks/vents & under-slung drainage (apartments)"
,,"505","expanded","505","level 5","stacks/vents & under-slung drainage (apartments)"
,,"506","expanded","506","level 5","stacks/vents & under-slung drainage (apartments)"
,,"507","expanded","507","level 5","stacks/vents & under-slung drainage (apartments)"
,,"508","expanded","508","level 5","stacks/vents & under-slung drainage (apartments)"
,,"509","expanded","509","level 5","stacks/vents & under-slung drainage (apartments)"
,,"510","expanded","510","level 5","stacks/vents & under-slung drainage (apartments)"
,,"Level 6","grouping","level 6","stacks/vents & under-slung drainage (apartments)"
,,"601","expanded","601","level 6","stacks/vents & under-slung drainage (apartments)"
,,"602","expanded","602","level 6","stacks/vents & under-slung drainage (apartments)"
,,"603","expanded","603","level 6","stacks/vents & under-slung drainage (apartments)"
,,"604","expanded","604","level 6","stacks/vents & under-slung drainage (apartments)"
,,"605","expanded","605","level 6","stacks/vents & under-slung drainage (apartments)"
,,"606","expanded","606","level 6","stacks/vents & under-slung drainage (apartments)"
,,"607a","expanded","607a","level 6","stacks/vents & under-slung drainage (apartments)"
,,"607b","expanded","607b","level 6","stacks/vents & under-slung drainage (apartments)"
,,"608","expanded","608","level 6","stacks/vents & under-slung drainage (apartments)"
,,"609","expanded","609","level 6","stacks/vents & under-slung drainage (apartments)"
,,"610","expanded","610","level 6","stacks/vents & under-slung drainage (apartments)"
,,"611","expanded","611","level 6","stacks/vents & under-slung drainage (apartments)"
,,"Level 7","grouping","level 7","stacks/vents & under-slung drainage (apartments)"
,,"701","expanded","701","level 7","stacks/vents & under-slung drainage (apartments)"
,,"702","expanded","702","level 7","stacks/vents & under-slung drainage (apartments)"
,,"703","expanded","703","level 7","stacks/vents & under-slung drainage (apartments)"
,,"704","expanded","704","level 7","stacks/vents & under-slung drainage (apartments)"
,,"705","expanded","705","level 7","stacks/vents & under-slung drainage (apartments)"
,,"706","expanded","706","level 7","stacks/vents & under-slung drainage (apartments)"
,,"707a","expanded","707a","level 7","stacks/vents & under-slung drainage (apartments)"
,,"707b","expanded","707b","level 7","stacks/vents & under-slung drainage (apartments)"
,,"708","expanded","708","level 7","stacks/vents & under-slung drainage (apartments)"
,,"709","expanded","709","level 7","stacks/vents & under-slung drainage (apartments)"
,,"710","expanded","710","level 7","stacks/vents & under-slung drainage (apartments)"
,,"711","expanded","711","level 7","stacks/vents & under-slung drainage (apartments)"
,,"Level 8","grouping","level 8","stacks/vents & under-slung drainage (apartments)"
,,"801","expanded","801","level 8","stacks/vents & under-slung drainage (apartments)"
,,"802","expanded","802","level 8","stacks/vents & under-slung drainage (apartments)"
,,"803","expanded","803","level 8","stacks/vents & under-slung drainage (apartments)"
,,"804","expanded","804","level 8","stacks/vents & under-slung drainage (apartments)"
,,"805","expanded","805","level 8","stacks/vents & under-slung drainage (apartments)"
,,"806","expanded","806","level 8","stacks/vents & under-slung drainage (apartments)"
,,"807","expanded","807","level 8","stacks/vents & under-slung drainage (apartments)"
,,"808","expanded","808","level 8","stacks/vents & under-slung drainage (apartments)"
,,"809","expanded","809","level 8","stacks/vents & under-slung drainage (apartments)"
,,"810","expanded","810","level 8","stacks/vents & under-slung drainage (apartments)"
,,"811","expanded","811","level 8","stacks/vents & under-slung drainage (apartments)"
,,"812","expanded","812","level 8","stacks/vents & under-slung drainage (apartments)"
,,"813","expanded","813","level 8","stacks/vents & under-slung drainage (apartments)"
,,"814","expanded","814","level 8","stacks/vents & under-slung drainage (apartments)"
,,"815a","expanded","level 8","stacks/vents & under-slung drainage (apartments)","815a"
,,"815b","expanded","level 8","815b","stacks/vents & under-slung drainage (apartments)"
,,"816","expanded","816","level 8","stacks/vents & under-slung drainage (apartments)"
,,"817","expanded","817","level 8","stacks/vents & under-slung drainage (apartments)"
,,"818","expanded","818","level 8","stacks/vents & under-slung drainage (apartments)"
,,"819","expanded","819","level 8","stacks/vents & under-slung drainage (apartments)"
,,"Level 9","grouping","level 9","stacks/vents & under-slung drainage (apartments)"
,,"901","expanded","901","level 9","stacks/vents & under-slung drainage (apartments)"
,,"902","expanded","902","level 9","stacks/vents & under-slung drainage (apartments)"
,,"903","expanded","903","level 9","stacks/vents & under-slung drainage (apartments)"
,,"904","expanded","904","level 9","stacks/vents & under-slung drainage (apartments)"
,,"905","expanded","905","level 9","stacks/vents & under-slung drainage (apartments)"
,,"906","expanded","906","level 9","stacks/vents & under-slung drainage (apartments)"
,,"907","expanded","907","level 9","stacks/vents & under-slung drainage (apartments)"
,,"908","expanded","908","level 9","stacks/vents & under-slung drainage (apartments)"
,,"909","expanded","909","level 9","stacks/vents & under-slung drainage (apartments)"
,,"910","expanded","910","level 9","stacks/vents & under-slung drainage (apartments)"
,,"911","expanded","911","level 9","stacks/vents & under-slung drainage (apartments)"
,,"912","expanded","912","level 9","stacks/vents & under-slung drainage (apartments)"
,,"913","expanded","913","level 9","stacks/vents & under-slung drainage (apartments)"
,,"914","expanded","914","level 9","stacks/vents & under-slung drainage (apartments)"
,,"915a","expanded","level 9","915a","stacks/vents & under-slung drainage (apartments)"
,,"915b","expanded","level 9","stacks/vents & under-slung drainage (apartments)","915b"
,,"916","expanded","916","level 9","stacks/vents & under-slung drainage (apartments)"
,,"917","expanded","917","level 9","stacks/vents & under-slung drainage (apartments)"
,,"918","expanded","918","level 9","stacks/vents & under-slung drainage (apartments)"
,,"919","expanded","919","level 9","stacks/vents & under-slung drainage (apartments)"
,,"Level 10","grouping","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1001","expanded","1001","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1002","expanded","1002","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1003","expanded","1003","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1004","expanded","1004","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1005","expanded","1005","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1006","expanded","1006","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1007","expanded","1007","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1008","expanded","1008","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1009","expanded","1009","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1010","expanded","1010","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1011","expanded","1011","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1012","expanded","1012","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1013","expanded","1013","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1014","expanded","1014","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1015a","expanded","level 10","stacks/vents & under-slung drainage (apartments)","1015a"
,,"1015b","expanded","1015b","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1016","expanded","1016","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1017","expanded","1017","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1018","expanded","1018","level 10","stacks/vents & under-slung drainage (apartments)"
,,"1019","expanded","1019","level 10","stacks/vents & under-slung drainage (apartments)"
,,"Level 11","grouping","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1101","expanded","1101","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1102","expanded","1102","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1103","expanded","1103","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1104","expanded","1104","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1105","expanded","1105","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1106","expanded","1106","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1107","expanded","1107","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1108","expanded","1108","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1109","expanded","1109","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1110","expanded","1110","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1111","expanded","1111","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1112","expanded","1112","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1113","expanded","1113","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1114","expanded","1114","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1115a","expanded","1115a","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1115b","expanded","level 11","stacks/vents & under-slung drainage (apartments)","1115b"
,,"1116","expanded","1116","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1117","expanded","1117","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1118","expanded","1118","level 11","stacks/vents & under-slung drainage (apartments)"
,,"1119","expanded","1119","level 11","stacks/vents & under-slung drainage (apartments)"
,,"Level 12","grouping","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1201","expanded","1201","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1202","expanded","1202","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1203","expanded","1203","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1204","expanded","1204","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1205","expanded","1205","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1206","expanded","1206","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1207","expanded","1207","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1208","expanded","1208","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1209","expanded","1209","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1210","expanded","1210","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1211","expanded","1211","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1212","expanded","1212","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1213","expanded","1213","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1214","expanded","1214","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1215a","expanded","level 12","1215a","stacks/vents & under-slung drainage (apartments)"
,,"1215b","expanded","1215b","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1216","expanded","1216","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1217","expanded","1217","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1218","expanded","1218","level 12","stacks/vents & under-slung drainage (apartments)"
,,"1219","expanded","1219","level 12","stacks/vents & under-slung drainage (apartments)"
,,"Level 13","grouping","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1301","expanded","1301","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1302","expanded","1302","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1303","expanded","1303","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1304","expanded","1304","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1305","expanded","1305","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1306","expanded","1306","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1307","expanded","1307","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1308","expanded","1308","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1309","expanded","1309","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1310","expanded","1310","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1311","expanded","1311","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1312","expanded","1312","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1313","expanded","1313","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1314","expanded","1314","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1315a","expanded","1315a","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1315b","expanded","1315b","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1316","expanded","1316","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1317","expanded","1317","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1318","expanded","1318","stacks/vents & under-slung drainage (apartments)","level 13"
,,"1319","expanded","1319","stacks/vents & under-slung drainage (apartments)","level 13"
,,"Level 14","grouping","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1401","expanded","1401","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1402","expanded","1402","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1403","expanded","1403","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1404","expanded","1404","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1405","expanded","1405","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1406","expanded","1406","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1407","expanded","1407","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1408","expanded","1408","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1409","expanded","1409","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1410","expanded","1410","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1411","expanded","1411","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1412","expanded","1412","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1413","expanded","1413","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1414","expanded","1414","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1415a","expanded","1415a","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1415b","expanded","1415b","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1416","expanded","1416","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1417","expanded","1417","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1418","expanded","1418","level 14","stacks/vents & under-slung drainage (apartments)"
,,"1419","expanded","1419","level 14","stacks/vents & under-slung drainage (apartments)"
,,"Level 15","grouping","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1501","expanded","1501","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1502","expanded","1502","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1503","expanded","1503","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1504","expanded","1504","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1505","expanded","1505","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1506","expanded","1506","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1507","expanded","1507","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1508","expanded","1508","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1509","expanded","1509","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1510","expanded","1510","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1511","expanded","1511","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1512","expanded","1512","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1513","expanded","1513","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1514","expanded","1514","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1515a","expanded","level 15","1515a","stacks/vents & under-slung drainage (apartments)"
,,"1515b","expanded","level 15","1515b","stacks/vents & under-slung drainage (apartments)"
,,"1516","expanded","1516","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1517","expanded","1517","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1518","expanded","1518","level 15","stacks/vents & under-slung drainage (apartments)"
,,"1519","expanded","1519","level 15","stacks/vents & under-slung drainage (apartments)"
,,"Level 16","grouping","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1601","expanded","1601","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1602","expanded","1602","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1603","expanded","1603","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1604","expanded","1604","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1605","expanded","1605","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1606","expanded","1606","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1607","expanded","1607","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1608","expanded","1608","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1609","expanded","1609","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1610","expanded","1610","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1611","expanded","1611","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1612","expanded","1612","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1613","expanded","1613","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1614","expanded","1614","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1615a","expanded","level 16","1615a","stacks/vents & under-slung drainage (apartments)"
,,"1615b","expanded","level 16","1615b","stacks/vents & under-slung drainage (apartments)"
,,"1616","expanded","1616","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1617","expanded","1617","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1618","expanded","1618","level 16","stacks/vents & under-slung drainage (apartments)"
,,"1619","expanded","1619","level 16","stacks/vents & under-slung drainage (apartments)"
,,"Level 17","grouping","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1701","expanded","1701","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1702","expanded","1702","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1703","expanded","1703","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1704","expanded","1704","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1705","expanded","1705","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1706","expanded","1706","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1707","expanded","1707","level 17","stacks/vents & under-slung drainage (apartments)"
,,"1708","expanded","1708","level 17","stacks/vents & under-slung drainage (apartments)"
