"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"92629502-633a-4afd-9e87-446d5bb71137","","checklist-flat","not-started","62704a049dd677552a734504db8d241c90c356cc5b215f556be0ff7a150d0d41","checklist-flat","FALSE","FALSE","Job Details"
"f3abeaa6-a1fb-47da-9a2c-e4800db7e734","","checkpoint-status","not-started","","","FALSE","FALSE","Job Details","Project details entered below"
"ef2b1446-26ae-4930-ae2c-91221f638998","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture"
"e9aade0f-c429-4132-ab20-1790a51f95eb","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture","Panels"
"96649801-bb7c-4adf-810d-4b2b56c74295","","checklist-sectioned","pass","d445abf1a31c2db1731abc4e69e7a97b58c2708cdb80c557fdb618a745b730f8","checklist","FALSE","FALSE"," Precast Manufacture","Panels","weld plate details"
"7e972815-4d6c-4bcf-8439-8b3339ef89ed","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","weld plate details","Weld plate details"
"52972272-b05c-474b-b9b9-4b155a13724a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","weld plate details","Weld plate details","Edge Detail"
"f1ddc90f-19db-4e38-89f9-ea93f3b9a674","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","weld plate details","Weld plate details","Bar Projections"
"eebcc785-e53d-4e96-8c52-4f375aece3fc","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","weld plate details","Weld plate details","Cast in items"
"1c1933a8-3fb9-4117-bdf9-69b0920eda3c","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture","Panels","Panels 1 - 30"
"9eb33580-ba79-460e-a31e-85930b3a7fd9","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1"
"be49fd85-f6be-4fa0-a274-d5ee741f3619","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check"
"74ada01d-95a0-4672-a76f-749a4db52d4f","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Concrete Works","Bridgeman Sample Taken"
"9e119c55-3465-4294-a024-e4830f3a3415","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Concrete Works","Supervisor Approval"
"32703952-b9da-4311-a201-4f2741d4a44e","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Post Pour Check"
"29346e66-91be-4cde-b829-db4c41d42d2f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Post Pour Check","Edge Detail"
"75cec43f-232f-4957-ac86-1d7eb7d12333","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Post Pour Check","Bar Projections"
"12743ddb-715c-457b-8332-ac50caa7c32c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Post Pour Check","Cast in items"
"300e5076-e917-4ec1-a810-4998d4b1f856","","checkpoint-group","work-in-progress","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Stripping and Stacking"
"30b9420f-5c1f-4014-8f4c-2c432e8a483e","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Stripping and Stacking","Stripping & Stacking"
"0f1f3980-3238-4aef-8e57-adfaa55052ae","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2"
"503d0371-6ee3-457a-849f-1159064b9f73","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Pre-Pour Check"
"aa4312b8-c3be-44c0-9be2-0aece89c9de8","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Pre-Pour Check","Dimensions"
"2f443842-529e-46fe-b30d-272d0f347a8e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Pre-Pour Check","Mould Clean"
"599da79e-0a6a-44f7-acea-1d60e5f6cb66","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Pre-Pour Check","Mould Oiled"
"c14c0ae4-66ad-41fc-a984-5e3db32475c6","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Pre-Pour Check","Mould - Workmanship"
"d51f96e1-84c7-463f-9d45-0ab5e17cf098","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Pre-Pour Check","Reinforcing"
"77cbce67-fad7-4743-9c3b-f8f9c255e2ab","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Pre-Pour Check","Cast In Items"
"3bafb332-f3da-4d7e-aa64-baff40fa52a5","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Pre-Pour Check","Marker Position and No."
"67d16347-481f-4c5f-8494-a3da28aa036a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Pre-Pour Check","Make mould to Green Status"
"8abf43f5-9281-499d-aba7-353e1e878d0d","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Concrete Works"
"ab5ee9a7-fe25-4acd-ae74-479a73edc719","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Concrete Works","Concrete Works Details"
"43467e7d-8b0a-4206-8255-12554f185469","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Concrete Works","Wilco Sample Taken"
"53357a00-494d-4028-99d0-92282e3a7547","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Concrete Works","Bridgeman Sample Taken"
"1fda885e-5846-4670-852b-4a349f1e5d96","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Concrete Works","Supervisor Approval"
"3b438fe6-1a72-4dc2-b2b7-c9e6dbee6061","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Post Pour Check"
"d4e98f8c-2e42-4a73-9a63-0ebd06c719c6","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Post Pour Check","Edge Detail"
"706ef682-ac0d-4d66-b9fa-ec460ec1e8e8","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Post Pour Check","Bar Projections"
"59a2af6a-9718-46dc-989b-b153a4dca26d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Post Pour Check","Cast in items"
"f95e17a4-d62f-4052-9937-263b0a3fd231","","checkpoint-group","work-in-progress","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Stripping and Stacking"
"771ac308-8186-4a49-8376-c1bca9b4592c","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -2","Stripping and Stacking","Stripping & Stacking"
"22be8e8e-0137-4bb2-823d-c16a154eb606","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3"
"476a317d-69f1-484e-8440-53aff949b952","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Pre-Pour Check"
"7d8b3cf6-170d-4293-b4aa-3d4eb9603d04","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Pre-Pour Check","Dimensions"
"09c823e4-dcd2-4cb6-b5f5-fd1045846f65","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Pre-Pour Check","Mould Clean"
"4643db26-5d5b-4889-a516-83f005dfa0de","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Pre-Pour Check","Mould Oiled"
"9bd80c2b-c874-467f-8fc0-7f30062c5679","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Pre-Pour Check","Mould - Workmanship"
"143e19c7-9813-41cf-861f-b9b085e1467b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Pre-Pour Check","Reinforcing"
"267e67ce-8941-4800-92ee-ed0961f1bf47","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Pre-Pour Check","Cast In Items"
"96b813d7-66cd-4804-a1e0-1a90da0bb0cf","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Pre-Pour Check","Marker Position and No."
"12ea5e9c-e2d4-430b-9c6d-40f5f015607f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Pre-Pour Check","Make mould to Green Status"
"2744f088-34e5-4700-bddb-221ea9d45d97","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Concrete Works"
"9fbfd70b-8d05-49ae-b8f2-918f2fd369f0","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Concrete Works","Concrete Works Details"
"51612c92-8885-4184-9ea8-671c8b653916","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Concrete Works","Wilco Sample Taken"
"d9b9fcc2-e90e-494e-bb97-fdc30b9d30f5","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Concrete Works","Bridgeman Sample Taken"
"f3bded57-0084-4480-8112-ceae8151e9e0","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Concrete Works","Supervisor Approval"
"3867bc29-8b97-4f1d-9c1c-a356eca626cb","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Post Pour Check"
"e4a2927e-264c-43e6-a1c0-9aabafbc0bbe","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Post Pour Check","Edge Detail"
"63ce704e-d773-426d-8d39-38eb128800c6","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Post Pour Check","Bar Projections"
"051d9eed-8224-45b1-8a12-e2cf520bf44d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Post Pour Check","Cast in items"
"d1ea3c30-3f5e-45aa-a70d-6a851262f6a6","","checkpoint-group","work-in-progress","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Stripping and Stacking"
"e86bb9e8-19ab-44cc-8973-27565e030d36","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -3","Stripping and Stacking","Stripping & Stacking"
"e1dcc275-1ba3-4ab4-9098-73ac853cc542","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4"
"502bff67-20f3-4590-981b-0b0d99eb9150","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Pre-Pour Check"
"f8a1082b-d3b0-4e19-82aa-bf90b745e781","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Pre-Pour Check","Dimensions"
"8d835952-49b1-4639-aae4-825443ac076e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Pre-Pour Check","Mould Clean"
"6ef12359-be2d-4ee4-bee7-120b7e39783a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Pre-Pour Check","Mould Oiled"
"17af876f-0034-421f-b74b-f23b0bd200c4","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Pre-Pour Check","Mould - Workmanship"
"728d9961-5c5c-4b61-b1ef-b3673934ccf2","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Pre-Pour Check","Reinforcing"
"9b499b52-1911-4758-b2c3-1a8517b990ad","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Pre-Pour Check","Cast In Items"
"de537c5d-2b45-4dee-adc8-549f5db412bb","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Pre-Pour Check","Marker Position and No."
"b1558b6c-f54f-4bac-bb09-4bd09a0c50e9","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Pre-Pour Check","Make mould to Green Status"
"9ed90f84-55fc-4f0b-8676-f00f4b7060ed","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Concrete Works"
"80db1ade-f52a-4a6e-9fd7-c2b541b3ef3d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Concrete Works","Concrete Works Details"
"814436d8-0365-4ac3-8c5a-b33109888540","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Concrete Works","Wilco Sample Taken"
"18a843cc-69db-481c-a6ac-4aae139bc4d8","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Concrete Works","Bridgeman Sample Taken"
"fd003dbc-782b-4f64-aac0-af3a6fc051a3","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Concrete Works","Supervisor Approval"
"b66f6afd-2c7c-47d2-b18e-851e6e682c46","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Post Pour Check"
"ea724f8b-6908-458d-92dd-d8fcad62b7fb","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Post Pour Check","Edge Detail"
"e20130d8-c8bc-4f9b-918a-6ef44dc10efe","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Post Pour Check","Bar Projections"
"8809e253-05a0-4549-95ae-9f1ae12e24b0","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Post Pour Check","Cast in items"
"13816f5d-4d24-4481-8c76-f132f7cac1c5","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Stripping and Stacking"
"6e1451a2-9d16-496d-a7ce-3ca8e53ed6da","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -4","Stripping and Stacking","Stripping & Stacking"
"fbbbe2d9-8b48-4dfd-bfd2-b8634f813524","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5"
"6ff0d2ee-ab91-41e6-9d66-2969c77bbd67","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Pre-Pour Check"
"5dc09538-7083-45f3-a3d8-0623abf0c74a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Pre-Pour Check","Dimensions"
"d1ebce2a-2183-41b8-8c47-ce6a03907836","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Pre-Pour Check","Mould Clean"
"673f9056-f8d2-4cf1-8e5e-139e8df80ee3","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Pre-Pour Check","Mould Oiled"
"02fa0e94-c0ba-4811-af13-88941fe3d473","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Pre-Pour Check","Mould - Workmanship"
"e0dbbfb2-0358-4686-9412-8b5e16d29509","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Pre-Pour Check","Reinforcing"
"11a571cf-4772-4cec-b0f2-2e0bf22e2cf6","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Pre-Pour Check","Cast In Items"
"0167a45c-8cb7-4338-94f0-9514699707d7","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Pre-Pour Check","Marker Position and No."
"ab511a1e-fc0d-4f5b-a4f7-9d76e7769c44","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Pre-Pour Check","Make mould to Green Status"
"dc61b067-ebf2-42c0-9435-3b1e97dca976","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Concrete Works"
"e33abdc7-cf37-4d94-a8ff-1508b1dd33be","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Concrete Works","Concrete Works Details"
"83809088-cade-4343-8e90-83c4c78d2500","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Concrete Works","Wilco Sample Taken"
"74f0553b-b655-4d43-8bde-b1e5df11096f","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Concrete Works","Bridgeman Sample Taken"
"5bea41f8-c4b8-4ede-bced-e21ef6dee41a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Concrete Works","Supervisor Approval"
"ed52b48f-4aac-4c9b-b9dd-01592ee1cb46","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Post Pour Check"
"8b5a7e9d-25b9-47bd-8a7e-73ca19d94c9a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Post Pour Check","Edge Detail"
"a4461738-96c0-48e3-ab0d-daec6b8e1192","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Post Pour Check","Bar Projections"
"1880418d-d6d9-44df-873f-35b3256b4a4c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Post Pour Check","Cast in items"
"ab5d1c52-4f82-48d3-8688-3c7ac75dd7a8","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Stripping and Stacking"
"16e1bf1e-3970-47d3-8200-77eec04d9770","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -5","Stripping and Stacking","Stripping & Stacking"
"91933d26-2daf-4d9a-b048-42cef579d234","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -6"
"6f3e2307-e35a-4ce6-b261-b449c1a03af0","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -6","Pre-Pour Check"
"0c91f162-3f90-4d00-b388-b231542fa44c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -6","Pre-Pour Check","Dimensions"
"72b4d54d-bbcc-4123-af62-222b83645a39","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -6","Pre-Pour Check","Mould Clean"
"20b0228e-97af-4d64-8e0c-4e402e1266b6","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -6","Pre-Pour Check","Mould Oiled"
"c77b1e07-0c7d-414a-a28f-7d0fd8667189","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -6","Pre-Pour Check","Mould - Workmanship"
"281b0b09-312d-4b68-85b9-3a6676918124","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -6","Pre-Pour Check","Reinforcing"
"c117988d-aee0-4d4d-8c37-a35490941015","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -6","Pre-Pour Check","Cast In Items"
"3f44d7fb-7c17-4a76-acc3-602d11567604","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -6","Pre-Pour Check","Marker Position and No."
"85fb72b7-f877-4e4f-b199-7c94c45e5b05","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -6","Pre-Pour Check","Make mould to Green Status"
"eed304f9-6d9e-47a1-995d-703a0920de62","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -6","Concrete Works"
"f4079f82-9730-4aee-aa0f-39367ef4ac4f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -6","Concrete Works","Concrete Works Details"
"ec86cefc-67e7-4986-abba-a4750e6be919","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels","Panels 1 - 30","Panel -6","Concrete Works","Wilco Sample Taken"
