Id,Type,Name,Values,Prompting Name,Postfix,Resource Id,,,,
,note,GB || ≥ 55% || Max.15% on 45m sieve || < 3.0 || < 0.8% || < 3.0 % || Record Result to 0.1%,,,,,,,,
,note,HE || ≥ 50% || > 380 || < 2.5 || < 0.8% || < 3.0 % || Record Result to 0.1%,,,,,,,,
,note,SR || > 55% || > 330 || < 3.0 || < 0.8% || < 3.0 % || Record Result to 0.1%,,,,,,,,
,note,— — — — — — — — — — — — —,,,,,,,,
,note,"All cements shall comply with the relevant clauses of AS3972 table 1, except that:",,,,,,,,
,note,a. All types (except GB) shall contain no mineral additions without prior written agreement from Civilmart Poles.,,,,,,,,
,note,b. The following restrictions shall apply:,,,,,,,,
,note,Particular cements which do not comply with these latter requirements can be used but only after gaining written approval from the Regional/Area or Manufacturing Manager.,,,,,,,,
,note,"Certain products, contracts or processes may require individual specifications.",,,,,,,,
,note,* Minimum fineness indices should be agreed with individual suppliers during contract negotiations but should not be less than these values.,,,,,,,,
,note,** It is recommended that the clinker or OPC used to make the blend have a C3S as indicated for GB. Ideally the blend should contain at least 75% by mass of OPC.,,,,,,,,
,,,,,,,,,,
7f96aa46-6c65-4a6f-96db-a825017125c0,checklist,QA - 002 - Fly Ash and Admixtures Record V1,,QA - 002 - Fly Ash and Admixtures Record,,,,,,
593bdd89-9963-4604-94a2-94815c22053d,section,Fly Ash and Admixtures Record,,,,,,,,
68cb878e-9a71-4641-8ebc-e17fc3fe5cf1,checkpoint-no-value,Details,,,,,,,,
,note,Procedure,,,,,,,,
,note,Minimum Frequency - QUARTERLY / TYPE / SUPPLIER.,,,,,,,,
,note,1. Retain a manufacturer's test certificate for each Type per Supplier per Quarter.,,,,,,,,
,note,2. Record details and compare to minimum acceptable specifications.,,,,,,,,
,note,Note: This form shall also be completed for a new supplier or new type prior to or upon delivery.,,,,,,,,
,note,If non-conforming do the following:,,,,,,,,
,note,a. Advise the designated quality coordinator of non-conformance and provide them with a copy of this form.,,,,,,,,
,note,"b. Identify unused fly ash/admixture on site, reject if outside minimum specification.",,,,,,,,
,note,c. Notify supplier of non-conformance.,,,,,,,,
,note,d. Examine test performance of completed products/cylinders to identify potential production defects.,,,,,,,,
98cab6b8-14d1-5f23-8a0b-f22f8b1c5fcb,date,QUARTER ENDING:,,,,,,,,
ad195689-c612-59f8-9494-f7c1a4c00bcc,tickbox,"Or, new supplier or new type",,,,,,,,
75f4bd75-3319-521c-aff5-6bed3c665c75,tickbox,Review / approval from Engineering Department,,,,,,,,
453e3c45-35d7-4a2a-b2b3-b35c994d1609,section,PART 1 - FLY ASH,,,,,,,,
452f21c1-f41a-4829-85cd-38f700444d9b,checkpoint-no-value,Details,,,,,,,,
3f881ef3-2238-585b-8b53-b630ac52da42,date,DATE,,,,,,,,
589442b2-82b4-5c4f-8109-921b5d9abb16,textbox,SUPPLIER,,,,,,,,
3a90779e-4f37-553e-a5f1-29109a2c230b,textbox,DOCKET No.,,,,,,,,
e6d61c05-a98f-52e0-b167-bfc02e9a817a,textbox,CERTIFICATE No.,,,,,,,,
51753b7c-b318-5eb0-9cb3-83688fa58a10,textbox,FLY ASH TYPE,,,,,,,,
5459f5ef-2b9d-4291-b107-666565113b90,checkpoint,Remaining properties meet AS3582.1,,,,,,,,
8fda78bf-fa2e-4878-aa6c-99731038f914,checkpoint,Meets Civilmart Poles Spec.,,,,,,,,
1501db86-a1fa-5124-a8c8-417338207b60,note,Civilmart Poles Minimum Acceptable Specification:,,,,,,,,
34a455ce-601b-5bc1-a282-c2660de8e83b,note,"Moisture 1% max, >75% passing 45μm sieve, loss on ignition <4%",,,,,,,,
fd9ea64b-957b-5f31-9ec9-7265067ad861,note,Density and available alkali must be reported,,,,,,,,
a26c9a07-2a1e-5756-b3c2-23379c7178f8,note,"i.e. apart from these Civilmart Poles requirements, all other properties must meet AS 3582.1 Grade ""Fine"" (refer to fly ash certificate)",,,,,,,,
1daaec9d-a9ee-4260-b210-c4214b3fb90b,section,PART 2 - ADMIXTURES,,,,,,,,
4eafc774-32ed-42fa-8440-22c9f150ac92,checkpoint-no-value,Details,,,,,,,,
901f3faf-e0e2-59db-a008-b49f9ae5f9b5,note,Certificate of Analysis (CoA) to be obtain to provide records for investigative/comparison purposes. Refer to ITP for required frequency.,,,,,,,,
a80215e2-0cb5-597b-a708-fb1e0f08c03c,date,DATE,,,,,,,,
619053d0-12c7-58b0-b9fc-a739ad8920f1,textbox,SUPPLIER,,,,,,,,
3fe35740-7ffd-55c9-8cc3-1fe469e55b3b,textbox,DOCKET No.,,,,,,,,
d4696dce-970f-5e1f-b249-e532ab72ce92,textbox,CERTIFICATE No.,,,,,,,,
e180b7e6-4694-5290-a0aa-82f30abe793a,textbox,ADMIXTURE TYPE,,,,,,,,
2418440b-19ab-5b8c-ac50-f2ee925a356b,textbox,BRAND NAME,,,,,,,,
,,,,,,,,,,
ae8a9049-ab04-468d-bfd2-6e5f2eaba12c,checklist,QA - 003 - Aggregates Visual Inspection V1,,QA - 003 - Aggregates Visual Inspection,,,,,,
deda7b58-f1fe-4d4f-9213-b3d6102d8f16,section,Aggregates Visual Inspection,,,,,,,,
b42fa1da-6da7-49ad-9e4e-e76938046445,checkpoint-no-value,Details,,,,,,,,
,note,Procedure,,,,,,,,
,note,Minimum Frequency - QEC - none except new supplier,,,,,,,,
,note,Non-QEC - 1 Delivery / Week / Type / Supplier OR Where non-conformance is found from daily check.,,,,,,,,
,note,1. Visually inspect all aggregates.,,,,,,,,
,note,2. Maintain an agreed reference sample (from initial supply) for comparison with supplied aggregates.,,,,,,,,
,note,3. Record visual inspection details as follows:,,,,,,,,
,note,C = Conforming. MV = Minor Variation. SD = Serious Deficiency,,,,,,,,
,note,4. Initial the ‘INSPECTED BY’ box.,,,,,,,,
,note,Note: Fire ants check applicable in Queensland only.,,,,,,,,
,note,If non-conforming do the following:,,,,,,,,
,note,a. Advise the designated quality coordinator of non-conformance and provide them with a copy of this form – NCR shall be raised.,,,,,,,,
,note,"b. If either visual inspection is SD isolate material (flag) and remove - investigate with supplier, then closely monitor supplies untilresolved, or",,,,,,,,
,note,"c. If either visual inspection is MV consult with supplier, do additional testing to check degree of variation.",,,,,,,,
cc9d727d-15a3-5a88-8512-8ebc4fc370ca,date,DATE,,,,,,,,
7fdca3b1-b291-5b53-991f-ee1ee8577e7d,textbox,TIME,,,,,,,,
ce8a436d-3977-599c-915f-0128770a7252,textbox,SUPPLIER,,,,,,,,
fa4fcea2-a445-515f-b693-557a49a3233a,textbox,AGG. SIZE,,,,,,,,
,button,VISUAL: SHAPE,"C,MV,SD",,,,,,,
,button,VISUAL: FOREIGN MATTER,"C,MV,SD",,,,,,,
526a2106-16f8-47f1-9036-2a98cb4c2018,checkpoint,FIRE ANTS CHECK,,,,,,,,
,,,,,,,,,,
72e2e387-9c34-414d-a825-efb287d0e3a6,checklist,QA - 007 - Reinforcement Inspection V3,,QA - 007 - Reinforcement Inspection,,,,,,
c9f353c1-8c5c-48ee-a6ae-912544dfcebf,section,REINFORCEMENT INSPECTION,,,,,,,,
02a747b2-cae7-4852-95f1-26b8533c1f96,checkpoint,Details,,,,,,,,
,note,Procedure,,,,,,,,
,note,Minimum Frequency - EACH DELIVERY,,,,,,,,
,note,"1. Check 1 in 50 (min 1 per type, per delivery) or 1 in 200 (min 1 per type, per delivery) if supplier is a Quality Endorsed Company.",,,,,,,,
,note,2. Visually inspect wire and record details below as follows,,,,,,,,
,note,C = Conforming MD = Minor Deficiency SD = Serious Deficiency,,,,,,,,
,note,4. Inspect all reinforcement in the delivery to ensure it is compliant with specified on site mass limits,,,,,,,,
,note,"(i.e., Wodonga mass limit = 1900kg) and record details below as follows C = Conforming NC = Non-conforming.",,,,,,,,
,note,"5. Initial PASS or FAIL box, THEN:",,,,,,,,
,note,Minimum Frequency - ANUALLY,,,,,,,,
,note,6. Obtain 3 of NATA Test Certificates from Manufacturers indicating breaking stress values for Annual UTS results. Average results and record,,,,,,,,
,note,If non-conforming do the following:,,,,,,,,
,note,a. If visual inspection has SD or continuing MD then:,,,,,,,,
,note, — Advise the designated quality coordinator of non-conformance and provide them with a copy of this form. – NCR shall be raised.,,,,,,,,
,note, — Quarantine coil and follow up with supplier.,,,,,,,,
,note,b. If mass limit is NC then:,,,,,,,,
,note, — Advise the designated quality coordinator of non-conformance and provide them with a copy of this form. – NCR shall be raised.,,,,,,,,
,note,c. If UTS result outside AS4671-2019 or AS4672-2007,,,,,,,,
,note, — Advise the designated quality coordinator of non-conformance and provide them with a copy of this form. – NCR shall be raised.,,,,,,,,
,note, — Reject further coils and follow up with supplier.,,,,,,,,
,note, — Follow up on representative final product testing.,,,,,,,,
,dropdown,Reinforcement Size,"5.55,7.02,9.88,12.33,15FWB,20FWB,N20,N24,12.7 STRAND,9.5 STRAND",,,,,,,
,textbox,Delivery Docket No.,,,,,,,,
e2d46c35-d335-551a-a921-cb79db216756,textbox,Coil/Batch No.,,,,,,,,
f71de0df-dc9b-519e-8f8f-6474513557e0,date,DATE: Delivered,,,,,,,,
fcb3a7b3-29ac-54ce-a897-36fe5795af84,date,DATE: Inspected or Tested,,,,,,,,
,button,Visual inspections: Dimensions,"C,MD,SD",,,,,,,
,button,Visual inspections: Rust,"C,MD,SD",,,,,,,
,button,Visual inspections: Surface oil,"C,MD,SD",,,,,,,
7dc538d9-087c-5933-abd5-5df9cffbd3f5,button,Compliant with specified on site mass limits?,"CONFORMING,NON-CONFORMING",,,,,,,
,,,,,,,,,,
721b5495-8500-4c93-a675-93d07fa38110,checklist,QA - 008 - Fabricated Reinforcement Inspection V1,,QA - 008 - Fabricated Reinforcement Inspection,,,,,,
5a21347d-cd45-4b06-be08-8d57d7261442,section,Fabricated Reinforcement Inspection,,,,,,,,
0ede2eb3-9945-483a-9a35-461f658f48d3,checkpoint,Details,,,,,,,,
,note,Procedure,,,,,,,,
,note,Minimum Frequency - EACH DELIVERY,,,,,,,,
,note,1. Review delivery docket to confirm quantity and other specific information.,,,,,,,,
,note,"2. Check each delivery conforms to the relevant drawing or specific requirements including relevant AS (i.e., AS 4671, AS 3679, AS 4291 etc).",,,,,,,,
,note,"3. Check at rate of 1 in 50 (min 2 per type, per delivery) or 1 in 200 (min 1 per type, per delivery) if supplier is a Quality Endorsed Company.",,,,,,,,
,note,4. Check all critical dimensions and features as specified. (Visual comparison to existing sample is recommended).,,,,,,,,
,note,If non-conforming do the following:,,,,,,,,
,note,a. Advise the designated quality coordinator of non-conformance and provide them with a copy of this form. – NCR shall be raised.,,,,,,,,
,note,b. Check a further 2 items (in the sample size).,,,,,,,,
,note,c. If any of these samples do not conform reject the delivery - or test 100% and accept all satisfactory items.,,,,,,,,
,note,d. Isolate and identify all defective reinforcing or batches of reinforcing.,,,,,,,,
57744ff4-0122-5899-abc9-e9645577f8f6,textbox,ITEM DESCRIPTION,,,,,,,,
,textbox,SUPPLIER,,,,,,,,
0c737b63-1783-59c4-8f40-d127d59bcfdb,button,Supplier QEC,"Yes,No",,,,,,,
948f6b86-205c-52b8-ba3c-9222b3b523f2,note,DELIVERY DETAILS,,,,,,,,
,textbox,Delivery Docket No.,,,,,,,,
ae6e1964-27e9-5516-8162-577e5e4a5945,date,Date Received,,,,,,,,
69f88f9c-cbb2-5032-865d-c15c839f6b86,textbox,Quantity Received,,,,,,,,
d6c01785-0665-5451-87a9-93d66bbc6554,textbox,Sample Size,,,,,,,,
e265a04e-44d2-5c58-a4b7-61f93830a99b,textbox,RELEVANT DRAWING OR SPECIFICATION (or sample),,,,,,,,
,,,,,,,,,,
640b5e42-d654-43ef-b2d6-7b0dc78b5704,checklist,QA - 009 - Fittings Inspection V1,,QA - 009 - Fittings Inspection,,,,,,
4283c580-b43f-42b4-985d-47cecc69a0a7,section,Fittings Inspection,,,,,,,,
8c0b3e2c-5a46-47b6-8bd8-4e6cfda076fd,checkpoint,Details,,,,,,,,
,note,Procedure,,,,,,,,
,note,Minimum Frequency - EACH DELIVERY,,,,,,,,
,note,"1. Check fittings: Mass produced (extruded, cast, machine fabricated) at the rate of 2 per container of same items, or if the supplier is a Quality Endorsed Company (QEC) as recorded on the approved suppliers list, a minimum inspection of 2 items per delivery.",,,,,,,,
,note,2. Note whether the supplier is a Quality Endorsed Company.,,,,,,,,
,note,3. Check all critical dimensions and features as specified. (Visual comparison to existing sample is recommended),,,,,,,,
,note,If non-conforming do the following:,,,,,,,,
,note,a. Advise the designated quality coordinator of non-conformance and provide them with a copy of this form. – NCR shall be raised.,,,,,,,,
,note,b. Check a further 2 items (in the sample size).,,,,,,,,
,note,c. If any of these samples do not conform reject the delivery - or test 100% and accept all satisfactory items.,,,,,,,,
,note,d. Isolate and identify all defective fittings or batches of fittings.,,,,,,,,
9ba5127a-6ec8-5bad-b023-6fddfdf2a53b,textbox,ITEM DESCRIPTION,,,,,,,,
,textbox,SUPPLIER,,,,,,,,
e4373743-ad0c-57f3-b4dd-e076fced9cfc,button,Supplier QEC,"Yes,No",,,,,,,
09a05859-555a-5571-9fef-ba90ce7553df,note,DELIVERY DETAILS,,,,,,,,
,textbox,Delivery Docket No.,,,,,,,,
12dd4c80-6d2f-537a-9a2f-385e3a1e468f,date,Date Received,,,,,,,,
66dfa29b-cee1-51aa-b243-964e9422ab02,textbox,Quantity Received,,,,,,,,
795baee1-cd2e-57b6-a93a-ca274b414532,textbox,Sample Size,,,,,,,,
0a4538ff-41fc-5209-bf03-39f2a39a9026,textbox,RELEVANT DRAWING OR SPECIFICATION (or sample),,,,,,,,
,,,,,,,,,,
c7061147-b18c-45f0-beed-98f6805f93b9,checklist,QA - 028 - Load Visual Inspection V1,,QA - 028 - Load Visual Inspection,,,,,,
1d0d6bcd-16b8-49bb-82ae-b68ba2fc9d82,section,Load Visual Inspection,,,,,,,,
d1930446-13bb-421a-946e-9e3a07238aaa,checkpoint,Load,,,,,,,,
,note,Procedure,,,,,,,,
,note,Minimum Frequency - 1(i) LOAD / WEEK,,,,,,,,
,note,1. Observe the loading of product to ensure compliance with established procedures and relevant Work Instructions.,,,,,,,,
,note,"2. Observe load for product damage (compared with conveniently located, correctly branded product sample of customer / specification)",,,,,,,,
,note,3. Check load for all items against the details on the loading slip. Confirm that correct products and quantity are present.,,,,,,,,
,note,4. Confirm Quality Checks & Chain of Responsibility Checks (CoR) are completed by the loader.,,,,,,,,
,note,5. Record all observations.,,,,,,,,
,note,Notes:,,,,,,,,
,note,(i) Increased frequency may be required where high output occurs or non-conformance has occurred.,,,,,,,,
,note,(ii) Fire Ants check applicable in Queensland only.,,,,,,,,
,note,(iii) Deviation from established procedure is regarded as non-conformance.,,,,,,,,
14ef1ee3-3457-5715-854f-d7e8d0230743,date,Date,,,,,,,,
233a77c9-4c5b-5a03-987f-f337b4a64bbc,textbox,Carrier,,,,,,,,
ff39f8ad-d7d0-5f25-8511-f01c25bf040e,textbox,Client,,,,,,,,
e35da9cc-c366-5cb6-99b2-49b1b06e4111,textbox,Loading Docket No.,,,,,,,,
0c330066-5977-5a9b-b715-46cf76daae83,textbox,Loaded by (Loader & Dogman Initials),,,,,,,,
,checkpoint,Observation:,,,,,,,,
,button,Exclusion zone established?,"Yes,No",,,,,,,
,button,Platform ladders in place and used?,"Yes,No",,,,,,,
,button,Work crew wearing all required PPE?,"Yes,No",,,,,,,
,button,Lifting equipment positively attached?,"Yes,No",,,,,,,
,button,Tagline used at all times?,"Yes,No",,,,,,,
,button,Lifting and shifting completed as per SOP?,"Yes,No",,,,,,,
,button,Any unsafe practices or deviations observed?,"Yes,No",,,,,,,
,button,Quality Checks completed by the loader?,"Yes,No",,,,,,,
,button,Chain of Responsibility Checks (CoR) completed?,"Yes,No",,,,,,,
,button,Any product damage identified?,"Yes,No",,,,,,,
,button,"Products, items, and quantity, correct?","Yes,No",,,,,,,
2ecb94b0-9791-42d5-b2dd-0fc7e3ca7cf7,checkpoint,Fire Ants Check (QLD only),,,,,,,,
