"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d2a827fb-34b7-4467-ac73-cbc5f3a899d0","","checklist-flat","pass","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"b1a77841-00af-574c-a3f6-530a342e4a05","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"691ac664-d674-5ffa-82e1-97aa106ff153","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"9a10b374-3aea-50c6-b119-ff4309257fba","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"3c405b8f-0a8f-53d6-b4d8-984c2b382980","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"22fa23cd-e941-50b0-bb41-1c152cbbcc82","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"924daf92-54dd-5b50-87ff-84c9485d4a61","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"a82bca07-5936-4613-9c09-5423681a2fcb","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"578f4e28-c674-425f-83b3-6b5f276008dc","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors"
"979b340f-2dc9-4535-ab72-ee22ebb94d56","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01"
"c78a5cd9-a5d9-4c3d-b404-f611bfc2b016","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Pre-Fit Off Checklist"
"4b6bbf1a-548f-5355-8f24-35c38fd65c05","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Rail Checklist - Rail 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"625090a7-a41a-4416-b9a1-c32a5d65e6d9","","checklist-flat","pass","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Data Plate, Access Point (Rails and Line Systems)"
"f3c67776-899d-55d1-89e3-39a8e300f558","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Data Plate, Access Point (Rails and Line Systems)","Details of Data Plate"
"d9e881ee-12dc-50bb-bfa2-307b3c486537","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Data Plate"
"894553be-0b74-5c46-8c94-f51601947d88","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Data Plate, Access Point (Rails and Line Systems)","Details of Access Point"
"05be3373-33e7-56e4-a918-deba6839f2ce","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Access Area"
"1e34dd56-8fe3-5da6-b26f-a279f1464df1","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Data Plate, Access Point (Rails and Line Systems)","Details of Rail Carriages/Cable Travellers"
"031c9dd6-0064-59fa-830e-5fedbc89b905","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Data Plate, Access Point (Rails and Line Systems)","1 photo required of carriages/travellers"
"ae2fb7ae-2cfa-4716-80ac-d31f1384f1b1","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02"
"a982f402-114c-4aa7-a67e-4c6f4ee82ed8","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Pre-Fit Off Checklist"
"8a9d674b-ccf8-5545-a034-3b56f2e7f6da","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"c7ff6178-bc16-51ca-8001-1df7238e5747","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Pre-Fit Off Checklist","EMAIL PM"
"1998e2cb-2ee6-5929-9724-0a6704659b9d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"7ffc186b-2701-5f71-8087-e421971d30a5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Pre-Fit Off Checklist","Photos taken"
"a46a82d6-ac84-4abf-a5b6-8595580461fd","","checklist-flat","pass","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Rail Checklist - Rail 02"
"a92285af-fc95-5caa-8cec-8006dada50dd","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Rail Checklist - Rail 02","Confirm the structure is in accordance with the details supplied by PBI"
"93480091-75de-5fbc-a29e-3a86b97e8a7e","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Rail Checklist - Rail 02","EMAIL PM"
"6c085c24-030b-5909-bb20-f289826c4654","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Rail Checklist - Rail 02","Photo taken of Engraved Line Plate / ID Tag"
"50a5542f-9431-542f-a612-d7930132f41f","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Rail Checklist - Rail 02","Video taken of system"
"176fdfc7-9e19-5357-b1c4-065b0f584386","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Rail Checklist - Rail 02","Description input of location / person Rail systems shuttle left with"
"53bc5b72-cd7b-5859-86ff-b792ce490d17","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Rail Checklist - Rail 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"8d1072e1-b298-4d2b-9592-6c65a11af7f9","","checklist-flat","pass","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Data Plate, Access Point (Rails and Line Systems)"
"84d3a5b4-f959-5923-bcd9-414e749932d4","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Data Plate, Access Point (Rails and Line Systems)","Details of Data Plate"
"23ae95f1-cbe4-5dcb-a379-394ef16bca86","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Data Plate"
"e502b42f-a45a-5c11-bb9a-a3e5e5d4b2c5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Data Plate, Access Point (Rails and Line Systems)","Details of Access Point"
"d64c2a49-bc9b-566c-8ba3-93b56fdd9ea1","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Access Area"
"15006778-7f8d-55bf-b8a9-12a81128bdf4","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Data Plate, Access Point (Rails and Line Systems)","Details of Rail Carriages/Cable Travellers"
"a476a193-7241-5db5-bb29-afe75b4a8567","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 02","Data Plate, Access Point (Rails and Line Systems)","1 photo required of carriages/travellers"
"b7544325-14ab-44b8-b99b-d8a91d9ec7ac","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03"
"fe886af2-07c1-42df-88cc-9776501f0de2","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Pre-Fit Off Checklist"
"e8fbe6a5-91f6-5fcd-b0f9-598743c8ed79","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"1b72d9b9-16f4-5007-a320-c0dc5acd12ad","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Pre-Fit Off Checklist","EMAIL PM"
"4b05d3ee-c043-5777-85dc-8c2a067493d6","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"225ad16b-4ab6-516f-953c-44f7a6a5e525","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Pre-Fit Off Checklist","Photos taken"
"1c67afe9-da53-4a52-b162-17c8e9cbd900","","checklist-flat","pass","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Rail Checklist Rail 03"
"db93aa22-4feb-53ca-860d-d207d670c71e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Rail Checklist Rail 03","Confirm the structure is in accordance with the details supplied by PBI"
"0c906fa2-3671-58bd-928e-84c69440bad6","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Rail Checklist Rail 03","EMAIL PM"
"660b6278-9c47-5772-b1c1-82007d708dc9","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Rail Checklist Rail 03","Photo taken of Engraved Line Plate / ID Tag"
"06deaabb-d936-5251-b808-357499148fae","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Rail Checklist Rail 03","Video taken of system"
"8808a832-28c7-5dd1-adbb-606efeec4457","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Rail Checklist Rail 03","Description input of location / person Rail systems shuttle left with"
"9795e565-bcff-50cf-9c23-dffd5dd1aa50","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Rail Checklist Rail 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"a12c0a08-2766-42d9-a819-95714d5e3040","","checklist-flat","pass","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Data Plate, Access Point (Rails and Line Systems)"
"c0139e50-8ea4-50db-80a0-16f6b2aa696c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Data Plate, Access Point (Rails and Line Systems)","Details of Data Plate"
"ce829817-3a7c-5c1a-9980-46c62012b432","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Data Plate"
"ba3d23f2-1582-5045-b1ca-fcf7f59e42c8","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Data Plate, Access Point (Rails and Line Systems)","Details of Access Point"
"c716fdb8-903f-55ea-9aa9-dd7138cb9eb3","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Access Area"
"c825907c-58e7-51bc-b9e2-26abdcaf1c94","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Data Plate, Access Point (Rails and Line Systems)","Details of Rail Carriages/Cable Travellers"
"572db44c-df13-5e78-a13a-63822e702469","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 03","Data Plate, Access Point (Rails and Line Systems)","1 photo required of carriages/travellers"
"ec4e4ac2-21c1-4745-b426-f079adb8fb2a","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04"
"9feb9293-36ad-46a0-946e-798ee755ba71","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Pre-Fit Off Checklist"
"8894337a-942b-5089-8532-aae50980447c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"f3a7066c-e692-5698-bb00-950852601fc6","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Pre-Fit Off Checklist","EMAIL PM"
"27580e5e-162d-5ba4-b075-2db7066dea90","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"1264a43b-4e0f-555a-b7c5-3712ed3aa48e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Pre-Fit Off Checklist","Photos taken"
"13b9a22d-80ce-46f4-bc4d-2fbe7822947d","","checklist-flat","pass","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Rail Checklist - Rail 04"
"1c225e35-152b-5b72-a845-5fafe1598a87","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Rail Checklist - Rail 04","Confirm the structure is in accordance with the details supplied by PBI"
"8454e7b0-dc50-560d-bd02-02b659910549","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Rail Checklist - Rail 04","EMAIL PM"
"b705acd5-95e5-5ae7-a60a-37e02c61d0cd","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Rail Checklist - Rail 04","Photo taken of Engraved Line Plate / ID Tag"
"f195279c-0ab6-5ec3-ab3c-b02d65dda016","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Rail Checklist - Rail 04","Video taken of system"
"01046b79-1895-5573-b492-71bfafec20c5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Rail Checklist - Rail 04","Description input of location / person Rail systems shuttle left with"
"0a162bbf-0f96-5ba2-bc5f-818384c1bb36","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Rail Checklist - Rail 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"d5be4d95-7b9e-49eb-8f46-8b10793a6f74","","checklist-flat","pass","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Data Plate, Access Point (Rails and Line Systems)"
"711617df-9357-5f4c-ba6b-eec9e9aa45c0","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Data Plate, Access Point (Rails and Line Systems)","Details of Data Plate"
"d4c709d2-f42d-592f-8e3f-04ab5bedeee4","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Data Plate"
"e10ffae4-59f3-599d-bcf6-e8c571b9da94","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Data Plate, Access Point (Rails and Line Systems)","Details of Access Point"
"12fb8e91-9dac-557b-8a72-ffb7659a2b2d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Access Area"
"dbacb9ff-7cdb-54c7-9d22-fed475580e6a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Data Plate, Access Point (Rails and Line Systems)","Details of Rail Carriages/Cable Travellers"
"c94d3f02-ed1a-5922-9dd3-16ba77b412b6","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @16m - Rail 04","Data Plate, Access Point (Rails and Line Systems)","1 photo required of carriages/travellers"
"6674dcaf-34d4-4764-aba9-d69cae18408c","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof"
"6a2e4d89-7b42-4312-afa4-d8d0e2367a42","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Pre-Fit Off Checklist"
"79f0e464-0237-5d1d-8386-ea80c4a20032","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"3eeccfc5-4543-5c43-b84f-3f71e59d554f","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Pre-Fit Off Checklist","EMAIL PM"
"388e91c5-5fb9-515d-9fa9-8a4e61a1386e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"0e24985f-491f-55ae-abce-a524aa091253","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Pre-Fit Off Checklist","Photos taken"
