"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f32fe923-a9a5-40c9-bf3d-0a951c7f68b9","","fail","","folder","TRUE","FALSE","Site QA"
"81658017-0dea-438a-bbe9-86872c867d6e","","fail","","folder","TRUE","FALSE","Site QA","Level 1"
"e3486b85-6a1d-4fab-a53a-846ff4d74b16","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511"
"57f22067-8d5e-4838-857e-8126d49a51c8","","pass","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511","1028 - Sterile Store"
"dd667b98-d373-4f31-9d35-6c834e76a6e4","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1024 - ICT","Preparation"
"a4cb69f0-6d9c-4f71-81cb-080cbd852127","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1024 - ICT","Floor Vinyl"
"5b4b2406-1083-4cb3-b912-66abda7dce32","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511","1025 - NO Floor covering BATTERY ROOM"
"a159aa1e-3ef4-4d23-9e8e-90c7fa493ba2","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1025 - NO Floor covering BATTERY ROOM","Preparation"
"49e7566f-cfcb-40b2-b257-f3a18e5603e3","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1025 - NO Floor covering BATTERY ROOM","Floor Vinyl"
"7cae6935-9b41-4a28-aac2-b3f4ccd699b1","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1025 - NO Floor covering BATTERY ROOM","Wall Covering"
"e356e0fb-a329-44e5-aee6-e008df79b2d3","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511","1027 - NO Floor covering MDB"
"cd08b9c9-45c2-4012-a81a-bc9bbf36b770","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1027 - NO Floor covering MDB","Preparation"
"46604f11-5fd5-41a7-bad3-023625e8b6a8","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1027 - NO Floor covering MDB","Floor Vinyl"
"a070fb7b-4209-4ada-a698-7edc14269f75","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1027 - NO Floor covering MDB","Wall Covering"
"20aaa380-9c77-4cc7-b00e-2996a10dc55b","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511","1022 - NO Floor covering Service Access"
"769570f8-caa6-4a60-98ab-705913f3fd28","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1022 - NO Floor covering Service Access","Preparation"
"8cd95ec6-9609-4579-9fb1-7da276f49bf2","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1022 - NO Floor covering Service Access","Floor Vinyl"
"212cdfa7-f2ef-4459-8521-d4c82b6f05c8","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1022 - NO Floor covering Service Access","Wall Covering"
"0bce65a4-bcb5-4021-b54b-2f77ddc573be","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 2 - A1512"
"bb70d216-280f-4403-95a2-9704f7c1d1b3","","pass","","folder","TRUE","FALSE","Site QA","Level 1","Zone 2 - A1512","1069 - Sterile Implant Receipt"
"1339fe81-fd8f-4431-a396-718916d9d327","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1069 - Sterile Implant Receipt","Preparation"
"66eb7c05-7ac8-4a80-b986-5c54f608dc3e","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1069 - Sterile Implant Receipt","Floor Vinyl"
"77d2b055-a69a-40d0-b959-017b10a799c4","","pass","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1069 - Sterile Implant Receipt","Wall Covering"
"383efd1f-a3a5-44b5-a2b1-d0d97a836110","","pass","","folder","TRUE","FALSE","Site QA","Level 1","Zone 2 - A1512","1083 - Cart Dispatch"
"556042d4-7ab9-4c21-aed2-2b9e79c5a4b7","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1083 - Cart Dispatch","Preparation"
"8fc21a33-ea71-4686-ad23-883a578b2164","","pass","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1083 - Cart Dispatch","Wall Covering"
"83593c91-a52a-40ff-9f16-54bc968d585f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor R"
"33ebdce5-617a-4087-9893-1e9056f3919c","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor R","Preparation"
"d28e1024-4e6a-4ed1-9707-fb90ef2c3ef8","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor R","Floor Vinyl"
"c72b4bd6-934e-4d76-8337-0f6cf8329b87","","not-started","Entrance Mat","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor R","Entrance Matting"
"f2809377-fec9-4eab-b6bc-f2819c782041","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor R","Wall Covering"
"0123a5e0-8589-4eb9-b277-0b450f72380b","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor L"
"27df938d-914d-4f2f-ab22-a1e430cef9cf","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor L","Preparation"
"e1b149c5-5793-4394-a7a4-b5c742fd4ead","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor L","Floor Vinyl"
"8b353eff-c3ae-4560-b784-f917647bd059","","not-started","Entrance Mat","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor L","Entrance Matting"
"2d76120e-b67c-4e2f-a753-b4a9bcd730de","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor L","Wall Covering"
"030ef590-3989-4142-968f-307edc8691a7","","fail","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513"
"08bbc92b-9636-4d9a-a2d2-9f9a2b326dc6","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1001 - Stair 1 Lobby"
"dfb9eb62-6d52-4923-800f-a3506c947a4d","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1001 - Stair 1 Lobby","Preparation"
"cfaf976d-2f7a-4aaf-ae7d-a50bc7820a86","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1001 - Stair 1 Lobby","Floor Vinyl"
"e34decbe-0886-4222-9a6a-8bcb111c1b34","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1001 - Stair 1 Lobby","Wall Covering"
"189c5cca-213a-4bb5-9db9-a62cb2c4e817","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1091 - Cleaners"
"2ede5da0-e677-4c2f-89e8-22ee86440d90","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1091 - Cleaners","Preparation"
"3b700142-6e67-4d78-9ca5-c803a44dbc29","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1091 - Cleaners","Floor Vinyl"
"45177df7-0d0e-4191-bdb7-f636598fbec6","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1091 - Cleaners","Wall Covering"
"282b4ff5-2d03-45c4-81d8-bb5552a4152d","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","2010 - Lift 10"
"e2ecf290-4f42-4a13-b7d6-5f2094ccc799","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","2010 - Lift 10","Preparation"
"67d2f02b-8011-45c4-b312-15a1516fbc53","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","2010 - Lift 10","Floor Vinyl"
"c2a9a1d7-2a58-42f9-89f9-5b573d0c0cdf","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","2010 - Lift 10","Wall Covering"
"b2de20f3-eb65-4358-9e56-7675fb4324e3","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1090 - Corridor"
"90a93cfa-c48c-424d-8287-18f68c44431b","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1090 - Corridor","Preparation"
"3807a928-ca7e-44c2-aec6-b6b14ac2f85e","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1090 - Corridor","Floor Vinyl"
"c2ea6d55-4413-4f23-a774-42314bd9e752","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1090 - Corridor","Wall Covering"
"8d4f5068-2e8c-4c3f-a4d9-65d9c7e1a1ae","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1080 - Corridor"
"04d63f2d-9494-40bd-889c-ce8dfbd6872a","","work-in-progress","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1080 - Corridor","Preparation"
"5af8b0ae-2daa-456e-b84d-1dc2951f5e89","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1080 - Corridor","Floor Vinyl"
"11b0031c-d718-4e2a-bd3d-f16688f74186","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1080 - Corridor","Wall Covering"
"e2ad1cc0-3453-49c0-9194-a260febfff80","","fail","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1047 - Male Staff Change"
"e059991f-5bec-47e1-a038-2a746ced6cd0","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1047 - Male Staff Change","Preparation"
"7bd4eb39-e69d-4ad0-a2c9-ed8bf1284d54","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1047 - Male Staff Change","Floor Vinyl"
"64e23e01-2cc8-462a-a602-5399bf34c1fa","","fail","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1047 - Male Staff Change","Wall Covering"
"dc1a0bde-221c-4b32-a915-922e09dfea02","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1046 - Staff Shower"
"13c6e9df-e7ea-4518-a551-b3f6522b2072","","work-in-progress","Floor Prep Wet Room","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1046 - Staff Shower","Floor Prep Wet Room"
"a7834639-172f-400f-a367-9b7bed9eb024","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1046 - Staff Shower","Floor Vinyl"
"c5a142a2-446e-4265-8804-2625fe7395bc","","pass","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1046 - Staff Shower","Wall Covering"
"9354de6a-e196-4597-93af-318f9d7b6e22","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1045 - SHR"
"2473519c-3baa-4ebd-b09f-b7bb95451a51","","work-in-progress","Floor Prep Wet Room","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1045 - SHR","Floor Prep Wet Room"
"ecae7c1c-a49b-43f5-a754-13ab785c8613","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1045 - SHR","Floor Vinyl"
"9b25a635-2ed2-4565-ab62-42b1979cc906","","pass","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1045 - SHR","Wall Covering"
"16b6a7ed-3910-4233-b934-8cac6141d377","","not-started","Floor Prep Wet Room","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1045 - SHR","Floor Prep Wet Room"
"6fced603-e472-4248-8ce3-9396188e8665","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1044 - ACC WC / SHR"
"e09d560c-f6c3-4d4a-b46f-d2a5c289a371","","pass","Floor Prep Wet Room","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1044 - ACC WC / SHR","Floor Prep Wet Room"
"a00d6961-06a9-46e1-b30c-b657cc9c7312","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1044 - ACC WC / SHR","Floor Vinyl"
"7b157387-37c8-430d-815f-fde320e5520c","","pass","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1044 - ACC WC / SHR","Wall Covering"
"22fc2296-1172-4cfe-98ef-40a232dac389","","pass","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1041 - WC"
"8f45d8d1-5387-4fa8-af94-2b27bef3d1b0","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1041 - WC","Preparation"
"f79f8f53-7378-4537-ae6d-1d22d7b70f5a","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1041 - WC","Floor Vinyl"
"7ba738f8-1414-438f-a320-9e36062ebef1","","pass","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1041 - WC","Wall Covering"
"40ceac79-2d4d-4d54-933c-70cc543882e4","","pass","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1042 - WC"
"1d785b24-2fb0-4af2-8748-ba9bf6428fc0","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1042 - WC","Preparation"
"a8ac634e-61bd-4b79-98eb-c40cb578fb7f","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1042 - WC","Floor Vinyl"
"f6edc66d-13fe-471f-bbef-82a7206c2890","","pass","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1042 - WC","Wall Covering"
"83466b19-42c3-42a3-aa75-0b7c8569dfb6","","pass","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1043 - WC"
"af75a3a0-278f-4386-87ca-2ca8b9baee53","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1043 - WC","Preparation"
"6599edfb-6c65-4a09-9c40-15d33cfbe6c0","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1043 - WC","Floor Vinyl"
"ed102323-0f60-4af0-8b35-d219eff3776f","","pass","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1043 - WC","Wall Covering"
"d8e00a44-93d8-46ad-8c1c-b7115be5fb2d","","fail","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1038 - Female Staff Chanfing"
"2dee7e26-dca5-4f37-86a8-918698f2f6a2","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1038 - Female Staff Chanfing","Preparation"
"26913ec0-f38f-4420-9cfb-e9ae798b1fb0","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1038 - Female Staff Chanfing","Floor Vinyl"
"d623a66f-1081-459c-bd91-1ad84d630c1b","","fail","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1038 - Female Staff Chanfing","Wall Covering"
"5605c74a-99b0-4cd8-aed4-6f6220634cf2","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1036 - Staff Shower"
"235b7082-f4fa-42f3-8aec-55323d52f08e","","pass","Floor Prep Wet Room","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1036 - Staff Shower","Floor Prep Wet Room"
"524e346b-081c-46e0-9116-0bc1747a03a8","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1036 - Staff Shower","Floor Vinyl"
"6a21c25c-55cf-46ad-895e-4ae5d30f4f53","","pass","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1036 - Staff Shower","Wall Covering"
"5170bcb5-5d13-4b07-aa33-838d67c741f2","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1037 - Staff Shower"
"4b1c1eb5-8ac5-45e2-9832-e490f979e192","","pass","Floor Prep Wet Room","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1037 - Staff Shower","Floor Prep Wet Room"
"99180242-7e43-46e8-b9d2-6cc24b7730b6","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1037 - Staff Shower","Floor Vinyl"
"a6d49b0d-9d78-49ea-bd31-ec925b7737ee","","pass","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1037 - Staff Shower","Wall Covering"
"5a2446c1-666d-42b4-86b3-cdb64a55be14","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1035 - ACC WC / SHR"
"d7fe22e2-a294-4162-9f05-3cf5791aff3e","","pass","Floor Prep Wet Room","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1035 - ACC WC / SHR","Floor Prep Wet Room"
"dd9747d1-1f12-4140-8a78-4af9a8fd1337","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1035 - ACC WC / SHR","Floor Vinyl"
"bdbf41c7-7e7d-4bf3-ac03-78e3770c8a2f","","pass","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1035 - ACC WC / SHR","Wall Covering"
"6f16956b-8e76-44c1-89df-bd695c3a79d4","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1031 - WC"
"894c1d79-c2c1-40ed-aa78-00714010e265","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1031 - WC","Preparation"
"4acf2da8-63be-4d58-b6a3-fd7320adf9de","","work-in-progress","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1031 - WC","Floor Vinyl"
"44539a0f-cbf5-4d00-a606-fcf2682b79ac","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1031 - WC","Wall Covering"
"78220b25-a055-4470-9ae1-b2e587d3b6ad","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1032 - WC"
"4edcfa25-3f90-4e23-b8dc-f63c67f523b4","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1032 - WC","Preparation"
"72e5a6ba-3209-4daa-9f63-bda48b45ffe0","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1032 - WC","Floor Vinyl"
"facd7167-4aef-412c-bd92-2b3aeb08a237","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1032 - WC","Wall Covering"
"326daca0-10a0-43a9-a7c5-971058c9530a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1033 - WC"
"0da5cbe6-fa21-4d68-a569-8a30e188413e","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1033 - WC","Preparation"
"1cf4965b-109e-41d0-b655-faaa1d15866c","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1033 - WC","Floor Vinyl"
"be361edf-6afb-4cbb-9159-b88098771423","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1033 - WC","Wall Covering"
"b2cb2896-2be5-4bb3-817d-a4d412f2d61f","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1020 - Corridor"
"f5d3704a-5c8a-4598-ad0c-f631a04802e0","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1020 - Corridor","Preparation"
"5b0e6693-690f-4db1-a66d-f91b2f761edb","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1020 - Corridor","Floor Vinyl"
"d51a4bea-e710-488e-baa9-d332be5b300d","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1020 - Corridor","Wall Covering"
"394b0e6d-5bb6-4d99-8e68-7a67e4993c68","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1011 - Lift 11"
"4c7a96d4-7185-4a7e-982a-ec2354da6e26","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1011 - Lift 11","Preparation"
"6474a6d5-4c82-4403-b897-fdf9288be505","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1011 - Lift 11","Floor Vinyl"
"57127176-a6ed-4328-8133-d7cf98b5ffa1","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1011 - Lift 11","Wall Covering"
"bf9f6b35-ff70-4925-bb56-4e0bf34c5821","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1012 - Lift 12"
"f6084384-9640-4d96-88ee-5c4e1c3c2ac9","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1012 - Lift 12","Preparation"
"caed42ac-5591-44d9-9817-4b30a5dbe1c4","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1012 - Lift 12","Floor Vinyl"
