"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"eff9ba36-dac6-4482-b4e4-f7ca6851e836","","folder-normal","work-in-progress","","step","TRUE","FALSE","41-AD BLDG"
"a412523c-cf60-4b00-8e40-72e4a46dc30c","","folder-normal","work-in-progress","","step","TRUE","FALSE","41-AD BLDG","41-AD Sewer"
"7951daa0-0394-4e0c-bb25-ec2aa32e5ac8","","folder-normal","work-in-progress","","step","TRUE","FALSE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install"
"bfbf0108-22d3-4438-a12b-69a963a68411","","checklist-flat","work-in-progress","QA 8 - Below Ground Pipework Checklist - Sewer","checklist-flat","FALSE","FALSE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","SMS 8 to main run"
"1ab004b3-1dcd-53a7-b950-7d2fda47e5d1","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","SMS 8 to main run","As built information updated onto drawings"
"ef15905c-9d2b-4a01-a72e-c2fa8325c1c6","","checklist-flat","not-started","GPL QA 8 - Below Ground Pipework Checklist - Sewer (CNRM)","checklist-flat","FALSE","FALSE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","QA 8 - BGS00#"
"c0c75fbd-1031-5191-b343-e8734bd1b38d","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","QA 8 - BGS00#","Principal Contractor Permits Issued"
"c33ddde9-4ee8-51c4-9b20-926d5ef08d38","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","QA 8 - BGS00#","Set out pits trench depths and runs."
"d46a7470-e235-5a25-9ca2-54e4cb194abe","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","QA 8 - BGS00#","Pipes and fittings comply with relevant Authority and Specification."
"2bd25303-10cb-5069-b717-31a1d77a71a2","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","QA 8 - BGS00#","Bedding material, placement and compaction meets specification."
"861325e8-e4df-5db9-bb3c-d2e3ffc1a8ab","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","QA 8 - BGS00#","Laying and jointing of pipes - RL and fall"
"024df366-f2e5-56b5-ae30-3583d76a90e5","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","QA 8 - BGS00#","Connections to pits and existing services as per spec and Australian Standards"
"46bc2ad5-d3af-5807-9ac4-5c2b77977853","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","QA 8 - BGS00#","Hydrostatic tests are carried out as required."
"cedc4709-bdc4-568f-ae91-36d287da827e","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","QA 8 - BGS00#","Mirror tests completed"
"f944abd3-b909-5258-912e-37882baec956","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","QA 8 - BGS00#","Placement and compaction of backfill and material meets spec - attach applicable reports below"
"17ca89fe-b6b5-5a5a-b003-6ee187236779","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","QA 8 - BGS00#","Temporary cover provided to open drain."
"b67dba81-a7d8-564c-800f-c336cd64103b","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","QA 8 - BGS00#","PVC/ Plastic caps to open ends"
"b4abd3f7-5094-5ec2-8dfd-3c2322aa1e9e","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","QA 8 - BGS00#","As built information updated onto drawings"
"7b68718a-8b59-52e8-900b-be2006858464","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","QA 8 - BGS00#","Work(s) completed to specification/drawings & Area left clean/tidy"
"9513d525-4c17-59d6-b116-7eda08e8fc5d","","checkpoint-status","not-started","","","TRUE","TRUE","41-AD BLDG","41-AD Sewer","41-AD BG Sewer install","QA 8 - BGS00#","Foreman/QA Officer Sign-Offs completed - Click to Attach Signature(s) below"
