"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d8e7b1fb-b4f1-4454-a556-22fd3f8450eb","","folder-normal","","","step","TRUE","FALSE","Site QA"
"b73585f3-6a5d-4801-b2d4-17b08f835ef7","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores"
"63480db9-bb30-4de3-8926-76a240b377b2","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower"
"593b99ee-69e1-4e00-b649-352b36ae0fbc","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Basement 3"
"799ee609-9c1e-4f25-9c5d-167b784896d6","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 9 (L4--L5-L6)","Jumpform Post Climb"
"197b6d17-f409-413b-bca2-c7f567427f3b","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 9 (L4--L5-L6)","Jumpform Formwork Handover"
"2edeb1fb-5057-4890-a5dc-3c941155a46d","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 10 (L5-L6-L7)"
"57bf9d2b-4d3d-477a-a9e7-f31cd1e28268","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 10 (L5-L6-L7)","Jumpform Pre Climb"
"912e066d-8b5f-4bce-ae62-a9bfb9ebbf65","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 10 (L5-L6-L7)","Jumpform Post Climb"
"cde31e3e-1fdb-4c0d-9093-7fa0a9985b8f","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 10 (L5-L6-L7)","Jumpform Formwork Handover"
"ab41cc7c-a09d-44d5-a01d-e8f6c80d2adf","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 11 (L6-L7)"
"3ff30d6f-3c1c-4e54-bda9-170912ed9916","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 11 (L6-L7)","Jumpform Pre Climb"
"231fcd71-8fde-47af-a0ed-4d675002dde3","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 11 (L6-L7)","Jumpform Post Climb"
"2392780b-efa2-4b58-9b9c-5dd2cd47b7b6","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 11 (L6-L7)","Jumpform Formwork Handover"
"b9ea949d-8d3a-4c4c-a819-278fd3ee3ec2","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 12 (L7-L8)"
"36972c7e-36d6-4157-9553-7dbc24ce0ebc","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 12 (L7-L8)","Jumpform Pre Climb"
"30450561-eed0-452f-be2c-a18caffedcd7","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 12 (L7-L8)","Jumpform Post Climb"
"3f580cb9-f7ad-4aa3-bf7f-c19482ab4869","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 12 (L7-L8)","Jumpform Formwork Handover"
"ec1880f5-b1be-4f7c-9ba7-faa2d974f808","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 13 (L8-L9)"
"01e4cb11-bf4b-49cd-bf2b-6b4bd481534d","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 13 (L8-L9)","Jumpform Pre Climb"
"05d9a667-0d45-4e31-a790-50bfc9dba1c6","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 13 (L8-L9)","Jumpform Post Climb"
"8d478fdd-87dc-4509-bdca-ea439425fceb","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 13 (L8-L9)","Jumpform Formwork Handover"
"ad7c064f-cc3a-4d6a-b29e-fddd800948d6","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 14 (L9-L10)"
"3d9e7bb3-e18a-4283-93c0-e24dce78efff","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 14 (L9-L10)","Jumpform Pre Climb"
"114dab22-1e6d-4752-975d-d57d1524cd8b","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 14 (L9-L10)","Jumpform Post Climb"
"430293ea-8eae-4404-8f58-675996c9c7a8","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 14 (L9-L10)","Jumpform Formwork Handover"
"d76c9582-d858-4446-8ca9-f81362c37d65","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 15 (L10-L11)"
"3b066ee1-64f9-4688-a5db-973af89d66a1","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 15 (L10-L11)","Jumpform Pre Climb"
"20ef9be9-e0e8-4d62-b6b5-9f94aace69c0","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 15 (L10-L11)","Jumpform Post Climb"
"96687b62-761e-44b0-b424-4d6aca676a91","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 15 (L10-L11)","Jumpform Formwork Handover"
"48fd77bb-3e97-47dd-b9a7-76c6871097cd","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 16 (L11-L12)"
"6f51cc97-4403-4cf2-bade-ef4d1a3a642d","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 16 (L11-L12)","Jumpform Pre Climb"
"4989f3b1-8d9a-451c-98e9-c913477a3cf3","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 16 (L11-L12)","Jumpform Post Climb"
"78111346-c4f1-4288-b85c-881b892070d5","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 16 (L11-L12)","Jumpform Formwork Handover"
"f42faf57-d910-4ff2-8d87-bd2333b66586","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 17 (L12-L13)"
"faa14702-81a2-4937-b668-cff4aff2ba28","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 17 (L12-L13)","Jumpform Pre Climb"
"20a1ff59-0b53-4941-80d4-4538dab02d27","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 17 (L12-L13)","Jumpform Post Climb"
"f6831d5a-09de-4a84-97ef-d7b6ad4bdb08","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 17 (L12-L13)","Jumpform Formwork Handover"
"528c61da-4832-4c62-90ac-c03848027fb2","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 18 (L13-L14)"
"fc9666fc-6f9e-4751-8b42-d78041152925","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 18 (L13-L14)","Jumpform Pre Climb"
"f1dba115-60c7-478f-9d31-930b3c1381b3","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 18 (L13-L14)","Jumpform Post Climb"
"c94df5c9-078b-4765-b933-597f2b24ea81","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 18 (L13-L14)","Jumpform Formwork Handover"
"ce9dc569-3acf-4d38-9e86-4e4e190ced23","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 19 (L14-L15)"
"aaa9b74c-a1f3-4457-ac86-4fade935ec9a","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 19 (L14-L15)","Jumpform Pre Climb"
"32abff67-a34b-473b-a821-034717cf6fdb","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 19 (L14-L15)","Jumpform Post Climb"
"e7c51c1c-aa96-4cd7-9e74-3b17bcca8cbc","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 19 (L14-L15)","Jumpform Formwork Handover"
"76b0cfef-ebb1-43ba-9c5d-66b94f387880","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 20 (L15-L16)"
"23ecc5ce-34fc-4c07-966f-c64b5051c30a","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 20 (L15-L16)","Jumpform Pre Climb"
"0fd19317-608f-4edd-a3ec-95517ec859d8","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 20 (L15-L16)","Jumpform Post Climb"
"655e5fbe-37b7-4bc2-b64a-25be037477bc","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 20 (L15-L16)","Jumpform Formwork Handover"
"ecc9a355-3f1d-4a2b-b245-187e5fcd5c24","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 21 (L16-L17)"
"37da6453-9c6b-47e2-897d-d6c35efac30f","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 21 (L16-L17)","Jumpform Pre Climb"
"f8874619-0ee3-4136-8aff-21dec154cea9","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 21 (L16-L17)","Jumpform Post Climb"
"13db8cb4-2b67-4af0-bb95-e5e0179e2b91","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 21 (L16-L17)","Jumpform Formwork Handover"
"d5ed9ab8-d3aa-48a5-b27d-c9d2b00a68ae","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 22 (L17-L18)"
"eb5d863e-57f6-4f13-b7c1-a94a810dad78","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 22 (L17-L18)","Jumpform Pre Climb"
"3cbbc565-51e4-48d5-a4c1-827a2a297ccf","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 22 (L17-L18)","Jumpform Post Climb"
"bd6c22f4-1f75-4250-aa25-a6a8418e249d","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 22 (L17-L18)","Jumpform Formwork Handover"
"fdedfe89-27ad-4e09-8dd1-643a709e9f45","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 23 (L18-L19)"
"c51b615a-0fab-42a8-9869-1a822150fbf2","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 23 (L18-L19)","Jumpform Pre Climb"
"98269521-5af9-4cc6-8201-d0b2e78eadb5","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 23 (L18-L19)","Jumpform Post Climb"
"28c84869-41ed-4c83-bfd5-3eabec6c6fa8","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 23 (L18-L19)","Jumpform Formwork Handover"
"7f8bbd30-7f67-4227-b565-c405ffe7ee49","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 24 (L19-L20)"
"f91ebf8b-2ea7-4a67-8cd8-7ff6f7133b82","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 24 (L19-L20)","Jumpform Pre Climb"
"6fa82320-d114-4c00-b689-17c294ecca6e","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 24 (L19-L20)","Jumpform Post Climb"
"c3395527-e410-40a3-ab52-c4d6ee8cee2e","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 24 (L19-L20)","Jumpform Formwork Handover"
"1a2836ab-87bf-413e-aa55-8cd8cc69cb92","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 25 (L20-L21)"
"c1ff9a8e-5d5a-4de0-88d0-199ff1ec479f","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 25 (L20-L21)","Jumpform Pre Climb"
"531d0cfa-94ee-46ed-9606-ee12dd97a18a","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 25 (L20-L21)","Jumpform Post Climb"
"5a79c36b-7784-4c27-852e-3d334d6ea187","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 25 (L20-L21)","Jumpform Formwork Handover"
"0af56689-b447-4406-b72a-c93346ae752d","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 26 (L21-L22)"
"f92617e9-87c9-4d24-bb4e-76a71fbbdbd5","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 26 (L21-L22)","Jumpform Pre Climb"
"81b9addd-92d8-4561-92b5-ec5faabef892","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 26 (L21-L22)","Jumpform Post Climb"
"e7b23ed2-67e5-4b4d-b953-b02327b79be3","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 26 (L21-L22)","Jumpform Formwork Handover"
"fb6e616c-8dcc-4ac7-88c9-09a27e5aa788","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 27 (L22-L23)"
"745944d9-b209-4cd4-bef1-7a5b9f12a07d","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 27 (L22-L23)","Jumpform Pre Climb"
"185e4250-1ad5-4f85-9900-a01d66cbb749","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 27 (L22-L23)","Jumpform Post Climb"
"d2b1f9d1-fd4e-4b98-835a-69a621d166f6","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 27 (L22-L23)","Jumpform Formwork Handover"
"ab330d26-77da-4b9b-9de5-d1f09b8471bc","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 28 (L23-L24)"
"a4b55b04-99b8-4610-ba5e-1b59ff029ba9","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 28 (L23-L24)","Jumpform Pre Climb"
"6eeafde3-99b7-470f-a980-cb7c93d60903","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 28 (L23-L24)","Jumpform Post Climb"
"b362e4bc-ff2b-4610-ac96-6ac11f6869a9","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 28 (L23-L24)","Jumpform Formwork Handover"
"7af25465-b285-4a86-b6d0-a4938887362a","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 29 (L2-L25)"
"a30a8e19-092d-4e0b-80d6-5b9ae260ff2f","","checklist-sectioned","","Lubeca - Pre-Climb and Post-Climb Checklist","checklist","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 29 (L2-L25)","Jumpform Pre Climb"
"6d5a4d0b-c70f-4812-b279-abe53ff21600","","checklist-flat","","Jumpform Post Climb Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 29 (L2-L25)","Jumpform Post Climb"
"07f74815-f2ca-4b95-b89c-4ef01b01c207","","checklist-flat","","Jumpform Handover","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 29 (L2-L25)","Jumpform Formwork Handover"
"23615902-43b4-4c17-8276-2e9c73eac654","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 30 (L25-L26)"
