"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8105cfb6-9ad4-47cb-b980-57165c367f62","","folder-normal","","","step","TRUE","FALSE","Site QA"
"6109dfb9-4bf2-4dfc-b8e7-538c854e78da","","folder-normal","","","step","TRUE","FALSE","Site QA","Footings"
"885a81b3-ccdd-4ca1-bd87-92ca81a4411c","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF34"
"693370e5-4a65-42af-94fd-710224d7da01","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF35"
"7d593e92-a0a7-48f5-97a3-195ee592b6aa","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF36"
"9bf9dac7-b07c-42de-87ca-6350220e5bfb","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF37"
"4f6d857e-f20c-4db2-a109-75523e7d2d27","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF38"
"7c4a27ba-e37f-466b-8688-742ec037aa22","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF39"
"f0d6f25b-42b6-4339-8784-9f59a88055fa","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF40"
"eb68a50a-0300-4fe7-b363-12d96c6dde40","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF41"
"b3e79132-3ba6-4c5c-ad07-5d93efc47f80","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF42"
"2aea2d09-29ef-43f3-a76f-a96c6b225416","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF43"
"9939c87c-f2e4-47fe-8c43-ce2c7e5b7326","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF44"
"430d0c17-cb1c-43ec-bb94-584fff435a4e","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF45"
"4e7ab5e7-5828-4e2f-9b8a-ddc09ad48a1c","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF46"
"62a701b9-2b00-4ec3-9610-47b2e357369b","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF47"
"7f864787-add3-48e2-9f75-f46b7c2cf12e","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF48"
"1072d0c7-694a-4cd2-9dc6-332419bc272b","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF49"
"9e4981b6-1cb4-44bf-9f19-41b86251ae83","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF50"
"6a4e7769-1567-4562-919b-fd076a4f3d72","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF51"
"33bec80e-99d1-41cc-86e7-a1fbcdf62134","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF52"
"1e223e3b-6d07-4f75-b8cf-112ad162dcc9","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF53"
"02344e28-56ef-4b5f-bf6e-3dec1d2b19ec","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF54"
"c2d80555-bc6f-4d89-bdcb-003207a88eb1","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF55"
"a499ff52-3ffd-4fea-97e7-c60662f7086f","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF56"
"8f4e0cdd-b9de-4544-9b8f-564fb46e8139","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF57"
"e62a51d4-8371-4651-be6f-48cfb0a52d86","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF58"
"664a1349-07d3-4c8d-a11a-8a700d7855bf","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF59"
"fa24e81a-5581-4150-9eeb-cb0ed1dc5c18","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF60"
"dbd799ea-99c2-4560-a6cf-c2561303c720","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF61"
"b9933964-b9a2-4f75-9eb6-e81f31f4e1a4","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF62"
"ffd72bbd-9b3d-43da-972a-784b879eed8f","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF63"
"5bd2eaea-66bc-4fbf-a1ea-47995d586b10","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF64"
"6356a64f-a2e7-48c6-9d4b-7a958e02dab1","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF65"
"93659a54-71dd-4aea-9c52-45d74c1d8ab5","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF66"
"8af28152-fb9d-4042-acb4-e1dba73d3c47","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF67"
"76d8d80d-7bc2-460b-b051-b171b6c3940a","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF68"
"345b60ed-7d6c-4551-a1ce-d1924a4fba7a","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","PF69"
"7d2942c2-f57c-4823-938a-27afcb53b580","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","SF1"
"f53fb2b4-46cf-49eb-bcfd-8a7cbd8be391","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","SF2"
"71a03238-dc3d-425e-9515-4275bd97412f","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","SF3"
"f7107ab8-0ba7-4b9f-8969-2977e92f90ee","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Tower Raft Lower"
"e4a3cdc9-758a-44c9-baea-55e4b0b182f8","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Tower Raft Upper"
"09cb73b9-565c-4027-b371-7c652af6adca","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Stair 6 Raft"
"f3e57875-859e-478d-a8f3-2a202b2a6d3c","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Stair 9 Raft"
"0e387dc6-0e37-4caa-8c31-3131d8ef4161","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Pour 1"
"c78dc31a-ca3d-4803-8789-da9d01fdf6fc","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Pour 2"
"f0b54a8b-ad4f-4465-8a65-ca0186e5a0a9","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Pour 3"
"04c2f584-277c-4a5e-9cd6-97ddece02940","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Pour 4"
"22a77dfa-6d67-46a8-a61e-89b6402e7bd0","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Pour 5"
"7de13bb0-1ac1-4605-ba86-92557eedf242","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Pour 6"
"7364fb62-79aa-419b-8213-e8a6f670adf6","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Pour 7"
"ed32d7bc-df34-4d23-bc88-df8c828cdd26","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Pour 8"
"14960adc-f536-4664-8b15-e1e32a19a872","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Pour 9"
"75ac4922-0b85-42a2-ab12-031bcf3cebd7","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Pour 10"
"64410385-1f7b-49cb-b6a8-23ca52179cdd","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Pour 11"
"e14dcdcf-87bf-4694-ae10-072c95a4a9b3","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Pour 12"
"2cfd5a9c-30ab-43ef-a1e5-2bd907c7a0f8","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Footings","Pour 13"
"9d9b5031-0a37-4df5-89f9-f70652fb4169","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores"
"6d08850c-fb9c-4319-819a-b8e3c3fe0f02","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Tower"
"045f4c23-71bc-4825-a0fc-c84a5765df81","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Basement 3"
"64411834-3355-44b7-ab55-6995ddcf633c","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Basement 2 "
"76c396e8-972a-4a9a-b3fe-9c7c4bf3f202","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Basement 1 core wall"
"937aa8d0-7460-4f3a-b589-5abd3f7f6f38","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 3 (LG-UG)"
"4a32b37a-2fea-4410-b142-9e1ee1c33fe3","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 4 (UG-L1)"
"328dd962-7be3-46ed-9d83-35a5ab3fb47e","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 5 (UG-L1-L2)"
"30bfb9d6-8b37-4beb-911b-15c1a95e20f7","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 6 (L1-L2-L3)"
"ff0e3b63-66da-433b-a2fa-a9c431face52","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 7 (L2-L3-L4)"
"e210bfd9-34e9-4582-9077-be033a72c4d9","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 8 (L3-L4-L5)"
"174b9509-dcd2-483d-af0c-2aa22c262ef4","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 9 (L4--L5-L6)"
"a213bccf-f845-40e5-9f77-29e996781bce","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 10 (L5-L6-L7)"
"3feb501d-928d-4b42-ba45-6d02f0f21365","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 11 (L6-L7)"
"9c04b5e8-bddc-46c2-ba2c-c94666e5f229","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 12 (L7-L8)"
"6b175b04-9bae-45c9-afbb-05cd9f1693e2","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 13 (L8-L9)"
"92b89b8a-8374-4a7e-81ca-6c6dd7c0d149","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 14 (L9-L10)"
"54e17c8d-b95c-4d11-9c5f-4297f95ddcb7","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 15 (L10-L11)"
"0b2682b6-4e02-4964-b602-d55debb7aa2b","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 16 (L11-L12)"
"7838f854-fdd0-42b0-81cc-49840f4ead07","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 17 (L12-L13)"
"16aad360-c9a4-43a8-b414-1eb4d2e9e743","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 18 (L13-L14)"
"75feb789-8d82-42d0-90dc-de36ae511ddf","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 19 (L14-L15)"
"7c9dd167-b4cb-4640-ad9a-22125c07b16a","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 20 (L15-L16)"
"841052a1-8c9e-4c5a-ae74-72a913c5f6ee","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 21 (L16-L17)"
"2700447e-34a6-4531-8c93-778611979864","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 22 (L17-L18)"
"756ace49-7891-48a0-a4a3-75948c42a8f3","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 23 (L18-L19)"
"2996661f-4f25-4abe-bb6d-c881d065ae68","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 24 (L19-L20)"
"ced6ba73-f56a-42b5-aa57-a361e938f68b","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 25 (L20-L21)"
"c610a844-789b-403b-bbbf-8eacf97104b4","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 26 (L21-L22)"
"d388a26d-456a-4f11-81a7-b57cad90647f","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 27 (L22-L23)"
"18dbeb2b-cba6-4011-8b4c-4d0677196214","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 28 (L23-L24)"
"83b3be5f-decb-4dc9-9274-7088d8075751","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 29 (L2-L25)"
"cf947f53-0fbd-4edc-b4f6-098db6b157c3","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 30 (L25-L26)"
"7ce8184b-01bb-49b1-9717-4bfddb214c0a","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 31 (L26-L27)"
"d85f4448-ff2e-460f-9c8e-66e39ae50b15","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 32 (L27-L28)"
"7120bc05-0f5f-4af7-a1bc-83179c85ebec","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 33 (L28-ROOF)"
"a0a55f1d-49db-4926-b3e3-3606e6ce83e0","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Jumpform Pour 34 (ROOF-LIFT OVERUN)"
"83dee70a-4581-4cfd-a091-ca2c27aeecb2","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Basement 3 - Raft Pour 2"
"138e23b9-79c4-482c-af4a-b0fb5eea928a","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","B2 SOG P1 Tower"
"dead9fb7-04b8-48ad-85d7-7c37754a153c","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Basement 2 core wall "
"3f9f49a1-032b-4758-add5-64b67dd3c8ee","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Basement 2 pour1 columns "
"5d236e39-d132-43f7-aa23-1b84071fde5e","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Tower","Basement 2 SOG2 "
"d4e38646-c58d-4b96-b8d3-d8bd7c8a1601","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","School"
"15e01ea1-84ae-4946-ae1d-af33dcbbe354","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Lift Pit Base"
"db7282ac-71f8-478c-89dc-6ad7da1a7aec","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Lift Pit Walls"
"6fe1845e-08e6-42ee-8a3b-b7a9943d26d4","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Lower Ground"
"4ab6b235-238e-4bcd-b8bd-cf7a64c0bcc1","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Upper Ground"
"0174f389-dec3-4313-b406-969d34c32450","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Level 1"
"133101f3-ba82-49d9-8f08-2f5558b20a8e","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Level 2"
"fe0575db-90b8-47b1-8a5d-cb02104055be","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Level 3"
"2b462012-f105-4f1d-aecc-3a398a2e707b","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","School","Level 4"
"4ed8c8ae-8d9e-44fd-9eab-406ded0fd9ae","","folder-normal","","","step","TRUE","FALSE","Site QA","Lift Cores","Parish"
"55c4d4f5-c32a-432f-b4b3-a9fa9f698d6c","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Lift Pit Base"
"509acf40-932e-45d3-9742-d2e5257b820e","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Lift Pit Walls"
"967b4738-3d87-4f12-9af2-ce248954c085","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Lower Ground"
"585e8a07-e666-40f0-a8c7-31b176cf1631","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Upper Ground"
"e1e9930d-858e-4cf0-9574-0effb26ba826","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Level 1"
"991f900e-64ee-4553-95e3-2eff1c2d1320","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Level 2"
"058eb383-fae3-46f8-9e56-aeb287fcc35a","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Lift Cores","Parish","Level 3"
"ce694370-ec9a-406f-83a6-96fe884780c2","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs"
"b0650dc0-a5c7-4410-82cf-fe444948e30b","","folder-normal","","","step","TRUE","FALSE","Site QA","Stairs","Stair Core (Tower)"
"bfeabca4-f2ba-4d10-adde-372a9afa15e8","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Basement 2"
"6552cadd-8465-4971-bfd4-68cd6f45f9b5","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Basement 1"
"7ab7682d-0825-4684-97e5-0d8b697501b8","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Lower Ground"
"02de7d75-e442-4e86-b03a-a6e38af2ecb9","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Upper Ground"
"b2362b9d-cedf-41e5-8f13-b563be97295f","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 1"
"a9b19633-0d32-4a2f-acdf-ec072fc038e3","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 2"
"93f951fd-c3bb-42bc-abc9-93070ab928eb","","checklist-flat","","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","Stairs","Stair Core (Tower)","Level 3"
