"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"17204dd9-c270-45f9-a03e-b03a778e2ea5","","folder-normal","pass","","step","TRUE","FALSE","Stage 401"
"f7f02d53-3fe7-4c91-ab1b-0daadfa6067d","","folder-normal","pass","","step","TRUE","FALSE","Stage 401","June 2022"
"4dbaaa73-4c9b-47ab-9171-9280a9129daf","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","September 2021","Site Visit Report - formwork footing 28/09/21"
"9fbea900-9ea4-4cdc-8c52-619ab0b7a7a3","","folder-progress","pass","","checklist","TRUE","FALSE","Stage 1 - B01","October 2021"
"112237ae-60c0-40b5-ba53-27dc1d4e4b17","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","October 2021","Site Visit Report -B01 liftpit 1,2 and 5"
"36b910b9-3f0e-4955-8226-722705c31c49","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","October 2021","Site Visit Report - Basement Area B lint trap, block walls - 06.10.21"
"e3b53ed9-987a-4f68-b5c5-6ab6f5f68a3d","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","October 2021","Site Visit Report - Lift Pits 1, 2and 5 - 20.10.21"
"73c7c722-d266-41fc-82e8-f9d929acc35e","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","October 2021","Site Visit Report - Lift pits 3 and 4 - 28.10.21"
"5ef0a039-89c2-4931-8c23-1baad8311c36","","folder-progress","pass","","checklist","TRUE","FALSE","Stage 1 - B01","November 2021"
"8ae11df1-a233-4b73-9250-1456b780b8a6","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","November 2021","Site Visit Report - strip footing"
"59fd85f8-31b4-4955-910b-f425edfb205a","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","November 2021","Site Visit Report - basement raft area B, 11.11.21"
"0f0ead40-4edf-4796-a82b-c09d930690ad","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","November 2021","Site Visit Report -  Raft slab grid lines R-L - 24/11/21"
"947f74a9-4ccb-4713-aafb-7b45a32a2cb9","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","November 2021","Site Visit Report - strip footing area A, 30.11.21"
"53d60df4-7126-4ef7-a281-fa0be1e60bea","","folder-progress","pass","","checklist","TRUE","FALSE","Stage 1 - B01","December 2021"
"f5489131-9893-48ef-9149-2bd13c6a48e6","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","December 2021","Site Visit Report - insitu columns, 02.11.21"
"5e9ab3d6-1161-492a-a418-a272e6ef88d8","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","December 2021","Site Visit Report -block formwork area A, 09.12.21"
"4a99ecd5-f337-4778-9ee3-313e7f816691","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","December 2021","Site Visit Report - insitu walls grid V+ and grid 18 to grid U, 10.12.21"
"c91a18fa-2da3-4e87-a681-30d71b412490","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","December 2021","Site Visit Report - insitu columns, 21.12.21"
"42d8bb42-4dff-48c8-839e-911f7020f3bb","","folder-progress","pass","","checklist","TRUE","FALSE","Stage 1 - B01","January 2022"
"33d2c9ae-8619-41c7-9c0c-f9bc2ef8d495","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","January 2022","Site Visit Report - B01 columns, 11.01.22"
"f867d8bd-d92f-4c3e-8351-092582baf66a","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","January 2022","Site Visit Report - B01 columns, insitu joint"
"a6cf26d8-d30e-4dcd-a186-f2dcbe824bb9","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","January 2022","Site Visit Report - Grid T RC Column"
"f22e6c41-87ba-48f2-a445-1b35080e6754","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","January 2022","Site Visit Report - area A, grids 4 to 10 slab"
"321b1107-b245-4378-9fa6-c3daf5b2b00f","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Stage 1 - B01","February 2022"
"311d24e5-4a09-4cff-bc15-35ed2628dcab","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","February 2022","Site Visit Report - strip footing area C"
"8eab276d-529f-47d9-87b0-b7fe13c48d8a","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","February 2022","Site Visit Report - insitu wall grids T and R+"
"88422243-2664-4bb7-9466-03d79d2cbad6","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","February 2022","Site Visit Report - area A or 2 strip footing"
"084871b1-f0e1-487b-b89d-064a896153d1","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","February 2022","Site Visit Report - block formwork area C"
"2650545d-1f06-4150-a0b1-51bb5f38793f","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","February 2022","Site Visit Report - block foundation area A, 14.02.22"
"dfb7c37d-aec9-4a73-bd82-c0a010305682","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","February 2022","Site Visit Report - insitu wall grid L+, grid 12+ "
"4933aba5-5935-445d-8056-238964a95728","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","February 2022","Site Visit Report - insitu column, 22.02.22"
"3727d31f-aebf-4861-8ca9-dfbf1511356f","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Stage 1 - B01","March 2022"
"35006b57-f987-4c06-a5e3-9ef4005241b0","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","March 2022","Site Visit Report - area A foundation part 2"
"8e796eec-2fa4-45d3-9f42-935c4d71bba4","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","March 2022","Site Visit Report - grid 18 between grid L and N"
"26315a8d-2dcf-48fa-87cd-120e34008257","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","March 2022","Site Visit Report - floor beams, grids T to S"
"4ca2a6e4-0b61-4a7e-adab-7c5ae4948a63","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","March 2022","Site Visit Report - insitu walls Grid P, 15.03.22"
"b608b31f-68e0-4cab-a56a-5621ec432e25","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","March 2022","Site Visit Report - area C footing"
"92e5a056-b04e-4256-bd43-6292f53e91f5","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","March 2022","Site Visit Report - Area C grid 1 to 7 raft slab"
"e609074e-be4b-416b-a20e-eb93d5369625","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","March 2022","Site Visit Report - Grid 12+ beam"
"deb2e6c7-b92c-4e18-8bda-22455ccd5a4b","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","March 2022","Site Visit Report - footing for block wall area C"
"68dcba80-44e3-4b0d-90f1-b91b43c33877","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Stage 1 - B01","April 2022"
"6d3b79e9-649c-46a2-b4c7-e39a12d2be63","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","April 2022","Site Visit Report - grid 18 insitu wall grids R to O"
"a4f7a155-161b-4b51-9fc2-55e69d1ed33b","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","April 2022","Site Visit Report - grid S+ insitu wall"
"770c4c51-62a3-4924-8204-d6bc588623f4","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","April 2022","Site Visit Report - area C grid 7 to 13 foundation slab"
"61c4e31d-4b48-4b0a-aef8-bbc2b40a4855","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","April 2022","Site Visit Report - Area D strip footing"
"81f45fab-b25d-4b0b-9c05-06c650f4976e","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","April 2022","Site Visit Report - Area A insitu walls"
"cb36136b-74ce-4891-bce8-251dc92b5912","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","April 2022","Site Visit Report - insitu walls area A"
"a32fba10-75f8-46ae-8b3d-122381e2bf05","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","April 2022","Site Visit Report - beam to grid Q+"
"86f76326-e998-4512-ac37-78e1213104fd","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","April 2022","Site Visit Report - insitu walls Area A"
"e5cddab4-c65f-4c6f-ab05-2432fbcdb3ab","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Stage 1 - B01","May 2022"
"b05d3f6b-6209-4056-9dbf-7753f0952f94","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","May 2022","Site Visit Report - block wall and footing area E"
"4aaa8b74-c4d8-4676-ba83-796943d7d88b","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","May 2022","Site Visit Report - columns area C"
"a15ca637-df7c-435a-9de2-9b0c0227026d","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","May 2022","Site Visit Report - concrete beam area  B grid M"
"51d5d5bb-aaf4-496d-b6fd-b5498f6d3c42","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","May 2022","Site Visit Report - Area A insitu wall Grid 9+"
"defb2ebb-947f-4ecc-9aa7-fe8ffb2c5bcf","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","May 2022","Site Visit Report - area A insitu columns"
"b9e3f600-aa0d-429c-a3be-42d66dd9939b","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","May 2022","Site Visit Report - Raft foundation area D "
"d1d58f2f-206d-41a0-9ff8-620479679586","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","May 2022","Site Visit Report - insitu walls Area A"
"d42b5603-2072-4ce6-8663-d8eeac2af025","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","May 2022","Site Visit Report - suspended slab area A grids V to S+"
"231c80bc-49ce-44a1-af67-7b7c11e04f76","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","May 2022","Site Visit Report - Area E block walls"
"6ad4968b-e279-4b98-8241-82ff5e23285e","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","May 2022","Site Visit Report - insitu columns area C"
"81c8a8c2-d936-4e95-ba33-b7414d782e9d","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","May 2022","Site Visit Report - area C grid 7 to 12 insitu columns"
"f48e9e70-3827-441c-8e46-21b897e4db6c","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","May 2022","Site Visit Report - Area E block wall footing"
"00a749b3-f334-4b3b-a543-9240b61232b8","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","May 2022","Site Visit Report - insitu wall Grid 21"
"34535c40-0962-412b-bc63-ede15712a7a9","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Stage 1 - B01","June 2022"
"1cd68121-0c31-4ef6-a109-03853c0989ff","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","June 2022","Site Visit Report - area C insitu walls Pgrid "
"8aa342ed-63be-4387-9d58-882bfaf8f096","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","June 2022","Site Visit Report - area E&F block walls"
"44c942dd-58e4-4f0c-9d7f-2201a5aaa996","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","June 2022","Site Visit Report -area D grid 12 to 23"
"52fc081f-2085-45d1-870b-e7834e2b15bd","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","June 2022","Site Visit Report - area C insitu walls"
"51951305-8edb-42c6-a0e8-18fd50becc4b","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","June 2022","Site Visit Report - area A level 1 insitu beams"
"52e9438e-eaf9-4100-9ca6-f406ddda8eb5","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","June 2022","Site Visit Report - area B insitu columns"
"a9fe41e2-c946-4437-a1e3-5789566d6208","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","June 2022","Site Visit Report - Ground floor suspended slab grids S+ to R+"
"247b9fea-5e49-45b1-842c-aa85ce0bf445","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Stage 1 - B01","July 2022"
"0b5af5c3-dfc6-4b3b-8a28-b0821ca38af5","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","July 2022","Site Visit Report -insitu beams to area A grids V, Y and 4"
"8cc0d8e7-6a75-47ca-a433-1f7195398f60","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","July 2022","Site Visit Report - area D and E slab"
"7f85798a-a2ec-4406-8b63-5cd1d79de84a","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","July 2022","Site Visit Report - Grid 12 starter remedial "
"a4cfc09e-9ba8-4588-ba1c-e2ab71ab4ce7","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","July 2022","Site Visit Report - area B ground floor grid 12 columns"
"f82f6c69-b966-42ec-9cd7-aa58b9ea1dbb","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","July 2022","Site Visit Report - grid T insitu walls "
"a3cf2761-4bbb-44d1-8a68-14acfd0a833e","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","July 2022","Site Visit Report - Area F grids 20 to 28"
"f1eafc35-e89c-4752-8c16-df666fdd95a9","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","July 2022","Site Visit Report - stitch joints Area D"
"257daa7a-07d3-4883-ba7e-a9b80c2d64a6","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","July 2022","Site Visit Report - insitu wall area C grid 7"
"8f76bf8d-2b68-46b3-b716-e9c612e1fb99","","checklist-sectioned","work-in-progress","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","July 2022","Site Visit Report - area F grid 30 to 36"
"cde42775-0911-4555-8a4e-cfb5816e400c","","folder-progress","pass","","checklist","TRUE","FALSE","Stage 1 - B01","August 2022"
"89e16f63-c354-4682-81a5-67d37f80c2d6","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","August 2022","Site Visit Report - area A grids 13 to 25"
"402b1fdd-586c-4906-ad9f-1fac76993c1f","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","August 2022","Site Visit Report - Ground floor insitu walls grids S+ and R+"
"ad68295c-85c6-46f6-8901-a65adda2e03f","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","August 2022","Site Visit Report -area A suspended floor grids 8 to 13"
"ac278466-c854-4aee-8d20-dd9b7e1ae424","","folder-progress","fail","","checklist","TRUE","FALSE","Stage 1 - B01","September 2022"
"8c26ad0a-9b63-4f97-8960-d37276dc142e","","checklist-sectioned","pass","042ac25afc119df12c93801f1089aa78155431199ca06d23fb4714ff832bc259","checklist","FALSE","FALSE","Stage 1 - B01","September 2022","Site Visit Report - suspended floor area D grids 20 to 34"
"75b91b40-f955-4efa-8882-dfa62fc3b9ef","","checklist-sectioned","work-in-progress","I - C - MV Consultant Site Visit Report","checklist","FALSE","FALSE","Stage 1 - B01","September 2022","MV Site Visit Report - area C insitu columns grids 12 & D"
"7ee06aa8-8e3b-49f7-bf7c-05023bd70801","","checklist-sectioned","work-in-progress","I - C - MV Consultant Site Visit Report","checklist","FALSE","FALSE","Stage 1 - B01","September 2022","MV Site Visit Report - area C grid 7 header beam"
"43b15e49-ec77-4f67-ad1b-a62862bd16eb","","checklist-sectioned","work-in-progress","I - C - MV Consultant Site Visit Report","checklist","FALSE","FALSE","Stage 1 - B01","September 2022","MV Site Visit Report - area B grid T insitu header beam"
"f7cae5d0-f937-435a-bd63-a1d8d84b83e4","","checklist-sectioned","work-in-progress","I - C - MV Consultant Site Visit Report","checklist","FALSE","FALSE","Stage 1 - B01","September 2022","MV Site Visit Report - Area A stitch joints"
"c351a80f-323c-49e2-939b-001c09a3fdbc","","checklist-sectioned","work-in-progress","I - C - MV Consultant Site Visit Report","checklist","FALSE","FALSE","Stage 1 - B01","September 2022","MV Site Visit Report - Area A ground floor nibs"
"2a48a235-74a6-464a-94b4-22074917ab45","","checklist-sectioned","fail","I - C - MV Consultant Site Visit Report","checklist","FALSE","FALSE","Stage 1 - B01","September 2022","MV Site Visit Report - insitu wall first floor grid 10"
"308316dc-21c1-4d3b-b07e-4000927bd4ff","","folder-progress","fail","","checklist","TRUE","FALSE","Stage 1 - B01","October 2022"
"9ada9767-ae43-45c9-a40c-65470e7343b7","","checklist-sectioned","fail","I - C - MV Consultant Site Visit Report","checklist","FALSE","FALSE","Stage 1 - B01","October 2022","MV Site Visit Report - remedial CAN86"
"e6ed183e-7f84-499c-8c00-dfd34993eef4","","checklist-sectioned","work-in-progress","I - C - MV Consultant Site Visit Report","checklist","FALSE","FALSE","Stage 1 - B01","October 2022","MV Site Visit Report - Area C insitu stitch joints"
"1497d9f6-db5c-4940-84c0-5b9a3e49be17","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Stage 1 - B01","Basement - Area B"
"6263d6ee-7e86-4ca4-9363-e7026e1dcac5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Stage 1 - B01","Basement - Area B","Month"
"ce130da6-8f6c-4e7e-a67a-1817b8c835b0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Stage 1 - B01","Basement - Area B","Month"
"fcb9adb6-6b5e-4649-881b-f08255a97054","","folder-normal","fail","","step","TRUE","FALSE","Stage 1 - B01","Ground Floor"
"8900bc41-075f-4ded-943e-1f1376ef80ba","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Stage 1 - B01","Ground Floor","Area A"
