"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"32dd5aa5-4efc-467c-9954-cbe9e1746993","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure"
"24c0ff89-1837-475f-883b-64d2b1d2ef70","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure","Level 1"
"17ff1078-0546-47c0-b6ae-d267062d4fc7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure","Level 1","Structure"
"6c3e80c3-565b-4593-991c-dd6a99801fc7","Child Component(a2cc7f90-222d-41e8-8547-29ba63091be9) -- Component Specified(615f4ec9-6a4b-44ef-b296-ca84a0f15886): DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checklist-sectioned","pass","Structure/Concrete Checklist ","checklist","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB"
"a2cc7f90-222d-41e8-8547-29ba63091be9","Child Component Specified(615f4ec9-6a4b-44ef-b296-ca84a0f15886): DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checkpoint-group","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Component"
"5281bec0-3f49-4d3e-9301-3215e3ff4b99","","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Setting Out/ Formworks","Starter for Precast"
"fa61c392-b573-4e1f-a368-04f96bcbe72a","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Setting Out/ Formworks","Holding down bolt"
"fd1c0e0a-db07-4dca-bab3-2789d832718b","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Concrete Specifications"
"a27c4a8d-2349-42cf-96dd-77d132ac832c","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Concrete Specifications","Concrete type correct"
"dcd6f783-a9f3-43ee-ab0b-8060e2f95582","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Pouring"
"6723499b-e7b9-4369-a483-653d856631bf","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Concrete - Extension of pile to grid 212/ AA-BB","Pouring","Concrete Supply Correct"
"824f8011-efda-4b8b-804a-7c953dccc478","Child Component(6d9d7c39-127b-425b-bc92-dde214db79b9) -- Component Specified(576a8f2a-3d94-41b5-aa09-7e6672d49ee5): DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checklist-sectioned","pass","Structure/Concrete Checklist ","checklist","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC"
"6d9d7c39-127b-425b-bc92-dde214db79b9","Child Component Specified(576a8f2a-3d94-41b5-aa09-7e6672d49ee5): DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checkpoint-group","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Component"
"576a8f2a-3d94-41b5-aa09-7e6672d49ee5","DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Component","Component Specified"
"66101cf3-6a48-416a-bfa3-2b61f043d92d","","checkpoint-group","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Drawing & Instruction 								"
"5194f5e3-d487-4cc0-bc47-bcfc9685de5c","","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Drawing & Instruction 								","Drawing References"
"df55a5bf-7610-4da8-83f4-4a2b88bdaffe","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Setting Out/ Formworks"
"5cc603db-c9c7-4b55-9064-204dfcfc56af","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Setting Out/ Formworks","Survey mark"
"a2cc4d52-c595-45fb-887b-676bb178f44c","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Setting Out/ Formworks","Grids & Offsets"
"6704ac64-ff26-4c77-9b52-967413c1118a","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Setting Out/ Formworks","Datums"
"68553cb2-a656-420a-8404-c0b69f36a6ef","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Setting Out/ Formworks","Dimensions"
"3a0dc73f-d65b-4021-b49d-cfae8ff54434","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Setting Out/ Formworks","Bracing"
"c24a7a09-fd5c-4bc2-bb64-5da031aa7548","","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Setting Out/ Formworks","Rebates and Inserts/Penetrations"
"ecd43ea0-237e-40f3-811f-95f8cf51c5b5","","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Setting Out/ Formworks","Starter for Precast"
"0cdd19f1-ee65-4d8d-b4b7-5ca51d5fcbc7","","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Setting Out/ Formworks","Holding down bolt"
"237a124f-912e-4b8f-ac2b-3f74bf8eed3d","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Concrete Specifications"
"81094c40-5288-4a50-834d-6447afb73e50","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Concrete Specifications","Concrete type correct"
"a28771dc-d4ff-43cf-8f5d-12d78a5618c3","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Pouring"
"7647d275-7823-4c7c-9a4a-ca3074f891e2","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane base to 280EC & 550EC","Pouring","Concrete Supply Correct"
"cdc53216-78a3-4553-8347-354885be65ef","Child Component(bdaedeb9-a3e8-414d-b0dc-599b96cd8e63) -- Component Specified(018165e9-0ef8-4bcf-85a2-740e1dba9b75): DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checklist-sectioned","pass","Structure/Concrete Checklist ","checklist","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212"
"bdaedeb9-a3e8-414d-b0dc-599b96cd8e63","Child Component Specified(018165e9-0ef8-4bcf-85a2-740e1dba9b75): DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checkpoint-group","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Component"
"018165e9-0ef8-4bcf-85a2-740e1dba9b75","DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Component","Component Specified"
"4c37621d-b090-4823-bb6a-a2b0d9e86d8e","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Drawing & Instruction 								"
"ad79f82c-da80-489f-b46a-bf73e1d6783b","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Drawing & Instruction 								","Drawing References"
"a7302971-0a9c-4792-a186-ad7f52fa35fb","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Setting Out/ Formworks"
"a64f1b3b-d90c-438e-9d46-337894a6a0e8","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Setting Out/ Formworks","Survey mark"
"0e7f78b0-b244-4165-b61c-a7c06d5e2918","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Setting Out/ Formworks","Grids & Offsets"
"5103d3c6-5de6-4620-af32-5b3e55930784","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Setting Out/ Formworks","Datums"
"255e2481-7b2a-427b-8b2d-9b495822a7cd","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Setting Out/ Formworks","Dimensions"
"1395411d-39cb-4a41-b0a4-693329a09f42","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Setting Out/ Formworks","Bracing"
"fc76d16d-882c-4c5e-91b4-a8cd7a57bd2f","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Setting Out/ Formworks","Rebates and Inserts/Penetrations"
"7c55fc20-6612-4fbd-af33-08df28e646a3","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Setting Out/ Formworks","Starter for Precast"
"fc5bf3fc-3bfc-4166-b04d-ab972e6e3427","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Setting Out/ Formworks","Holding down bolt"
"759aa7f7-a4b5-4c0a-83be-9a6252a50923","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Concrete Specifications"
"d7df34c3-714e-4fd7-b915-3338227e7d31","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Concrete Specifications","Concrete type correct"
"ea6faaef-46ad-4f6c-94e9-bd0cba71af99","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Pouring"
"970ef60a-d4ce-4f3c-8525-8f1fb93ab45e","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps at grid CC-AA/210-212","Pouring","Concrete Supply Correct"
"1f2ed4c8-c61a-4dc9-a0d1-b23249d4798b","Child Component(cf9e2436-212e-440c-b1e9-8ca8ce357842) -- Component Specified(4165f9e4-a236-49b8-98af-f5ba80cb66be): DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checklist-sectioned","pass","Structure/Concrete Checklist ","checklist","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC"
"cf9e2436-212e-440c-b1e9-8ca8ce357842","Child Component Specified(4165f9e4-a236-49b8-98af-f5ba80cb66be): DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checkpoint-group","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Component"
"4165f9e4-a236-49b8-98af-f5ba80cb66be","DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Component","Component Specified"
"6fcf11eb-64be-44ae-b216-e5670b5adc71","","checkpoint-group","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Drawing & Instruction 								"
"f63d2a38-129c-4fe6-8464-f705bc881867","","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Drawing & Instruction 								","Drawing References"
"e9a026a6-ade5-45da-886b-932495f087df","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Setting Out/ Formworks"
"3d6b618e-b5ad-4925-8e10-5ab8af921819","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Setting Out/ Formworks","Survey mark"
"e06b1132-9703-4ce4-899c-81464ecaa8d5","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Setting Out/ Formworks","Grids & Offsets"
"53618f25-864b-40a4-999f-415692220275","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Setting Out/ Formworks","Datums"
"39a8aed7-8515-467a-bc68-92e3e7e5cfc3","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Setting Out/ Formworks","Dimensions"
"2934b297-9896-488d-9798-5989813f853e","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Setting Out/ Formworks","Bracing"
"e91e81dd-0bf0-43f7-a77f-d365f0552a06","","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Setting Out/ Formworks","Rebates and Inserts/Penetrations"
"e3bcd48a-0a3e-4b0a-a5da-47b3a8337876","","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Setting Out/ Formworks","Starter for Precast"
"1e36869f-6b89-4fa0-ab54-e4c8686c4987","","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Setting Out/ Formworks","Holding down bolt"
"35f8fd0d-34fb-45ba-a858-3f62a410fa95","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Concrete Specifications"
"11d5d8fc-d1a5-4a64-9268-4caadaf1eb2d","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Concrete Specifications","Concrete type correct"
"1f20fb4b-9a90-4b21-b82a-fcf2dc24889e","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Pouring"
"c3f0ab57-9a64-442b-af33-88e81b7bdf16","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Tower crane columns for 550EC","Pouring","Concrete Supply Correct"
"2e00019b-de9c-4295-afe1-a4926b3be0e5","Child Component(718615d2-8790-4582-bf4a-9e9bec17e6fc) -- Component Specified(de9e5e1f-daf6-4a87-8291-10cfc404c499): DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checklist-sectioned","pass","Structure/Concrete Checklist ","checklist","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC"
"718615d2-8790-4582-bf4a-9e9bec17e6fc","Child Component Specified(de9e5e1f-daf6-4a87-8291-10cfc404c499): DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checkpoint-group","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Component"
"de9e5e1f-daf6-4a87-8291-10cfc404c499","DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Component","Component Specified"
"7b765461-155c-478a-b7ff-87180d7eb9ae","","checkpoint-group","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Drawing & Instruction 								"
"2d8836e5-6d43-429c-bf37-45514a4bc666","","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Drawing & Instruction 								","Drawing References"
"356ce6fd-4fc4-47bb-947f-3d6a734aa7d3","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Setting Out/ Formworks"
"c800b364-17a8-45f8-a280-71c5f26c4da2","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Setting Out/ Formworks","Survey mark"
"1740d346-e99e-4928-bf1d-50f47d3a95c5","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Setting Out/ Formworks","Grids & Offsets"
"0b4a71be-aa0a-4be6-8e93-256b142a2e22","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Setting Out/ Formworks","Datums"
"1fe58590-d3a3-46f6-8290-4dabe6b0cd84","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Setting Out/ Formworks","Dimensions"
"3913068f-009a-4bc9-9c58-01a2497d0683","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Setting Out/ Formworks","Bracing"
"ffe0f6e6-df61-4125-bb4f-a6afc39f9de6","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Setting Out/ Formworks","Rebates and Inserts/Penetrations"
"e246a5e9-b740-4569-a60d-1f846d84c7bf","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Setting Out/ Formworks","Starter for Precast"
"f651137f-c8c1-46d3-80ae-15e67994dcad","","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Setting Out/ Formworks","Holding down bolt"
"13e03655-bd98-4335-a604-88f9679cf16a","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Concrete Specifications"
"2c6784bc-d90b-4e3c-b44a-cb0daa7c28fe","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Concrete Specifications","Concrete type correct"
"3a37ea8e-fe63-460a-b53a-77b63f10f97f","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Pouring"
"3a86506e-98a5-458e-b9a7-12213c4b1c0a","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beam at grid 212-210/AA-CC","Pouring","Concrete Supply Correct"
"c00f6b91-b3be-4ef2-af08-95fb3f912cf7","Child Component(2debdd8e-d74e-4674-bdea-2efc17b91586) -- Component Specified(75c7f5ed-87ae-4800-9103-04e0e6c04cc5): DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checklist-sectioned","pass","Structure/Concrete Checklist ","checklist","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210"
"2debdd8e-d74e-4674-bdea-2efc17b91586","Child Component Specified(75c7f5ed-87ae-4800-9103-04e0e6c04cc5): DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checkpoint-group","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Component"
"75c7f5ed-87ae-4800-9103-04e0e6c04cc5","DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Component","Component Specified"
"b11f1eb7-57b2-462b-9c64-e7372a52afd8","","checkpoint-group","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Drawing & Instruction 								"
"9979f75c-433e-4fdc-8dcd-3b443143da2b","","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Drawing & Instruction 								","Drawing References"
"423c61e1-2e66-4ed9-bbc8-a84d36a1b350","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Setting Out/ Formworks"
"70649a87-866a-4583-8cc9-6a0dec9001de","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Setting Out/ Formworks","Survey mark"
"6d33ac38-001e-4668-af15-4cf7c244354f","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Setting Out/ Formworks","Grids & Offsets"
"859aaf40-43ca-4673-9523-9ad86a790bfa","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Setting Out/ Formworks","Datums"
"74110c37-4a26-441b-b457-970490ea24a7","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Setting Out/ Formworks","Dimensions"
"4ae01c47-53f2-4329-a68b-271537012321","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Setting Out/ Formworks","Bracing"
"5096cf9a-7675-4241-a248-7e7a1f6c7a0f","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Setting Out/ Formworks","Rebates and Inserts/Penetrations"
"a92a20b0-49ec-4fd1-9796-454faff917bb","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Setting Out/ Formworks","Starter for Precast"
"6dc2f26c-89ea-4071-a0e8-aa16a91d790f","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Setting Out/ Formworks","Holding down bolt"
"c21175f4-df25-4082-9e7a-c5060ef5da98","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Concrete Specifications"
"c3b7fc24-95b2-4d0a-ba4d-c6ff30f4a4e6","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Concrete Specifications","Concrete type correct"
"f2d736d7-b3fb-429d-ac27-4b1f7d964242","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Pouring"
"bc316297-4bc7-4f64-b8e5-a363290299d8","","checkpoint-status","pass","","","FALSE","FALSE","Structure","Level 1","Structure","Pilecaps & Ground Beams at grid AA-DD/212-210","Pouring","Concrete Supply Correct"
"f004b62e-ebe1-4b0a-ab64-7ef990b10339","Child Component(8181fc40-d0ed-43a2-8833-80a887776171) -- Component Specified(f4cf8608-e99f-4190-9d72-a4a2dfe073ee): DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checklist-sectioned","pass","Structure/Concrete Checklist ","checklist","FALSE","FALSE","Structure","Level 1","Structure","Ground beams and pile caps at grid AA-DD/208-210"
"8181fc40-d0ed-43a2-8833-80a887776171","Child Component Specified(f4cf8608-e99f-4190-9d72-a4a2dfe073ee): DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checkpoint-group","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beams and pile caps at grid AA-DD/208-210","Component"
"f4cf8608-e99f-4190-9d72-a4a2dfe073ee","DataPoint Select(b0d3ebb4-f892-45b9-9abc-8722bd4fd26a) has hidden property unsettable:true","checkpoint-status","not-applicable","","","FALSE","FALSE","Structure","Level 1","Structure","Ground beams and pile caps at grid AA-DD/208-210","Component","Component Specified"
