type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Box Gutter,,,,,,Box Gutter Installation Checklist - Library Roof,,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Box Gutter Brackets: #2,,,,,,,,,,,,
checkpoint,Insulation under gutter: PIR Board - 40mm x 2 layers,,,,,,,,,,,,
checkpoint,Gutter Board: Spandek Zincalume,,,,,,,,,,,,
checkpoint,Box Gutter: 0.61mm Colorbond,,,,,,,,,,,,
checkpoint,Gutter Flashing: Colorbond to match,,,,,,,,,,,,
checkpoint,Inline Sump & High Capacity Overflow,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Gutter Brackets installed correctly,,,,,,,,,,,,
checkpoint,Insulation installed under gutter board,,,,,,,,,,,,
checkpoint,Gutter Board installed,,,,,,,,,,,,
checkpoint,Box gutter installed to sizes as shown in specification and drawings.,,,,,,,,,,,,
checkpoint,Sumps installed to correct locations and sizes as specified and as shown on drawings,,,,,,,,,,,,
checkpoint,Outlets installed to correct sizes.,,,,,,,,,,,,
checkpoint,Overflow outlets installed at each downpipe location and to correct size as indicated.,,,,,,,,,,,,
checkpoint,Rivet spacing for sump / box gutter are adequate,,,,,,,,,,,,
checkpoint,Rivet spacing for pop / sumps are adequate,,,,,,,,,,,,
checkpoint,Area clean and free of debris.,,,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Roof,,,,,,Roof Installation Checklist - Library Roof lift,,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Roof Sheets: 0.48mm Kliplok Shale Grey,,,,,,,,,,,,
checkpoint,Coating Type: Standard Colorbond,,,,,,,,,,,,
checkpoint,Safety Mesh: Galvanised 2mm x 150mm x 300mm,,,,,,,,,,,,
checkpoint,Roof Clip: Galavanised ,,,,,,,,,,,,
checkpoint,Roof Screws: Class 3 without Neo Seal,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Safety Mesh Installed,,,,,,,,,,,,
checkpoint,Insulation installed,,,,,,,,,,,,
checkpoint,Roof clips installed,,,,,,,,,,,,
checkpoint,Roof installed with adequate fall to meet roof profile,,,,,,,,,,,,
checkpoint,Roof installed straight and perpendicular to Roof purlins,,,,,,,,,,,,
checkpoint,Roof has adequate overhang into box gutter / spouting,,,,,,,,,,,,
checkpoint,Roof sheet turned up at high end of roof,,,,,,,,,,,,
checkpoint,Roof sheet turned down at gutter end of roof,,,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Insulation,,,,,,Insulation Checklist - Library Roof Lift,,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Insulation: Roof Sarking,,,,,,,,,,,,
checkpoint,Thermal spacer: 40mm Graded Top Hats to lift core concrete roof,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Insulation to entire roof area,,,,,,,,,,,,
checkpoint,Correctly lapped and joined,,,,,,,,,,,,
checkpoint,No over hang into gutters,,,,,,,,,,,,
checkpoint,Manufacturers recommendations.,,,,,,,,,,,,
checkpoint,Thermal Spacer Located correctly,,,,,,,,,,,,
checkpoint,insulation below box gutter lapped at joins,,,,,,,,,,,,
checkpoint,insulation cut back at sumps,,,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,,,
checkpoint,Materials in good condition with no tears,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Roof Penetrations,,,,,,Roof Penetrations Checklist - Library Roof lift,,,,,,
checkpoint,Flashing Material: 0.61mm Colorbond,,,,,,,,,,,,
checkpoint,Roof Batten Support under back tray flashing,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Penetration: Hole cut to correct size to allow clearance.,,,,,,,,,,,,
checkpoint,Roof sheets whethered correctly,,,,,,,,,,,,
checkpoint,"Soaker flashing lapped, sealed and fixed correctly.",,,,,,,,,,,,
checkpoint,Adequate support under soaker to prevent ponding.,,,,,,,,,,,,
checkpoint,Side and front aprons / upstands formed to correct size ,,,,,,,,,,,,
checkpoint,To fit the purpose,,,,,,,,,,,,
checkpoint,Adequate support around penetration to prevent roof,,,,,,,,,,,,
checkpoint,Sheet from buckling,,,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Eaves Gutter,,,,,,Eaves Gutter Installation Checklist - Library Roof Lift,,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Metal fascia: Novaline,,,,,,,,,,,,
checkpoint,Novaline clips,,,,,,,,,,,,
checkpoint,Novaline External 90 Deg Corner,,,,,,,,,,,,
checkpoint,Eaves Gutter: Quad gutter 115,,,,,,,,,,,,
checkpoint,Eaves Gutter Brackets: Quad gutter 115 External,,,,,,,,,,,,
checkpoint,Stop ends: 115mm Quad stop ends,,,,,,,,,,,,
checkpoint,Downpipe - 0.40mm Colorbond - 100mm dia,,,,,,,,,,,,
checkpoint,Downpipe Clips - 100mm dia Zincalume / Colorbond,,,,,,,,,,,,
checkpoint,Pops - 0.61mm Colorbond - 100mm,,,,,,,,,,,,
checkpoint,Spreader up to 100mm Colorbond,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Spout Brackets installed with fall as per Specification,,,,,,,,,,,,
checkpoint,Spouting installed to sizes shown in spec & drawings.,,,,,,,,,,,,
checkpoint,Outlets installed to correct sizes.,,,,,,,,,,,,
checkpoint,Downpipe installed as shown on drawings and correct,,,,,,,,,,,,
checkpoint,Size and connected to stormwater,,,,,,,,,,,,
checkpoint,Downpipe installed straight and bolted to downpipe clip,,,,,,,,,,,,
checkpoint,Downpipe spreader installed as shown on drawing,,,,,,,,,,,,
checkpoint,Overflow outlets installed at each downpipe location,,,,,,,,,,,,
checkpoint,Outlets installed to correct sizes.,,,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Parapet Wall Cladding,,,,,,Parapet Wall Cladding Checklist,,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Parapet Wall Cladding type: 0.48mm Spandek,,,,,,,,,,,,
checkpoint,Top hat support: 1mm - 35mm,,,,,,,,,,,,
checkpoint,Sarking: Proctor CW-IT,,,,,,,,,,,,
checkpoint,Flashing Material: 0.61mm Colorbond Matt,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Is primary strucutre adequate to support cladding or secondary framing?,,,,,,,,,,,,
checkpoint,Top hats installed at correct spacings to meet Manufacturers recommendations.,,,,,,,,,,,,
checkpoint,Wall cladding fixed to sub frame as per Manufacturer's recommendations.,,,,,,,,,,,,
checkpoint,Wall cladding flashed to make watertight.,,,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Insulated Panel,,,,,,Econoclad Roofing - WOW Upper,,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Panel: MetecnoPIR Econoclad 80mm roof panel,,,,,,,,,,,,
checkpoint,Internal liner colour: TBC,,,,,,,,,,,,
checkpoint,External liner colour : TBC,,,,,,,,,,,,
checkpoint,Fixings: 14G 14 x 150mm with 25mm Dia metal Cylone washer + EPDM comed sealing washer,,,,,,,,,,,,
checkpoint,Roof Safety Mesh: 300 x 150mm 2mm Gal,,,,,,,,,,,,
checkpoint,Ridge Foam Filler,,,,,,,,,,,,
checkpoint,Butyl tape for Ridge soffit flashing,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Internal flashings installed straight and close fitting - joins hidden,,,,,,,,,,,,
checkpoint,Joins and fixings hidden,,,,,,,,,,,,
checkpoint,Butyl sealing tape installed to Metecno Spec to SHS steel member,,,,,,,,,,,,
checkpoint,Panels located correctly,,,,,,,,,,,,
checkpoint,Fixings as per Metecno Spec,,,,,,,,,,,,
checkpoint,Gun grade Butyl sealant to underside lap of panel 6mm,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Eaves Gutter,,,,,,Eaves Gutter Installation Checklist - WOW Upper,,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Metal fascia: Novaline,,,,,,,,,,,,
checkpoint,Fascia Clips: Novaline clips,,,,,,,,,,,,
checkpoint,Novaline External 90 Deg Corner,,,,,,,,,,,,
checkpoint,Eaves Gutter: Quad gutter 150,,,,,,,,,,,,
checkpoint,Eaves Gutter Brackets: Quad gutter 150mm External,,,,,,,,,,,,
checkpoint,Stop ends: 150mm Quad stop ends,,,,,,,,,,,,
checkpoint,Downpipe - 0.40mm Colorbond - 150mm dia,,,,,,,,,,,,
checkpoint,Downpipe Clips - 150mm Dia Colorbond,,,,,,,,,,,,
checkpoint,Pops - 0.61mm Colorbond - 150mm,,,,,,,,,,,,
checkpoint,Spreader up to 150mm Colorbond,,,,,,,,,,,,
checkpoint,Leaf Guard to pop,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Fascia clips installed 950 centres,,,,,,,,,,,,
checkpoint,Spout Brackets installed with fall as per Specification,,,,,,,,,,,,
checkpoint,Spouting installed to sizes shown in spec & drawings.,,,,,,,,,,,,
checkpoint,Outlets installed to correct sizes.,,,,,,,,,,,,
checkpoint,Downpipe installed as shown on drawings and correct,,,,,,,,,,,,
checkpoint,Size and connected to stormwater,,,,,,,,,,,,
checkpoint,Downpipe installed straight and bolted to downpipe clip,,,,,,,,,,,,
checkpoint,Downpipe spreader installed as shown on drawing,,,,,,,,,,,,
checkpoint,Overflow outlets installed at each downpipe location,,,,,,,,,,,,
checkpoint,Outlets installed to correct sizes.,,,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Box Gutter,,,,,,Box Gutter Installation Checklist - WOW Lower Roof,,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Box Gutter Brackets: #3,,,,,,,,,,,,
checkpoint,Insulation under gutter: 80mm insulated panel,,,,,,,,,,,,
checkpoint,Gutter Board: Spandek Zincalume,,,,,,,,,,,,
checkpoint,Box Gutter: 0.61mm Colorbond,,,,,,,,,,,,
checkpoint,Gutter Flashing: Colorbond to match,,,,,,,,,,,,
checkpoint,Inline Sump & High Capacity Overflow,,,,,,,,,,,,
checkpoint,Box Gutter Expansion Join,,,,,,,,,,,,
checkpoint,Leaf Guard to cover sump,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Gutter Brackets installed correctly,,,,,,,,,,,,
checkpoint,Insulation installed under gutter board,,,,,,,,,,,,
checkpoint,Gutter Board installed,,,,,,,,,,,,
checkpoint,Box gutter installed to sizes as shown in specification and drawings.,,,,,,,,,,,,
checkpoint,Sumps installed to correct locations and sizes as specified and as shown on drawings,,,,,,,,,,,,
checkpoint,Outlets installed to correct sizes.,,,,,,,,,,,,
checkpoint,Overflow outlets installed at each downpipe location and to correct size as indicated.,,,,,,,,,,,,
checkpoint,Rivet spacing for sump / box gutter are adequate,,,,,,,,,,,,
checkpoint,Rivet spacing for pop / sumps are adequate,,,,,,,,,,,,
checkpoint,Area clean and free of debris.,,,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Insulated Panel,,,,,,Econoclad Roofing - Entry Roof,,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Panel: MetecnoPIR Econoclad 80mm roof panel,,,,,,,,,,,,
checkpoint,Internal liner colour: TBC,,,,,,,,,,,,
checkpoint,External liner colour : TBC,,,,,,,,,,,,
checkpoint,Fixings: 14G 14 x 150mm with 25mm Dia metal Cylone washer + EPDM comed sealing washer,,,,,,,,,,,,
checkpoint,Roof Safety Mesh: 300 x 150mm 2mm Gal,,,,,,,,,,,,
checkpoint,Ridge Foam Filler,,,,,,,,,,,,
checkpoint,Butyl Tape - for Gutter,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Butyl tape installed for Side / top end apron soffit flashing,,,,,,,,,,,,
checkpoint,Internal flashings installed straight and close fitting - joins hidden,,,,,,,,,,,,
checkpoint,Joins and fixings hidden,,,,,,,,,,,,
checkpoint,Butyl sealing tape installed to Metecno Spec to SHS steel member,,,,,,,,,,,,
checkpoint,Panels located correctly,,,,,,,,,,,,
checkpoint,Fixings as per Metecno Spec,,,,,,,,,,,,
checkpoint,Gun grade Butyl sealant to underside lap of panel 6mm,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
checklist,Flashing / Capping,,,,,,Flashing/Capping Installation Checklist - Roof Entry,,,,,,
section,Material Inspection,,,,,,,,,,,,
checkpoint,Flashing Material: 0.61mm Colorbond,,,,,,,,,,,,
checkpoint,Capping Material 0.61mm Colorbond to match,,,,,,,,,,,,
checkpoint,120mm top hat capping support,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,
checkpoint,Flashings / Cappings: Straight and in correct plane.,,,,,,,,,,,,
checkpoint,Fixed adequately to hold flashing in place and prevent vibration in strong winds.,,,,,,,,,,,,
checkpoint,Adequate lap at joins.,,,,,,,,,,,,
checkpoint,Silicone sealed under laps and where necessary to make waterproof.,,,,,,,,,,,,
checkpoint,Rivets and fixings sealed where necessary,,,,,,,,,,,,
checkpoint,Adequate support to prevent buckling.,,,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,,,
section,Signoffs,,,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,,,
text,Client Representative:,,,,,,,,,,,,
