"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5ef499a4-d132-4797-97cf-92461e2ef9a1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Panels"
"f2590f6c-1903-4a97-b753-f220721dc60a","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-28 21/11 (REJECTED)"
"437d0ca5-6783-4c15-9001-984c99c8a45e","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-29 10/11"
"963f270d-03d5-450b-84e9-2b985fa3149d","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-30 10/11"
"58b307e9-6fdd-47bd-afbb-d70c760a34c3","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-31 30/11"
"ecda77df-12fa-40b1-896a-c07962ed89dd","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-32 23/11"
"47becfb5-f094-4afc-8a13-4235eee76744","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-33 20/11"
"10632fed-4c05-4c67-8085-0d7c6cfcdbba","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-34 20/11"
"cfc5b739-6adf-4d75-bbb3-ee0ee07dbf55","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-35 8/11"
"47e2cb4c-abfe-4a15-8fe5-e2eb472aee61","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-36 8/11"
"f25361ef-2c9d-4c49-80f7-ec6384849cb0","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-37 1/12"
"7d1563bc-e19b-4e4f-956b-71dbfb20e204","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-38 29/11"
"7c4deb08-c070-489d-ab1f-fd69720d4d93","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-39 17/11"
"019e7166-8635-4be1-9adb-d6bf4bfc9f53","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-40 17/11"
"74b8a64d-c113-4390-a47e-134eada1acef","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-41 7/11"
"8c138a46-f4de-41a5-b648-550e11408416","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-42 7/11"
"c88550df-32b1-4398-840c-caf07c4ef975","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-43 4/12"
"fa8093cb-5293-4896-96b5-1369e4db1dfb","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-44 29/11"
"6e3e7e7c-a784-4857-8ac7-14b68edf8525","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-45 16/11"
"f3a05929-4c1f-48f3-8239-8fc07d9f4e34","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-46 16/11"
"72b0c9ad-c764-4ea9-8081-e119c5b09005","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-47 6/11"
"eb8bb788-c30a-4197-a2da-33f3d16aa913","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-48 6/11"
"81685bc8-1277-4f22-b113-cbe2c1699b6e","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-49 5/12"
"81e910be-85df-4191-b1b1-cee874ae0894","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-50 30/11"
"7c62861a-3185-42ac-ae3c-55bb5dd667a1","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-51 15/11"
"237c9ce5-8a46-4510-9c0f-d77445c83084","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-52 15/11"
"5a59e4a7-bb10-43d9-905e-5d7735a9a1fc","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-53 3/11"
"738da03b-eeae-4fc2-8620-7d283eb992dc","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-54 3/11"
"b36ae337-ebac-4920-b251-c88a051fb892","","checklist-sectioned","not-started","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-55"
"9c3ce5dc-dbdc-466d-ba82-bcc2f063f2c6","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-56 1/12"
"70d7b7ee-2401-4feb-9b6b-40d5cb7bc04f","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-57 14/11"
"401691d2-4379-4c75-8ce7-74762adf8084","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-58 14/11"
"55f5a893-1ad8-45ae-a282-4a332731d739","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-59 31/10"
"9139d07b-6996-4593-8c37-f9714965abcb","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-60 31/10"
"d6d8c777-b3b7-4cd8-aefc-8f390509408d","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-61 6/12"
"3cc7b21e-6c50-47b5-9582-51f4cd398287","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-62 1/12"
"ce389f59-8c3e-4f66-89ee-c89c8939b0e6","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-63 9/11 (will be 27)"
"b600d35b-63ff-475f-9e46-9456cbbdfffb","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-64 9/11 (will be 28)"
"cb71124a-9f69-4f43-ae2b-5e099ad1774f","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-65 30/10  (REJECTED)"
"46e4f4fe-42c8-44b9-ba50-421b9360b14a","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-66 30/10 (REJECTED)"
"5f0946f6-c582-4f36-b26c-fe83c1b6fb94","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-65  5/12"
"08841d98-e209-4a34-89fa-ea7f29e46608","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-66  5/12"
"1ccbfe9e-7181-465b-a167-358db6b5d19f","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Panels","P-64 6/12"
