resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,
,step,,,,,,,,G26C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G24C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,G22C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,Level 1,,,,,,,,,,,,
,step,,,,,,NW - Wing,,,,,,,,,,,
,step,,,,,,,Common Areas,,,,,,,,,,
,step,,,,,,,,Common Areas,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,Apartments,,,,,,,,,,
,step,,,,,,,,160A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,159A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,157A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,151A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,152A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,153A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,154A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,155A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,156A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,158A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,SW - Wing,,,,,,,,,,,
,step,,,,,,,Common Areas,,,,,,,,,,
,step,,,,,,,,Common Areas,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,Apartments ,,,,,,,,,,
,step,,,,,,,,163A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,169A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,168A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,167A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,166A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,165A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,164A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,162A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,161A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,Center,,,,,,,,,,,
,step,,,,,,,Common Areas ,,,,,,,,,,
,step,,,,,,,,Common Areas ,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,Apartments,,,,,,,,,,
,step,,,,,,,,186A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,185A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,184A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,183A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,182A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,181A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,180A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,179A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,178A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,177A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,176A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,175A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,174A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,173A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,172A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,171A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,170A,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,NE - Wing,,,,,,,,,,,
,step,,,,,,,Common Areas,,,,,,,,,,
,step,,,,,,,,Common Areas,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,Apartments,,,,,,,,,,
,step,,,,,,,,119C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,117C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,115C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,106C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,104C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,102C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,101C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,103C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,105C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,107C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,108C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,110C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,111C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,113C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,114C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,112C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,109C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,116C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,120C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,SE - Wing,,,,,,,,,,,
,step,,,,,,,Common Areas,,,,,,,,,,
,step,,,,,,,,Common Areas,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,Apartments,,,,,,,,,,
,step,,,,,,,,121C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,123C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,,,Fire Sprinkler,,,,,,,,
,step,,,,,,,,125C,,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,,,Fire Alarm,,,,,,,,
