"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"882d0c44-8e52-4023-b99e-9547e4ce480a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"5755627f-f126-42eb-b15d-dde9b52255e7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Inground"
"b8bf2c51-5b82-4865-bc4d-0698c9e945a2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Inground","PP1"
"5261d809-53bd-4f66-9f13-6ad822e04f67","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Inground","PP1","A-C"
"95228171-c071-4564-a9b8-7a9abb5691eb","","checklist-flat","work-in-progress","Stormwater Below Ground","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","A-C","Stormwater"
"f51ed9ee-2b62-5c81-9128-386c4e303850","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Sewer drainage","Hydraulic Work(s) completed to specification/drawings & Area left clean/tidy"
"fd8e8ec3-7f85-4ee3-a367-049198a1338e","","checklist-flat","not-started","Siphonic Systems","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","A-C","Siphonic"
"f5cc684f-3a91-5bc2-a21e-4a72fd10a771","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Siphonic","Set-Out & Alignment"
"d14a5410-dbfa-5bd4-9408-6e78dc32f969","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Siphonic","Materials type checked & correct"
"a2990185-3505-5a11-9362-5d3b2f835e6e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Siphonic","Structural penetrations completed & checked"
"40cc35b9-0a4f-5d09-a13b-d62ac488a967","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Siphonic","Correct fittings"
"056acfc6-4e0b-59fe-a7c7-8f3924b601e0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Siphonic","Fittings & fixtures"
"c0ea48b7-6b1c-58a6-809a-323b7d19d083","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Siphonic","Fire collars installed"
"7b5cbd7a-2c65-546d-abf7-35f3a9738d59","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Siphonic","Fire penetration caulked"
"efd251a8-e4c6-55ce-87ae-64a0aeb99f2b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Siphonic","Insulation / lagging installed"
"5b74ee39-9225-5946-ba13-1236749f8c78","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Siphonic","Hydraulic Work(s) completed to specification/drawings & Area left clean/tidy"
"7f3995b2-90e6-477a-afb9-63602b79578d","","checklist-flat","work-in-progress","Fire Hydrant Service","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","A-C","Fire hydrant"
"6f0dedb5-7665-5541-b2d9-1a26b85c585c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Fire hydrant","Identification of Services"
"e0650f7f-52bc-5f61-97b3-c83a1e8a70bb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Fire hydrant","Set Out and Alignment"
"f9fa006f-4e43-576c-a798-30cd6532c267","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Fire hydrant","Materials, Joint Type, Fixings and Fittings"
"69b4e394-0f04-55d7-bdd7-f7936b83db6b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Fire hydrant","Fire Collars Installed in Penetrations"
"a67d8a43-369b-56bb-af88-2abe2b550211","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Fire hydrant","Fire Penetrations Caulking & Sealed"
"3ff0c658-9560-5502-baee-5deebd0191f4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Fire hydrant","Backfill Material"
"dd39130c-444b-5ee2-a7f8-0253921d51b3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Fire hydrant","Compaction Test (Paved Areas)"
"dfa7e7d0-51d5-52fe-9446-4cb182f5961f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Fire hydrant","Landing valve installed correct height"
"92c4dbd5-2a97-5410-9161-50fefb04e9e9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Fire hydrant","Storz cap and tag installed"
"24cae5de-aaaa-548f-8b8e-957b01e10a5b","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Fire hydrant","Pressure Test"
"332ce356-33ea-49b4-a9d9-25d0428c5554","","checklist-flat","work-in-progress","Cold Water","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","A-C","Potable water"
"6bcd2ebf-34bb-5b5f-ba00-d5503783a022","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Potable water","Set-Out & Alignment"
"61dbd7d2-fe2b-5b88-8aa2-8ebb81839f00","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Potable water","Materials type checked & correct"
"56698e32-1002-51bf-b552-98b48aedf2e9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Potable water","Structural penetrations completed & checked"
"fd4b2fdc-4895-59ec-a84a-b49d59d63f25","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Potable water","Correct fittings"
"496e7c48-dc84-5771-bed9-59a127d51505","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Potable water","Fittings & fixtures"
"ec860cdb-3250-5b54-acc5-3cef10c555d1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Potable water","Fire collars installed"
"6548404d-aaa2-58ea-8e35-f075ef157da5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Potable water","Fire penetration caulked"
"b91287a7-8e07-52b5-adf0-8128a7984f09","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Potable water","Pressure & Temperature testing completed"
"be359112-986d-574d-949c-3d05e19e9034","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Potable water","Hydraulic Work(s) completed to specification/drawings & Area left clean/tidy"
"ec06eb68-2fee-4514-9dd6-7b5404b52639","","checklist-flat","not-started","Recycled Water","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","A-C","Rain water pressure"
"f6f3c80e-9b25-5a23-9b35-db777976f675","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Rain water pressure","Set-Out & Alignment"
"68106fa1-f4b1-559b-b6e2-c0ce4ec3c2a5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Rain water pressure","Materials type checked & correct"
"ba93da10-4512-5a25-8096-ae86dc4ad6ec","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Rain water pressure","Structural penetrations completed & checked"
"7d8ea878-19ce-54f4-98c9-6ff993fa69e8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Rain water pressure","Correct fittings"
"bf3e624d-5c51-5535-81b0-7667a3d8a93b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Rain water pressure","Fittings & fixtures"
"74cf13b9-19bf-5661-ae9b-518d1e40c5c8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Rain water pressure","Fire collars installed"
"3d119f63-bae5-5473-8bf6-bc0411f228d4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Rain water pressure","Fire penetration caulked"
"93f82e9e-af81-5a42-84cc-fb3723f987cf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Rain water pressure","Hydraulic Work(s) completed to specification/drawings & Area left clean/tidy"
"944bc0d3-8f7e-4b43-87f2-631d8c96371f","","checklist-flat","not-started","Penetrations","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","A-C","Penetrations"
"55f50f8d-d2a1-527d-a8de-eb1bf1cccc60","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Penetrations","Set Out of Penetration Location"
"5dc3973f-39c8-532d-9f9c-c59a72278484","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Penetrations","Approval of Location & Details"
"3452a2e1-2a41-5e86-b525-f67fa6b5cbb7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Penetrations","Non Fire Rated System"
"89133ca0-6923-5c70-b8c8-f3134c468c38","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Penetrations","Fire Collars Installed in Penetrations"
"f0680bfe-fedb-5778-b938-6e74b1a491ef","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Penetrations","Fire Penetrations Caulking & Sealed"
"685b1dbf-560d-5b24-a334-a3fdb6e2dda7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Penetrations","Seals, Flashing, Fillers, etc."
"bc4c3cab-9bd5-5369-808f-68edd9f6db01","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","A-C","Penetrations","Installation of Penetration"
"9e41aa5a-ccba-4df9-ae56-31b5ce8907fc","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Inground","PP1","C-E"
"2565270a-93c7-4b94-bc59-42b9ddd591ba","","checklist-flat","not-started","Penetrations","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","C-E","Setout/penetrations"
"145519e9-1bf2-5042-ba22-8d36e9adfa71","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Setout/penetrations","Set Out of Penetration Location"
"d1f5e0c3-6c29-5800-9950-415f9a9893c4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Setout/penetrations","Approval of Location & Details"
"5ea7b536-b320-5c8e-9e48-fb322319bffc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Setout/penetrations","Non Fire Rated System"
"47b39a93-3269-5b40-8969-2fc74969000f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Setout/penetrations","Fire Collars Installed in Penetrations"
"857c1f06-c0d6-5bcf-a74e-2eb46dd4a020","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Setout/penetrations","Fire Penetrations Caulking & Sealed"
"619665da-8a6d-5420-bf90-9c499ecb8578","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Setout/penetrations","Seals, Flashing, Fillers, etc."
"a626066e-910d-5219-879b-deb41b767b9f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Setout/penetrations","Installation of Penetration"
"bf6fd15f-46c3-41ec-9f24-ac849c60911c","","checklist-flat","not-started","Stormwater Below Ground","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","C-E","Stormwater"
"0908a849-d9f5-5511-924f-6543daf2fcc7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Stormwater","Set-Out & Alignment"
"4b38ca25-04b2-553c-91c9-8bec35fbc64e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Stormwater","Materials type checked & correct"
"01c46dec-5ab5-504b-96b8-8398c7dd9c74","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Stormwater","Correct fittings"
"df4d0411-3fba-5f8b-a789-36f79243eefc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Stormwater","Fittings & fixtures"
"f7ed39e6-ab70-5489-be57-874470fbecdb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Stormwater","Inspection by Authority"
"3ed9ecd0-7098-52f9-a085-62166bacaff7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Stormwater","Hydraulic Work(s) completed to specification/drawings & Area left clean/tidy"
"fd69c3f1-a9df-4e5c-8e76-f7967363ac2f","","checklist-flat","not-started","Below Ground Sewer Drainage","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","C-E","Sewer drainage"
"35daeed8-83bd-5267-84d0-998f8cd85697","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Sewer drainage","Set-Out & Alignment"
"f3752c3b-f23a-5446-96b7-c0fc705289ed","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Sewer drainage","Materials type checked & correct"
"f016c8ba-3df5-504e-bda6-aa9b32df14ba","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Sewer drainage","Correct fittings"
"d172abc1-d843-5ac9-8286-740d5261aa66","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Sewer drainage","Fittings & fixtures"
"da2e9183-a194-5c67-8cde-ac0a5c1003c6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Sewer drainage","Hydraulic Work(s) completed to specification/drawings & Area left clean/tidy"
"7e0c6492-c464-4de4-92be-8fe84d05f2a5","","checklist-flat","not-started","Siphonic Systems","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","C-E","Siphonic"
"a81bda92-f3e1-5952-b068-536cfc95c212","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Siphonic","Set-Out & Alignment"
"4dc92c0a-28fb-5400-9554-b266230cee03","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Siphonic","Materials type checked & correct"
"aab63085-3ba0-53d1-a522-df0ec1711429","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Siphonic","Structural penetrations completed & checked"
"73e93bb5-f0fa-5399-891b-c5e344b838df","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Siphonic","Correct fittings"
"39e25712-925b-5a88-8176-201aa1570bf5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Siphonic","Fittings & fixtures"
"5b337ae9-9970-5490-9c2c-fd388557b9fb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Siphonic","Fire collars installed"
"825b6905-775b-5689-8af4-afe6f0b48308","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Siphonic","Fire penetration caulked"
"625b6ebf-108b-53cf-9e5e-1c6f6f3f7dfb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Siphonic","Insulation / lagging installed"
"43aabc04-ff67-5c35-b215-aedd3f8a5f11","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Siphonic","Hydraulic Work(s) completed to specification/drawings & Area left clean/tidy"
"a43562ad-21b6-4b3d-8d28-52858316c2d1","","checklist-flat","not-started","Fire Hydrant Service","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","C-E","Fire hydrant"
"591df4e6-fa4c-5e4a-af8a-a20247121d3e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Fire hydrant","Identification of Services"
"cf29d508-4958-5d7b-a862-5d27dc144906","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Fire hydrant","Set Out and Alignment"
"22375078-fd87-5269-87ce-1f9708b9e085","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Fire hydrant","Materials, Joint Type, Fixings and Fittings"
"943153b8-4df7-5837-b95b-3d2310bd07bd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Fire hydrant","Fire Collars Installed in Penetrations"
"3f2fb15f-0f2d-5a4d-b15e-d873c937fd8d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Fire hydrant","Fire Penetrations Caulking & Sealed"
"4e326061-e7c3-5dda-b320-c90e7970417c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Fire hydrant","Backfill Material"
"92fe14f7-aaf5-582c-b6dd-da47bb73ed37","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Fire hydrant","Compaction Test (Paved Areas)"
"4f0360d5-403f-5a33-88eb-d86cd36613c6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Fire hydrant","Landing valve installed correct height"
"cf25ceac-e13d-50f7-a218-d800920c85a4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Fire hydrant","Storz cap and tag installed"
"6d1c9180-d1d0-509a-a198-8176b0e83d0f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Fire hydrant","Pressure Test"
"041c8e75-1602-48ca-8a7f-42c26a5d54d0","","checklist-flat","not-started","Cold Water","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","C-E","Potable water"
"ba94cb3d-fb5b-57af-b4cb-4b6796d6abcb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Potable water","Set-Out & Alignment"
"6aa9086c-5274-5d04-b3c8-fb3b8e729ae3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Potable water","Materials type checked & correct"
"4c5e8a7d-6cbd-56e9-9ba7-5c44ddaddccf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Potable water","Structural penetrations completed & checked"
"4e226e36-942e-5c1b-b415-f5142c09b584","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Potable water","Correct fittings"
"ff494a39-1405-5918-ade7-d8a4b55e19c4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Potable water","Fittings & fixtures"
"f7d235b9-1abe-5149-9b9a-5779417dcaad","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Potable water","Fire collars installed"
"71135ccd-2427-5576-9755-f7a3275ad57f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Potable water","Fire penetration caulked"
"05e8eb78-b3a5-5be1-ae65-0cbf89e67b6a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Potable water","Pressure & Temperature testing completed"
"8a4fabb6-0a8f-5b1f-8a39-8a5121cc0165","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Potable water","Hydraulic Work(s) completed to specification/drawings & Area left clean/tidy"
"608c5466-2efe-49ae-a2e7-746db94e3fe6","","checklist-flat","not-started","Recycled Water","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","C-E","Rain water pressure"
"c9e0d852-6567-55d4-b5dc-41cd583bc2c2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Rain water pressure","Set-Out & Alignment"
"66d2f39e-abbe-5352-8e64-66c2f28065c0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Rain water pressure","Materials type checked & correct"
"2f54bf01-ac31-59e3-a128-1ba7fad1ee0a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Rain water pressure","Structural penetrations completed & checked"
"f275a08d-5169-54ba-959d-4bb49f78848b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Rain water pressure","Correct fittings"
"3b10011a-5082-5f07-a63a-fcadece6346d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Rain water pressure","Fittings & fixtures"
"05375937-61f9-5f4c-843a-ef86d06afc03","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Rain water pressure","Fire collars installed"
"e096045f-4aa5-5fad-8998-b9b4ce5d6e45","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Rain water pressure","Fire penetration caulked"
"0d23ffc5-8df1-5b3b-bd7d-99d377b85a88","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","C-E","Rain water pressure","Hydraulic Work(s) completed to specification/drawings & Area left clean/tidy"
"bf5b6c33-2339-4dfa-a8f3-fbb2edd8aeac","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Inground","PP1","E-G"
"ff78e9e4-5e8d-41f7-8f6b-1b03dce7bff6","","checklist-flat","not-started","Penetrations","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","E-G","Setout/penetrations"
"f9406cfc-94a2-5d5c-934a-9d32a5068116","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Setout/penetrations","Set Out of Penetration Location"
"4d337ef2-e18e-5d11-94bd-eab6fb839c67","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Setout/penetrations","Approval of Location & Details"
"026761c7-d655-5169-af08-0be2b5a373ea","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Setout/penetrations","Non Fire Rated System"
"26a97db0-e8af-550f-b955-9879a76726ab","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Setout/penetrations","Fire Collars Installed in Penetrations"
"f60bd030-3c35-5258-b5d5-2320c225291c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Setout/penetrations","Fire Penetrations Caulking & Sealed"
"389b53e4-6215-5d32-bf78-6a9f65072d5d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Setout/penetrations","Seals, Flashing, Fillers, etc."
"83546938-b2da-5ff7-aaec-e2ef0ba1055b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Setout/penetrations","Installation of Penetration"
"b5504342-b3e9-467a-905d-6b547614b28d","","checklist-flat","not-started","Stormwater Below Ground","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","E-G","Stormwater"
"1ab6ffe6-1888-5ac0-a0f8-219d8012e99d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Stormwater","Set-Out & Alignment"
"0411134e-8c69-5c1c-abd4-b047f45845ac","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Stormwater","Materials type checked & correct"
"6c155bbb-00d6-5cb0-9fbd-53bb3ce495d1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Stormwater","Correct fittings"
"1b1343e5-08c5-5fd9-8204-2762739e29ad","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Stormwater","Fittings & fixtures"
"b7233f58-bcc6-5e3b-8680-d2819fda0a06","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Stormwater","Inspection by Authority"
"a605ff0e-d4ca-5346-93a5-c044056cf720","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Stormwater","Hydraulic Work(s) completed to specification/drawings & Area left clean/tidy"
"371df3b5-2a7d-45d9-ae16-bf5fafde6d4d","","checklist-flat","not-started","Below Ground Sewer Drainage","checklist-flat","FALSE","FALSE","Site QA","Inground","PP1","E-G","Sewer drainage"
"1d04651d-d29c-565c-8aa8-0a0fbe584975","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Sewer drainage","Set-Out & Alignment"
"9d17a6eb-2698-5c96-9186-faae4ed47862","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Sewer drainage","Materials type checked & correct"
"3c877238-76f6-58e5-962a-1e0b3bba6ae3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Sewer drainage","Correct fittings"
"d8a1a8be-5d41-5a81-bd9c-cc6273d799d4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Sewer drainage","Fittings & fixtures"
"94b5e531-64d7-5851-b5ad-c641f64713c9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Inground","PP1","E-G","Sewer drainage","Hydraulic Work(s) completed to specification/drawings & Area left clean/tidy"
