"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c77db8a2-1826-4d22-b147-8fb55560ba76","","checklist-flat","no-status-started","734b9d363aedb7dda42c38a805789356110a5ecc0dc38ec6ebe7d6973e97b96f","checklist-flat","FALSE","FALSE","Overall Pre-set"
"053545e0-51cd-467d-9bc7-a6af74626d1a","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Overall Pre-set"
"b167c478-d764-4109-80ec-d795e81b65ba","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","System information:"
"d35f857e-c5a5-484b-a711-b89608d98894","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","SSP Attached"
"f7d2502a-c850-4536-b6cc-3da7997a8e02","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","Task Analysis Attached"
"a5020707-f281-4e7e-a34b-e9c2caecd1dd","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Relevant Drawings Attached"
"ec0c074f-2d12-415d-93c6-6c17067eaf6c","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA"
"1a1c19b0-7be2-421a-9af9-1e4b4d516b62","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","External Roof Areas"
"8157b185-ea3c-49ca-8c99-3c3ecfea5010","","folder-normal","not-started","","step","TRUE","FALSE"," QA","External Roof Areas","RoofSafe Cable Systems"
"23462847-f963-4207-a2d4-f92dfc730c74","","folder-normal","not-started","","step","TRUE","FALSE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 01"
"4b6d9c22-49bb-43a7-8f7b-382b2bbf0a2d","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 01","Pre-Fit Off Checklist - Line 01"
"faa00779-76d0-4d5c-8667-90c6532c68ec","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 02","Pre-Fit Off Checklist - Line 02"
"071b3e05-875a-4641-af42-3eb9c75f7e5c","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 02","Pre-Fit Off Checklist - Line 02","Confirm structure is in accordance to the details provided"
"e0ef99c4-d7d1-4543-81a2-3475e3faec99","","holdpoint","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 02","Pre-Fit Off Checklist - Line 02","EMAIL PM"
"e0f69687-ec7b-4ac6-919a-c22d7174d605","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 02","Pre-Fit Off Checklist - Line 02","Plinths/ bases/post installed in accordance with details provided"
"de1c3df4-8bbb-4759-b470-2f469a1ab52e","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 02","Pre-Fit Off Checklist - Line 02","Photos taken"
"bd64f332-308a-4386-ba1f-f0ae0e27c108","","checklist-flat","not-started","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 02","Fit Off Checklist - Line 02"
"501323bf-18cd-407c-8cba-44c5ade474d3","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 02","Fit Off Checklist - Line 02","Confirm the structure is in accordance with the details supplied by PBI"
"e62d2b43-198e-4077-8883-7c292769331c","","holdpoint","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 02","Fit Off Checklist - Line 02","EMAIL PM"
"a67dad57-e3ca-4e0f-8fc3-84a44e0f7a9c","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 02","Fit Off Checklist - Line 02","Photo taken of line pull test and swages"
"f14fa07f-f9b2-44d7-8158-2614ff39e67f","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 02","Fit Off Checklist - Line 02","Photo taken of Engraved Line Plate / ID Tag"
"8a7d5dbc-8559-4b6c-ab05-89c123717f99","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 02","Fit Off Checklist - Line 02","Video taken of system"
"35cd13a7-4ad8-40ca-ab86-bcb0c5d404d5","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 02","Fit Off Checklist - Line 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"43d3c31a-6315-4033-8adc-4fc7e934fa0a","","folder-normal","not-started","","step","TRUE","FALSE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 03"
"0abcabac-0640-4875-b7a3-9a64b5c4eec4","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 03","Pre-Fit Off Checklist - Line 03"
"30e13e2b-8d0d-4c20-a1a2-fbe73f950f0f","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 03","Pre-Fit Off Checklist - Line 03","Confirm structure is in accordance to the details provided"
"b1c5764a-9e10-40fe-ae0b-fab072a1e03a","","holdpoint","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 03","Pre-Fit Off Checklist - Line 03","EMAIL PM"
"bbab0041-cfb7-4a72-8632-cff86533f7a4","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 03","Pre-Fit Off Checklist - Line 03","Plinths/ bases/post installed in accordance with details provided"
"40478d49-9877-4e47-8a5c-af8dc104523f","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 03","Pre-Fit Off Checklist - Line 03","Photos taken"
"e2d552d8-c580-4dfd-be33-85c4a3340fce","","checklist-flat","not-started","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 03","Fit Off Checklist - Line 03"
"61fb05d7-0794-4af6-b6e1-425e833ef733","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 03","Fit Off Checklist - Line 03","Confirm the structure is in accordance with the details supplied by PBI"
"78c1f484-48cf-4f00-b728-564fa6925785","","holdpoint","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 03","Fit Off Checklist - Line 03","EMAIL PM"
"96455ffd-531f-4b07-8fe9-b2af8388601b","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 03","Fit Off Checklist - Line 03","Photo taken of line pull test and swages"
"c1cdbd45-6051-4b7e-bab0-9dec6872977d","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 03","Fit Off Checklist - Line 03","Photo taken of Engraved Line Plate / ID Tag"
"08c11bfd-01df-4ac7-8680-0734049fc602","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 03","Fit Off Checklist - Line 03","Video taken of system"
"e7f5ae81-f7e3-4245-9ceb-af3be3116570","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 03","Fit Off Checklist - Line 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"b6e000a3-61b2-490d-9853-65f178769cd7","","folder-normal","not-started","","step","TRUE","FALSE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 04"
"72872d0c-7c22-45ff-a63a-c5a88a63a3d3","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 04","Pre-Fit Off Checklist - Line 04"
"ae0f9740-30db-4126-8b9e-109f15adb70a","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 04","Pre-Fit Off Checklist - Line 04","Confirm structure is in accordance to the details provided"
"c8119348-7767-49c6-977e-0e4497c879a2","","holdpoint","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 04","Pre-Fit Off Checklist - Line 04","EMAIL PM"
"602a5ee3-cb6e-4d5c-a42d-883015e407e9","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 04","Pre-Fit Off Checklist - Line 04","Plinths/ bases/post installed in accordance with details provided"
"b8947b6b-ebf0-4d45-91ed-afcd81dc8f77","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 04","Pre-Fit Off Checklist - Line 04","Photos taken"
"359c0155-053b-4e35-809e-04f114d5bad5","","checklist-flat","not-started","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 04","Fit Off Checklist - Line 04"
"ea32aa80-a42f-4333-9b2a-8b049b043baf","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 04","Fit Off Checklist - Line 04","Confirm the structure is in accordance with the details supplied by PBI"
"c2fcf6fc-29a5-4b6f-a305-ff3899567412","","holdpoint","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 04","Fit Off Checklist - Line 04","EMAIL PM"
"b9b3545f-616f-4042-ab6f-1010d4fd5dee","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 04","Fit Off Checklist - Line 04","Photo taken of line pull test and swages"
"aa5022e4-ee46-41a6-a20d-aaa023ac7548","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 04","Fit Off Checklist - Line 04","Photo taken of Engraved Line Plate / ID Tag"
"5744b747-c297-4109-8795-c3e8f6ef1a06","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 04","Fit Off Checklist - Line 04","Video taken of system"
"57253f19-20e3-439b-8ceb-7cc552efc5d9","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Cable Systems","RoofSafe Cable - Line 04","Fit Off Checklist - Line 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"f9394efa-c0dd-4247-ae03-c02392fd76b1","","folder-normal","not-started","","step","TRUE","FALSE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems"
"b57e7870-029a-4cdb-9ba3-3e365cab5455","","folder-normal","not-started","","step","TRUE","FALSE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 01"
"db0d7545-34ff-4b4a-8651-f524f5ec784b","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 01","Pre-Fit Off Checklist - Rail 01"
"8d882110-87ed-4ff5-8b66-7ba4da275e6b","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 01","Pre-Fit Off Checklist - Rail 01","Confirm structure is in accordance to the details provided"
"c7babc2e-e711-46dc-ab49-8b4465e4e0a8","","holdpoint","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 01","Pre-Fit Off Checklist - Rail 01","EMAIL PM"
"dac49e05-fd2c-44b4-ac69-30b6821edb8e","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 01","Pre-Fit Off Checklist - Rail 01","Plinths/ bases/post installed in accordance with details provided"
"3e01324e-f191-421f-90ba-b4e63cbab022","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 01","Pre-Fit Off Checklist - Rail 01","Photos taken"
"c074e644-ba0a-4a94-948e-c35e5d81c6a3","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 01","Rail Checklist - Rail 01"
"a95cb889-87af-43dd-ac7b-83b1f77ae252","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 01","Rail Checklist - Rail 01","Confirm the structure is in accordance with the details supplied by PBI"
"cabd0939-56e6-4f68-abdd-803c45762ebc","","holdpoint","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 01","Rail Checklist - Rail 01","EMAIL PM"
"bc4557b8-1534-400b-aa8b-c0762a999bb2","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 01","Rail Checklist - Rail 01","Photo taken of Engraved Line Plate / ID Tag"
"e1f5b21b-30ed-47c3-824f-4d641714d84c","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 01","Rail Checklist - Rail 01","Video taken of system"
"463b2dcd-e187-40b4-a1ba-f0af82ee0b46","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 01","Rail Checklist - Rail 01","Description input of location / person Rail systems shuttle left with"
"21e23351-1161-464b-9b4f-59b002cafaa2","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 01","Rail Checklist - Rail 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"028cbe42-9301-445d-b7ad-3849ae621a5f","","folder-normal","not-started","","step","TRUE","FALSE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 02"
"a68ad8fd-98f2-488d-bb27-583129f0a6d8","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 02","Pre-Fit Off Checklist - Rail 02"
"8c5b0626-3e10-4133-bf94-e828cfc55fed","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 02","Pre-Fit Off Checklist - Rail 02","Confirm structure is in accordance to the details provided"
"707ce29d-20e5-41bb-ae1f-e5f10f908fdf","","holdpoint","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 02","Pre-Fit Off Checklist - Rail 02","EMAIL PM"
"b5f02dfd-65c9-42a7-8895-2a0eedb39d59","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 02","Pre-Fit Off Checklist - Rail 02","Plinths/ bases/post installed in accordance with details provided"
"86af32e7-306f-4165-9cd9-4e9573d5b519","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 02","Pre-Fit Off Checklist - Rail 02","Photos taken"
"4d1b792c-7d7b-495c-ae29-dbb69e206c33","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 02","Rail Checklist - Rail 02"
"f5824276-ee7e-455f-a223-a3a0a382347f","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 02","Rail Checklist - Rail 02","Confirm the structure is in accordance with the details supplied by PBI"
"8fbaaec2-2716-4a66-af3d-f08f73043cc3","","holdpoint","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 02","Rail Checklist - Rail 02","EMAIL PM"
"fd54e11a-9497-41cd-889d-4f428c5eb7f1","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 02","Rail Checklist - Rail 02","Photo taken of Engraved Line Plate / ID Tag"
"0503f46b-bf37-43dc-9728-339e2be8b10d","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 02","Rail Checklist - Rail 02","Video taken of system"
"b1b652c3-2722-4a46-8d8d-a4635c7728de","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 02","Rail Checklist - Rail 02","Description input of location / person Rail systems shuttle left with"
"563d3afd-7244-4971-9fc4-bc1be5c63665","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 02","Rail Checklist - Rail 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"6e8b907d-721d-4dc2-ad6e-e928b164955a","","folder-normal","not-started","","step","TRUE","FALSE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 03"
"ffd2be13-9b57-43f1-8350-c3d23fcbecb4","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 03","Pre-Fit Off Checklist - Rail 03"
"98fc6413-855f-4272-af73-e21daa5ce282","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 03","Pre-Fit Off Checklist - Rail 03","Confirm structure is in accordance to the details provided"
"5076b295-3499-44ff-b4ba-635538ec8624","","holdpoint","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 03","Pre-Fit Off Checklist - Rail 03","EMAIL PM"
"009c5ef0-0df7-4494-93f7-8f6fd7fac7ad","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 03","Pre-Fit Off Checklist - Rail 03","Plinths/ bases/post installed in accordance with details provided"
"b6be8784-7e0a-4d10-b811-d008bfb2b0ea","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 03","Pre-Fit Off Checklist - Rail 03","Photos taken"
"5cf9937f-864d-4be6-b613-643f96cbaea6","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 03","Rail Checklist - Rail 03"
"40b65873-57d0-44e2-9703-6bdbf793f44d","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 03","Rail Checklist - Rail 03","Confirm the structure is in accordance with the details supplied by PBI"
"72bf5a7e-1725-446e-a1c8-f5ffaa97b007","","holdpoint","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 03","Rail Checklist - Rail 03","EMAIL PM"
"1630751c-63a4-4b77-86f6-5825c5113b6b","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 03","Rail Checklist - Rail 03","Photo taken of Engraved Line Plate / ID Tag"
"a0c16794-74e2-4abd-9cd6-87976137e00c","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 03","Rail Checklist - Rail 03","Video taken of system"
"ac702cfb-e814-4038-bd64-1d7f2cb40f35","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 03","Rail Checklist - Rail 03","Description input of location / person Rail systems shuttle left with"
"8bee6fc0-5afc-488b-a5d8-9fffe154c8a6","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 03","Rail Checklist - Rail 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"7961c2f8-de23-4c87-b324-02cab5367f97","","folder-normal","not-started","","step","TRUE","FALSE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 04"
"a1e7646d-a248-442d-ba19-4facbc8feebd","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 04","Pre-Fit Off Checklist - Rail 04"
"ea710900-aec5-4ab1-bacb-08b623701b93","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 04","Pre-Fit Off Checklist - Rail 04","Confirm structure is in accordance to the details provided"
"3cf33348-d9cd-4356-8e60-a475a164c933","","holdpoint","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 04","Pre-Fit Off Checklist - Rail 04","EMAIL PM"
"f0fa0042-060a-4542-93c5-a2597e3290cc","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","External Roof Areas","RoofSafe Rail FA & Abseil Systems","RoofSafe Rail - Rail 04","Pre-Fit Off Checklist - Rail 04","Plinths/ bases/post installed in accordance with details provided"
