"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d54f83ff-5604-406d-8f7a-a3ce9e621797","Child PS1 Attached(206e2c36-547d-5203-ab88-df2f3782640e): checkpoint-status has incorrect meta.stepType checkpoint-no-status","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"4a01aaff-4be0-57d0-adbc-1a99ed62739a","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"c772cd2f-6139-595a-a1bd-08b64bb7c7f7","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"5dc32ce8-17ee-5536-b2ed-eb83551696ad","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"206e2c36-547d-5203-ab88-df2f3782640e","checkpoint-status has incorrect meta.stepType checkpoint-no-status","checkpoint-status","not-applicable","","","TRUE","TRUE","Overall Pre-start","PS1 Attached"
"a5109eda-2cf8-512e-915c-7047a6c79e14","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"ff5602fc-badc-5e11-8b3a-22b05df69934","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"c8e67a89-9ffc-47ea-8dd4-d69be883798a","","folder-normal","not-started","","step","TRUE","FALSE","QA"
"bebd003b-1f8b-405e-9a4a-9a1d3d30d7fd","","folder-normal","not-started","","step","TRUE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2"
"197446da-1bb8-5bdc-976f-d5701f7af350","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 11","Required number of photo(s) taken of installed anchor(s)"
"35316946-2089-50da-b047-6d9754069ab7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 11","Installed as per PBI drawings supplied and manufacturer's requirements"
"178a86d6-444b-409a-a3a9-9e21ab92c309","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 12"
"de481622-7d9e-53b8-996e-6edd1c2b5138","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 12","Required number of photo(s) taken of installed anchor(s)"
"773a1da4-bbe4-5fe7-bc1c-3357d07b39f8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 12","Installed as per PBI drawings supplied and manufacturer's requirements"
"321bd4fe-5fca-4710-af3d-61c1a6f286b7","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 13"
"8c584de4-26e3-501b-893c-ae71dda868fe","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 13","Required number of photo(s) taken of installed anchor(s)"
"b8b33669-f40e-5d36-9450-6b130aa5c660","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 13","Installed as per PBI drawings supplied and manufacturer's requirements"
"1b802a20-5c3a-487b-9770-564f6b9d57c0","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 14"
"829bcc64-49f6-58cf-9518-31a159440d39","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 14","Required number of photo(s) taken of installed anchor(s)"
"f2c65931-c857-5cdc-b554-232f989b9a4c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 14","Installed as per PBI drawings supplied and manufacturer's requirements"
"798e25dc-89d8-4b15-92e0-8187294cff12","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 15"
"6df34f01-1513-5d50-b3af-8d9b16e17619","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 15","Required number of photo(s) taken of installed anchor(s)"
"abcf3fa4-f083-59ea-8451-65214bdfc969","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 15","Installed as per PBI drawings supplied and manufacturer's requirements"
"a5c53b58-d420-48e1-af6d-e128d40c9ea2","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 16"
"17d6871c-d9af-53dd-8112-3a7ed0fb9b25","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 16","Required number of photo(s) taken of installed anchor(s)"
"9fe660a4-ead4-5590-8690-7ae12b47e9d2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 16","Installed as per PBI drawings supplied and manufacturer's requirements"
"8bda339b-a30f-4764-b32c-8f3e49ef1f84","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 17"
"fc3546e6-50d9-55a6-80d4-9cfc43795d2a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 17","Required number of photo(s) taken of installed anchor(s)"
"d35c434d-a3b5-5800-99ea-6dc846bb5e03","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 17","Installed as per PBI drawings supplied and manufacturer's requirements"
"bbae2c3b-69bc-4a2f-b433-9f89958c496d","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 18"
"bd77a27f-483e-5697-bc8f-3f7b67ec88d6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 18","Required number of photo(s) taken of installed anchor(s)"
"17445c0f-659d-5e34-a25f-92d5ec43058b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 18","Installed as per PBI drawings supplied and manufacturer's requirements"
"3df1b5d0-3875-408f-9df8-bd2e95a1f109","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 19"
"aeb55379-8803-53c1-bcfc-550c230e13ef","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 19","Required number of photo(s) taken of installed anchor(s)"
"7919eb65-ebe6-5176-8e16-68dcc8777268","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 19","Installed as per PBI drawings supplied and manufacturer's requirements"
"f5f5547b-c763-4aa3-b028-9d3b94fda101","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 20"
"f437519a-aaf4-50eb-be8b-d8399e3efe71","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 20","Required number of photo(s) taken of installed anchor(s)"
"abea27d4-323c-5438-b365-2cb67e06edb6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 20","Installed as per PBI drawings supplied and manufacturer's requirements"
"0ecde140-6bbb-4581-a0eb-b6b07c69eb61","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 21"
"38535f57-520b-521a-97b6-68b547a90ead","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 21","Required number of photo(s) taken of installed anchor(s)"
"1dae652f-2252-5563-80b5-3d252af1d9ea","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 21","Installed as per PBI drawings supplied and manufacturer's requirements"
"25ccf32d-397f-4379-a68b-c592e383d177","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 22"
"119ed8e4-605c-51db-a90c-745438199e72","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 22","Required number of photo(s) taken of installed anchor(s)"
"dbd9bce6-e7d5-53db-bfb3-d351458b17e8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 22","Installed as per PBI drawings supplied and manufacturer's requirements"
"d90d4c8c-8ecd-4a95-9f08-da179ae20a83","","folder-normal","not-started","","step","TRUE","FALSE","QA","1No AP Type 02 Fall Arrest Anchors with First up Strop "
"e67642ae-753d-42d4-b062-c4c65dacf1d9","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","1No AP Type 02 Fall Arrest Anchors with First up Strop ","Pre-Fit Off Checklist"
"ec25199a-d46b-583e-9d51-91aaf35ea380","","checkpoint-status","not-started","","","TRUE","TRUE","QA","1No AP Type 02 Fall Arrest Anchors with First up Strop ","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"af8ed728-5e9b-5fee-aa09-01e6d05ef22d","","holdpoint","not-started","","","TRUE","TRUE","QA","1No AP Type 02 Fall Arrest Anchors with First up Strop ","Pre-Fit Off Checklist","EMAIL PM"
"83b50261-7780-5ad1-8f54-49f097a7fb85","","checkpoint-status","not-started","","","TRUE","TRUE","QA","1No AP Type 02 Fall Arrest Anchors with First up Strop ","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"6f19e0e6-c4af-4b95-a8e1-96246bece42d","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","1No AP Type 02 Fall Arrest Anchors with First up Strop ","Fit Off Checklist - Anchor 01"
"f436f889-46f0-5665-93f9-23e947bf1d5b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","1No AP Type 02 Fall Arrest Anchors with First up Strop ","Fit Off Checklist - Anchor 01","Required number of photo(s) taken of installed anchor(s)"
"1e6a516c-36e5-5bc4-b432-c12dade43a76","","checkpoint-status","not-started","","","TRUE","TRUE","QA","1No AP Type 02 Fall Arrest Anchors with First up Strop ","Fit Off Checklist - Anchor 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"e9c48c38-d080-47a6-8e2d-01ff5e15758f","","folder-normal","not-started","","step","TRUE","FALSE","QA","1No Ladder Bracket "
"c8809d27-b55a-4141-9ec4-e07e6222a474","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","1No Ladder Bracket ","Pre-Fit Off Checklist"
"67eb8a59-3d49-5eb6-b553-1253f893574c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","1No Ladder Bracket ","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"b247cccf-f28a-54c2-84f2-92ea2a4f29c8","","holdpoint","not-started","","","TRUE","TRUE","QA","1No Ladder Bracket ","Pre-Fit Off Checklist","EMAIL PM"
"560b4a0d-174c-545d-8814-cbcc3ffa27d7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","1No Ladder Bracket ","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"568b2d94-0d90-4490-92e2-82fc4a5af206","","checklist-flat","not-started","Fit Off Checklist - Ladder Bracket","checklist-flat","FALSE","FALSE","QA","1No Ladder Bracket ","Fit Off Checklist - Ladder Bracket"
"52ebe0e6-0dd1-5969-8c1e-6bf74aa404e6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","1No Ladder Bracket ","Fit Off Checklist - Ladder Bracket","Confirm the structure is in accordance with the details supplied to PBI"
"52e9916a-fb58-55e6-beb6-0cd2e2459f8a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","1No Ladder Bracket ","Fit Off Checklist - Ladder Bracket","Photos taken of installed item"
"20c3803b-bc6a-51a3-ae04-3383e22cca48","","checkpoint-status","not-started","","","TRUE","TRUE","QA","1No Ladder Bracket ","Fit Off Checklist - Ladder Bracket","Height from ground level to gutter"
"ab4155e1-1701-55a6-9ed6-08834d06b85a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","1No Ladder Bracket ","Fit Off Checklist - Ladder Bracket","Installed as per PBI drawings supplied and manufacturer's requirements"
"53722414-75fa-45f8-956b-a60259a94237","","folder-normal","not-started","","step","TRUE","FALSE","Roof Access Requirements"
"afe82fab-86dc-4ace-9ea5-24d70283d76c","","checklist-flat","not-started","Roof Access Requirements","checklist-flat","FALSE","FALSE","Roof Access Requirements","Roof Access Requirements"
"473c3a9a-a99d-5d30-9588-1d26d506958c","","checkpoint-status","not-started","","","TRUE","TRUE","Roof Access Requirements","Roof Access Requirements","Brief description of roof access requirements for Recert Team"
"93abba9f-5e13-4f47-9a15-3d599b34734c","","folder-normal","not-started","","step","TRUE","FALSE","Data Plate & Access Point"
"150a5de1-8db8-4d4a-8854-fbc4b657239f","","checklist-flat","not-started","Data Plate & Access Point (Anchor Points)","checklist-flat","FALSE","FALSE","Data Plate & Access Point","Data Plate & Access Point"
"eaf72a2e-fc61-58a7-873a-ee05796f91ba","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate & Access Point","Details of Data Plate"
"ce467e07-45d3-5b7c-a3df-26ba4d094057","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate & Access Point","1 photo required of Data Plate"
"48b279c0-c4fb-5355-a60d-995fec772e51","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate & Access Point","Details of Access Point"
"771c9feb-bf2b-563f-83ee-e0eccbeb4937","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate & Access Point","1 photo required of Access Area"
"e60e4ccc-501b-4b80-a23c-de703e5aadaa","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Installation Certification PC"
"133cc2c0-c78d-481e-906e-aaff83034a4b","","checklist-flat","no-status-not-started","SYS - PT - Practical Completion","checklist-flat","FALSE","FALSE","Practical Completion"
"ceca831a-247d-58c1-82b7-bbc7c0b10582","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Practical Completion","System installed and ready for review from Project Manager."
"b6b159c9-bd0f-5bf8-a105-0d6d675dd5e6","","holdpoint","no-status-not-started","","","TRUE","TRUE","Practical Completion","Request Review to PM"
"bbd5488a-a55b-5c71-967e-d1cefbea851f","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Practical Completion","Project Manager has reviewed, checked and approved system."
"9774b0bd-2a92-5d04-991c-dcf7f07cb106","","holdpoint","no-status-not-started","","","TRUE","TRUE","Practical Completion","Additional information required"
"f55ab56e-c16d-58be-bed1-d4874a549892","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Practical Completion","PM to send to PBI admin to close out and archive"
"c8e60a51-27bd-5dfb-be48-b75c7449444c","","holdpoint","no-status-not-started","","","TRUE","TRUE","Practical Completion","Send to PBI Admin"
