"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ffc91826-2a7e-419b-a23a-8ab659bba047","","pass","","folder","TRUE","FALSE","Level 1"
"2701d2f6-d571-4134-862f-8cb48238b45d","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 29 Ensuite"
"cb773e40-c5c1-4ec0-894d-46a11fe02612","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 30 Main"
"0eb3a06c-8b76-44ff-b15e-9d2cb6fc8e1e","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 30 Ensuite"
"1512e79c-f692-4ecd-928a-f4aa36818010","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 31 Main"
"5b75ef15-55d9-45e7-a82b-a7ef200a6253","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 31 Ensuite"
"38fe5c0d-1964-44c1-8617-e3324814ea14","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 32 Main"
"f41cc803-2523-4d9c-bb8c-55cfbda04a31","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 32 Ensuite"
"0d1fd566-7a36-4bfd-94e8-a5e0cea57b23","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 33 Main"
"1d07b195-0405-4ac4-b155-629bd2fd3ad3","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 33 Ensuite"
"1f22aa50-4903-4fa8-952f-5d93317bdd6b","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 34 Main"
"24ccf387-9f94-428d-8836-811e434c5eb9","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 34 Ensuite"
"cc7d4c88-87cc-43f9-b5ea-f584cc65c5e4","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 35 Main"
"43d2e8c6-b593-48c4-8a68-e2d69cfbecee","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 35 Ensuite"
"1e1d9965-c4f0-4b24-82c3-f436103cb8ec","","pass","","folder","TRUE","FALSE","Level 4"
"63d927c8-36b0-4bdf-ae28-d5d999efdeb5","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 36 Main"
"651cff6c-104d-456c-a409-ef748ea40155","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 36 Ensuite"
"16183d1e-d9b7-4538-bc71-cab4a1b82825","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 37 Main"
"bcb212ed-1d4e-464d-9eb8-39c8650baad3","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 37 Ensuite"
"aaa1cd80-8f2f-4df8-8636-c74a8586c61e","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 38 Main"
"dd062ae9-d4cf-48b8-818d-b09533c3445f","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 38 Ensuite"
"ad11dd5f-a36a-468e-8018-c7c579af4dbf","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 39 Main"
"6f9a6440-b058-4ddd-89e7-c4aadb8b294d","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 39 Ensuite"
"fa70b0bd-500d-47e2-b917-e3499bff5b7a","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 40 Main"
"eb18f643-daf3-4475-9bd7-f4da77623455","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 40 Ensuite"
"671e04cb-7879-4377-9c3b-189e15beede5","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 41 Main"
"a8b4e0a9-7f1a-4914-ad3a-db9a176fb3f8","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 41 Ensuite"
"156a23b4-659e-408b-a134-b1313637aaa5","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 42 Main"
"ceb6c8c1-96a9-4482-bc47-aaf5846ca33b","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 42 Ensuite"
"5b5efaa4-4686-4510-a1e2-3e6e5547a48b","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 43 Main"
"3b83a6c6-41c3-4ccc-8b35-a2cf10712547","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 43 Ensuite"
"5a970994-4506-4970-9371-dc864866cd01","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 44 Main"
"0193b4e9-814a-40e1-b748-45dffe7a78b1","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 44 Ensuite"
"e389ee67-901e-46a9-ada9-bd2803ffcd7e","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 45 Main"
"70a7f85e-8a20-4c85-b3f6-12c93f095734","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 45 Ensuite"
"370b401f-31a9-4c9a-be43-0fa2f4ee197b","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 46 Main"
"8bd856af-293b-464a-be70-a1065e7bb985","","pass","QA - Showers","checklist","FALSE","FALSE","Level 4","Apt 46 Ensuite"
