"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fbb47acb-ae89-41db-925a-340bfb2a535a","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades"
"49ad1a19-958f-40d7-ad0d-2fbcfef0c168","","folder-normal","not-started","","step","FALSE","FALSE","Bathroom Upgrades","Level 1"
"cb03a7a6-7aee-4ffc-86ea-3482495aeb0e","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 20","Sanitary Drainage"
"23044dff-3253-45fb-b8b4-7b004d46fd48","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 21"
"d99eef67-f828-4fa0-9dc6-d59ab1e103ff","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 21","First Fix"
"377cdab2-c785-4de7-b2c2-94f5184b1085","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 21","Second Fix"
"9eb670ab-7169-4bcf-b005-8b7333c1c9b1","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 21","Sanitary Drainage"
"731e2197-9433-48d5-a17d-409f3ae3672b","","folder-normal","not-started","","step","FALSE","FALSE","RWO – (Rainwater outlet)"
"48c9ec6e-d30f-400b-bec1-8f03c24d762d","","folder-normal","not-started","","step","FALSE","FALSE","RWO – (Rainwater outlet)","Level 2 Carpark"
"5c47fd91-4132-400f-8218-37be0fb1f1ae","","checklist-flat","not-started","First Fix","checklist-flat","FALSE","FALSE","RWO – (Rainwater outlet)","Level 2 Carpark","First Fix"
"1afd27f5-2452-4b21-960d-105ae2954bf8","","checklist-flat","not-started","Mains checklist","checklist-flat","FALSE","FALSE","RWO – (Rainwater outlet)","Level 2 Carpark","Mains"
"361de83c-8c8c-4c54-a1ca-0e7b5243ed70","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","RWO – (Rainwater outlet)","Level 2 Carpark","Second Fix"
"51e4c5a5-c849-4494-b55b-ddbc621cc8b5","","checklist-flat","not-started","Sanitary Drainage","checklist-flat","FALSE","FALSE","RWO – (Rainwater outlet)","Level 2 Carpark","Sanitary Drainage"
"5ffc8d12-49d6-496d-ae14-64dcc000573f","","checklist-flat","not-started","Pump Commissioning","checklist-flat","FALSE","FALSE","RWO – (Rainwater outlet)","Level 2 Carpark","Pump Commissioning"
"c08973e9-d7de-44ff-a970-fb6e13685745","","folder-normal","not-started","","step","FALSE","FALSE","RWO – (Rainwater outlet)","Level 3 Carpark"
"138ec393-7d68-40f7-aa4f-3c12b861e65a","","checklist-flat","not-started","First Fix","checklist-flat","FALSE","FALSE","RWO – (Rainwater outlet)","Level 3 Carpark","First Fix"
"8971d9af-86f0-4170-9e6f-605f483ddb84","","checklist-flat","not-started","Mains checklist","checklist-flat","FALSE","FALSE","RWO – (Rainwater outlet)","Level 3 Carpark","Mains"
"e6abda60-41fd-46be-a34b-bd9fcb04ff15","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","RWO – (Rainwater outlet)","Level 3 Carpark","Second Fix"
"9f0c1224-d569-402f-8cd7-75bdc3d62d16","","checklist-flat","not-started","Sanitary Drainage","checklist-flat","FALSE","FALSE","RWO – (Rainwater outlet)","Level 3 Carpark","Sanitary Drainage"
"d4cf2ad0-3a38-4f09-b5cd-87ffc9485aad","","checklist-flat","not-started","Pump Commissioning","checklist-flat","FALSE","FALSE","RWO – (Rainwater outlet)","Level 3 Carpark","Pump Commissioning"
"91ae5eac-2900-4e04-9ea6-3173bef49ac3","","folder-normal","not-started","","step","FALSE","FALSE","Plant & Pump Rooms"
"f74aab9e-39e8-4a01-82e0-ff219230c754","","folder-normal","not-started","","step","FALSE","FALSE","Plant & Pump Rooms","Level 22 Plant"
"3fa7bf96-b742-492d-bb3d-8b769e1e2e6b","","checklist-flat","not-started","First Fix","checklist-flat","FALSE","FALSE","Plant & Pump Rooms","Level 22 Plant","First Fix"
"88a9fce3-c632-43ba-9f1d-33334c2be714","","checklist-flat","not-started","Mains checklist","checklist-flat","FALSE","FALSE","Plant & Pump Rooms","Level 22 Plant","Mains"
"4eaf39e8-fc55-4c23-818a-45e808b5f264","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Plant & Pump Rooms","Level 22 Plant","Second Fix"
"e195cd75-8841-4f58-a8da-4e88fa292a69","","checklist-flat","not-started","Sanitary Drainage","checklist-flat","FALSE","FALSE","Plant & Pump Rooms","Level 22 Plant","Sanitary Drainage"
"9cc07a3e-ea5c-41a4-87be-4e83ef8881e3","","checklist-flat","not-started","Pump Commissioning","checklist-flat","FALSE","FALSE","Plant & Pump Rooms","Level 22 Plant","Pump Commissioning"
"435dc92a-4d95-4b77-bd2f-2a16255c8208","","folder-normal","not-started","","step","FALSE","FALSE","Plant & Pump Rooms","Level 2 Pump Control"
"d1bffff4-b0e5-472b-a33d-5a50479c50e5","","checklist-flat","not-started","First Fix","checklist-flat","FALSE","FALSE","Plant & Pump Rooms","Level 2 Pump Control","First Fix"
"345c55f4-b17d-48b2-bda4-f8a4c7fbcbb6","","checklist-flat","not-started","Mains checklist","checklist-flat","FALSE","FALSE","Plant & Pump Rooms","Level 2 Pump Control","Mains"
"2684fe04-b707-4050-8aeb-89a9dc572ed6","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Plant & Pump Rooms","Level 2 Pump Control","Second Fix"
"953d1b11-6ebe-4492-a68a-64a30ca3e9af","","checklist-flat","not-started","Sanitary Drainage","checklist-flat","FALSE","FALSE","Plant & Pump Rooms","Level 2 Pump Control","Sanitary Drainage"
"40945a6f-874c-4b04-9c5f-49c2e19850a4","","checklist-flat","not-started","Pump Commissioning","checklist-flat","FALSE","FALSE","Plant & Pump Rooms","Level 2 Pump Control","Pump Commissioning"
"f5d7bde3-55dc-4d50-9f66-7ecd8f418cfe","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Risers"
"3a15eec1-5392-4591-aa67-a102dc5992e0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Risers","Booster Hot Main"
"5c23ddfd-67e6-4a14-9233-fb72465707df","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Risers","Hot Return"
