"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9aeeb75e-2990-4433-abb7-04b602991abd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Multi-Deck Car Park"
"ac62c71a-1631-46a1-bcff-3e4936234cdb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Multi-Deck Car Park","Level 1"
"131c15a9-6a27-4bbf-a72a-2c8cf5f13f4f","","checklist-sectioned","not-started","ITP-212 Testing and Commissioning","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning"
"4b34daeb-291a-5a8a-a866-bf29b0457a8f","","checkpoint-group","not-started","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Safety"
"78aebfdb-8106-5664-8281-8dcae047455c","","checkpoint-group","not-started","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Before Starting"
"27c900a7-de29-5911-8378-3391fcf1bc2c","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Before Starting","Correct test equipment to complete the task"
"e49a61e0-e5ba-54e9-8fc4-619e9298b6f4","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Before Starting","The test equipment / multimeters etc must display current calibration information"
"cfed6c77-645e-543e-9b84-66ce0c1a7cd5","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Before Starting","Ensure the electrician who is to perform the works has been trained on correct operation of test equipment - multimeters"
"72b44caa-e80d-5b18-99c2-6dc4fd846804","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Before Starting","Ensure the electrician who is performing the works is familiar with the installation - If required walk them through the proposed work zone"
"5a736afc-9a7f-56da-bd03-f2b0fc2254ba","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Before Starting","Ensure the electrician performing the works has the latest redline marks up available and can easily identify circuit arrangements"
"e56be619-5600-5c40-976b-184955c578b5","","checkpoint-group","not-started","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","De-Energised Testing"
"e623315a-888a-5578-bb0a-47a9c0a14aaf","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","De-Energised Testing","Visual Inspection"
"a0e47c76-721a-53d2-800b-d6b763403c02","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","De-Energised Testing","Earth Continuity Resistance"
"2c83daf6-f0e5-52c2-b219-6a50677b2ae3","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","De-Energised Testing","Insulation Resistance"
"e9f068ce-b24c-57f3-ac0b-8b401cea8d2a","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","De-Energised Testing","Polarity"
"67ea4295-23cf-5bab-a68d-52ae4e4a6a5b","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","De-Energised Testing","Correct Circuit Connections"
"c0136999-f413-5d22-95a9-21ae52441de0","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","De-Energised Testing","Earth Fault Loop Impedance"
"282f1ceb-71f0-54c7-a5c8-10d3b4536824","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","De-Energised Testing","Dead testing complete"
"0435d1a5-a598-5399-bb38-ef751162b1bf","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","De-Energised Testing","Upon completion of 'dead' testing present all documentation to Site supervisor for approval"
"5d08a5f3-43de-5118-a410-1ab4a0c994a2","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","De-Energised Testing","Submit test results for review with site management"
"3b719c29-7d31-5d35-a998-af09b64d0a2e","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","De-Energised Testing","Site supervisor reviews ITC for completeness."
"eee8b78f-57b0-52d3-9d56-488bc4dfdd6c","","holdpoint","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","De-Energised Testing","Permit Reviewed"
"bd617c73-bd9a-50d1-b06b-eef96f785329","","checkpoint-group","not-started","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Energised Testing"
"997b0737-46a3-5a83-b8cb-b0c7bff42264","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Energised Testing","Test For Voltage"
"0279ba33-dc1e-5345-b7c2-0352c4fd08d3","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Energised Testing","Phase rotation"
"a587619c-4f74-5e12-aadb-a021da11ab64","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Energised Testing","Earth Fault Loop Impedance"
"a4e88117-5a97-5ca0-9c71-57611cbc20e3","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Energised Testing","Operation of Residual Current Devices"
"adf7b65c-6756-5f7c-8140-62be62f64fd0","","checkpoint-group","not-started","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Final Inspection"
"22c7f02c-7c14-504f-936a-2140c38a7c74","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Final Inspection","At works completion confirm all circuit schedules are complete & correct."
"b800359a-448b-5baf-bcac-ee50193f2968","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Final Inspection","All circuit descriptions are clear & worded to be easily understood."
"d7e6dde1-8df6-5d6c-95ae-391ac200b0a8","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Final Inspection","Any circuits not tested remain disconnected from circuit breaker & terminated in BP connected."
"b890d0ca-ab4b-5e50-bc9e-8d2e0cfda47f","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Final Inspection","All equipment has been labelled in accordance with project requirements, and labelling aligns with as built drawings."
"2158b00c-1136-5692-be9a-86ad1ee871eb","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Final Inspection","Ensure that any changes made during testing which effect as built documentation are captured via RED pen mark up on drawings."
"be1857cf-bf29-51ff-a2ca-1beeaf37896d","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Final Inspection","Compile list of any incomplete works or defects which require rework."
"f89f2e03-fd42-533f-8f3d-e270ac69cc9b","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Final Inspection","Reinstate all switch board covers, doors and panels. LOCK THE SWITCHBOARD DOOR & CHECK ALL OF THE ABOVE"
"5add63ab-f4f2-5e6b-b5e5-d7bbfa00ca6d","","checkpoint-group","not-started","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Completion"
"ec460fd1-141f-5b0f-a4cd-e476efeb8b14","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Completion","Documentation - Once complete:"
"cd217987-9ec9-5e31-a47c-66fdadc17998","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Completion","Fredon site supervisor shall review all documentation"
"35f4ab26-1dc1-59f4-b709-90fb3cc717ba","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Completion","Fredon Project Manager to provide certificate of testing and compliance Certificate of Compliance"
"11671c0c-e03f-458f-8426-2929cae60b74","","checklist-flat","pass","ITC-216.1 In-Slab Works","checklist-flat","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITC-216.1 – In-Slab Works - Level 1 - Pour 2"
"717a7785-4736-5024-b526-766e99695ad4","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 – In-Slab Works - Level 1 - Pour 2","Attach any relevant photos & documents"
"de6b9ea8-e95b-554d-b5e6-ed8e96a6efa9","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 – In-Slab Works - Level 1 - Pour 2","No Structural Implications"
"b7799af2-4d19-5408-950b-d6b6bad7451b","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 – In-Slab Works - Level 1 - Pour 2","Marked Out Correctly"
"3f03af17-7abb-53fd-9107-954d9c339e17","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 – In-Slab Works - Level 1 - Pour 2","Glued & Tied Securely"
"39298c5e-3dc7-5b14-8ca9-53a044beb7c6","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 – In-Slab Works - Level 1 - Pour 2","As Installed Drawing Attached"
"3eeffa85-0581-576b-8470-61020c7411dd","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 – In-Slab Works - Level 1 - Pour 2","Conduit Ends Capped"
"a5c75e1b-f59e-5419-8a4e-519e3bd384d4","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 – In-Slab Works - Level 1 - Pour 2","Signed By Installing Tradesman"
"98cbf1a4-3067-5446-a018-b226bc4d9c9d","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITC-216.1 – In-Slab Works - Level 1 - Pour 2","Ensure photos are taken"
"00b64027-f921-4084-927a-c2f08de384da","","checklist-sectioned","pass","ITP-216 In-Slab Works Installation","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2"
"e2356a8f-d209-59ac-85aa-504f93268325","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Coordination"
"8e57f676-a86a-51a1-b691-478e069a32ab","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Coordination","Ensure that all new installations have been coordinated with other services, both new and existing"
"625989bc-118b-5636-9de1-bbc63cb7161b","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Coordination","Prior to installation submit conduit shop drawing for review to the satisfaction of structural engineer"
"18c52cca-69d3-5fec-ac68-a50df809bdf5","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Metering / Setting Out"
"b883e25d-51c4-5e45-b77a-8353f0f3ba64","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Metering / Setting Out","Ensure that the latest service drawings are being referenced"
"fe5fef8d-d772-5d7f-ae20-c111836dd363","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Metering / Setting Out","Ensure that the latest coordinated drawings are being referenced"
"b2b91a41-4ea9-5dbc-9c84-1592a07a2223","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Metering / Setting Out","Ensure correct datum points are identified confirm datum points with building works supervisor. Use correct set out measurement tools and equipment"
"7233f663-32a8-5422-8d95-b32c28dc86d6","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Metering / Setting Out","Engage certified surveyor for critical set out works"
"1b4eecdf-f473-5f02-a3ed-bfe5fe55cfb6","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Conduit Selection"
"6e8e88b8-e51c-50f1-afb5-0ef292e285cf","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Conduit Selection","Identify circuit to be installed, confirm circuit cabling requirement. Select conduit size accordingly"
"fbd863a1-ed3f-5bc8-8da3-8d4cb7551d75","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Conduit Installation (General)"
"5976d80b-446e-5c8c-b5b7-13ed4874cf4a","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Conduit Installation (General)","Conduit to be measured and cut using correct tools"
"ac252787-41f8-514c-83f8-f783e74c98b8","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Conduit Installation (General)","All conduit bends to be sweeping using bending spring. Or large sweeping proprietary bends"
"81765cad-3a12-51a2-88a0-e47eed912798","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Conduit Installation (General)","All joins to be glued using PVC jointing cement"
"1b6c1d26-a26d-5aa8-80d7-77e201b96af8","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Conduit Installation (General)","All conduit boxes to be correct type with correct number of entry points i.e. 2way, 3 way T, 4way"
"986a27e9-9444-57a0-afd4-9805b948a73a","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Conduit Installation (Fixing)"
"db5a08f8-1b12-5cff-8af0-b9913bc873f0","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Conduit Installation (Fixing)","Ensure entire conduit installation is fixed to steel work using tie wire"
"8c2379d2-6d6c-52d5-8387-8f56f84d900b","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Conduit Installation (Fixing)","Conduit should be tied to bottom mat of steel"
"bbcfad70-086b-5171-9c6e-16011ac3a79b","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Conduit Installation (Fixing)","Ensure conduit installation is supported from deck over entire length"
"504e0c34-604b-5222-8df6-9468e57146d2","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Cast In Items"
"95f282ca-021e-582d-9766-85ae5038a208","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Cast In Items","Ensure that the void/materials are fixed securely at its final location with the correct dimensions to allow the final equipment to be installed at FFL and Adjacent to walls Floor Boxes & Cast in Light's etc"
"049884c2-6d76-5165-ba2c-3867af49b8bf","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Conduit Installation (Covering)"
"b7f09b9d-edf1-5efd-9043-e9ece439243e","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Conduit Installation (Covering)","Ensure sufficient concrete cover can be achieved"
"caf8becb-1cbd-590b-bb25-ebc43eb361ff","","checkpoint-group","not-applicable","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Earthing"
"9039113e-f428-5b0e-b475-589581ef5b3d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Earthing","Ensure that if the slab may be used as a floor for showers and bathrooms have an equipotential bond to the steel reinforcement."
"050efeae-f1e4-53a0-b6d1-66aa27944960","","checkpoint-group","not-applicable","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Concrete Pour"
"917dc5a9-41be-5100-a7e3-37ac56fd73a7","","checkpoint-status","not-applicable","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Concrete Pour","Observe concrete pour with particular attention to critical area"
"f96d999f-5246-5f12-a8b7-c7658a0b160b","","checkpoint-group","pass","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Final Inspection"
"0c01754e-382e-506a-bc2b-43c8943a4bb8","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Final Inspection","Ensure that all changes made to the original drawing have been marked and noted on the Working Drawing located in the Site Office. These drawings MUST be kept updated for use as As built drawings."
"95d36b45-c782-5436-929c-df1dca302603","","checkpoint-status","pass","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2","Final Inspection","Cross check and verify that the As Built Drawings are Complete and Correct"
"4f0c702c-e3f9-4294-9f1c-638de5812a6b","","checklist-sectioned","not-started","ITP-222 Horizontal Cabling","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling"
"2749396a-2b94-5d3b-b814-c89e38d32758","","checkpoint-group","not-started","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Coordination"
"904103a7-fb9a-5ec1-8754-acd36256c2fd","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Coordination","Please attach marked up drawing - Please take photo of title block"
"06ce9f05-39da-52f6-94dd-d2a6be21aa29","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Coordination","Ensure that all new installations have been coordinated with other services, both new and existing"
"14e12ea4-d62a-5e21-b592-ac98d6451f12","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Coordination","Ensure that all new installations numbering and labelling systems meet specification and have been approved by the client"
"72afbac3-a6e4-5b92-b80b-48cd8bf38df5","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Coordination","Prior to installation submit numbered Communications shop drawings for review to the satisfaction of services engineer"
"f86bb226-27fe-5b84-a048-88390124117a","","checkpoint-group","not-started","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Horizontal Cabling Rough-in"
"eb67de25-d83f-5dfb-ae91-0432e559cde3","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Horizontal Cabling Rough-in","Ensure that the latest services and coordinated drawings are being referenced"
"e0a0e453-3c52-5688-ae75-ade2c3281b22","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Horizontal Cabling Rough-in","Ensure that the latest coordinated drawings are being referenced"
"505bfca8-cf5c-5bb3-b330-dd9ad3edfbd0","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Horizontal Cabling Rough-in","Ensure the cable does need exceed manufactures bending radius and is segregated to other services as per AS S2009:2013"
"5fa334d9-6ca7-5df8-8bc1-22e632f791d5","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Horizontal Cabling Rough-in","Ensure the cable has adequate support and the pathway is less than 90 m including service loops & goose necks before drops"
"886bc078-f3df-5707-ad90-c021d37f9a00","","checkpoint-group","not-started","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Visual Inspection of Rough In"
"e0e7f7bf-525a-565e-b875-6807d5896cfe","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Visual Inspection of Rough In","Visual inspection of rough in carried out to ensure completion."
"a9f968b7-4a19-552d-a2e2-fbb0391bda3d","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Visual Inspection of Rough In","All relevant drawings checked to ensure that all services have been allowed for."
"115a9b41-bf79-566b-994e-082f0a94127d","","checkpoint-group","not-started","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Cabinet"
"fb2c0f54-d9b0-5c36-bb43-92d495cb9ab6","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Cabinet","Ensure Cabinet Layouts are installed to the latest drawing layouts with door swing and clearances considered"
"55110e0c-f0f0-568b-a5ad-0eb5af3ad376","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Cabinet","Ensure cabinet is secured and and all accessories, panels and management installed correctly to latest RU Layout Drawings"
"f1330592-1c5c-5d3c-8d8b-30f0dc5011f7","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Cabinet","Ensure all shielded equipment is earthed and the electrical contractor has supplied an earth with a maximum resistance of 0.5Ω"
"9ab4780f-410f-50bb-ac98-db4ad90117d4","","checkpoint-group","not-started","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Horizontal Cabling Fit-off (Field)"
"f7762113-6ec3-5a9e-a2d7-7f3d6f5fe511","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Horizontal Cabling Fit-off (Field)","Ensure that all Field End Cabling has been labelled, terminated and is level to other services"
"d3ddfb65-fc8c-5387-8680-6533a58cba49","","checkpoint-group","not-started","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Horizontal Cabling Fit-off (Communications Room)"
"8e3d1451-2584-51d9-b407-bf8be6d54c9e","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Horizontal Cabling Fit-off (Communications Room)","Ensure that cables are bunched into their final looms and dressed throughout the communications room to individual patch panels"
"29287ab2-3c5a-59ac-a101-272b47704b06","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Horizontal Cabling Fit-off (Communications Room)","Ensure that all cabling is terminated according to communications rack lay out drawings"
"aa76abff-1f4d-5d0b-969c-b8a7bf0d91df","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling","Horizontal Cabling Fit-off (Communications Room)","Ensure that all cabling is terminated has been labelled"
