"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"defca4e3-b157-4318-a93c-5666c56aa46f","","checklist-flat","no-status-started","93bd1be2dc3f7d66098628adff5b0a88d6a562baf6b97b6716aee51438f745bf","checklist-flat","FALSE","FALSE","Job Details"
"d4906510-4a4d-4610-97d5-caf1fd84d43e","","folder-normal","work-in-progress","","step","FALSE","FALSE","Health & Safety"
"af968c36-a2a6-4e57-a420-4d687f2dd8b0","","checklist-flat","no-status-started","df00e11d689b0cd5fdda29373d1dc053d0812dccb7e91a591d365a6a64c0011e","checklist-flat","FALSE","FALSE","Health & Safety","Prestart H&S Documents"
"304d9673-8d4d-476c-af3c-c83984af6dcd","","folder-normal","work-in-progress","","step","TRUE","TRUE","Health & Safety","Daily/Weekly H&S"
"b12caacf-178f-42b6-b2e5-3e5a5c2b53ac","","checklist-flat","work-in-progress","H&S - Toolbox Talk","checklist-flat","FALSE","FALSE","Health & Safety","Daily/Weekly H&S","Toolbox Talk -13.11.20"
"f5841ae7-9886-4290-be0d-d0b05a25e4bf","","checklist-flat","pass","H&S - Toolbox Talk","checklist-flat","FALSE","FALSE","Health & Safety","Daily/Weekly H&S","Toolbox Talk -28-01-21"
"b330ad9d-38cc-4b77-b941-fe27f93c54a8","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA"
"882e29ec-9728-42b8-93b3-7af74c621013","","folder-normal","pass","","step","TRUE","FALSE","QA"," WAREHOUSE"
"4093e138-4831-4ddc-bebc-8cc401b0081c","","checklist-sectioned","pass","107cbc3cb8b922d992f8f394231cbc9ff09223ed7b0fbfeb8ec13d5687c435e9","checklist","FALSE","FALSE","QA"," WAREHOUSE","Pour 1: Concrete Slabs (05-11-2020)"
"3e709e7a-e1a2-4a77-baa3-904744fcc8a4","","checklist-sectioned","pass","107cbc3cb8b922d992f8f394231cbc9ff09223ed7b0fbfeb8ec13d5687c435e9","checklist","FALSE","FALSE","QA"," WAREHOUSE","Pour 2: Concrete Slabs : (06-11-2020)"
"aa02f279-47e4-46da-a4e9-4bd16607eacc","","checklist-sectioned","pass","107cbc3cb8b922d992f8f394231cbc9ff09223ed7b0fbfeb8ec13d5687c435e9","checklist","FALSE","FALSE","QA"," WAREHOUSE","Pour 3: Concrete Slabs : (12-11-2020)"
"c7e56842-42a7-4156-901a-e12ef9751091","","checklist-sectioned","pass","107cbc3cb8b922d992f8f394231cbc9ff09223ed7b0fbfeb8ec13d5687c435e9","checklist","FALSE","FALSE","QA"," WAREHOUSE","Pour 4: Concrete Slabs (13-11-2020)"
"df94ee23-d910-4f88-b12b-cac15bfe207b","","checklist-sectioned","pass","107cbc3cb8b922d992f8f394231cbc9ff09223ed7b0fbfeb8ec13d5687c435e9","checklist","FALSE","FALSE","QA"," WAREHOUSE","Pour 5: Warehouse Infill- 25-11-2020"
"335c4c14-57d9-4d39-9f7e-f0e042fc91ad","","checklist-sectioned","pass","107cbc3cb8b922d992f8f394231cbc9ff09223ed7b0fbfeb8ec13d5687c435e9","checklist","FALSE","FALSE","QA"," WAREHOUSE","Pour 6: Warehouse floor 2 square areas plus Ramps (15-02-2021)"
"58bd8ccb-f3fa-461d-8c83-6c8d433961fc","","checklist-sectioned","pass","107cbc3cb8b922d992f8f394231cbc9ff09223ed7b0fbfeb8ec13d5687c435e9","checklist","FALSE","FALSE","QA"," WAREHOUSE","Internal slab - warehouse Fibre slab (28-04-2021)"
"8e10803c-6d0e-4e67-a331-21bff9e263c8","","folder-normal","pass","","step","TRUE","FALSE","QA"," YARD"
"2ed30b64-8dab-4196-8d3b-e99bc0b7340a","","checklist-sectioned","pass","107cbc3cb8b922d992f8f394231cbc9ff09223ed7b0fbfeb8ec13d5687c435e9","checklist","FALSE","FALSE","QA"," YARD","Pour 1: Yard slab (29-01-2021)"
"3e90deaa-d6c7-457d-b47c-13841ce84e0b","","checklist-sectioned","pass","107cbc3cb8b922d992f8f394231cbc9ff09223ed7b0fbfeb8ec13d5687c435e9","checklist","FALSE","FALSE","QA"," YARD","Pour 2: Yard slab (31-03-2021)"
"df31d6ba-2c77-497f-83f4-3c22e55f8a25","Unsupported Children: folder-normal Concrete Dockets(3badd4db-b0cd-4436-8d41-90a611cd8ada)","checklist-sectioned","pass","a3e9c231ea85ec5b3dc4917d51351413c5b5a12bef20ddb5a3bf5584aff2ffe3","checklist","FALSE","FALSE","QA"," YARD","Pour 3: Yard Slab (13-04-2021)"
"3badd4db-b0cd-4436-8d41-90a611cd8ada","","folder-normal","no-status-started","","step","FALSE","TRUE","QA"," YARD","Pour 3: Yard Slab (13-04-2021)","Concrete Dockets"
"292eea09-92b3-476c-969b-cf0c268b9185","","checklist-sectioned","pass","107cbc3cb8b922d992f8f394231cbc9ff09223ed7b0fbfeb8ec13d5687c435e9","checklist","FALSE","FALSE","QA"," YARD","Pour 4 - Yard Slab (27 -04-21)"
"fe584f2d-609c-4ee0-a916-07fbc662c5d4","","checklist-sectioned","pass","107cbc3cb8b922d992f8f394231cbc9ff09223ed7b0fbfeb8ec13d5687c435e9","checklist","FALSE","FALSE","QA"," YARD","Pour 5: Yard slab- (29-04-2021) last pour"
"8e61cccf-0fa2-4891-bc34-6493cacda5bf","Unsupported Children: folder-normal Observation/Remedials(a7b7992a-3da5-416d-a20f-0f08b470b235), folder-normal Concrete Dockets(fae1e89a-df21-4381-91b5-84644baea425)","checklist-sectioned","work-in-progress","Concrete Slab QA Checklist","checklist","FALSE","FALSE","QA","Offices concrete infill (Mike extra works)"
"a7b7992a-3da5-416d-a20f-0f08b470b235","","folder-normal","no-status-not-started","","step","FALSE","TRUE","QA","Offices concrete infill (Mike extra works)","Observation/Remedials"
"fae1e89a-df21-4381-91b5-84644baea425","","folder-normal","no-status-not-started","","step","FALSE","TRUE","QA","Offices concrete infill (Mike extra works)","Concrete Dockets"
"9625997d-e4e3-4f16-8524-e394ffdefa8c","Unsupported Children: folder-normal Observation/Remedials(c743091f-0bc9-48a8-b5a0-61fa4bcd7a5e), folder-normal Concrete Dockets(ae71eb2f-31bc-42f4-b9e8-9dd38b4f11c7)","checklist-sectioned","work-in-progress","Concrete Slab QA Checklist","checklist","FALSE","FALSE","QA","Footings & Pads GL-B (Mike extra works)"
"c743091f-0bc9-48a8-b5a0-61fa4bcd7a5e","","folder-normal","no-status-not-started","","step","FALSE","TRUE","QA","Footings & Pads GL-B (Mike extra works)","Observation/Remedials"
"ae71eb2f-31bc-42f4-b9e8-9dd38b4f11c7","","folder-normal","no-status-not-started","","step","FALSE","TRUE","QA","Footings & Pads GL-B (Mike extra works)","Concrete Dockets"
"bd73f082-617c-4493-ae64-648eee31d33f","Unsupported Children: folder-normal Observation/Remedials(a0fd4c04-9c55-45dd-92d1-6b2694686fbf), folder-normal Concrete Dockets(cdc58e7b-5fc9-4123-a2c9-f7f3f8526f48)","checklist-sectioned","work-in-progress","Concrete Slab QA Checklist","checklist","FALSE","FALSE","QA","Concrete Pads GL-14  (Mike extra works)"
"a0fd4c04-9c55-45dd-92d1-6b2694686fbf","","folder-normal","no-status-not-started","","step","FALSE","TRUE","QA","Concrete Pads GL-14  (Mike extra works)","Observation/Remedials"
"cdc58e7b-5fc9-4123-a2c9-f7f3f8526f48","","folder-normal","no-status-not-started","","step","FALSE","TRUE","QA","Concrete Pads GL-14  (Mike extra works)","Concrete Dockets"
"eb84ef6c-67d2-4fa6-b0ba-5c8e73b3dde3","Unsupported Children: folder-normal Observation/Remedials(fb8fa6ea-3300-45a4-bfa0-16c5fa167d13), folder-normal Concrete Dockets(14650c56-c7fa-4c1d-9b0b-b9eb8b1acc83)","checklist-sectioned","work-in-progress","Concrete Slab QA Checklist","checklist","FALSE","FALSE","QA","Plinths and nib walls GL-B (Mike extra works)"
"fb8fa6ea-3300-45a4-bfa0-16c5fa167d13","","folder-normal","no-status-not-started","","step","FALSE","TRUE","QA","Plinths and nib walls GL-B (Mike extra works)","Observation/Remedials"
"14650c56-c7fa-4c1d-9b0b-b9eb8b1acc83","","folder-normal","no-status-not-started","","step","FALSE","TRUE","QA","Plinths and nib walls GL-B (Mike extra works)","Concrete Dockets"
"2baa1bc1-4830-4d3f-8938-fe8773ede212","Unsupported Children: folder-normal Observation/Remedials(30e953b0-a71c-4591-b44d-adf95c3dd860), folder-normal Concrete Dockets(d33542d9-64e7-4a4a-8b99-22c1d238a50f)","checklist-sectioned","work-in-progress","Concrete Slab QA Checklist","checklist","FALSE","FALSE","QA","Pipe infills and footings (Mike extra works)"
"30e953b0-a71c-4591-b44d-adf95c3dd860","","folder-normal","no-status-not-started","","step","FALSE","TRUE","QA","Pipe infills and footings (Mike extra works)","Observation/Remedials"
"d33542d9-64e7-4a4a-8b99-22c1d238a50f","","folder-normal","no-status-not-started","","step","FALSE","TRUE","QA","Pipe infills and footings (Mike extra works)","Concrete Dockets"
"e4ebe141-02b8-46a5-aa06-4817722cdcdd","","checklist-sectioned","pass","107cbc3cb8b922d992f8f394231cbc9ff09223ed7b0fbfeb8ec13d5687c435e9","checklist","FALSE","FALSE","QA","New Canopy footings & insuitu & plinths (24-02-2021)-(26-02-2021)"
"9931d63a-16ec-44fa-981f-d8ee386cb670","","checklist-sectioned","pass","107cbc3cb8b922d992f8f394231cbc9ff09223ed7b0fbfeb8ec13d5687c435e9","checklist","FALSE","FALSE","QA","INSITU Retaining Wall- GL H(8-14) + GL 14 (08-03-2021)"
"f659a458-4ae2-4d7c-bde4-d77616f09498","","checklist-sectioned","pass","fc7a7a112d3f1b9891b784f26b62d784eedb2368be7233ae1a65fcf97b2b30aa","checklist","FALSE","FALSE","QA","Pilasters gl 13-8 by retaining wall (10-03-2021)"
"fec2e922-edb7-4e6a-bd17-d7190601b738","","checklist-sectioned","pass","1be37a7fd702c828d4e286e14a26346e7cd381daf5b883baf78ed5b6f2ca364e","checklist","FALSE","FALSE","QA","Column Pads + Wall gl(12-13)  - inside warehouse (10-03-2021)"
"20a21449-e10a-45c3-b187-c000aa96dd80","","checklist-sectioned","pass","107cbc3cb8b922d992f8f394231cbc9ff09223ed7b0fbfeb8ec13d5687c435e9","checklist","FALSE","FALSE","QA","Concrete Slabs Checklist Ramps and institu wall footing "
"b1a2fcb9-5e52-48e9-b4fe-c784e58578ff","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Container Pads"
"f319be4b-0f19-442e-9e9c-e0065dbb8093","Unsupported Children: folder-normal Observation/Remedials(6bdf0e5f-2501-5f7b-8fef-12f283b9acc4), folder-normal Concrete Dockets(69dc1e23-a031-5672-a7e2-354592f98f81)","checklist-sectioned","work-in-progress","Concrete Slab QA Checklist","checklist","FALSE","FALSE","QA","Container Pads","Pour 1:(08-08-23) - Container Pads 5m x 4m and 5m x 11m"
"6bdf0e5f-2501-5f7b-8fef-12f283b9acc4","","folder-normal","no-status-not-started","","step","FALSE","TRUE","QA","Container Pads","Pour 1:(08-08-23) - Container Pads 5m x 4m and 5m x 11m","Observation/Remedials"
"69dc1e23-a031-5672-a7e2-354592f98f81","","folder-normal","no-status-not-started","","step","FALSE","TRUE","QA","Container Pads","Pour 1:(08-08-23) - Container Pads 5m x 4m and 5m x 11m","Concrete Dockets"
"712e965c-e094-4365-b3ae-385b62b54c66","","folder-progress","no-status-not-started","","checklist","TRUE","FALSE","Defects / Remedial Work"
"fa80e8dd-3243-4b8f-bee3-4307e4d94115","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Variations"
"22cb5881-c106-4b9f-b7da-2d617c61450e","Unsupported Children: folder-normal Observation/Remedials(d917305a-7039-4fe9-95bf-d4cddc0f4b42), folder-normal Concrete Dockets(28d37f8f-abb0-45b6-8362-6f6abcb17cf0)","checklist-sectioned","work-in-progress","Concrete Slab QA Checklist","checklist","FALSE","FALSE","Variations","Concrete Slab -Footpath 17-07-20 GL-A "
"d917305a-7039-4fe9-95bf-d4cddc0f4b42","","folder-normal","no-status-not-started","","step","FALSE","TRUE","Variations","Concrete Slab -Footpath 17-07-20 GL-A ","Observation/Remedials"
"28d37f8f-abb0-45b6-8362-6f6abcb17cf0","","folder-normal","no-status-not-started","","step","FALSE","TRUE","Variations","Concrete Slab -Footpath 17-07-20 GL-A ","Concrete Dockets"
"9f4efc09-c766-407c-8ba3-49e1a81e05c6","Unsupported Children: folder-normal Observation/Remedials(fe87c30d-1705-42cd-bc4c-50be69039c00), folder-normal Concrete Dockets(47f4ed6c-931c-405c-97cb-6d17c25113c3)","checklist-sectioned","work-in-progress","Concrete Slab QA Checklist","checklist","FALSE","FALSE","Variations","Concrete Slabs Checklist warehouse infills from panels "
"fe87c30d-1705-42cd-bc4c-50be69039c00","","folder-normal","no-status-not-started","","step","FALSE","TRUE","Variations","Concrete Slabs Checklist warehouse infills from panels ","Observation/Remedials"
"47f4ed6c-931c-405c-97cb-6d17c25113c3","","folder-normal","no-status-not-started","","step","FALSE","TRUE","Variations","Concrete Slabs Checklist warehouse infills from panels ","Concrete Dockets"
"4bc0dc17-5002-4158-ab8b-2a2adcd544d0","Child Variation Details Approved(0481a9e0-277f-415e-9522-78c681923cbe): Signoff Request Variation Acknowledgement(383656bb-696a-48cd-bd31-85b1e72bd79e) must be dependant
Child Variation Completed(cd34dde3-ea73-4ecd-ae32-16d9685772d5): Signoff Request Variation Signoff(39d4bd1a-b1f4-45e5-afcb-b6c2323d6c0b) must be dependant","checklist-flat","pass","Add Variation","checklist-flat","TRUE","TRUE","Variations","Variation Details: panel infill"
"3f4d8d49-33d6-4b1a-be2f-0a4970f15979","Child Variation Details Approved(2decdfbe-3896-461c-8036-0df4daf7ffb9): Signoff Request Variation Acknowledgement(b7667811-d355-417a-b0e0-8b06f3ba9e72) must be dependant
Child Variation Completed(58768005-68f7-4b0d-a0b4-9423176b4424): Signoff Request Variation Signoff(6512e5c6-552e-4a99-a74c-26bd62750e60) must be dependant","checklist-flat","work-in-progress","Add Variation","checklist-flat","TRUE","TRUE","Variations","Variation Details: GL-B on GL11 nib wall"
"4ca37376-eb9c-4e93-93d8-37ae2b93283f","","folder-progress","no-status-not-started","","checklist","TRUE","FALSE","Delays/Holdups"
