"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2793d104-8096-4488-97b7-cfe0d7b439cf","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"7d321522-7a02-5d81-b091-e54c960d4be3","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"32477aa7-6521-54cb-a261-5ec481244801","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"2c631555-8751-57b9-9490-7ed5a48ef577","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"68710b7d-7182-5ec6-a417-9c1a38e26746","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"2f0f3d98-ce8d-5a07-86ea-b731b5a0cf46","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"0eb7569e-810e-58b9-ad27-068363b1d975","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"4df8bc77-76b6-4b3f-aab0-8d414016ea97","","folder-normal","work-in-progress","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA"
"e5b74782-410e-4552-a5aa-975403a4a4ef","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems"
"623a55be-28c7-4ff8-a837-c9b7bf7d13e9","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01"
"ab1184ed-50be-4d9c-98dd-195e95ef4422","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01","Pre-Fit Off Checklist"
"e03db408-31a5-508e-b134-29792cb0b5cc","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01","Fit Off Checklist - Line 01","Video taken of system"
"ea352275-a4e8-5d5d-a5b5-9b55f1dc00ea","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01","Fit Off Checklist - Line 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"1d245acd-68b0-4043-93b5-4810c83d379f","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 107m - Line 02"
"7d3f87ea-e0fe-4f6e-accd-acff9f7e181a","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 107m - Line 02","Pre-Fit Off Checklist"
"91aa080a-6758-50b9-83e7-3c7db0133ba9","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 107m - Line 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"a4176e79-0620-5eb9-b2c6-77c48a2c2158","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 107m - Line 02","Pre-Fit Off Checklist","EMAIL PM"
"d4187e64-8fe4-5b75-98ef-588b4bcd28d8","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 107m - Line 02","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"3cb581d6-9f04-53ad-9a81-6b2f1e75bb10","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 107m - Line 02","Pre-Fit Off Checklist","Photos taken"
"fd9df0f6-182d-4192-ba6d-433530aae058","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 107m - Line 02","Fit Off Checklist - Line 02"
"7e8bf663-8cac-5dbf-9408-ce296618c760","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 107m - Line 02","Fit Off Checklist - Line 02","Confirm the structure is in accordance with the details supplied by PBI"
"8b48c7a4-82c7-5f5b-b5c9-640d2e11770e","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 107m - Line 02","Fit Off Checklist - Line 02","EMAIL PM"
"9a914d81-93bf-5698-9228-110c96ef2ec9","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 107m - Line 02","Fit Off Checklist - Line 02","Photo taken of line pull test - 4 photos required"
"fa1150e1-d396-5188-9083-a3e9ca36b7f7","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 107m - Line 02","Fit Off Checklist - Line 02","Photo taken of Swages - 12 photos required"
"ec871299-c897-57c8-8c83-a0f261bd439e","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 107m - Line 02","Fit Off Checklist - Line 02","Photo taken of Engraved Line Plate / ID Tag"
"66d9b1a3-1f7f-5fd7-af9b-4bcdb522d20a","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 107m - Line 02","Fit Off Checklist - Line 02","Video taken of system"
"c21e425d-1b37-575e-867d-22e87eb4e494","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 107m - Line 02","Fit Off Checklist - Line 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"c3b1d93b-b0d0-4117-a3f7-6e2aec4221fd","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 57m - Line 04"
"8c7f313e-a95f-4f48-a93d-0c0884aa9b41","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 57m - Line 04","Pre-Fit Off Checklist"
"898d2c0e-0cd6-5a58-ae97-88449feb157a","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 57m - Line 04","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"d404f895-51e5-587c-96b1-ce6234e05454","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 57m - Line 04","Pre-Fit Off Checklist","EMAIL PM"
"ab9c5955-f3fe-5cf0-9adf-395bda28f7f2","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 57m - Line 04","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"e720ac41-a2b3-5a3d-a20d-f82876252623","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 57m - Line 04","Pre-Fit Off Checklist","Photos taken"
"c6312dae-cdaf-41d0-af19-b7f1936d24c3","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 57m - Line 04","Fit Off Checklist - Line 04"
"317cf020-7c92-5d5b-8092-c79c614f6270","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 57m - Line 04","Fit Off Checklist - Line 04","Confirm the structure is in accordance with the details supplied by PBI"
"e9796980-efde-50e7-bc6e-328d373e5623","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 57m - Line 04","Fit Off Checklist - Line 04","EMAIL PM"
"492ea3d5-2dba-59f1-aec3-2511ef35f5cc","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 57m - Line 04","Fit Off Checklist - Line 04","Photo taken of line pull test - 4 photos required"
"17e22d68-2912-589c-bc8d-fb11132446fd","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 57m - Line 04","Fit Off Checklist - Line 04","Photo taken of Swages - 12 photos required"
"e0c04db5-80b7-5ecd-893c-8d500e881495","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 57m - Line 04","Fit Off Checklist - Line 04","Photo taken of Engraved Line Plate / ID Tag"
"82ec6d26-7e28-51bd-91b5-8f0954c73553","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 57m - Line 04","Fit Off Checklist - Line 04","Video taken of system"
"6a71ea20-0dfb-52e0-a451-996d2797db3b","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 57m - Line 04","Fit Off Checklist - Line 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"fbe2383d-3bf3-46e6-af0e-aeeced107f3f","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 100m - Line 05"
"4eb1a7d5-f454-49cb-b127-8d3049f4851c","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 100m - Line 05","Pre-Fit Off Checklist"
"8d341dc2-f3b3-597c-9150-3f48d791fcbf","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 100m - Line 05","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"ec00f5ac-e711-51fa-9559-00bb06651b81","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 100m - Line 05","Pre-Fit Off Checklist","EMAIL PM"
"b6f3529d-1787-53e7-9754-7c934f2fad1f","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 100m - Line 05","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"0fad5fe2-bbcf-5808-b800-a996ad5a3b4d","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 100m - Line 05","Pre-Fit Off Checklist","Photos taken"
"a8fe296b-8de4-481b-b437-896fe933b106","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 100m - Line 05","Fit Off Checklist - Line 05"
"de7c7867-5f50-55ae-8d0a-d7e2b5eb3e98","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 100m - Line 05","Fit Off Checklist - Line 05","Confirm the structure is in accordance with the details supplied by PBI"
"e8030fcc-6e49-5df0-9b13-0026251f019b","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 100m - Line 05","Fit Off Checklist - Line 05","EMAIL PM"
"66831e22-b22e-5228-9c94-41a839b7961d","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 100m - Line 05","Fit Off Checklist - Line 05","Photo taken of line pull test - 4 photos required"
"c5e12183-7d92-51e2-a0d1-a6e714ca719d","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 100m - Line 05","Fit Off Checklist - Line 05","Photo taken of Swages - 12 photos required"
"9caae82b-b31b-53a7-925d-408b3cd74db2","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 100m - Line 05","Fit Off Checklist - Line 05","Photo taken of Engraved Line Plate / ID Tag"
"5ae9ea28-86a4-59fb-8b80-81abb3ffa131","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 100m - Line 05","Fit Off Checklist - Line 05","Video taken of system"
"0e8b13a3-a596-5e78-9245-1419a96b2aac","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 100m - Line 05","Fit Off Checklist - Line 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"5d8c610b-8929-4008-8fcd-5e96ead884b4","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 06"
"6260ff04-4977-4799-9aa2-0d2c8cab86df","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 06","Pre-Fit Off Checklist"
"c6e2b9aa-f47d-5080-a9e3-2a0f0d34f7f9","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 06","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"3ef053e7-91be-546c-bac1-ca4f17f71c67","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 06","Pre-Fit Off Checklist","EMAIL PM"
"505acbff-245c-562b-87ee-2d738bb00715","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 06","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"e9f3927e-ccb3-514d-9ac1-86c6c83f0555","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 06","Pre-Fit Off Checklist","Photos taken"
"e61cb8c7-63bd-4dcb-a25c-5647f7b3383d","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 06","Fit Off Checklist - Line 06"
"6091622b-2f8e-5030-a309-3239ae88cee1","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 06","Fit Off Checklist - Line 06","Confirm the structure is in accordance with the details supplied by PBI"
"d9e03539-c41d-52cb-a488-e4bd623217b6","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 06","Fit Off Checklist - Line 06","EMAIL PM"
"35809c25-34cd-5309-a94f-8369e974059e","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 06","Fit Off Checklist - Line 06","Photo taken of line pull test - 4 photos required"
"952f1705-8884-5420-8b8f-34280be0db32","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 06","Fit Off Checklist - Line 06","Photo taken of Swages - 12 photos required"
"8a1846e9-983b-5dfa-9463-f7310898881f","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 06","Fit Off Checklist - Line 06","Photo taken of Engraved Line Plate / ID Tag"
"36c917b3-9327-5f89-b458-820d125bce92","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 06","Fit Off Checklist - Line 06","Video taken of system"
"e3412480-7498-5002-a4e3-c0db9c9eea00","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 63m - Line 06","Fit Off Checklist - Line 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"019da34e-5b98-49ff-914e-e13b95899a09","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 07"
"1f53c1a6-8db8-4834-ae2d-7b25730ae130","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 07","Pre-Fit Off Checklist"
"6b0c0f1d-bf38-5208-91e3-10c83ae39514","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 07","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"36504c0b-b46e-57fa-ac53-05eeb62b2880","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 07","Pre-Fit Off Checklist","EMAIL PM"
"43cf8cfc-da3a-5cf5-83de-2d7ac9a60d5f","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 07","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"a8a13142-89bb-5662-9544-6c769a25064b","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 07","Pre-Fit Off Checklist","Photos taken"
"8b115b39-46b7-4f5e-aa14-ba047eff5ed6","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 07","Fit Off Checklist - Line 07"
"5fadcfb9-d338-55fc-ac9a-0ece90261a89","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 07","Fit Off Checklist - Line 07","Confirm the structure is in accordance with the details supplied by PBI"
"f4a20feb-fba8-5a35-8b86-b5ddfea0c2df","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 07","Fit Off Checklist - Line 07","EMAIL PM"
"a6ffb7e2-3416-51ed-be6c-a20846424a09","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 07","Fit Off Checklist - Line 07","Photo taken of line pull test - 4 photos required"
"7ff271fa-6f83-5a3d-b7a4-6dbcb206ee91","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 07","Fit Off Checklist - Line 07","Photo taken of Swages - 12 photos required"
"ffa43789-46b8-5735-95e9-daf86b1787db","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 07","Fit Off Checklist - Line 07","Photo taken of Engraved Line Plate / ID Tag"
"be462d74-9b7c-51c4-971a-ccf8c5e4642c","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 07","Fit Off Checklist - Line 07","Video taken of system"
"a04e3c37-e68f-5655-81d8-9d97a3a0cfd4","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 194m - Line 07","Fit Off Checklist - Line 07","Installed as per PBI drawings supplied and manufacturer's requirements"
"d554f249-6908-444e-95b6-e062e2a0aaf6","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 21m - Line 09"
"b7a7f52f-0599-4d7a-98d1-353848276fea","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 21m - Line 09","Pre-Fit Off Checklist"
"b050b2f0-3769-533c-9940-8da05d5db6cf","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 21m - Line 09","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
