"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"aedc3686-8bc6-4aa8-a885-f82f6d643319","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"af11d9ce-762a-50b7-844f-5566b82978c1","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"bafcc70f-08f3-4d78-8bc4-b55b930ecc7e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture"
"1a39be66-eb87-4e74-a29c-706688e2ee27","","checklist-sectioned","pass","2e38763aea9cfef5386e9c397d1b9c4d03d3f1e56a7b082a6dc0712abde9da76","checklist","FALSE","FALSE","Precast Manufacture","Weld plate details"
"881fc2f7-4624-56d5-9fe5-7055b7581f7d","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details"
"ea7f4ad4-bffd-52af-9c67-f8eeef48f33d","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Edge Detail"
"827675aa-3982-5083-b119-c9b76b38d07f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Bar Projections"
"93529ee4-6443-5c7e-8fc2-54a1d59d0bc8","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Cast in items"
"9d8622e4-44ed-41fa-b549-4ebc86b9c5ef","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels 1 - 30"
"0880abe4-1680-46d9-8392-b59e4af53caa","","checklist-sectioned","not-started","Add Panel (v2)","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 30","Panel -1"
"b34683d2-3c28-576b-8188-83c8add0bd68","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check"
"83e9ee76-f956-559a-890f-2c751d8b58b9","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Concrete Works","Wilco Sample Taken"
"5d82f427-b62f-50f3-8205-01046259faa0","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Concrete Works","Bridgeman Sample Taken"
"850381c2-46ed-58ca-8ec4-3808aae1c21a","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Concrete Works","Supervisor Approval"
"df19dd62-07e2-5854-965c-eeb42ee74be2","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Post Pour Check"
"85658669-dfaa-5f0a-9a4b-2b90a1ba552d","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Post Pour Check","Edge Detail"
"3574241e-81f5-5924-80a8-4ca64ea75d55","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Post Pour Check","Bar Projections"
"4979d3b2-5688-5e98-ba72-c3fe662bbf43","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Post Pour Check","Cast in items"
"c72030c9-4f1b-506b-a9b4-80532f3f137a","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Stripping and Stacking"
"1e751cb6-fe84-5bd4-811e-58dc33050e18","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Stripping and Stacking","Stripping & Stacking"
"ac2c45d6-5dcf-4020-b67c-39b788d72e68","","checklist-sectioned","not-started","Add Panel (v2)","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 30","Panel -2"
"0fddaeb8-af90-51ed-97b6-de1fcbf8f604","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check"
"d6f72dd8-9e04-565f-ac46-c7c6a7ab085f","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check","Dimensions"
"0b29e285-033c-50e7-82b2-511fe158fd36","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check","Mould Clean"
"2ef2b72c-4df9-5c0f-a782-c887dda8a7b8","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check","Mould Oiled"
"abb8a9ab-75a2-5ddc-9f4e-80e17b90f4ce","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check","Mould - Workmanship"
"ea4adcfd-f01c-5d65-a297-93f33e188cea","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check","Reinforcing"
"cc12bacd-3002-582e-ac8b-7647e5b68501","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check","Cast In Items"
"bd4a25d1-74ec-53c4-8583-2fe09257196b","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check","Marker Position and No."
"0c8aee61-65a3-5e68-8d10-be1f31f85246","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check","Make mould to Green Status"
"bc14889d-16a2-5e56-9545-141aee47a6f9","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Concrete Works"
"13effdcc-c292-577d-8f73-e9a330971b64","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Concrete Works","Concrete Works Details"
"d15138a6-c780-5cca-b9a2-2ec6abe05fd1","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Concrete Works","Wilco Sample Taken"
"39c50592-d4f5-544e-a188-af3a963b7351","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Concrete Works","Bridgeman Sample Taken"
"1868c946-12c8-556f-b628-52da1f8e3af2","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Concrete Works","Supervisor Approval"
"244f35ba-1784-5596-b5b0-653d050d0223","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Post Pour Check"
"4320a9ed-fc9e-5a39-8687-000e55d6c82f","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Post Pour Check","Edge Detail"
"cf0dad8f-ebd4-5db8-93dd-77fdb5dedd9f","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Post Pour Check","Bar Projections"
"3071bd21-b7c2-5f79-ab6e-1ece4a6769a4","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Post Pour Check","Cast in items"
"e3333b21-3b83-550a-b169-c2340a0e69ae","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Stripping and Stacking"
"c7ad268b-e0c7-50a3-9582-99df38d84a05","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -2","Stripping and Stacking","Stripping & Stacking"
"a60e589a-45e5-4ad0-b32d-4e3b5e8dbc95","","checklist-sectioned","not-started","Add Panel (v2)","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 30","Panel -3"
"0c78f474-bee3-56cb-9604-82a9d8bb2409","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check"
"6a56f9e4-115f-5e77-b056-412e436cd5f5","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check","Dimensions"
"264c120c-2720-5ba4-b83d-edfebe28a731","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check","Mould Clean"
"e9310684-5f81-5680-97b1-26ae4a3e0242","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check","Mould Oiled"
"79c6364c-c38d-5862-b758-6597c06cad4e","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check","Mould - Workmanship"
"62c0bb59-312f-5c87-9ba3-c9c68d94a45a","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check","Reinforcing"
"9e2245d0-52c0-5862-9de5-5e9e2fe47f0c","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check","Cast In Items"
"de42a6af-faff-5033-93b2-403cb7203d6f","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check","Marker Position and No."
"6c4d1b7d-eda7-58bf-8271-c92e78c4e891","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check","Make mould to Green Status"
"5c6e2e67-1ef1-5578-9209-7ac4ac28ecf7","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Concrete Works"
"e13a7b23-0bd6-5bec-a30a-ae52aafc65e6","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Concrete Works","Concrete Works Details"
"b628a730-76e6-5fb5-b3e1-c2dd307d9e2f","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Concrete Works","Wilco Sample Taken"
"3659296c-9783-5928-be12-3baf3f8b84dc","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Concrete Works","Bridgeman Sample Taken"
"059bd2d4-ba31-54f2-927a-a419d94aa793","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Concrete Works","Supervisor Approval"
"4bb64b9b-cca6-54dd-9163-a85b031e8746","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Post Pour Check"
"368d0422-0456-588d-9256-e530a2552016","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Post Pour Check","Edge Detail"
"cff3eab7-a3e7-5cd8-8ead-d8b29c1cec07","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Post Pour Check","Bar Projections"
"c4714fae-0c42-5fc0-9b42-c1eb7975c74f","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Post Pour Check","Cast in items"
"13553e65-04b9-5ee0-9576-91c6a9168923","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Stripping and Stacking"
"2f9e4b36-235c-593e-868b-a00cbf117465","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -3","Stripping and Stacking","Stripping & Stacking"
"559ce9f3-80fd-4639-acaa-45417592f9a3","","checklist-sectioned","work-in-progress","Add Panel (v2)","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 30","Panel -4"
"1bb33acf-6ef6-545b-966b-0cee1eb16538","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check"
"8bc35c05-b0dd-56c9-a47a-2cf46a80cfc5","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check","Dimensions"
"1cadcc7a-08a0-5218-aad3-8ffd97123399","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check","Mould Clean"
"da170ac5-b0a2-5a26-9057-a4471588dfe1","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check","Mould Oiled"
"6152063a-d7c3-5ab0-bfcd-1af7210dcdac","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check","Mould - Workmanship"
"b440c587-bd01-5b79-b77e-c913280be27a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check","Reinforcing"
"6b32913e-6c77-5631-b092-a7320d089e72","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check","Cast In Items"
"abebc678-c248-594e-9dec-0815a23de0c6","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check","Marker Position and No."
"3662d0fe-9ee3-5840-af6b-72df33766bf1","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check","Make mould to Green Status"
"32dc8e0f-0dab-5fa6-b94b-3c6275b43919","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Concrete Works"
"a7c08c9c-d3d0-5677-87d2-15b6d2f85d21","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Concrete Works","Concrete Works Details"
"0569db7f-5f16-5852-b6a1-d33881e5cb65","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Concrete Works","Wilco Sample Taken"
"f7678787-4190-50a5-b688-cc2857c68416","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Concrete Works","Bridgeman Sample Taken"
"86b044b9-41f6-5e95-a257-4bdfd5704ead","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Concrete Works","Supervisor Approval"
"455f60e3-15c3-50f1-8e55-da6c6e13e209","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Post Pour Check"
"18f27a91-61ed-506f-a97d-ca8a0e4c818c","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Post Pour Check","Edge Detail"
"9ede0c3a-b56c-5b29-86ce-8467e2c58aac","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Post Pour Check","Bar Projections"
"2d8191a8-07be-5c3b-9f00-1e5549623b8a","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Post Pour Check","Cast in items"
"799aaff3-726f-5947-8d11-71f7da4c2fee","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Stripping and Stacking"
"7774601b-0339-577a-b077-c6c2a13d3106","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -4","Stripping and Stacking","Stripping & Stacking"
"1cbdd695-4b86-4682-a735-670de9756378","","checklist-sectioned","pass","Add Panel (v2)","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 30","Panel -5"
"cf910a14-3a0b-5d79-862c-5c36051a939f","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check"
"ae9d0af9-3964-549f-adcb-fb2167a98cc0","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check","Dimensions"
"f0bfe7c0-802c-55fe-9e0b-94721f08f779","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check","Mould Clean"
"b165d30b-292b-58fc-a1cb-2b1d3d11adad","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check","Mould Oiled"
"3df77afb-cd16-5fd2-916b-92c67c20e703","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check","Mould - Workmanship"
"a3179d9f-1f50-5065-9846-ac2522f7cabc","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check","Reinforcing"
"c6e9b0c3-d223-5836-98a5-1ae85013ef7f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check","Cast In Items"
"df5b0b1a-a075-56eb-948c-a393f5f1be3e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check","Marker Position and No."
"08156d99-d7ca-5a66-ba02-ba29c8f312ad","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check","Make mould to Green Status"
"7a248b97-23ba-58c6-b9a6-969f549f1298","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Concrete Works"
"ff07355e-49ee-509d-818a-2c817579e093","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Concrete Works","Concrete Works Details"
"fe26a2e2-8860-5551-8fdf-67efbae6c208","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Concrete Works","Wilco Sample Taken"
"10ff46f2-9f9d-523f-8d1c-cebe6f8d6325","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Concrete Works","Bridgeman Sample Taken"
"42299068-fe2f-5fdd-a00e-7fccd54b6002","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Concrete Works","Supervisor Approval"
"0cd53f65-63c4-5897-a211-217fc52342d3","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Post Pour Check"
"05e6ebbc-98d2-5758-a4c3-cd8e17ef81b7","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Post Pour Check","Edge Detail"
"7ea28dc9-f1c5-5369-938d-964c87c5e777","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Post Pour Check","Bar Projections"
"a0d77a9d-0de3-5263-a52a-7971cd89d3bc","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Post Pour Check","Cast in items"
"080d056d-a39c-5ec0-b085-7c7b8702ed0e","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Stripping and Stacking"
"1bff8b9c-10bb-5560-9ace-21182fa23191","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -5","Stripping and Stacking","Stripping & Stacking"
"7814cadc-90fa-4364-bc50-154277a3695c","","checklist-sectioned","pass","Add Panel (v2)","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 30","Panel -6"
"b2914eeb-cafb-5ff4-bf3f-2af7875765f8","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check"
"e8c6dda6-a158-56ca-829e-94a6da0e2f19","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check","Dimensions"
"f0e52743-3a8f-57df-967d-b4cc6dadaa70","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check","Mould Clean"
"92062a9f-80a5-5422-a63e-12eb28c49743","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check","Mould Oiled"
"476e8bd5-5883-57ed-8e7d-df01449c99ac","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check","Mould - Workmanship"
"0f8dc3c3-9c09-59d0-a3cd-30482f944784","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check","Reinforcing"
"40cd6e07-70ad-5679-8d6f-6b339ffa748b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check","Cast In Items"
"c5fdeb49-363a-5d97-ae40-cc6999ba108c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check","Marker Position and No."
"7ddb6102-f1bb-5aa2-87c5-fd15ba288cd2","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check","Make mould to Green Status"
"93ccafd3-2ccf-5c2e-9c9e-2481f21616b5","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Concrete Works"
"d8b9fc7a-ab95-5493-86d6-32979c97034d","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Concrete Works","Concrete Works Details"
"7570454e-0320-5a77-90f3-3e6dc2e076c8","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Concrete Works","Wilco Sample Taken"
"a68a3197-01a8-53d7-90be-8e040a2cf8b6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Concrete Works","Bridgeman Sample Taken"
"7e17c15b-01c2-5dd7-8cc3-81265074a857","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Concrete Works","Supervisor Approval"
"3eab72f8-206f-5ebf-9e0a-502c3c963827","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Post Pour Check"
"c91f8b44-1380-568b-95de-394b3366fff6","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Post Pour Check","Edge Detail"
"debe74f1-42ba-5fa6-93b2-889be2433d7a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Post Pour Check","Bar Projections"
"3af2e01f-a6df-5386-952d-d0990db9ca6c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Post Pour Check","Cast in items"
"bc1ae022-d4e5-50c3-b034-091d217439de","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Stripping and Stacking"
"d9adf9e8-0fcd-5e5e-97e8-b77574833c66","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -6","Stripping and Stacking","Stripping & Stacking"
"1af80ab2-ddef-420f-8360-585572e06d8f","","checklist-sectioned","pass","Add Panel (v2)","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 30","Panel -7"
"f72bf337-3329-50c5-b659-d4e5aeb58258","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -7","Pre-Pour Check"
"150c413f-067f-597a-8f48-c5f9de6bbce3","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -7","Pre-Pour Check","Dimensions"
"5029e6f9-8099-51b2-8628-c753769d6faa","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -7","Pre-Pour Check","Mould Clean"
