"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"48b2cf9e-2b67-4519-9523-d50f38fedca6","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"61ac5ac0-930c-481c-a981-c71dc2e7d339","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A"
"6a6be177-ebcd-472b-ba68-843b525a0b10","","not-started","","folder","TRUE","FALSE","Site QA","Block A","Lot 01"
"f6f1f4a3-018e-4a8b-af86-af192e958526","","not-started","","folder","TRUE","FALSE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation"
"2d2d188a-3399-4044-b5d1-6068fa40db53","","not-started","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation"
"a3ca5ade-3d54-5d02-b80c-3fc1f2a3eecb","","not-started","","section","FALSE","FALSE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:"
"eaec9526-0d1c-5491-b065-f6dd885187d8","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:","Installation complies with current drawings & specifications"
"e2a0b0df-a604-51bc-b3e4-4beb873eb0e7","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"6b3c93f2-465e-57df-80d8-d05a69341a1d","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:","Check for damage & leaks"
"730e2544-688a-5c9f-93b6-87e2950508ce","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:","Check pipework can not be holed by plaster screws"
"e5c07e88-7f9e-57f6-a598-1affdcebe6d0","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:","Check crimp fittings"
"c99f28f3-32cb-5673-84a4-eb1c8c6ab424","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:","Check for cross connections"
"aa30495f-b358-586b-8b9c-d53f1a004739","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:","Check alignment & levels"
"fecaaf3a-634a-5372-b6cb-3032ccffcce8","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:","Check materials & joining methods"
"ebf50fe3-a5dd-50b6-b36d-e79f77e2ee9f","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:","Check pipe clips, hangers & fixings (correct size, spacing & separation)"
"59b94c7e-e580-54b6-95e7-9e69f07b9126","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:","Check lugged elbows"
"e21d9d31-b5f2-59d7-a9dc-41a2a903e112","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:","Check noggings for future fixture"
"93611025-1c9d-53df-88a7-4b7464d6f7d9","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:","Check sharp edge pipe protection"
"9ac891b5-3949-54a8-b700-8f2a81b7c774","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:","Check pipe colour coding"
"68d88f95-1d33-5cf0-93fa-f7429a363207","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:","Check floor/wall penetration fire proofing"
"8ee2e3f6-fe34-4c8f-aa28-692fce3b808b","","not-started","","folder","TRUE","FALSE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation"
"0a36b9f6-e54f-4c6d-b1b3-56f7872106e5","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Toilet & Cistern Installation"
"d7299d6c-7391-5115-9e2a-015d1e30524e","","not-started","","section","FALSE","FALSE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Toilet & Cistern Installation","Details:"
"e4dc6068-0828-597c-944f-6a0ee3fae351","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Toilet & Cistern Installation","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"caa5244c-ada4-575b-90db-1dc8d29678c3","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Toilet & Cistern Installation","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Fit-off photos to be taken only within this Checkpoint)"
"fc722720-ea52-544b-9d8c-b48050d687ad","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Toilet & Cistern Installation","Details:","Installation complies with current drawings & specifications"
"2296097b-19e1-5eab-af47-e92a2a0ff9e0","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Toilet & Cistern Installation","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"0b59b186-79aa-5e03-9bd0-697c9d833455","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Toilet & Cistern Installation","Details:","Check for damage or leaks"
"2e274845-2be8-532e-a3e0-1d1560ce8ee8","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Toilet & Cistern Installation","Details:","Check fixing points are secure"
"8a8e049f-72e1-54f3-8115-ceac02822a02","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Toilet & Cistern Installation","Details:","Check level & alignment"
"ba985f9b-6d72-5d73-b2db-4756e67720c0","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Toilet & Cistern Installation","Details:","Check mini stops"
"795fb1e0-e17c-53ae-ac41-969ba432424b","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Toilet & Cistern Installation","Details:","Check flexible connections are not twisted or kinked"
"b7c29d8d-7c70-50fa-b159-76514878a31e","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Toilet & Cistern Installation","Details:","Check special DDA accessories (if applicable)"
"42280500-0d4d-5263-acf8-bf28bc085404","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Toilet & Cistern Installation","Details:","Check all functions, controls & remote sensors for correct operation"
"495810de-17c8-5a39-9b9a-5381e9e501b6","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Toilet & Cistern Installation","Details:","Check trap is clear of debris"
"b1d12d8a-323a-519a-8141-93c0e6207176","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Toilet & Cistern Installation","Details:","Check caulking"
"1d744167-174b-48f1-89f2-6ca88f3a59b8","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Wash Basin & Tapware Installation"
"46a7204f-5294-5928-86a4-321486af031b","","not-started","","section","FALSE","FALSE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Wash Basin & Tapware Installation","Details:"
"d21784cd-e00e-511b-b35d-2fd028fca3f8","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Wash Basin & Tapware Installation","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"1c8dfe0b-6819-5b27-b0f2-82610c7763ba","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Wash Basin & Tapware Installation","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Fit-off photos to be taken only within this Checkpoint)"
"3ac59141-ffe1-5627-acd8-76980b405553","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Wash Basin & Tapware Installation","Details:","Installation complies with current drawings & specifications"
"231ff0b8-b81e-59ad-a082-62770382455a","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Wash Basin & Tapware Installation","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"e9f610c1-3405-5bd0-a784-c85c7e19acc9","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Wash Basin & Tapware Installation","Details:","Check for damage or leaks"
"c5433506-be85-5367-8779-e8e20f9210ab","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Wash Basin & Tapware Installation","Details:","Check fixing points are secure"
"0756385c-0ace-5ef5-9275-726fb7f54f12","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Wash Basin & Tapware Installation","Details:","Check level & alignment"
"32f7f5b5-0006-5e09-9e16-7c8a3412799f","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Wash Basin & Tapware Installation","Details:","Check mini stops"
"a5fa7157-b41e-57c8-9d97-cc506804ab52","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Wash Basin & Tapware Installation","Details:","Check flexible connections are not twisted or kinked"
"20b4d7fe-97e6-5301-9dc1-126f68ceb990","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Wash Basin & Tapware Installation","Details:","Check special DDA accessories (if applicable)"
"60d4e638-710b-5673-9a3f-448895f2105f","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Wash Basin & Tapware Installation","Details:","Check waste & trap connections"
"7bffdfb0-7fe4-5ca3-8c4a-644f6cced32c","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Wash Basin & Tapware Installation","Details:","Check all functions, controls & remote sensors for correct operation"
"d6f1ff22-297a-5bda-8032-d0542eb4f4d7","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Wash Basin & Tapware Installation","Details:","Check trap is clear of debris"
"e8cd825d-3936-55cb-8d26-fd524e82a80c","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Wash Basin & Tapware Installation","Details:","Check caulking"
"711bc0d5-11e4-402e-9a7d-5fe142023980","","not-started","Fit-off Bath & Tapware","checklist","FALSE","FALSE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation"
"8607183c-7608-56a3-ac9a-8c28a8d7c027","","not-started","","section","FALSE","FALSE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation","Details:"
"a867bf86-134a-55d4-9dba-9cc018ab8e10","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"c41b14d5-61cd-58ce-9d50-969a53b2ec95","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Fit-off photos to be taken only within this Checkpoint)"
"fbac7a00-8b8f-521a-a80b-54330d8ddbaf","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation","Details:","Installation complies with current drawings & specifications"
"0955e9be-0bf7-5ea1-8e4c-5bd48f306926","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"7bfac06b-d93a-581c-8862-e03365047379","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation","Details:","Check for damage or leaks"
"ba47fb20-3a67-51e7-916b-5fb7f7330ab3","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation","Details:","Check fixing points are secure"
"94ff535c-29e9-52de-98a5-6302271355f1","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation","Details:","Check level & alignment"
"9060900f-5b64-5ae7-b618-242564ba4528","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation","Details:","Check wall plates, mixers & diversion valves"
"0695599a-a028-5bbc-930f-a0651d622e37","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation","Details:","Check outlets, wall rails & hand showers"
"79731f76-63fb-548b-8578-f54743b3dd64","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation","Details:","Check special DDA accessories (if applicable)"
"0101968e-93d4-5a92-a4eb-c57b2d7f3423","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation","Details:","Check waste & trap connections"
"f1933f50-4f68-5071-8d86-ba148056edc7","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation","Details:","Check all functions & controls for correct operation"
"1b42eac7-ed75-5ef5-8470-c14ab7845209","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation","Details:","Check floor grate level & alignment"
"0e6fd84a-3356-52e7-8777-080956747e7e","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation","Details:","Check trap is clear of debris"
"273e7fef-8da0-59a9-bbdc-731fbf71c685","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Shower & Tapware Installation","Details:","Check caulking"
"a429b3a5-d5a0-4885-a829-a1db301c7351","","not-started","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Kitchen Sink & Tapware Installation"
"29272f14-5fc5-56ba-8b85-0f4187cffcda","","not-started","","section","FALSE","FALSE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Kitchen Sink & Tapware Installation","Details:"
"572f9473-793f-5458-88c6-3451d22ce875","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Kitchen Sink & Tapware Installation","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"5b8b8e1a-20bc-5768-8627-7336c37954ff","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Kitchen Sink & Tapware Installation","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Fit-off photos to be taken only within this Checkpoint)"
