"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"acae8e9e-4bd2-4cb9-92e9-2f5391bdedc6","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)"
"c7fb5a79-cb6b-4e9b-9673-1939dde6b86a","","checklist-flat","","Reference Drawing","checklist-flat","FALSE","FALSE","Zone A (Building B)","Reference Drawing"
"d653557b-d41e-445b-9a57-fdb20ca75bb2","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground"
"656c9593-ddac-4b15-95a0-c93db8c3e949","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A"
"5b3deb69-b141-412b-84f9-4568cecfa06d","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","WAIT (LG.B.140)"
"6d5b5f15-1abe-427d-a186-31520818b09a","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.001)","Pre Ceiling Sign off"
"1ed3050d-9898-436f-a111-db7681519090","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.002)"
"18f660cb-8bf5-4bd6-8a61-65219b5de492","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.002)","Pre Sheet Sign off"
"54ce1ee5-ef9a-45c1-8b82-0dc4170886f0","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.002)","Pre Grid Sign off"
"d5a114a4-fcbd-4129-afc5-b2a2102ba454","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.002)","Pre Ceiling Sign off"
"46e5afbb-c954-435e-857f-bd6437bb4a4d","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.003)"
"4d9a2409-4f97-4f40-b553-300027725102","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.003)","Pre Sheet Sign off"
"daaeeedb-ae1d-48aa-9576-f8ae4160b7d3","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.003)","Pre Grid Sign off"
"444b8fc2-8f89-4d73-b18d-663ca848d8a2","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.003)","Pre Ceiling Sign off"
"5e30154c-1729-40c8-b6bc-0c3d5d534b8b","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.004)"
"18e8e7d0-d35e-49fa-be27-25eafcbfc869","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.004)","Pre Sheet Sign off"
"1c28a1b8-c9c2-4c29-88d9-d0c56ee4575d","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.004)","Pre Grid Sign off"
"9ad5b4ea-3535-4be1-9efb-a64f9ed136ae","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.004)","Pre Ceiling Sign off"
"a1b5ad74-e1ea-48f0-9ca8-a682a5ee7114","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.006)"
"bdf22b6d-0d39-4a2a-8856-48e66dbc4820","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.006)","Pre Sheet Sign off"
"f398fdad-2583-4d95-b262-51bab17c6a55","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.006)","Pre Grid Sign off"
"c0cd314e-6701-4a49-9ec5-25f36a12d47e","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.006)","Pre Ceiling Sign off"
"26593fd1-33c3-4211-8854-74134143e224","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.005)"
"399bcb39-6e88-4902-b338-eaf2a1e1879e","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.005)","Pre Sheet Sign off"
"31b41160-20f2-42b3-8098-edd4833a75ab","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.005)","Pre Grid Sign off"
"8f59b3fe-a7d1-4cd7-bd65-820239c5b088","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.005)","Pre Ceiling Sign off"
"f430aaa7-9b8d-45f3-9140-433ab5301225","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.007)"
"0d1bc125-f553-4cf0-8a9e-fb0cf26f2077","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.007)","Pre Sheet Sign off"
"cea9d06a-3669-4c07-bf83-c7d856d5853d","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.007)","Pre Grid Sign off"
"588be967-c1e2-4a4f-b468-de78cdf37637","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.007)","Pre Ceiling Sign off"
"a5e1cb9d-3e20-4f95-b548-27cd8f613e7c","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.018)"
"9fb6f465-9433-44cd-a8a7-9ed7ae318854","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.018)","Pre Sheet Sign off"
"fe79cd31-9dcc-49b6-b8e9-e680dad3e701","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.018)","Pre Grid Sign off"
"44174c40-b788-4149-bda4-d09b597e1b73","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.018)","Pre Ceiling Sign off"
"e2f48588-e72f-4edc-8990-215dad0c2937","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.008)"
"ae960884-4b0c-40f2-98c5-098055d0e093","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.008)","Pre Sheet Sign off"
"7a516b0e-c6df-41b0-8487-d151179824d2","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.008)","Pre Grid Sign off"
"104e84e9-0368-48ae-9cd4-e8a1f3a74853","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.008)","Pre Ceiling Sign off"
"8575fd73-7bca-4a69-9721-6033f42cb610","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","WCPT (LG.B.009)"
"513cff4d-5c59-4585-8231-9d86563efefb","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WCPT (LG.B.009)","Pre Sheet Sign off"
"02ef8a48-768d-43b1-8cd0-08426bb48f97","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WCPT (LG.B.009)","Pre Grid Sign off"
"bcd92ab5-c322-43cb-bb01-a8da1f285869","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WCPT (LG.B.009)","Pre Ceiling Sign off"
"5363a19f-87cd-40e2-90ae-8cfc19d0e98d","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","BLIN (LG.B.117)"
"5848166b-2eba-4594-b319-8390319faa00","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BLIN (LG.B.117)","Pre Sheet Sign off"
"e0110923-01b3-4b0c-816c-28ae9e422806","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BLIN (LG.B.117)","Pre Grid Sign off"
"25b7da8a-7143-4ca5-a9af-43069fb070bf","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BLIN (LG.B.117)","Pre Ceiling Sign off"
"02791442-7094-4414-b558-0d22d692629c","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","BMEQ (LG.B.010)"
"42a962e2-21e5-4054-af65-6c6bbe5872e4","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BMEQ (LG.B.010)","Pre Sheet Sign off"
"e3427c01-86f1-462a-9ff6-eea296bf4c04","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BMEQ (LG.B.010)","Pre Grid Sign off"
"f5cf4590-e93b-4f15-9dff-2124a5162884","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BMEQ (LG.B.010)","Pre Ceiling Sign off"
"c4f1f4ec-122f-4dd7-934d-ea399c0e645f","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","CIRC (LG.B.025)"
"dba3e7ec-3489-4859-84f9-38781bd9b90d","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CIRC (LG.B.025)","Pre Sheet Sign off"
"95de2a64-218b-4804-b1c9-eddb60f50415","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CIRC (LG.B.025)","Pre Grid Sign off"
"c105f25d-bab6-41bd-a4dc-00ff762dca80","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CIRC (LG.B.025)","Pre Ceiling Sign off"
"b93cce34-642f-4d80-9303-72edd4e01b06","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","HWPPE (LG.B.100)"
"733b0543-6de8-4372-ab36-fd313f42eb13","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","HWPPE (LG.B.100)","Pre Sheet Sign off"
"c10dc36c-2358-475f-ba75-344074a19c08","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","HWPPE (LG.B.100)","Pre Grid Sign off"
"53bc3de2-813f-4edd-8cd9-38608ea1d77f","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","HWPPE (LG.B.100)","Pre Ceiling Sign off"
"a5ab6ece-cf3b-47fd-9258-350e8705ea78","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","HWPPE (LG.B.011)"
"d1e89abe-45f8-4b5f-a9c8-84d7d629a52c","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","HWPPE (LG.B.011)","Pre Sheet Sign off"
"f05612fb-7d67-4c65-82d1-5c184ec0c267","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","HWPPE (LG.B.011)","Pre Grid Sign off"
"7f491293-b1b8-4d36-973a-ef74a3a5af20","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","HWPPE (LG.B.011)","Pre Ceiling Sign off"
"181c054b-dc60-443b-9586-12d84f94723e","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","OFF CW (LG.B.017)"
"d290e521-6e8e-4663-96b7-54fe7bc1c6f2","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","OFF CW (LG.B.017)","Pre Sheet Sign off"
"4d99981b-a26b-4a29-aa94-ba085cd0b744","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","OFF CW (LG.B.017)","Pre Grid Sign off"
"0f4182d3-01aa-4d8a-85c8-b8a75ca18481","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","OFF CW (LG.B.017)","Pre Ceiling Sign off"
"4131ad17-7d14-419a-bea9-6459fbfc2188","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","BRES (LG.B.021)"
"b759d861-27b6-442c-bc56-8ccf149be486","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BRES (LG.B.021)","Pre Sheet Sign off"
"f68f59c0-0217-4dd0-a97c-4dcebd972f9e","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BRES (LG.B.021)","Pre Grid Sign off"
"48d8a9cd-fbcd-4759-9fe9-018992003562","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BRES (LG.B.021)","Pre Ceiling Sign off"
"d6f267a7-5798-43aa-8ffa-2e8a3ed67c11","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","DU SUB (LG.B.016)"
"258a3cae-9aa4-449b-8c81-a30a9c8c87c3","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","DU SUB (LG.B.016)","Pre Sheet Sign off"
"f0219d50-cfa2-4013-a9c3-67a44d447160","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","DU SUB (LG.B.016)","Pre Grid Sign off"
"b5fcf702-90d8-41fa-b3f1-fae57bd1c08c","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","DU SUB (LG.B.016)","Pre Ceiling Sign off"
"f274034b-0cce-4bc7-be82-50ab6b47295d","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","PIPE A (LG.B.570)"
"1e9e2e2b-fd13-48a9-b178-ef266717c98e","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PIPE A (LG.B.570)","Pre Sheet Sign off"
"dd43f650-28d0-46f1-a6ec-1f8a643c1070","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PIPE A (LG.B.570)","Pre Grid Sign off"
"ae05f454-068d-4495-8307-7f87eed81700","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PIPE A (LG.B.570)","Pre Ceiling Sign off"
"aa44e118-e9f3-4e63-9f06-6599584ac96b","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","DRY FIRE (LG.B.577)"
"403283aa-9c27-47e1-8f81-a4a3e07a765d","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","DRY FIRE (LG.B.577)","Pre Sheet Sign off"
"c50aaffa-f7bf-469d-b7f1-b27ec9f75080","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","DRY FIRE (LG.B.577)","Pre Grid Sign off"
"603b0888-9972-48be-ac8d-02a34f2f3aad","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","DRY FIRE (LG.B.577)","Pre Ceiling Sign off"
"638b347a-5f23-43fb-9479-642a676d7f74","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","MECH (LG.B.574)"
"bdf9feee-5d1a-4d7d-a2b7-30889f87a0ca","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","MECH (LG.B.574)","Pre Sheet Sign off"
"9c7d749d-48b6-458d-8c45-4120b24792fc","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","MECH (LG.B.574)","Pre Grid Sign off"
"7c3e853c-7b81-4752-839f-281d5040dddb","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","MECH (LG.B.574)","Pre Ceiling Sign off"
"c3d68b32-35aa-4128-b603-587ea65c9299","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","CR (LG.B.573)"
"aaba3504-cab6-4504-b254-d05486681bdc","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CR (LG.B.573)","Pre Sheet Sign off"
"43c1d912-e95b-4ec5-8b27-ad8bce34ee8f","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CR (LG.B.573)","Pre Grid Sign off"
"ebf65fc9-8654-4ece-ae51-e2fd2aa14e4c","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CR (LG.B.573)","Pre Ceiling Sign off"
"8dd00692-0b57-4b75-8871-2b24d335b6a0","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONDENSER (LG.B.571)"
"969cf330-089f-46ea-8aa2-19c036cb721e","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONDENSER (LG.B.571)","Pre Sheet Sign off"
"95544bcd-cd92-4d28-81c4-9c4edfcca741","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONDENSER (LG.B.571)","Pre Grid Sign off"
"dd07c701-beb5-4045-be7d-ff646f9a8061","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONDENSER (LG.B.571)","Pre Ceiling Sign off"
"afe58436-1d9e-490a-9a24-645e48228b0b","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","TRAVEL (LG.B.504)"
"26f4bcea-2c5a-495d-8389-fbe80e820a76","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","TRAVEL (LG.B.504)","Pre Sheet Sign off"
"bd0d2704-5c83-4302-baf3-b908d86b1cc6","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","TRAVEL (LG.B.504)","Pre Grid Sign off"
"ca6ca666-2f35-45b1-bae4-fd6d1b5c0022","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","TRAVEL (LG.B.504)","Pre Ceiling Sign off"
"80e86ef2-1ff2-428b-9d62-4541780ebe45","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","MECH (LG.B.576)"
"bdb2868b-1337-4685-b3ac-0d70674f3761","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","MECH (LG.B.576)","Pre Sheet Sign off"
"e4f05106-bbfb-4ecc-9c89-2e92d3d5ed45","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","MECH (LG.B.576)","Pre Grid Sign off"
"585687eb-0cad-43cb-bbae-fb6aa64bcf23","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","MECH (LG.B.576)","Pre Ceiling Sign off"
"adbdf0f8-f693-4846-be5b-6014d49f957a","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","EDB RM (LG.B.572)"
"940f7fb0-c273-4e7f-8d3b-f9d5b3d554a4","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","EDB RM (LG.B.572)","Pre Sheet Sign off"
"cd94e8ef-1ddc-482d-8b1e-fa6f562b6ae2","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","EDB RM (LG.B.572)","Pre Grid Sign off"
"1f306a81-d2bc-43a6-b607-6506e1ae92d2","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","EDB RM (LG.B.572)","Pre Ceiling Sign off"
"7ef2bcd7-8911-454a-b339-4c8368333f03","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","ERISE (LG.B.575)"
"830d0b3f-ea9b-4cdc-bc19-717f2fca59fa","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","ERISE (LG.B.575)","Pre Sheet Sign off"
"1fe220e1-30cd-4395-8727-c68b44d8a44c","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","ERISE (LG.B.575)","Pre Grid Sign off"
"0e4952a1-b29e-4871-b41c-b7a572ad0e61","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","ERISE (LG.B.575)","Pre Ceiling Sign off"
"8990f8c5-1f4b-4e69-aaec-4a6dd32cf3fb","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","STAIR B2 (LG.B.656)"
"e2b8c06b-856b-489d-b439-ccfbbd339e52","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","STAIR B2 (LG.B.656)","Pre Sheet Sign off"
"66a01f73-734a-4d1a-a094-d261d9d505c7","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","STAIR B2 (LG.B.656)","Pre Grid Sign off"
"3f8ca278-3757-4a1f-9834-39b423cef54a","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","STAIR B2 (LG.B.656)","Pre Ceiling Sign off"
"143474fc-11b1-4564-b2fd-7b515a5876d6","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","STAIR PRES (LG.B.601)"
"43404db0-9e73-4e16-8bbb-9763c949e1b9","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","STAIR PRES (LG.B.601)","Pre Sheet Sign off"
