"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8599c4b3-c860-4b72-888e-37488d0ab913","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"591fe72c-4725-5800-abe1-7d66cc1f8501","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"9d2d6742-1f40-4aee-b8b7-28a045f59fa2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture"
"91d920b2-45e6-4b6e-aa74-393baf02e3cf","","checklist-sectioned","work-in-progress","2e38763aea9cfef5386e9c397d1b9c4d03d3f1e56a7b082a6dc0712abde9da76","checklist","FALSE","FALSE","Precast Manufacture","weld plate details"
"9f4c1c4c-9558-5cfa-9c59-48fe66f34ab8","","checkpoint-group","work-in-progress","","","TRUE","TRUE","Precast Manufacture","weld plate details","weld plate details"
"e4dfa416-0fad-5a10-abd4-14c15a247bbd","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Precast Manufacture","weld plate details","weld plate details","Edge Detail"
"66441a8f-5eab-51f4-90fe-b1fe81ad56c9","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Precast Manufacture","weld plate details","weld plate details","Bar Projections"
"70851c5c-2104-593f-84f9-97da8a4afd12","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","weld plate details","weld plate details","Cast in items"
"6fecd6c2-cd67-4084-9963-c5db6d0f3255","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels 1 - 25"
"90c75b9c-8e22-4dd5-bd65-148a5704c77f","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 25","Panel -1"
"c6803a99-7956-5c76-9783-7c02a36e7eca","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check"
"250250c9-aeac-4289-99a8-8d65e9d6df7f","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 25","Panel -2"
"b7bf63ee-8bd2-534c-b8bf-ab100a3d48f8","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check"
"42f4dd8f-cba0-5d4b-84a2-2610721604ca","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check","Dimensions"
"0b4f965b-f9e2-54b8-ae57-8a344c7b215b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check","Mould Clean"
"a09e4a67-83a2-50cb-a0e3-da4d79739cb9","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check","Mould Oiled"
"bf9b9238-6706-54ac-a124-cc33517376eb","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check","Mould - Workmanship"
"4cad966c-7423-5951-ba46-11be81b63f8a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check","Reinforcing"
"4a1b282e-6cc1-526b-8c0c-80a9ee6624c2","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check","Cast In Items"
"e35957eb-9e9f-5c1d-9946-40770c06c421","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check","Marker Position and No."
"a93d2613-424f-537b-a65f-6e5e2674ecf8","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check","Make mould to Green Status"
"b3596e9c-3be0-53a3-85f8-8fe0c0687e98","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Concrete Works"
"3e7c5c26-3cbf-50ca-9bf6-7dd7fe250ce1","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Concrete Works","Concrete Works Details"
"7c470581-9e2f-5b0f-b77f-62171f884e51","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Concrete Works","Wilco Sample Taken"
"ac9fca83-2cc2-56f2-8191-8a18210c9277","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Concrete Works","Bridgeman Sample Taken"
"c8781687-ffd9-57fe-bfba-321cae6fa3b6","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Concrete Works","Supervisor Approval"
"241c68bb-adee-5d57-a5fe-699c1f4e9a10","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Post Pour Check"
"cbfd50a9-fe88-53a8-9a31-3147e4c1be05","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Post Pour Check","Edge Detail"
"ae404e20-bf19-539c-a1e1-ed613da0ba75","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Post Pour Check","Bar Projections"
"30709bd3-bbb5-5a1b-abab-a629acf6cd83","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Post Pour Check","Cast in items"
"794d8874-acf1-5436-a854-07dfee783d9f","","checkpoint-group","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Stripping and Stacking"
"acc14c2e-31f6-5739-b6bc-bd8a4f11c7c2","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Stripping and Stacking","Stripping & Stacking"
"60c904fe-3116-45fe-890f-e0d1a76bba16","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 25","Panel -3"
"98e29a4d-e97c-5b52-8a95-5ec5280eecf4","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check"
"89914d96-ab8d-5bd1-b8d0-9b65994d37c4","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check","Dimensions"
"fcea6ce3-4640-5b46-94dd-b1765c46a633","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check","Mould Clean"
"48979e10-f96c-5114-81a8-fced95aee823","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check","Mould Oiled"
"0f66f169-1c23-5086-9fde-7471969c9149","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check","Mould - Workmanship"
"24cbbc81-e336-501c-9c73-7d5526d9c802","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check","Reinforcing"
"b0ccac5f-ab64-5584-8c21-0b5a2901d96f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check","Cast In Items"
"d04038d9-d51a-55df-aa2a-643834372615","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check","Marker Position and No."
"006ebd79-efca-5fe0-802c-7bcbb1308630","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check","Make mould to Green Status"
"cbe88e7c-ed69-5a88-b0e1-58ad4ec0c017","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Concrete Works"
"667ef959-99f1-5ed7-9de4-547b91cc3578","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Concrete Works","Concrete Works Details"
"137dd84a-9dd7-5e30-acb2-2df5d0a60c1e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Concrete Works","Wilco Sample Taken"
"f769934b-2d70-5a7e-a07a-a9f54b947e24","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Concrete Works","Bridgeman Sample Taken"
"ea760767-b726-51be-8447-3163ed8bb3dc","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Concrete Works","Supervisor Approval"
"1431c2a6-ef50-5644-8bf9-2fa0c9e6c77b","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Post Pour Check"
"10767d5a-53c4-58a6-843a-a57436e97555","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Post Pour Check","Edge Detail"
"a82c79a3-b0ba-5dd4-803e-09b71e440526","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Post Pour Check","Bar Projections"
"b52d6251-8453-5f8d-8dee-43d99b761fb5","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Post Pour Check","Cast in items"
"83d362f4-32c2-5287-933e-2461f7d1c3e0","","checkpoint-group","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Stripping and Stacking"
"a10accc4-32c1-542b-b2ed-e60ba99a5bd7","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Stripping and Stacking","Stripping & Stacking"
"78b1ada5-b3d9-43e5-8ea3-25459360a26b","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 25","Panel -4"
"239e21e1-db4f-556b-85ce-905441b9552e","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check"
"62e1868f-9e14-5d1a-bbdc-d9902035a134","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check","Dimensions"
"a682c124-700e-544c-89f0-79bdf318d1d9","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check","Mould Clean"
"824a21c2-e75d-583c-beb0-1d770f72aef1","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check","Mould Oiled"
"21c4f6f2-1913-5d75-bac0-1b53dd302c3e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check","Mould - Workmanship"
"ba26628c-c330-5196-8406-567c161d3327","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check","Reinforcing"
"03053778-58b4-5ecf-93d1-828c4e873359","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check","Cast In Items"
"f73082c6-c6f6-5c52-8a20-8cb69c6cfebc","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check","Marker Position and No."
"e1fb5900-c3f1-5e94-8518-b2f34ecfb3fe","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check","Make mould to Green Status"
"7c64d3ec-cdaa-5339-872e-330dd4e61943","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Concrete Works"
"bbd7c1ce-487e-5e0d-bd84-1bfc4316282b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Concrete Works","Concrete Works Details"
"ae359ad1-6d96-5d85-a35a-beec61e8fead","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Concrete Works","Wilco Sample Taken"
"f5bed65a-2e89-5a84-852b-ff7a61962d10","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Concrete Works","Bridgeman Sample Taken"
"62ff2a83-9f3d-5bb3-b858-a94f04fb5113","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Concrete Works","Supervisor Approval"
"98027667-6dfc-5478-859c-1c87b55c6acf","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Post Pour Check"
"d7d2f562-95ce-5582-bc27-71cf13867aa8","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Post Pour Check","Edge Detail"
"500c341e-2860-5ed7-a204-0957cb37a0d2","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Post Pour Check","Bar Projections"
"57ba0e8f-1470-5e23-8b47-ba9d7fd7ac45","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Post Pour Check","Cast in items"
"c29b71e8-dcc4-53e5-9cfa-731e17e8d6b1","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Stripping and Stacking"
"a5628012-560e-57e8-b0ef-d1a46d16cddb","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Stripping and Stacking","Stripping & Stacking"
"3639193c-c01f-4f12-af7c-83fe2ad502fb","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 25","Panel -5"
"ab00f9f2-1428-5e6c-bcb3-25ec1c0db015","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check"
"a510ced4-2915-5ebc-be9b-06c61272c60a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check","Dimensions"
"6aff185d-8756-50f5-8821-f62039c091cf","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check","Mould Clean"
"e1d30b6a-3e21-530b-855d-d201c3dbde49","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check","Mould Oiled"
"2549231f-7554-5e5c-8ee1-5427844a78cb","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check","Mould - Workmanship"
"5a51eb97-e83a-5f2d-bf73-207a5b0d58a6","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check","Reinforcing"
"aa9475cc-76ec-585c-868a-7482b7d680a8","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check","Cast In Items"
"f22f7b36-ccb4-5e03-a093-59b137260574","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check","Marker Position and No."
"c8876779-225f-5aae-b2f7-66f6ee53d5f9","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check","Make mould to Green Status"
"ebb92225-9b1f-5221-ad37-5ff0d71c173f","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Concrete Works"
"65c19b9f-2fa3-5c4a-8388-787f102be9f0","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Concrete Works","Concrete Works Details"
"5e2ec127-9390-529f-9450-27ff582cea39","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Concrete Works","Wilco Sample Taken"
"e77a75a1-cac5-563f-9fc3-695c2e88cde9","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Concrete Works","Bridgeman Sample Taken"
"662509c4-7136-526b-ba2f-1599c1ea5233","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Concrete Works","Supervisor Approval"
"398ea231-7951-539c-b01b-ecce39733aaa","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Post Pour Check"
"5aaa8de2-d0dd-5367-94d3-ca2217ddd666","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Post Pour Check","Edge Detail"
"83a1278b-7200-5e32-877d-be20b8a5295a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Post Pour Check","Bar Projections"
"77ffe86a-a30d-5b87-b2f2-02fb5e033ffc","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Post Pour Check","Cast in items"
"6347b707-06cd-584b-b4d0-0b0085c255c5","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Stripping and Stacking"
"d56ecfc4-13c2-5e1a-808a-95f0b576ed89","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Stripping and Stacking","Stripping & Stacking"
"d13753c2-2c8b-4e54-bac8-0aba109732b2","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 25","Panel -6"
"c04cfc48-3b51-576a-821e-2349c124b0cf","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check"
"71f8e0dd-0f4a-5ed1-97d8-1fa0259d1b94","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check","Dimensions"
"10924bb1-bdcf-5739-8e0f-1b01db2710c9","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check","Mould Clean"
"e235704d-943d-501e-b091-c9cf1fa77a7e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check","Mould Oiled"
"55586003-867d-5fb3-bca7-890831478a36","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check","Mould - Workmanship"
"283e061d-4fcf-5bd9-9e2a-3ec0c14abde6","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check","Reinforcing"
"5c6de0ed-4d77-5c6d-b9c8-b67b7d0daba8","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check","Cast In Items"
"24837302-63b3-51d1-8c6d-f49c220cfc2a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check","Marker Position and No."
"c382f015-6fd1-5cbf-94e1-82e955fa2888","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check","Make mould to Green Status"
"805216e2-9fcb-5fbf-a7b3-f256411a1a8d","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Concrete Works"
"093fc171-6c15-5f86-ab34-b0a7d588ecda","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Concrete Works","Concrete Works Details"
"ab83a1f0-d82a-5bcb-b0c7-e96239f72584","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Concrete Works","Wilco Sample Taken"
"24a09bcc-7ce4-558d-aac9-3e3dc8a9b663","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Concrete Works","Bridgeman Sample Taken"
"c806f8ab-3c4f-5265-8429-1fb59a2ea44e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Concrete Works","Supervisor Approval"
"5b884c2f-31a8-5f01-ab04-d5655f61371d","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Post Pour Check"
"2df3a3ce-6b4b-59ce-8a67-5b4bd558607b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Post Pour Check","Edge Detail"
"66eed6b6-02c6-5434-8cca-c9f35238c5b3","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Post Pour Check","Bar Projections"
"5f961c7f-8924-5ce8-8e87-9bfbf1fd8956","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Post Pour Check","Cast in items"
"d3c6799b-d033-5655-900a-50003378b29c","","checkpoint-group","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Stripping and Stacking"
"1a032ad1-16e9-5ebc-bec7-684705eca098","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Stripping and Stacking","Stripping & Stacking"
