"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7920ef75-a4c1-4a8c-9157-82f19b1f1f52","","checklist-flat","","734b9d363aedb7dda42c38a805789356110a5ecc0dc38ec6ebe7d6973e97b96f","checklist-flat","FALSE","FALSE","Overall Pre-set"
"97a3ae05-9161-4a71-a183-dcf378c7e4b2","","folder-normal","","","step","TRUE","FALSE"," QA"
"b42ad035-2ee4-4c05-9144-0f52f74cb494","","folder-normal","","","step","TRUE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)"
"df4a6710-8d39-4669-a05d-125d79d4b0ed","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 13"
"604a1a7b-fab2-45f8-87e7-dddf19f18416","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 14"
"22c48cb9-7da4-4a5b-91bc-ddd792f349f6","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 15"
"cbd59ef9-9c58-46eb-8a97-8a7ba0361d54","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 16"
"8e48f5fb-fe62-49d6-8c37-5067b31c9279","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 19"
"be3ad96c-09af-47a5-95f2-0af48feac2ac","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 20"
"cf67e9aa-be1a-42e2-982b-512691aeb64d","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 21"
"0c5d2618-ea35-4356-a075-00345eb02f8d","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 22"
"2ef1367e-d684-42a6-84f7-ef9a91478666","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 23"
"7ef43218-998c-48a2-8589-982d7b1adb1c","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 24"
"21337c2b-f3cb-4a8f-a708-2b77c71a9280","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 25"
"d158c0df-7851-49f7-9447-7fa1fadc613d","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 26"
"adf1f366-aa82-4b53-b327-af9993745e55","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 27"
"d95f51b4-0412-4c84-821e-bbd4b935bb1b","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 28"
"de58e607-689e-4ba0-b2f9-5dac7e561394","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 29"
"0f25a2ab-e9ad-4ad3-bb9c-f15655777d41","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 30"
"84a22c50-9bfa-40fd-b20d-e77be07bdfe0","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 31"
"0db2f5ff-9c5a-43c1-ac75-e5f14db9dc2f","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 32"
"19c3bc69-aac7-494a-8751-9cfcea0ae92b","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 33"
"53faf001-4f46-4b1b-afbd-dd60db73bbbc","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 34"
"23fc9810-1968-43ab-9c72-28a5b5661f9a","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 35"
"c4c7744c-c465-462e-9abd-e3bfaa37d134","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 36"
"49642263-e87d-4f9b-b7f7-bb8f3dcacf92","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 37"
"70db5719-d00e-4ccd-b291-183d1128b3d6","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 38"
"4418137d-1105-43c7-9d13-91c0ca754995","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 39"
"fa32553e-193b-40b4-8758-2434ebe35194","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 40"
"12584773-6fce-4b26-85e3-8ea8583499a4","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 41"
"e3dd14b9-080b-4a3e-8d11-8b3055959d90","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 42"
"d04d3ff5-8428-4c71-95a7-ac1dbfc8ab95","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 43"
"ea83d56f-a383-49ba-920c-74386a044baa","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 44"
"78d88faa-99ca-472b-a94c-3e026cc5f354","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 45"
"4f23829e-23dd-4821-a80d-b7a54d373461","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 46"
"984a90c5-6e69-443c-aed8-51fee1608764","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 47"
"81bf45af-4c38-4e57-98ce-622fc1b8defe","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 48"
"871e2a47-875b-40d3-aba1-bbb200237af0","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 49"
"43798910-7b93-4cde-b9a8-e5149fa6f787","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 50"
"5168ce4c-da47-418b-8e2d-fa512d019f15","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 51"
"d0a2f415-da95-4ad7-9789-e4f33a34266c","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 52"
"df1ae978-7b7a-44f9-a146-f8759a4a4ad1","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 53"
"a52d4d09-e64b-41b7-9ac2-989779331283","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 54"
"1f62dc2a-c98f-46d4-9263-0c7b3c184ccb","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 55"
"815186e5-b61f-4d90-9610-816fad6035a8","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 61"
"70288049-e906-43d2-b5e2-bb45349cabd3","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 62"
"db901a4d-34e3-4a7f-8af0-af7fffb76c17","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 63"
"6f225523-2d8c-42c4-a13d-4085fab7b97c","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 64"
"2e8535ee-fc6d-4dde-898a-c13e1c57735a","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 67"
"7bfa4fe6-0e58-45da-87d7-020a9c5661d1","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 68"
"cfa85e60-9e6b-4208-a3c2-6c81a300dc04","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 69"
"3eb3bfa5-4aa4-4eb5-bc1c-2e83dca102d1","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 70"
"ad68b651-55b3-4b5f-bb92-667179a89883","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 71"
"bf99a24e-094a-4c76-b194-f721394a30e6","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 72"
"44aff5c5-48c3-4769-91d0-a21eaf318612","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 73"
"1d7fc9f2-d5be-4af2-9e27-3acd4c30b28b","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 74"
"9b4846a3-4cd9-40b0-8d2e-823dc44880f6","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 75"
"7e66bd30-55e6-40cf-9594-c61d95d05f26","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 76"
"f4cc0b1d-9fb1-472b-98c6-eaac61a45b36","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 77"
"f0e5a97b-ea0d-4698-8321-e4905289f69f","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 78"
"ba93b60a-ca7a-473b-a6b1-7ba356104574","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 79"
"288a8d23-0107-40ed-b26e-58bbe4fb0f03","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 80"
"7195e9fe-1152-4bf9-962d-f932a6ff81c9","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 81"
"9793a388-664a-4510-bf07-51afc05d50a7","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 82"
"a71c6258-106b-49d6-8946-024401171cec","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 83"
"51625638-8b00-4706-ada8-8d711468dcc3","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 84"
"645eea50-483c-42a8-979b-a44c1b5de88a","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 85"
"7be68454-f208-4450-8662-3ef11d01766d","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 86"
"09e3ae9b-deab-446b-92d4-a812aa22f6c9","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 87"
"9af0e426-6ba2-4b3d-94db-f755fe4f9866","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 88"
"0b406fbf-dfb3-4ebb-8523-5a7a43f96ef4","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 89"
"6eada103-d4f9-44a6-8724-28d57383a0b0","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 90"
"a8a461f2-c86e-4748-bbd0-89a2c552ab25","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 91"
"ecd90128-b811-47f3-81d2-a3498c9b1ef8","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 92"
"6d67b9e7-7cbf-4758-8cef-6fbcd2caac01","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 93"
"6458d09b-5391-4007-b9a7-b9c48bab1420","","folder-normal","","","step","TRUE","FALSE"," QA","4no Parapet Protectors (Supply Only Evidence Required)"
"689519a8-8b7d-41e6-9cfd-966c093f9fce","","checklist-flat","","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE"," QA","4no Parapet Protectors (Supply Only Evidence Required)","Supply Only Checklist - Miscellaneous Item - 4no Parapet Protectors"
"2f98ecd0-ebc8-4c71-87db-5b2593af582d","","folder-normal","","","step","TRUE","FALSE"," QA"," Item 01 - 2No Over-Parapet Stairs"
"f7209dee-ab1d-4d3c-8956-b4c62bdafc0b","","checklist-flat","","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE"," QA"," Item 01 - 2No Over-Parapet Stairs","Fit Off Checklist - Miscellaneous Item -  Item 01 - 2No Over-Parapet Stairs"
"e62677be-a791-4179-a6bc-dfd89df130c4","","checklist-flat","","Data Plate, Access Point & Carriages/Travellers","checklist-flat","FALSE","FALSE"," QA","Data Plate, Access Point & Carriages/Travellers"
"fffd8ab4-1a52-429f-a40f-e17de749f34f","","folder-normal","","","step","TRUE","FALSE"," QA","1no RoofSafe Cable System @ 11m - Line 01"
"de0855e9-7811-4d34-91a9-2aabf6e3a593","","checklist-flat","","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","1no RoofSafe Cable System @ 11m - Line 01","Pre-Fit Off Checklist - Line 01"
"2ff87102-4357-4cea-a606-eb1f1fcfbfb2","","checklist-flat","","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","1no RoofSafe Cable System @ 11m - Line 01","Fit Off Checklist - Line 01"
"e620e57a-80ad-4c4b-a734-f846daa5c182","","folder-normal","","","step","TRUE","FALSE"," QA","1no RoofSafe Cable System @ 17m - Line 02"
"bfbd586e-9654-4786-a2ac-dc808efbfc8d","","checklist-flat","","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","1no RoofSafe Cable System @ 17m - Line 02","Pre-Fit Off Checklist - Line 02"
"4157daef-e861-4e9d-9998-158f0d4d44d8","","checklist-flat","","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","1no RoofSafe Cable System @ 17m - Line 02","Fit Off Checklist - Line 02"
"c43b55cc-d550-4fcf-a01f-dba228c04cc5","","folder-normal","","","step","TRUE","FALSE"," QA","1no RoofSafe Cable System @ 23m - Line 03"
