"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"47cc57db-ce0b-4b2d-bc0f-df3ed9d92105","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"d2bc6f9a-3659-4254-bbc9-8156bc12a474","","not-started","","folder","TRUE","FALSE","Project QA"
"30d486c4-bcf4-4def-86c5-c83eff48bd03","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - Master bed ( APL Residential Series )"
"a19b4009-6ee4-464f-962c-6a49c22f0aa1","","not-started","","folder","TRUE","FALSE","Project QA","Item 7 - Bed 3 ( APL Residential Series )"
"fa0f391e-7849-4fb5-86f5-da515154b13d","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 7 - Bed 3 ( APL Residential Series )","Assembly"
"b41b7bf0-97ac-4d6e-b047-d0df0bae94ed","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - Bed 3 ( APL Residential Series )","Glazing & Pre-Delivery"
"dfae44ee-e15c-4bfa-978a-cf42c1d91d6c","","not-started","","folder","TRUE","FALSE","Project QA","Item 8 - Bath ( APL Residential Series )"
"dd6613ea-7989-4af9-92f5-96e6b237968a","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 8 - Bath ( APL Residential Series )","Assembly"
"eafa480b-d53c-435a-8769-d66991c125b9","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 8 - Bath ( APL Residential Series )","Glazing & Pre-Delivery"
"eaee1d7d-38d2-4818-b771-fc94c9795593","","not-started","","folder","TRUE","FALSE","Project QA","Item 9 - Office Area ( APL Residential Series )"
"622f4a8a-6cad-4ae0-9738-2486c332c6b4","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 9 - Office Area ( APL Residential Series )","Assembly"
"c57f4d94-a049-40bd-b867-707c3b232dda","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 9 - Office Area ( APL Residential Series )","Glazing & Pre-Delivery"
"9e59086a-93b6-4829-8bbf-b31d564d2623","","not-started","","folder","TRUE","FALSE","Project QA","Item 10 - Office Area ( APL Residential Series )"
"778d3c6c-e434-435f-863a-db28c566bbbb","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 10 - Office Area ( APL Residential Series )","Assembly"
"492d9c24-7a5d-41a1-a9e8-b6ded2b71e8c","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 10 - Office Area ( APL Residential Series )","Glazing & Pre-Delivery"
