"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"846f4537-281d-4391-b461-8bd55d4ef6a4","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"e7c6bf99-a4ed-44bb-b800-c600cb158ce1","","not-started","","folder","TRUE","FALSE","Project QA"
"480b410a-22bf-4373-a157-701ce12be997","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - B1.W05 Unit 1 Bedroom (APL Residential TH+)"
"e89c1b8c-5e9b-46d7-8359-6d8ddf377887","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - B2.D05 Unit 2 Entry (APL Residential TH+)","Glazing & Pre-Delivery"
"e948361b-eb61-46c0-bf7f-8ab9b94486ee","","not-started","","folder","TRUE","FALSE","Project QA","Item 5 - B2.W01 Unit 2 Bedroom (APL Residential TH+)"
"ab258c2a-1243-461c-8b93-8ce14fb072e6","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - B2.W01 Unit 2 Bedroom (APL Residential TH+)","Assembly"
"36de3579-f2f0-4223-911c-f3dd2025af3a","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - B2.W01 Unit 2 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"57d56c0c-0aa1-4410-86df-7516d3908123","","not-started","","folder","TRUE","FALSE","Project QA","Item 6 - B1.W02 Unit 1 Living (APL Residential TH+)"
"80a31be3-03fe-4514-9a0c-dca41ad37c51","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - B1.W02 Unit 1 Living (APL Residential TH+)","Assembly"
"61a01098-b0b6-4b28-b768-767a572e4ee6","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - B1.W02 Unit 1 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"eeb96c37-3825-4b17-b1a3-4e3d66d292df","","not-started","","folder","TRUE","FALSE","Project QA","Item 7 - B2.W02 Unit 2 Living (APL Residential TH+)"
"dbe097c9-0fef-4c4b-aa68-b1fdcda6a22c","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - B2.W02 Unit 2 Living (APL Residential TH+)","Assembly"
"28d3b98f-0779-4a11-97ab-dd52b4a13b74","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - B2.W02 Unit 2 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"1be8835b-34e0-4e9a-8b74-155264ce84ee","","not-started","","folder","TRUE","FALSE","Project QA","Item 8 - B2.W05 Unit 2 Kitchen (APL Residential TH+)"
"e29a1e9c-2cc0-4aab-9236-196d93adaa82","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 8 - B2.W05 Unit 2 Kitchen (APL Residential TH+)","Assembly"
"f8908c74-5a57-412d-9569-16b90968a86b","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 8 - B2.W05 Unit 2 Kitchen (APL Residential TH+)","Glazing & Pre-Delivery"
"efac2f18-42be-47f6-8f2d-25d44f347305","","not-started","","folder","TRUE","FALSE","Project QA","Item 9 - B2.W05 Unit 2 Kitchen (APL Residential TH+)"
"26005c4f-45f3-4426-82ac-47dc7063a8f5","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 9 - B2.W05 Unit 2 Kitchen (APL Residential TH+)","Assembly"
"4fe3c748-3976-4603-8995-a48f09e4e34f","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 9 - B2.W05 Unit 2 Kitchen (APL Residential TH+)","Glazing & Pre-Delivery"
"b26ecb47-54e0-4f21-aa97-6de2ad555098","","not-started","","folder","TRUE","FALSE","Project QA","Item 10 - B1.Unit 1 WC (APL Residential TH+)"
"2f939f9d-e33e-4afd-9361-955bbee497a7","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 10 - B1.Unit 1 WC (APL Residential TH+)","Assembly"
"702854a3-f76d-4bbb-b0ba-5f88a65466e9","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 10 - B1.Unit 1 WC (APL Residential TH+)","Glazing & Pre-Delivery"
"9715c3af-5fb5-42fa-a803-74cc0b0f7a8c","","not-started","","folder","TRUE","FALSE","Project QA","Item 11 - B1.W11 Unit 1 Kitchen (APL Residential TH+)"
"7d7f4d10-3dc2-4d52-b569-cd325ddee8d5","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 11 - B1.W11 Unit 1 Kitchen (APL Residential TH+)","Assembly"
"930a0259-f684-4740-8686-024aa137e5a1","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 11 - B1.W11 Unit 1 Kitchen (APL Residential TH+)","Glazing & Pre-Delivery"
"764a4da3-f69d-4d27-b26d-ad94bf2a0b06","","not-started","","folder","TRUE","FALSE","Project QA","Item 12 - B1.W07 Unit 1 Living (APL Residential TH+)"
"8bdc7b69-3328-4034-92f5-93dd9d779273","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 12 - B1.W07 Unit 1 Living (APL Residential TH+)","Assembly"
"7abaed5e-5ab1-4786-831e-c1fab2d3175c","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 12 - B1.W07 Unit 1 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"82477150-beb0-4744-a557-314117e3486a","","not-started","","folder","TRUE","FALSE","Project QA","Item 13 - B1.W03 Unit 1 Bedroom (APL Residential TH+)"
"872d50ba-b80e-496f-84ac-3b8faa068a03","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 13 - B1.W03 Unit 1 Bedroom (APL Residential TH+)","Assembly"
"2717ace0-a590-4801-b624-7f15095a4a0e","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 13 - B1.W03 Unit 1 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"8e541ff4-003b-45f8-8b66-d313802c6d65","","not-started","","folder","TRUE","FALSE","Project QA","Item 14 - B2.W03 Unit 2 Bedroom (APL Residential TH+)"
"01095bcd-9256-4de2-9171-3aa81e7fca99","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 14 - B2.W03 Unit 2 Bedroom (APL Residential TH+)","Assembly"
"b8eb0362-f65d-4c9b-b67b-e90ef34b91b1","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 14 - B2.W03 Unit 2 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"46782150-d79a-422d-9ef8-99b2408800f7","","not-started","","folder","TRUE","FALSE","Project QA","Item 15 - B2.W06 Unit 2 Bedroom (APL Residential TH+)"
"7678e05f-b218-4cb8-9516-9da40b48ae9d","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 15 - B2.W06 Unit 2 Bedroom (APL Residential TH+)","Assembly"
"10541369-2465-4888-ae27-2a387c13f0a8","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 15 - B2.W06 Unit 2 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"792b7426-505e-4a7a-9a91-e4d925db9c36","","not-started","","folder","TRUE","FALSE","Project QA","Item 16 - B1.W12 Unit 1 Bedroom (APL Residential TH+)"
"eb87b8bc-f984-4db4-be04-268882a62483","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 16 - B1.W12 Unit 1 Bedroom (APL Residential TH+)","Assembly"
"06fb6cd5-0e8b-47d4-bcbc-b1129128a154","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 16 - B1.W12 Unit 1 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"589bb34e-fb91-4b98-ae0c-f8511eae7a46","","not-started","","folder","TRUE","FALSE","Project QA","Item 17 - B1.W08 Unit 1 Bedroom (APL Residential TH+)"
"7fdd60f3-3a0f-4d60-ae4d-c9349166309a","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 17 - B1.W08 Unit 1 Bedroom (APL Residential TH+)","Assembly"
"fcff51d6-2e7e-4eb1-a0c5-0c049f53dcb2","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 17 - B1.W08 Unit 1 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"eae1f36d-10f0-4fbf-bd7a-0c4e4b77bcc9","","not-started","","folder","TRUE","FALSE","Project QA","Item 18 - B1.W09 Unit 1 Bathroom (APL Residential TH+)"
"2f17b375-6afe-4dce-89bb-1706ab2721b6","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 18 - B1.W09 Unit 1 Bathroom (APL Residential TH+)","Assembly"
"722a1e8d-d596-4a4d-b6c4-a08bd1b9ad0b","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 18 - B1.W09 Unit 1 Bathroom (APL Residential TH+)","Glazing & Pre-Delivery"
"9bc9b049-df25-4c34-978d-58708f568ba9","","not-started","","folder","TRUE","FALSE","Project QA","Item 19 - B1.W10 Unit 1 Bedroom (APL Residential TH+)"
"58ebd735-3b4c-4a04-8108-ad3ed578248d","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 19 - B1.W10 Unit 1 Bedroom (APL Residential TH+)","Assembly"
"118481fe-8279-4bcf-8dc4-b10e0670a03c","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 19 - B1.W10 Unit 1 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
