"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4fa44669-0444-4d09-8eca-c8f7d60c5001","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"2405d714-1336-4e22-9cba-c57ebd8387a5","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"25db3bfb-9d1f-451d-8f3b-ac0c246699d7","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 1 - D1 Entry (APL Residential TH+)"
"1acbdf06-b790-4185-9d76-48e48480ebaa","","pass","","folder","TRUE","FALSE","Project QA","Item 5 - W4 Ensuite (APL Residential TH+)"
"d4168475-e370-45c0-a507-971a3781e8c3","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 5 - W4 Ensuite (APL Residential TH+)","Assembly"
"32d68f35-a812-40cd-b7ca-99cef296a38f","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - W4 Ensuite (APL Residential TH+)","Glazing & Pre-Delivery"
"83fb98e5-d15e-4a64-94e1-dc49dee11432","","pass","","folder","TRUE","FALSE","Project QA","Item 6 - W5 Lounge (APL Residential TH+)"
"093c1b05-798b-4e38-b4aa-01413185302b","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 6 - W5 Lounge (APL Residential TH+)","Assembly"
"ecab572f-9fa3-4400-a286-223bba7af6d1","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - W5 Lounge (APL Residential TH+)","Glazing & Pre-Delivery"
"d374d76e-bfb9-4659-bd83-7b76b0f0dfa2","","pass","","folder","TRUE","FALSE","Project QA","Item 7 - W6 Lounge (APL Residential TH+)"
"516f2649-5ee7-4c04-9ded-3b577c7da5ae","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 7 - W6 Lounge (APL Residential TH+)","Assembly"
"9d0d269f-ec98-441a-9056-8cbbbd0363d5","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - W6 Lounge (APL Residential TH+)","Glazing & Pre-Delivery"
"09cd1527-5c21-4997-9e9c-142e1edb864d","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 8 - D2 Living/Dining (APL Residential TH+)"
"8a850b66-932f-4672-abbe-e7d10647a13e","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 8 - D2 Living/Dining (APL Residential TH+)","Assembly"
"17a7fc82-6d8b-4745-b0d4-ed7181642730","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 8 - D2 Living/Dining (APL Residential TH+)","Glazing & Pre-Delivery"
"f577f55a-c0a0-432f-9fb7-57624616210a","","pass","","folder","TRUE","FALSE","Project QA","Item 9 - W7 Bedroom 3 (APL Residential TH+)"
"1b316694-61f3-4f6f-a8b9-9887a25aaa8c","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 9 - W7 Bedroom 3 (APL Residential TH+)","Assembly"
"a9940c83-03e6-437e-a372-e4199fb954b2","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 9 - W7 Bedroom 3 (APL Residential TH+)","Glazing & Pre-Delivery"
"894dd0f3-c098-46d6-8092-09e871925131","","pass","","folder","TRUE","FALSE","Project QA","Item 10 - W8 Bed 2 (APL Residential TH+)"
"a945d5b4-c186-4172-bb4f-e34d3bcd21a2","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 10 - W8 Bed 2 (APL Residential TH+)","Assembly"
"8599bee1-7ee6-4758-a295-3ce2084b7104","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 10 - W8 Bed 2 (APL Residential TH+)","Glazing & Pre-Delivery"
"4d4a0c19-9c40-4e87-b9a9-ef741ba72020","","pass","","folder","TRUE","FALSE","Project QA","Item 11 - W9 Bathroom (APL Residential TH+)"
"609a72b0-ece3-4798-b6d2-4d65de3396b8","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 11 - W9 Bathroom (APL Residential TH+)","Assembly"
"e890279f-2a03-492f-a3ac-a01f528f0489","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 11 - W9 Bathroom (APL Residential TH+)","Glazing & Pre-Delivery"
"08cf46b4-8219-4464-b5d3-8cd07e0f7aec","","pass","","folder","TRUE","FALSE","Project QA","Item 12 - W10 LDY (APL Residential TH+)"
"77a55104-2522-4df8-9804-e877f07c328e","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 12 - W10 LDY (APL Residential TH+)","Assembly"
"52845339-0f36-4eb3-a724-c45cb29694a5","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 12 - W10 LDY (APL Residential TH+)","Glazing & Pre-Delivery"
"49204477-dd4f-4f2a-bc91-60bb30fba5f8","","not-started","","folder","TRUE","FALSE","Project QA","Item 13 - D3 Living (APL Residential TH+)"
"37071906-71e5-4cf5-9882-5e3c74162552","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 13 - D3 Living (APL Residential TH+)","Assembly"
"dc3c3fa1-fee8-47d8-b144-4f08082f83b8","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 13 - D3 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"18a67ff4-b201-4bca-bfee-e8c53d1a06d6","","pass","","folder","TRUE","FALSE","Project QA","Item 14 - W11 Scullery (APL Residential TH+)"
"eb3ae2c2-e76a-4073-8f0c-8dd81f450098","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 14 - W11 Scullery (APL Residential TH+)","Assembly"
"b2c4b2ab-37a3-42f2-b86a-6808615f6e42","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 14 - W11 Scullery (APL Residential TH+)","Glazing & Pre-Delivery"
