"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8bc81eb0-31ac-4810-a97c-b025c096caec","","checklist-flat","not-started","Job Details Checklist","checklist-flat","FALSE","FALSE","Job Details"
"0e0ea333-76b3-5030-8667-e5581490185f","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"5557a69d-7220-4851-953f-d10c35237d65","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA"
"77af0970-ddfb-4915-9fe2-843eb5506f4d","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA","Panels"
"19e38baa-9749-4ea9-9357-817654029a3c","","checklist-sectioned","not-started","Precast Panel QA","checklist","FALSE","FALSE","Panel QA","Panels","P1"
"95250c91-a5db-5452-8ae4-872b711f42ed","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P1","Precast Element Details"
"1183dbae-2fbf-5bc6-8866-8bf2bd5344a1","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Prepour Checks","Check covers on all sides, MF and TF"
"723e15df-d527-59a8-bb8f-5368816a7d48","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Prepour Checks","There is sufficient cover to rebates around openings or weatherproofing details"
"78bf1846-0f7a-5651-a70f-4888510015ca","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Prepour Checks","Starters (Size, Grade, Setout and Length)"
"5d49ee5e-4be5-5932-9926-9e60432fa9a0","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Prepour Checks","Inserts on TF (Weld plates, RB's, TIM's, Penetrations, DB's, Rebates)"
"491a4700-4156-5609-96fc-702345c545d5","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Prepour Checks","Lifters"
"1362c44c-be5d-5aeb-b033-ae40e1fb11a7","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Prepour Checks","Tie wire Trimmed"
"81fd24bf-1492-5575-a9a9-fba8b416bc92","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Prepour Checks","Panel fully clean"
"d844125a-ed08-55c3-832a-a9be101fab60","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Prepour Checks","General Photos Attached"
"92f0e11f-ff45-527d-aea1-d441c826fc38","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Prepour Checks","Shop Drawing Checked Off (attach photo)"
"9a899ba5-8cfa-5ba6-b4d1-328798baf80c","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P1","Demould Inspection"
"fd320931-65c7-58b8-b08e-ea1c204e8fec","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Demould Inspection","Demould Inspection complete"
"3fe635f3-6077-5808-aa0e-b7b0aa2c01d3","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P1","Loading Out"
"ee67fd9a-6e07-51f2-b3ef-c92d2babca51","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Loading Out","Photo take of Panel on Truck"
"fc383d2d-ae0c-56e7-954c-716e34f5d77a","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Loading Out","No remedial work required on site"
"905d4c13-3d4c-5d11-b441-b5a0803c2816","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P1","Test Results, Certificates and Documentation"
"d83a74e1-6bb3-538c-bc34-b2d0a3547c3d","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Test Results, Certificates and Documentation","Upload reinforcing detail sheets"
"f472bdf3-ec92-5fbe-9d84-72a2c831c9fc","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Test Results, Certificates and Documentation","Concrete Docket Attached"
"aa33dfb0-87ad-5cca-b20f-82a025e6611d","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Test Results, Certificates and Documentation","Upload Concrete test results"
"80583533-9014-5b81-bf5d-2965c9dcbcab","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Test Results, Certificates and Documentation","Upload Photo of Reinforcing Cast # Tracking"
"896a1683-89db-55db-8543-2a535e048a84","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Test Results, Certificates and Documentation","Upload Lift Designs"
"50c7ff09-4d93-4eed-8732-b18e0d8d21c7","","checklist-sectioned","not-started","Precast Panel QA","checklist","FALSE","FALSE","Panel QA","Panels","P2"
"e87deaf6-b51f-5275-bcda-3d826b6fe0e9","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P2","Precast Element Details"
"44748d27-84ec-5e2a-8dc8-807ad3e143e2","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Precast Element Details","Concrete Details Complete"
"eaee04f6-b2ed-5d27-87ea-56782a58053e","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P2","Formwork Set Up Checks"
"053fd70e-ab40-516b-a12b-a06b3de85629","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"85f6c30e-9aff-5344-b63e-76e8bf28fcf4","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Formwork Set Up Checks","Edge Details & Rebates"
"50dca7e9-4b76-5103-a693-5b5b6b124aa5","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Formwork Set Up Checks","Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)"
"f7241968-1073-58e4-9867-6bdf0a071a38","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Formwork Set Up Checks","MF roughening's"
"b2a8ccfe-399e-58c6-a8d6-b7d01e207c74","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"09c2a391-7d12-5690-b6db-fefa9f05333d","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Formwork Set Up Checks","Mould Face Clean"
"30bfc298-d979-50cb-8e52-0bbafbc84bed","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P2","Prepour Checks"
"ad7f5670-6732-5035-a38a-c303864e16ca","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Prepour Checks","Mould Cleaned & Oiled"
"0c92d867-e49f-5c07-8b9b-a44e2fffac5a","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Prepour Checks","Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)"
"0679534c-eb6c-595b-9865-a44684276d9a","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Prepour Checks","Check covers on all sides, MF and TF"
"330c8ff5-b910-55a5-9c58-6269fb43dff3","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Prepour Checks","There is sufficient cover to rebates around openings or weatherproofing details"
"3dc03a97-213e-50c2-8f30-07a31e6a4ab7","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Prepour Checks","Starters (Size, Grade, Setout and Length)"
"5266a909-6f9c-5709-a3e7-c24cefc7db86","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Prepour Checks","Inserts on TF (Weld plates, RB's, TIM's, Penetrations, DB's, Rebates)"
"efeb00d3-81fb-557d-bcfc-2f430e654289","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Prepour Checks","Lifters"
"2b027867-57a0-5468-a7e4-0a4efc6b6a7e","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Prepour Checks","Tie wire Trimmed"
"9da6b05e-9a4a-585d-b59d-157afeeb1e16","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Prepour Checks","Panel fully clean"
"00b98b85-36b9-5da7-a4cd-8ff6ff9676ea","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Prepour Checks","General Photos Attached"
"32dc1bc7-93f8-5e68-83c2-5dc3876844d1","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Prepour Checks","Shop Drawing Checked Off (attach photo)"
"9c5e2571-8656-5510-ac85-ab3eeee2fa3c","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P2","Demould Inspection"
"e2b75ba0-adda-50ad-b3a9-569e68f14685","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Demould Inspection","Demould Inspection complete"
"cbf39b25-29d5-5757-a8ed-f8c9822a3789","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P2","Loading Out"
"f5300e0c-8515-59a6-930d-d0be7dcce8b3","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Loading Out","Photo take of Panel on Truck"
"f4f20174-6c1b-58ce-9cd8-38bbbb7fef50","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Loading Out","No remedial work required on site"
"d1d3bb84-01f2-51d5-a8eb-6d3a8af5ba4e","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P2","Test Results, Certificates and Documentation"
"ddc22eb8-9a9f-5aff-9322-719be588f5fd","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Test Results, Certificates and Documentation","Upload reinforcing detail sheets"
"847d1f48-ca7a-5f67-bac1-9d34bab54935","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Test Results, Certificates and Documentation","Concrete Docket Attached"
"9a16c95c-152f-5745-81fb-beaa5084feaf","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Test Results, Certificates and Documentation","Upload Concrete test results"
"ce898196-d644-511c-ab4a-eec5715edaea","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Test Results, Certificates and Documentation","Upload Photo of Reinforcing Cast # Tracking"
"197dc45b-bbe7-5b2e-be4b-c590d31fae0a","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P2","Test Results, Certificates and Documentation","Upload Lift Designs"
"e4a3a8b7-1fac-4c06-82ee-2cf425f387c0","","checklist-sectioned","not-started","Precast Panel QA","checklist","FALSE","FALSE","Panel QA","Panels","P3"
"627e7fca-8145-54a7-98da-03b193558767","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P3","Precast Element Details"
"f5279a18-224c-5f4b-a544-fb26619dde1b","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Precast Element Details","Concrete Details Complete"
"3feb0f75-6a3c-5ddf-80db-44c066d71958","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P3","Formwork Set Up Checks"
"0cf0a545-eae9-50f1-8599-4c266e9a9a11","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"c4d3a95a-e250-5ada-a838-ca1bc554c969","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Formwork Set Up Checks","Edge Details & Rebates"
"43d20f65-c84e-56c8-bd42-9ebe766dbbb4","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Formwork Set Up Checks","Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)"
"09be102b-9fca-5052-a16f-063ca4db3983","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Formwork Set Up Checks","MF roughening's"
"2f40425a-5002-5387-9f78-95f41d0f263f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"8df524f9-ce86-52e4-a0bf-549da5a873dd","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Formwork Set Up Checks","Mould Face Clean"
"6cc76d95-0278-5df0-af65-8481021b17ec","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P3","Prepour Checks"
"118b472c-283a-5800-95f9-19764ce621ca","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Prepour Checks","Mould Cleaned & Oiled"
"82287442-47a5-5d9b-80a5-58883759dcde","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Prepour Checks","Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)"
"5d2565f5-3197-5831-8491-6f8024102f4f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Prepour Checks","Check covers on all sides, MF and TF"
"1d4dd954-50d5-55cb-b7b8-998e6ebcb8ec","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Prepour Checks","There is sufficient cover to rebates around openings or weatherproofing details"
"57fab8dd-a346-5a48-a22f-1c8a24b92c5a","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Prepour Checks","Starters (Size, Grade, Setout and Length)"
"9e39176d-ec67-527e-bfba-79d57286a16d","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Prepour Checks","Inserts on TF (Weld plates, RB's, TIM's, Penetrations, DB's, Rebates)"
"fd38aa2a-c8ff-5e8c-87ff-f1abbd1f829f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Prepour Checks","Lifters"
"73b41a84-84ef-554a-9712-29d6d02c90dc","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Prepour Checks","Tie wire Trimmed"
"eddefeff-6294-5efe-add7-230bfa19875c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Prepour Checks","Panel fully clean"
"893c0d9e-8d16-589f-ad0a-f9b29b833c8d","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Prepour Checks","General Photos Attached"
"92d21dd5-3ced-5cd3-91b7-9031d588dc42","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Prepour Checks","Shop Drawing Checked Off (attach photo)"
"170cb014-18d5-5496-8e10-e7ea3df777d0","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P3","Demould Inspection"
"04542d5d-eb81-5ce3-aa54-a6713d517cff","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Demould Inspection","Demould Inspection complete"
"a136d17c-199e-5142-a5bf-4ab05480bd96","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P3","Loading Out"
"0371f6ae-6078-5b4d-b297-62e6110d69ab","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Loading Out","Photo take of Panel on Truck"
"92b1d07f-5077-50e4-b75a-082f080d7ba7","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Loading Out","No remedial work required on site"
"7d0d16df-3766-5a43-a79e-586f3b274d03","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P3","Test Results, Certificates and Documentation"
"59b3f368-4362-5a85-814f-68e8f0ff6648","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Test Results, Certificates and Documentation","Upload reinforcing detail sheets"
"39d884c5-7004-5e39-84ec-45447f776da3","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Test Results, Certificates and Documentation","Concrete Docket Attached"
"f800b1a0-2018-54ee-acd2-261126eb0842","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Test Results, Certificates and Documentation","Upload Concrete test results"
"0ce9a25c-c304-5efb-a676-9e6db11180db","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Test Results, Certificates and Documentation","Upload Photo of Reinforcing Cast # Tracking"
"8d577f17-dab1-5ef5-92f4-f67a0bd544e8","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P3","Test Results, Certificates and Documentation","Upload Lift Designs"
"5354a3cd-0861-4d96-942e-16f4f3af156f","","checklist-sectioned","not-started","Precast Panel QA","checklist","FALSE","FALSE","Panel QA","Panels","P4"
"878a7a12-2912-5b28-8509-ee2a7967bef6","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P4","Precast Element Details"
"1ce1e4a8-0fa2-545e-98f8-8547ace2cb7d","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Precast Element Details","Concrete Details Complete"
"a5eafdfa-d0f9-5ab0-9ab1-ab5c878ab515","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P4","Formwork Set Up Checks"
"e7c6d788-e9b3-5e67-8a3e-4ceb56a65da2","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"264d7220-7868-5fbb-89bd-0d03d91b8906","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Formwork Set Up Checks","Edge Details & Rebates"
"ec368bba-3a3b-571a-94e7-27b5d53117e9","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Formwork Set Up Checks","Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)"
"f57af625-dc34-5257-a4b7-be40e8b12072","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Formwork Set Up Checks","MF roughening's"
"6cd3edad-c67c-53c8-aa9f-fc83b799f10b","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"26bdbe0e-10b0-5e0a-8d19-2bc5ef268073","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Formwork Set Up Checks","Mould Face Clean"
"d60d9393-ac91-57bf-8692-40754139d98d","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P4","Prepour Checks"
"c037509c-8375-56a0-bd97-01bf1c23f069","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Prepour Checks","Mould Cleaned & Oiled"
"24f981aa-087b-5c0a-b850-4178cf689bb9","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Prepour Checks","Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)"
"3773da4a-52d7-5dec-a972-06e387811f3d","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Prepour Checks","Check covers on all sides, MF and TF"
"40cefb48-e8b9-5208-bd01-a1408c02af76","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Prepour Checks","There is sufficient cover to rebates around openings or weatherproofing details"
"dad4d790-08d0-5a29-b02d-6dd03187dc87","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Prepour Checks","Starters (Size, Grade, Setout and Length)"
"832ff369-1fb3-54b2-bc4c-2a7db0b89fcb","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Prepour Checks","Inserts on TF (Weld plates, RB's, TIM's, Penetrations, DB's, Rebates)"
"113eccea-7418-5835-97df-a00cbe66a2ca","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Prepour Checks","Lifters"
"ca073c89-61a7-59be-abc8-36d1ecf26d16","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Prepour Checks","Tie wire Trimmed"
"c99b8ee3-5e62-5006-a4ff-e97730c38451","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Prepour Checks","Panel fully clean"
"f3f11872-536e-5c8e-933f-c9f77e5682d5","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Prepour Checks","General Photos Attached"
"0604ed68-4700-5a64-9402-8c687de4b69c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Prepour Checks","Shop Drawing Checked Off (attach photo)"
"3158a77b-5bd9-5640-b066-3ca71847ff94","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P4","Demould Inspection"
"7a810a57-6e44-5e17-bbde-80ce92598999","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Demould Inspection","Demould Inspection complete"
"04d81b1b-b317-55da-903d-2e18d860bdb2","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P4","Loading Out"
"f65274f3-7566-5ff2-8868-1adc0f44fc88","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Loading Out","Photo take of Panel on Truck"
"aa5b70a5-9507-5e70-8559-5bf83034be12","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Loading Out","No remedial work required on site"
"089c061b-41d9-5552-ba4c-997700506a6e","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P4","Test Results, Certificates and Documentation"
"cfc4dc38-e27d-5279-992c-a43ab4399df6","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Test Results, Certificates and Documentation","Upload reinforcing detail sheets"
"461e0ddd-45e3-54f1-83e3-856f84bf10c3","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Test Results, Certificates and Documentation","Concrete Docket Attached"
"b91b9bcb-643d-5663-a7af-4fd278d7a5df","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Test Results, Certificates and Documentation","Upload Concrete test results"
"613c17bf-b580-5e82-9067-cc33be97c584","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Test Results, Certificates and Documentation","Upload Photo of Reinforcing Cast # Tracking"
"da8a92bb-1e96-526e-9233-b7ae4e54f25e","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P4","Test Results, Certificates and Documentation","Upload Lift Designs"
"7ad31557-d54f-4798-b8bd-5d9e1d405984","","checklist-sectioned","not-started","Precast Panel QA","checklist","FALSE","FALSE","Panel QA","Panels","P5"
"e4e74de2-4b2f-53fd-8178-a9a4317a60b7","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P5","Precast Element Details"
"c8c6e537-3d8d-5dd2-86d8-ba2da6210e4d","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Precast Element Details","Concrete Details Complete"
"ca85424a-65f7-5594-beae-216f3b44a0c5","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P5","Formwork Set Up Checks"
"ec777f63-388b-5a37-a2fe-492120ab46fe","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"4e1b2025-798b-5444-9001-240db1f624c6","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Formwork Set Up Checks","Edge Details & Rebates"
"3fc1a887-53f2-510b-8ef1-bee663780349","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Formwork Set Up Checks","Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)"
"d6a7673c-944f-540c-98ba-1c4a2e50a4fd","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Formwork Set Up Checks","MF roughening's"
"5902cc5f-64e0-5ce0-8a9b-0223b1ebfe9b","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"a3887cfb-a3cd-5c5e-b84e-e815626859d7","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Formwork Set Up Checks","Mould Face Clean"
"b6624bd1-6179-5e7c-b207-32ec54fbbf5f","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P5","Prepour Checks"
"1dceb21c-d8f7-5aad-96e5-77a52d896812","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Prepour Checks","Mould Cleaned & Oiled"
"0213969e-0ff3-5fed-b794-88ef6c939096","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Prepour Checks","Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)"
"0f04e2c3-c461-5962-a85d-784fb384b900","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Prepour Checks","Check covers on all sides, MF and TF"
"0f538ae9-25f0-5217-9fdb-55e934afa646","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P5","Prepour Checks","There is sufficient cover to rebates around openings or weatherproofing details"
