"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9cb8348d-88b4-4a60-bbb7-7b1b47838c5a","","checklist-flat","not-started","Pre-commencement Checklist","checklist-flat","FALSE","FALSE","Pre-Commencement Checks"
"334f52e1-c2ff-4f14-bb96-e4876073a65c","","checkpoint-status","not-started","Pre-commencement Checklist:05e8bc87-74fa-4dfc-9b7d-c9df2ee18ff0","","FALSE","FALSE","Pre-Commencement Checks","Quality Management Plan Completed, Agreed and Attached"
"bbc3c402-be2a-49f6-9f51-6282fa6cbdfb","","checkpoint-status","not-started","Pre-commencement Checklist:63846bd2-69d0-44b2-958d-0fb4f269ef3f","","FALSE","FALSE","Pre-Commencement Checks","Inspection & Test Plan Completed, Agreed & Attached"
"458e0881-6b94-4f16-a021-fec553de4abc","","checkpoint-status","not-started","Pre-commencement Checklist:a9d7356a-66ff-4124-9ec1-15908b033a95","","FALSE","FALSE","Pre-Commencement Checks","Relevant Breakdown & Checklist Setup on Conqa & Reviewed by Main Contractor"
"2628597e-306f-4f5e-ac53-18d347c5834e","","checkpoint-status","not-started","Pre-commencement Checklist:e9b74007-9810-4850-9176-707ce3919fd5","","FALSE","FALSE","Pre-Commencement Checks","Conqa Setup & Project Team Trained & Given Access"
"be7efbc2-8e57-441b-9e36-c79b7c4e410a","","checkpoint-status","not-started","Pre-commencement Checklist:22e00068-f669-4869-929d-5667472ca392","","FALSE","FALSE","Pre-Commencement Checks","Review Access Granted to Main Contractor & Relevant Parties"
"12f15359-df46-4a4a-9bfd-18bd38866fa3","","checkpoint-status","not-started","Pre-commencement Checklist:ee60efdf-eec7-42cb-bae3-0fb162188e9e","","FALSE","FALSE","Pre-Commencement Checks","Matrix/Insight Setup (if required)"
"0d48d478-545e-46ca-be22-a8d4b5134e3e","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Building B01"
"99677cbe-9e1a-4c39-af9c-dd9933140435","","folder-normal","pass","","step","TRUE","FALSE","QA - Building B01","Fitout"
"9bfc41ca-bba3-41c2-9967-be608acb5ece","","folder-normal","pass","","step","TRUE","FALSE","QA - Building B01","Fitout","Ground Level"
"2916f4b7-b1a4-49db-9758-2fa97b876d1e","","folder-normal","pass","","step","TRUE","FALSE","QA - Building B01","Fitout","Ground Level","Area 2"
"d87d4f2d-299c-4432-85c3-e511fee972a8","","folder-normal","pass","","step","TRUE","FALSE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments"
"2ed8b2b7-f6d6-459f-8ea5-9acf59e1883b","","checklist-flat","pass","POST - S - Underfloor heating","checklist-flat","FALSE","FALSE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G064"
"f6951911-9696-573b-8835-0bb4f97023ce","","holdpoint","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe:59e87c0f-137e-4e76-8956-b4e7f7ae1968","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G065","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"c950f443-0a6d-411a-8fda-df5881992cbe","","checklist-flat","pass","POST - S - Underfloor heating","checklist-flat","FALSE","FALSE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G066"
"fdc4164e-5da7-5877-a137-a804618365eb","","checkpoint-status","pass","POST - S - Underfloor heating:be793abb-fe71-4027-96fb-dd47abc0bc4c","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G066","Wiring on the floor completed correctly"
"ccfd3f71-6c03-5d13-88e7-8f5e2c8e2ebc","","checkpoint-status","pass","POST - S - Underfloor heating:e62f2f43-07ad-4e1e-8dcf-6dae054068b1","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G066","Self levelling coverage completed and acceptable"
"0961466c-95bd-5728-9779-3cdcb30ecab4","","checkpoint-status","pass","POST - S - Underfloor heating:f68e5587-0954-49f4-bf17-a38f5422eb39","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G066","Underfloor heating completed - specified level of finish achieved"
"6ca5073e-6c61-5414-bc06-81cde7e1dafc","","checkpoint-status","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G066","Inspections completed and issued to Foreman"
"93b5c219-8027-5cc3-b2e2-377dbc739ad7","","holdpoint","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe:59e87c0f-137e-4e76-8956-b4e7f7ae1968","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G066","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"931092bf-d5be-436e-a34a-f3c5f4c04ced","","checklist-flat","pass","POST - S - Underfloor heating","checklist-flat","FALSE","FALSE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G067"
"0cc18ca8-8c56-531a-8598-0cd43fe9cd80","","checkpoint-status","pass","POST - S - Underfloor heating:be793abb-fe71-4027-96fb-dd47abc0bc4c","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G067","Wiring on the floor completed correctly"
"c3b1cce9-1c89-5adf-b5d7-0b02485f5cd9","","checkpoint-status","pass","POST - S - Underfloor heating:e62f2f43-07ad-4e1e-8dcf-6dae054068b1","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G067","Self levelling coverage completed and acceptable"
"95770399-8623-55d5-9e3e-cf11c8a44f65","","checkpoint-status","pass","POST - S - Underfloor heating:f68e5587-0954-49f4-bf17-a38f5422eb39","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G067","Underfloor heating completed - specified level of finish achieved"
"92f1fe7f-9aed-5ec6-a2e6-7edab3264846","","checkpoint-status","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G067","Inspections completed and issued to Foreman"
"ff17695b-a23e-514d-8608-113a8c6e579e","","holdpoint","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe:59e87c0f-137e-4e76-8956-b4e7f7ae1968","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G067","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"bbc6d355-612f-48ba-bdaa-ea27226a6e7d","","checklist-flat","pass","POST - S - Underfloor heating","checklist-flat","FALSE","FALSE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G068"
"b2f28ec1-7b18-59d1-a366-238b099f7d14","","checkpoint-status","pass","POST - S - Underfloor heating:be793abb-fe71-4027-96fb-dd47abc0bc4c","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G068","Wiring on the floor completed correctly"
"09447135-34f5-504b-a637-af6b1327643b","","checkpoint-status","pass","POST - S - Underfloor heating:e62f2f43-07ad-4e1e-8dcf-6dae054068b1","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G068","Self levelling coverage completed and acceptable"
"c42322c1-f50c-5321-b255-9c9fb66ba6b6","","checkpoint-status","pass","POST - S - Underfloor heating:f68e5587-0954-49f4-bf17-a38f5422eb39","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G068","Underfloor heating completed - specified level of finish achieved"
"ff438f7c-3e8c-5a4b-a726-3c27a39a7f61","","checkpoint-status","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G068","Inspections completed and issued to Foreman"
"24bcb1aa-4838-5ce4-ab02-82632b00347a","","holdpoint","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe:59e87c0f-137e-4e76-8956-b4e7f7ae1968","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G068","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"145cc1fb-58be-4983-ba9a-cf28da857dc6","","checklist-flat","pass","POST - S - Underfloor heating","checklist-flat","FALSE","FALSE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G069"
"4fd051a3-7ccb-593e-af28-25a2df5ab177","","checkpoint-status","pass","POST - S - Underfloor heating:be793abb-fe71-4027-96fb-dd47abc0bc4c","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G069","Wiring on the floor completed correctly"
"10da4d1a-2d32-54f9-b277-ced42882c92a","","checkpoint-status","pass","POST - S - Underfloor heating:e62f2f43-07ad-4e1e-8dcf-6dae054068b1","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G069","Self levelling coverage completed and acceptable"
"e2867639-ca19-5891-bba9-db46985148d2","","checkpoint-status","pass","POST - S - Underfloor heating:f68e5587-0954-49f4-bf17-a38f5422eb39","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G069","Underfloor heating completed - specified level of finish achieved"
"f2e59a0e-f289-5f3f-a921-52746bbfb725","","checkpoint-status","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G069","Inspections completed and issued to Foreman"
"91bd8c74-3c4a-5a3e-9a8a-69cd2e38f057","","holdpoint","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe:59e87c0f-137e-4e76-8956-b4e7f7ae1968","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G069","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"029f535b-285c-457d-8df2-f3c4502453cf","","folder-normal","pass","","step","TRUE","FALSE","QA - Building B01","Fitout","Level 1"
"d9a1493c-5db2-44f2-9db3-f66fad227c4d","","folder-normal","pass","","step","TRUE","FALSE","QA - Building B01","Fitout","Level 1","Area 1"
"ea40eab0-cccb-458d-b1be-0f144d97470d","","folder-normal","pass","","step","TRUE","FALSE","QA - Building B01","Fitout","Level 1","Area 1","Apartments"
"f18f24e1-d53c-4704-97c6-55612e5db139","","checklist-flat","pass","POST - S - Underfloor heating","checklist-flat","FALSE","FALSE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1051"
"05b20c78-a8f9-5c8c-8829-a0ad7be98fb3","","checkpoint-status","pass","POST - S - Underfloor heating:be793abb-fe71-4027-96fb-dd47abc0bc4c","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1051","Wiring on the floor completed correctly"
"8745af4b-1161-55da-b614-4fbbad271142","","checkpoint-status","pass","POST - S - Underfloor heating:e62f2f43-07ad-4e1e-8dcf-6dae054068b1","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1051","Self levelling coverage completed and acceptable"
"d69c28d7-017f-5d46-8e7f-46bddc5a48ca","","checkpoint-status","pass","POST - S - Underfloor heating:f68e5587-0954-49f4-bf17-a38f5422eb39","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1051","Underfloor heating completed - specified level of finish achieved"
"18e3de18-8674-5ad8-887e-531f2b243f27","","checkpoint-status","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1051","Inspections completed and issued to Foreman"
"d16846aa-4164-54c1-986f-b4f2ddaf78f7","","holdpoint","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe:59e87c0f-137e-4e76-8956-b4e7f7ae1968","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1051","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"071493f5-06d6-4e93-8e00-0df67ce01985","","checklist-flat","pass","POST - S - Underfloor heating","checklist-flat","FALSE","FALSE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1052"
"68598b12-11f9-58b2-84ba-63664d4814f9","","checkpoint-status","pass","POST - S - Underfloor heating:be793abb-fe71-4027-96fb-dd47abc0bc4c","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1052","Wiring on the floor completed correctly"
"81bc4f2d-6e80-5e1a-93a1-86a200c7d791","","checkpoint-status","pass","POST - S - Underfloor heating:e62f2f43-07ad-4e1e-8dcf-6dae054068b1","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1052","Self levelling coverage completed and acceptable"
"5dfb8ff8-2373-5a7b-a604-b779d6fd0f0e","","checkpoint-status","pass","POST - S - Underfloor heating:f68e5587-0954-49f4-bf17-a38f5422eb39","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1052","Underfloor heating completed - specified level of finish achieved"
"4a49da50-b2de-5558-85d6-afeb5405722b","","checkpoint-status","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1052","Inspections completed and issued to Foreman"
"ef9fab47-d363-5ac2-9543-877c2ce7cd95","","holdpoint","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe:59e87c0f-137e-4e76-8956-b4e7f7ae1968","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1052","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"d7eded66-2bfe-40af-a806-b7ce39f549f0","","checklist-flat","pass","POST - S - Underfloor heating","checklist-flat","FALSE","FALSE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1053"
"e2056361-fa18-5bac-a2f6-53b406ba2326","","checkpoint-status","pass","POST - S - Underfloor heating:be793abb-fe71-4027-96fb-dd47abc0bc4c","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1053","Wiring on the floor completed correctly"
"875afa10-b280-58da-b4c8-1db203279552","","checkpoint-status","pass","POST - S - Underfloor heating:e62f2f43-07ad-4e1e-8dcf-6dae054068b1","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1053","Self levelling coverage completed and acceptable"
"f1d99eab-29a4-54aa-9490-4846d8bf6a4f","","checkpoint-status","pass","POST - S - Underfloor heating:f68e5587-0954-49f4-bf17-a38f5422eb39","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1053","Underfloor heating completed - specified level of finish achieved"
"286b5f9f-987e-52b9-ac96-a7c3c368928c","","checkpoint-status","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1053","Inspections completed and issued to Foreman"
"8bacd11f-1012-58ec-82bb-56e46cad48b3","","holdpoint","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe:59e87c0f-137e-4e76-8956-b4e7f7ae1968","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1053","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"e96af830-852d-4110-be25-04b58a642d0e","","checklist-flat","pass","POST - S - Underfloor heating","checklist-flat","FALSE","FALSE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1054"
"04a76aaf-ccb3-5a2f-8378-aa2d59c979af","","checkpoint-status","pass","POST - S - Underfloor heating:be793abb-fe71-4027-96fb-dd47abc0bc4c","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1054","Wiring on the floor completed correctly"
"33a32852-494e-5884-9962-90feee74ac02","","checkpoint-status","pass","POST - S - Underfloor heating:e62f2f43-07ad-4e1e-8dcf-6dae054068b1","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1054","Self levelling coverage completed and acceptable"
"5b55f4e5-9c7e-50d9-853d-393e3490df39","","checkpoint-status","pass","POST - S - Underfloor heating:f68e5587-0954-49f4-bf17-a38f5422eb39","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1054","Underfloor heating completed - specified level of finish achieved"
"25913328-fe52-56c2-ad2a-bee58340a91d","","checkpoint-status","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1054","Inspections completed and issued to Foreman"
"2fe6f687-2529-50f1-8ffc-9fcb2d8fa53b","","holdpoint","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe:59e87c0f-137e-4e76-8956-b4e7f7ae1968","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1054","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"dd2ff9d1-4ea1-462d-84f7-396e8f690777","","checklist-flat","pass","POST - S - Underfloor heating","checklist-flat","FALSE","FALSE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1055"
"5ccaa9ad-a6bc-5c4e-afba-eabf41226336","","checkpoint-status","pass","POST - S - Underfloor heating:be793abb-fe71-4027-96fb-dd47abc0bc4c","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1055","Wiring on the floor completed correctly"
"8c09aa35-50e5-582a-ade1-99512fbdc9bb","","checkpoint-status","pass","POST - S - Underfloor heating:e62f2f43-07ad-4e1e-8dcf-6dae054068b1","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1055","Self levelling coverage completed and acceptable"
"5a213f1d-ce0b-573b-ae6c-e9b624689e43","","checkpoint-status","pass","POST - S - Underfloor heating:f68e5587-0954-49f4-bf17-a38f5422eb39","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1055","Underfloor heating completed - specified level of finish achieved"
"4bc3256f-fd07-50bb-baf1-21e7dd5fdf0c","","checkpoint-status","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1055","Inspections completed and issued to Foreman"
"4fd08a02-c806-5aef-96bb-03b9f099bc57","","holdpoint","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe:59e87c0f-137e-4e76-8956-b4e7f7ae1968","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1055","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"96baa020-1343-4978-8941-48ee5b9aaadd","","checklist-flat","pass","POST - S - Underfloor heating","checklist-flat","FALSE","FALSE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1056"
"c2a91b63-91b9-5978-9b3d-b981639a2783","","checkpoint-status","pass","POST - S - Underfloor heating:be793abb-fe71-4027-96fb-dd47abc0bc4c","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1056","Wiring on the floor completed correctly"
"e9cbe68b-0dd1-55f3-aaae-3e988ba7ce1e","","checkpoint-status","pass","POST - S - Underfloor heating:e62f2f43-07ad-4e1e-8dcf-6dae054068b1","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1056","Self levelling coverage completed and acceptable"
"777ff2ef-3e3d-5174-9d24-06c8abc1b912","","checkpoint-status","pass","POST - S - Underfloor heating:f68e5587-0954-49f4-bf17-a38f5422eb39","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1056","Underfloor heating completed - specified level of finish achieved"
"0db45410-efa7-50aa-9524-b78dd6e7428c","","checkpoint-status","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1056","Inspections completed and issued to Foreman"
"2a0e5b4f-4b82-5625-aa84-2e78aa4f1499","","holdpoint","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe:59e87c0f-137e-4e76-8956-b4e7f7ae1968","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1056","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"b311e334-0eea-4f3a-8a64-bdcb31e77314","","checklist-flat","pass","POST - S - Underfloor heating","checklist-flat","FALSE","FALSE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1057"
"1cc180bd-49bd-5f8d-bf87-a2b6f84e8f03","","checkpoint-status","pass","POST - S - Underfloor heating:be793abb-fe71-4027-96fb-dd47abc0bc4c","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1057","Wiring on the floor completed correctly"
"ebdead3f-fe0c-5e93-afa7-929f90bde0d9","","checkpoint-status","pass","POST - S - Underfloor heating:e62f2f43-07ad-4e1e-8dcf-6dae054068b1","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1057","Self levelling coverage completed and acceptable"
"8c6264f5-bd02-53c5-8031-3695dcf4e058","","checkpoint-status","pass","POST - S - Underfloor heating:f68e5587-0954-49f4-bf17-a38f5422eb39","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1057","Underfloor heating completed - specified level of finish achieved"
"8427c107-fdf0-5eba-b15f-634ff550080a","","checkpoint-status","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe","","TRUE","TRUE","QA - Building B01","Fitout","Level 1","Area 1","Apartments","1057","Inspections completed and issued to Foreman"
