"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"214d6b83-bdcd-4c13-9d0f-4a7fcc19746f","folder-normal has incorrect meta.stepType folder-progress","folder-normal","work-in-progress","","step","FALSE","FALSE","B04 Fitout"
"f812e80d-ee4e-4559-ab17-c0b567bc032d","folder-normal has incorrect meta.stepType folder-progress","folder-normal","work-in-progress","","step","FALSE","FALSE","B04 Fitout","Level 1"
"c92acc2b-5ed1-459c-9ff6-c3557cdb51dd","","checklist-sectioned","pass","Level 1 Residential Areas","checklist","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas"
"70a84a8c-012d-4951-958c-8e94378343f3","","checkpoint-group","pass","Level 1 Residential Areas:3b6f196d-198a-4199-9761-9671e2144911","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A88"
"c6dcd2b1-b492-4fa9-8ff1-7a9bc4e41e85","","checkpoint-status","pass","Level 1 Residential Areas:adeec252-501a-4d30-9dd4-3e3dd34aea1e:06496ca5-a7dc-46f5-a8dc-e0b4007d9d4c","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A92","Wiring on the floor completed (photos attached)"
"b8dc92be-21be-41f7-a611-d15337c1b970","","checkpoint-status","pass","Level 1 Residential Areas:adeec252-501a-4d30-9dd4-3e3dd34aea1e:6af38b00-68cb-428b-a0aa-279d06b50a0f","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A92","Self leveling coverage completed"
"1acd0602-c1bf-4428-afe1-a1b47c9a4e81","","holdpoint","pass","Level 1 Residential Areas:adeec252-501a-4d30-9dd4-3e3dd34aea1e:6af38b00-68cb-428b-a0aa-279d06b50a0f:7a144127-d389-4e59-8352-c5647ca466e2","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A92","Raise Remedial/ Main Contractor Signoff"
"91b36346-c69e-4508-98c4-c7c5f3ad3df0","","checkpoint-group","pass","Level 1 Residential Areas:040d366f-63c3-4c0e-890c-fb8730ac27d3","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A93"
"05d7aa59-ff00-4992-9ba0-c567f1b04913","","checkpoint-status","pass","Level 1 Residential Areas:040d366f-63c3-4c0e-890c-fb8730ac27d3:611d7e18-f33d-4343-bb51-fa136bc50df8","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A93","Area floor level acceptable"
"76b6dfde-5ca4-49d0-95c3-341c63630039","","checkpoint-status","pass","Level 1 Residential Areas:040d366f-63c3-4c0e-890c-fb8730ac27d3:89b7a4d9-8ed3-48df-a4be-44ac0e076a89","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A93","Wiring on the floor completed (photos attached)"
"2b6cc734-72a8-4b1b-8cef-ee7f67b04562","","checkpoint-status","pass","Level 1 Residential Areas:040d366f-63c3-4c0e-890c-fb8730ac27d3:c8cf427e-9012-443a-ade3-e6875849e225","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A93","Self leveling coverage completed"
"3006ca55-0ec0-4d44-ac87-762bb67cdb16","","holdpoint","pass","Level 1 Residential Areas:040d366f-63c3-4c0e-890c-fb8730ac27d3:c8cf427e-9012-443a-ade3-e6875849e225:1f82d008-1bcf-4735-9de6-305884a57ea2","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A93","Raise Remedial/ Main Contractor Signoff"
"bcffc99b-5012-4e40-b3f2-62cadf84f535","","checkpoint-group","pass","Level 1 Residential Areas:94fe90ef-08ef-4c10-99cf-da65eb6b4ac0","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A94"
"3ca1ad74-b73b-42d8-855a-07ba33006931","","checkpoint-status","pass","Level 1 Residential Areas:94fe90ef-08ef-4c10-99cf-da65eb6b4ac0:f5f603b7-c03c-427d-a0a6-835426bca008","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A94","Area floor level acceptable"
"d724cfbf-9ff2-4523-9547-71bd33cde748","","checkpoint-status","pass","Level 1 Residential Areas:94fe90ef-08ef-4c10-99cf-da65eb6b4ac0:27e60531-d3bb-49f8-92c6-ebee8f4dc168","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A94","Wiring on the floor completed (photos attached)"
"e4d3d415-44fa-4b63-81d6-75eeb1f7b0db","","checkpoint-status","pass","Level 1 Residential Areas:94fe90ef-08ef-4c10-99cf-da65eb6b4ac0:dfb0467b-c0b6-4bc5-b490-14a0a1771266","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A94","Self leveling coverage completed"
"9b633fcc-cad3-40e6-a84d-2053081bc2f7","","holdpoint","pass","Level 1 Residential Areas:94fe90ef-08ef-4c10-99cf-da65eb6b4ac0:dfb0467b-c0b6-4bc5-b490-14a0a1771266:82680d83-b46b-4c1b-a6ae-43ebb9f2d628","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A94","Raise Remedial/ Main Contractor Signoff"
"d5d92e2c-9922-4ab8-af2a-38cffc6fa8d7","","checkpoint-group","pass","Level 1 Residential Areas:6aa7d146-7151-461e-92f0-c028b16c00eb","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A95"
"00e667f9-2362-47e5-a4b3-972b07711d71","","checkpoint-status","pass","Level 1 Residential Areas:6aa7d146-7151-461e-92f0-c028b16c00eb:a8f0651f-0e55-4982-8564-3117139fd082","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A95","Area floor level acceptable"
"f1e5d167-de3b-4e5f-8e4b-39ebab753a35","","checkpoint-status","pass","Level 1 Residential Areas:6aa7d146-7151-461e-92f0-c028b16c00eb:17b724d1-905d-48db-b59e-7171ef752cbe","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A95","Wiring on the floor completed (photos attached)"
"ce87f32a-e75f-4b52-8f83-3e0fd4ee912a","","checkpoint-status","pass","Level 1 Residential Areas:6aa7d146-7151-461e-92f0-c028b16c00eb:ad22bb8f-3bad-487f-ba88-743d3183e53c","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A95","Self leveling coverage completed"
"a4c59714-c0c6-4217-b61f-8ae16a5d6186","","holdpoint","pass","Level 1 Residential Areas:6aa7d146-7151-461e-92f0-c028b16c00eb:ad22bb8f-3bad-487f-ba88-743d3183e53c:781d4fa9-ce50-4db0-a9d9-832717a457cd","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A95","Raise Remedial/ Main Contractor Signoff"
"49568f70-67ba-4018-9e0b-b61c7bf13bf3","","checkpoint-group","pass","Level 1 Residential Areas:b8556658-e2b5-4a05-82c9-6c47aa3efbc8","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A96"
"e8db66c2-80cb-42d0-ab3d-18ace070241a","","checkpoint-status","pass","Level 1 Residential Areas:b8556658-e2b5-4a05-82c9-6c47aa3efbc8:5a275032-32a7-4f34-8aa8-6ae68a5cd995","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A96","Area floor level acceptable"
"a02ee4a6-6296-42af-9e7e-21b8ba14f92a","","checkpoint-status","pass","Level 1 Residential Areas:b8556658-e2b5-4a05-82c9-6c47aa3efbc8:fb1d27cf-f3f2-4d0f-b2f7-40fffedf2ad5","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A96","Wiring on the floor completed (photos attached)"
"0075333b-8c55-4964-a9a6-cbdd3d80fec4","","checkpoint-status","pass","Level 1 Residential Areas:b8556658-e2b5-4a05-82c9-6c47aa3efbc8:647e2647-5c4f-4fc3-832e-dca29a808ba6","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A96","Self leveling coverage completed"
"6eef22bb-0035-442e-803c-0188314fc115","","holdpoint","pass","Level 1 Residential Areas:b8556658-e2b5-4a05-82c9-6c47aa3efbc8:647e2647-5c4f-4fc3-832e-dca29a808ba6:effaa659-0ff0-4b00-b463-cf77897d6b06","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A96","Raise Remedial/ Main Contractor Signoff"
"0cf5d5c6-a55f-4ecf-a45b-97f793a4133b","","checkpoint-group","pass","Level 1 Residential Areas:e1e351ac-acf7-4812-949e-def7d0b5691f","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A97"
"b5057580-7f34-4da7-897a-b14fb235a5da","","checkpoint-status","pass","Level 1 Residential Areas:e1e351ac-acf7-4812-949e-def7d0b5691f:9f4190f6-2cae-404a-b9a1-6edc10adcea1","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A97","Area floor level acceptable"
"3ac27ce4-e0a9-4f11-97c1-cefe6bc00e8e","","checkpoint-status","pass","Level 1 Residential Areas:e1e351ac-acf7-4812-949e-def7d0b5691f:8efb35f4-fadc-41a1-bdd0-5ab06349357d","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A97","Wiring on the floor completed (photos attached)"
"e2166da0-e7aa-483e-9fb1-7ec8f88944e3","","checkpoint-status","pass","Level 1 Residential Areas:e1e351ac-acf7-4812-949e-def7d0b5691f:76623de7-7e51-4326-b69d-33e5f4aaf4ac","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A97","Self leveling coverage completed"
"66853562-0abc-488c-97d0-887b0d702192","","holdpoint","pass","Level 1 Residential Areas:e1e351ac-acf7-4812-949e-def7d0b5691f:76623de7-7e51-4326-b69d-33e5f4aaf4ac:aa4c97f3-65fa-4869-a48e-0698ab3ba9b6","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A97","Raise Remedial/ Main Contractor Signoff"
"c78f53c1-179d-4769-bf4f-47c3eeee5244","","checkpoint-group","pass","Level 1 Residential Areas:90d001da-b470-45e0-a85d-bc784debdb1f","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A98"
"7de6ea81-ba32-40ef-ac2c-b9243953e94e","","checkpoint-status","pass","Level 1 Residential Areas:90d001da-b470-45e0-a85d-bc784debdb1f:0ead8b7b-cf09-46cf-94cf-e9f127370d00","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A98","Area floor level acceptable"
"193273cb-99f3-467e-a45e-fe2af638c0c6","","checkpoint-status","pass","Level 1 Residential Areas:90d001da-b470-45e0-a85d-bc784debdb1f:7b29747a-859c-4f76-93b3-c1a9ace4d909","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A98","Wiring on the floor completed (photos attached)"
"e8a86b5e-49b4-4950-bc4e-3fa34fc1f958","","checkpoint-status","pass","Level 1 Residential Areas:90d001da-b470-45e0-a85d-bc784debdb1f:bf907266-cae2-49be-9457-3c72d3397c12","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A98","Self leveling coverage completed"
"27f07ddb-0c88-40d3-b18d-e5708f638683","","holdpoint","pass","Level 1 Residential Areas:90d001da-b470-45e0-a85d-bc784debdb1f:bf907266-cae2-49be-9457-3c72d3397c12:dbf11145-5791-487c-9d9e-3d609f24f2ea","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A98","Raise Remedial/ Main Contractor Signoff"
"1d764e8b-4bd1-42f0-966d-f8edd929efcb","","checkpoint-group","pass","Level 1 Residential Areas:660f9121-03bf-4f71-9813-a18631d24453","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A99"
"2037fc15-ee74-430c-b153-5182a286dc0f","","checkpoint-status","pass","Level 1 Residential Areas:660f9121-03bf-4f71-9813-a18631d24453:b220cf33-e746-48ca-a881-b977a5b5a1b7","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A99","Area floor level acceptable"
"732c4808-559b-4968-b109-b5bea0cfe6c1","","checkpoint-status","pass","Level 1 Residential Areas:660f9121-03bf-4f71-9813-a18631d24453:5ac68556-6ea7-45df-b052-8d99267d50ac","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A99","Wiring on the floor completed (photos attached)"
"dd131cd8-271c-4dad-8d99-685fe0f2023b","","checkpoint-status","pass","Level 1 Residential Areas:660f9121-03bf-4f71-9813-a18631d24453:64ccc4db-71fe-44a4-be67-2c57945c1434","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A99","Self leveling coverage completed"
"d62d7cd3-9564-466f-ad03-c26723cbf660","","holdpoint","pass","Level 1 Residential Areas:660f9121-03bf-4f71-9813-a18631d24453:64ccc4db-71fe-44a4-be67-2c57945c1434:671c0559-beec-4fb2-b3c9-e284853b0299","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A99","Raise Remedial/ Main Contractor Signoff"
"163cf2d9-ecf7-4e7c-ba63-9f18373d33a8","","checkpoint-group","pass","Level 1 Residential Areas:29ae6523-d806-4ef0-90a6-c5a7d347f5eb","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A100"
"8a943e5c-63b7-4909-88af-3b7f81415064","","checkpoint-status","pass","Level 1 Residential Areas:29ae6523-d806-4ef0-90a6-c5a7d347f5eb:a91deadf-9e8d-4587-856b-89024d5def9c","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A100","Area floor level acceptable"
"ccd557f1-a03a-428a-9b63-2bd7b7874ece","","checkpoint-status","pass","Level 1 Residential Areas:29ae6523-d806-4ef0-90a6-c5a7d347f5eb:d637c625-00dd-46b3-a28a-0b59d3b1651b","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A100","Wiring on the floor completed (photos attached)"
"e8cfde6a-ddb7-438a-bbeb-c876509ba2cd","","checkpoint-status","pass","Level 1 Residential Areas:29ae6523-d806-4ef0-90a6-c5a7d347f5eb:ab7621d7-3e1c-4619-a8e0-390a340a4de5","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A100","Self leveling coverage completed"
"362479ec-ae22-4381-b1d7-38416a84dfd9","","holdpoint","pass","Level 1 Residential Areas:29ae6523-d806-4ef0-90a6-c5a7d347f5eb:ab7621d7-3e1c-4619-a8e0-390a340a4de5:2f4d60fd-f09a-4005-9f34-500b0a4c9424","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A100","Raise Remedial/ Main Contractor Signoff"
"d372ba8a-84b1-43dc-aeb6-527558257437","","checklist-sectioned","not-started","Level 1 Service Areas","checklist","FALSE","FALSE","B04 Fitout","Level 1","Service Areas"
"cccee235-600d-4d47-bfe9-8bd10913bd56","","checkpoint-group","not-started","Level 1 Service Areas:a6d08f05-841e-4c47-8926-0615a1a793d3","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Services A3-29"
"f0e8e9bb-6681-4d78-8046-8af86d8b10a0","","checkpoint-status","not-started","Level 1 Service Areas:a6d08f05-841e-4c47-8926-0615a1a793d3:7b2974ac-a316-49c3-9fea-a1ec6cafd97d","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Services A3-29","Area floor level acceptable"
"56eed9cf-4fe8-4a2f-a6d1-3d18272a464a","","checkpoint-status","not-started","Level 1 Service Areas:a6d08f05-841e-4c47-8926-0615a1a793d3:a839f93f-07ec-4911-8d8a-6c09033c6018","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Services A3-29","Wiring on the floor completed (photos attached)"
"9e181473-c32f-4177-8548-a9b857bce0a2","","checkpoint-status","not-started","Level 1 Service Areas:a6d08f05-841e-4c47-8926-0615a1a793d3:c068f299-979e-40cc-bf59-20dc9c6c1df1","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Services A3-29","Self leveling coverage completed"
"0adc7737-a83c-4e34-bea4-655f917f2de6","","holdpoint","not-started","Level 1 Service Areas:a6d08f05-841e-4c47-8926-0615a1a793d3:c068f299-979e-40cc-bf59-20dc9c6c1df1:c6cf44d8-149f-4a0f-9860-a81e5462044d","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Services A3-29","Raise Remedial/ Main Contractor Signoff"
"a656238c-0f87-430b-9c2a-20032015ab56","","checkpoint-group","not-started","Level 1 Service Areas:e9343022-7ef2-4ed2-ac21-2c99d47618ee","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Services A3-30"
"b6ed52b4-c403-4f98-bfa3-f19f575045d2","","checkpoint-status","not-started","Level 1 Service Areas:e9343022-7ef2-4ed2-ac21-2c99d47618ee:8d14dbb2-ebc6-45e5-a759-79dcdc4737bd","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Services A3-30","Area floor level acceptable"
"26d84478-8fe5-40b3-8e41-6a3e22976fde","","checkpoint-status","not-started","Level 1 Service Areas:e9343022-7ef2-4ed2-ac21-2c99d47618ee:375604da-760d-4797-9cd5-19e16225cea1","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Services A3-30","Wiring on the floor completed (photos attached)"
"f3021fc2-d7a1-4da1-bb86-0e49b2149702","","checkpoint-status","not-started","Level 1 Service Areas:e9343022-7ef2-4ed2-ac21-2c99d47618ee:f5f70fb7-fed8-4201-b8d5-4e9bac747048","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Services A3-30","Self leveling coverage completed"
"d19ec87f-d8d0-48ac-95ff-d0cd50d0a684","","holdpoint","not-started","Level 1 Service Areas:e9343022-7ef2-4ed2-ac21-2c99d47618ee:f5f70fb7-fed8-4201-b8d5-4e9bac747048:1f32e924-480d-4049-97b0-fbdfde6eb60d","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Services A3-30","Raise Remedial/ Main Contractor Signoff"
"83289f91-e8d7-4162-82c7-821da0bdf837","","checkpoint-group","not-started","Level 1 Service Areas:add0815b-b272-41bf-96d6-727d089e8db7","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Bin Storage A3-31"
"ee0d6969-2132-4302-a83a-8119ec70bf20","","checkpoint-status","not-started","Level 1 Service Areas:add0815b-b272-41bf-96d6-727d089e8db7:0d9cf35b-ed89-4afc-9793-84648a8ff01f","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Bin Storage A3-31","Area floor level acceptable"
"0ebd3746-73eb-4165-b9fb-0f8e9e4c2111","","checkpoint-status","not-started","Level 1 Service Areas:add0815b-b272-41bf-96d6-727d089e8db7:e34d0bbc-1618-4f3b-be5c-9bf7aef323f1","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Bin Storage A3-31","Wiring on the floor completed (photos attached)"
"d7693912-e2f6-47e6-a4af-108b9ad3018c","","checkpoint-status","not-started","Level 1 Service Areas:add0815b-b272-41bf-96d6-727d089e8db7:137c2fb8-88e2-4aab-a075-e1bbf606f932","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Bin Storage A3-31","Self leveling coverage completed"
"ab321229-8a1b-45c7-8835-f9f4b6cd9965","","holdpoint","not-started","Level 1 Service Areas:add0815b-b272-41bf-96d6-727d089e8db7:137c2fb8-88e2-4aab-a075-e1bbf606f932:5a49c5dd-b3c5-40c2-ac80-cde3c44b0037","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Bin Storage A3-31","Raise Remedial/ Main Contractor Signoff"
"494210e4-5de9-4546-bd4c-0ea1515db989","","checkpoint-group","not-started","Level 1 Service Areas:1918675b-0e03-4118-8c93-4ada88821412","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Electrical A3-47"
"17c8fced-683b-4b07-ad48-6d519d2da644","","checkpoint-status","not-started","Level 1 Service Areas:1918675b-0e03-4118-8c93-4ada88821412:0ac31306-501c-48bd-b1d5-9b6d64e05117","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Electrical A3-47","Area floor level acceptable"
"1adf20df-a6d1-42b0-9e61-53a57bcdd57e","","checkpoint-status","not-started","Level 1 Service Areas:1918675b-0e03-4118-8c93-4ada88821412:1ef62125-2dd9-4068-9ede-362f882e3225","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Electrical A3-47","Wiring on the floor completed (photos attached)"
"47769843-3c4c-4b49-9794-2bffddf42fdd","","checkpoint-status","not-started","Level 1 Service Areas:1918675b-0e03-4118-8c93-4ada88821412:0cca31bd-2eeb-445d-93f5-f30459c09bf0","","FALSE","FALSE","B04 Fitout","Level 1","Service Areas","Electrical A3-47","Self leveling coverage completed"
