"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bd8b178e-db9b-49fc-b15f-f898a2c592a0","folder-normal has incorrect meta.stepType folder-progress","folder-normal","work-in-progress","","step","FALSE","FALSE","B02"
"c2bf966c-45ec-45fb-afcd-04352ca1930f","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5"
"efa9b2d2-66ed-4d02-adba-e6bf5b523aaf","","checklist-sectioned","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor","checklist","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor"
"336c0d37-9dfd-4200-be00-bd7a3c95de4d","","checkpoint-group","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:86ccb46d-335a-441e-8187-4fe6ed1eb282","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G15"
"1f8dafed-b37b-496a-bac0-b47da0b2ee58","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:811b7d87-8d3a-4508-98d9-c636bd8564af:981c0b60-75d6-4fb7-abad-e2ecbc130ca3","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G18","Wiring on the floor completed (photos attached)"
"34b64f10-8564-4cc2-934c-c9dccdb9a0c7","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:811b7d87-8d3a-4508-98d9-c636bd8564af:24785f80-f71d-4ed1-97b3-fbe1b51b4a99","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G18","Self leveling coverage completed"
"8b6db057-e95c-4151-af91-a2739c9e2f5c","","holdpoint","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:811b7d87-8d3a-4508-98d9-c636bd8564af:24785f80-f71d-4ed1-97b3-fbe1b51b4a99:fc249453-579d-43f8-80e4-5c857ce5152b","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G18","Raise Remedial/ Main Contractor Signoff"
"a9f4cd5d-9ff7-4438-b0ab-63a1d2cd96da","","checkpoint-group","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:34f8612c-8031-478d-8136-b608a87b5bbf","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G19"
"b12c4df3-6502-441a-9b5c-cf43f03cfcf3","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:34f8612c-8031-478d-8136-b608a87b5bbf:248066a9-aff1-4c40-a7cd-e015466b8198","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G19","Area floor level acceptable"
"9fcec582-a924-4a87-8dc0-679998a9db9c","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:34f8612c-8031-478d-8136-b608a87b5bbf:9260d2d2-a60b-49b2-ae84-f4b7ab6acbfa","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G19","Wiring on the floor completed (photos attached)"
"ad155d7c-3c35-4de9-8d70-b23ce561de3a","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:34f8612c-8031-478d-8136-b608a87b5bbf:05e686e5-dea5-4fc2-8b15-581a06e4d20c","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G19","Self leveling coverage completed"
"2a0bf510-6ce3-4af5-8e75-dcc0ac3281f4","","holdpoint","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:34f8612c-8031-478d-8136-b608a87b5bbf:05e686e5-dea5-4fc2-8b15-581a06e4d20c:6e6fa831-64cc-469d-965e-6dbcc9342756","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G19","Raise Remedial/ Main Contractor Signoff"
"32021c56-c5c0-453d-ba08-58ff3113a0e4","","checkpoint-group","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:b8661683-92e7-4b4c-9078-c3d00e004000","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G20"
"9f265c03-6cc3-42df-a35d-ead1cae0928c","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:b8661683-92e7-4b4c-9078-c3d00e004000:7ecc6f16-722e-417f-a872-7c76ddd5f108","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G20","Area floor level acceptable"
"52394078-1aa1-45e4-b8df-3cc9b4b8c2de","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:b8661683-92e7-4b4c-9078-c3d00e004000:afb0e96e-1524-43fe-be23-db07e516e0ec","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G20","Wiring on the floor completed (photos attached)"
"72afba38-2d9c-4204-81c3-fc52e533e021","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:b8661683-92e7-4b4c-9078-c3d00e004000:dc274087-2a71-43b4-ac69-7f238f12cc4b","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G20","Self leveling coverage completed"
"0a15cbf2-5078-457c-b234-36f382b28e56","","holdpoint","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:b8661683-92e7-4b4c-9078-c3d00e004000:dc274087-2a71-43b4-ac69-7f238f12cc4b:b9c5e982-aecb-4ae9-ad57-ce96d5e5ff11","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G20","Raise Remedial/ Main Contractor Signoff"
"7a0eefab-da19-428f-9101-4f025ba72443","","checkpoint-group","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:4a99d481-c354-477e-8210-806f6cefb143","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G21"
"3e7263a5-d33e-4aa5-95c8-d1e1e0ff6d3f","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:4a99d481-c354-477e-8210-806f6cefb143:2c9e11c1-f7b5-4d18-b7a9-47ecab1a733f","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G21","Area floor level acceptable"
"840d3f30-7d87-4ecf-b191-9b448861d159","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:4a99d481-c354-477e-8210-806f6cefb143:8e3a6a3f-6f93-497e-9268-2c9f5dfe55a0","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G21","Wiring on the floor completed (photos attached)"
"295821fe-d00f-477f-893d-055a725c7bdc","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:4a99d481-c354-477e-8210-806f6cefb143:631da453-cc0b-4538-aefa-2f55c724d560","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G21","Self leveling coverage completed"
"c931d166-b358-4040-b56f-baac806a05eb","","holdpoint","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:4a99d481-c354-477e-8210-806f6cefb143:631da453-cc0b-4538-aefa-2f55c724d560:524d7981-0c96-4413-bd68-f19857dbb931","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G21","Raise Remedial/ Main Contractor Signoff"
"a8f6fca2-a459-45dd-92f6-a417949c2a75","","checkpoint-group","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:715ebe75-d0c3-4963-a5d6-bad1e2456c8c","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G22"
"f44bc6aa-d168-430e-9a02-ca90e19d4e2a","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:715ebe75-d0c3-4963-a5d6-bad1e2456c8c:f38aac07-4383-4879-b287-b57185210164","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G22","Area floor level acceptable"
"99a289a6-db20-4492-bffb-cfd665186a8d","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:715ebe75-d0c3-4963-a5d6-bad1e2456c8c:1674d7c9-7ba5-4036-97a8-dffe4dc0cd9f","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G22","Wiring on the floor completed (photos attached)"
"9490bee5-3a83-4c34-83e7-1a4b5abaddb7","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:715ebe75-d0c3-4963-a5d6-bad1e2456c8c:e04c31eb-5852-44d5-bbc8-75fcb5c59bef","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G22","Self leveling coverage completed"
"1b98f57c-ba70-4c69-bcd0-25ea1119a662","","holdpoint","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:715ebe75-d0c3-4963-a5d6-bad1e2456c8c:e04c31eb-5852-44d5-bbc8-75fcb5c59bef:21e2aa8e-432b-4e8b-a639-fb1deb4269dc","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G22","Raise Remedial/ Main Contractor Signoff"
"8a0d7f45-ca62-4e8e-882c-2b4c55a7783b","","checklist-sectioned","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1","checklist","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1"
"d85d00ea-7f02-4064-b808-2e92893ef6c0","","checkpoint-group","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:ba52a576-b577-4f83-b6d3-d3f16071cafc","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","115"
"05708b2f-d0aa-40d3-ae79-d230ead858a3","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:ba52a576-b577-4f83-b6d3-d3f16071cafc:21eff05a-5a98-491c-887f-6836a82e63f0","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","115","Area floor level acceptable"
"9d4d1894-601f-441f-91ae-11488a8c77f4","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:ba52a576-b577-4f83-b6d3-d3f16071cafc:562511d7-8f10-4456-b8b1-2a7d7eda78dc","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","115","Wiring on the floor completed (photos attached)"
"5d622556-e664-47bf-8942-eb70ee1b2bfd","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:ba52a576-b577-4f83-b6d3-d3f16071cafc:64e24908-6f20-4aea-bf91-95ee5e7340d0","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","115","Self leveling coverage completed"
"35d6a91b-b504-4b94-985d-8fdf3bbc2bf3","","holdpoint","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:ba52a576-b577-4f83-b6d3-d3f16071cafc:64e24908-6f20-4aea-bf91-95ee5e7340d0:a64087e4-e57f-44dd-af5d-08c4383ead6d","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","115","Raise Remedial/ Main Contractor Signoff"
"fc296752-b0ff-4393-9073-9d7a7bb2de7c","","checkpoint-group","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:ac66a42d-b56e-40c1-b4f6-ecee85dbc042","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","116"
"bde1dd38-17b5-4e29-be3c-9043aa87d5bf","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:ac66a42d-b56e-40c1-b4f6-ecee85dbc042:a46b72e1-9261-4de4-87fc-9ede7cbd8b79","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","116","Area floor level acceptable"
"ce7dcd60-1714-4bfd-af49-c627e3f57da7","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:ac66a42d-b56e-40c1-b4f6-ecee85dbc042:b8601094-723f-4548-878d-dce363772b04","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","116","Wiring on the floor completed (photos attached)"
"6159fad4-0b92-4419-a565-ce646a2cbd9d","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:ac66a42d-b56e-40c1-b4f6-ecee85dbc042:9ad281b5-619e-4510-841a-2320eb48d58a","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","116","Self leveling coverage completed"
"605b858e-95db-489c-80cf-e0fb92069ed8","","holdpoint","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:ac66a42d-b56e-40c1-b4f6-ecee85dbc042:9ad281b5-619e-4510-841a-2320eb48d58a:52edf6f6-22a4-4a1d-b9e0-8cff100e8758","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","116","Raise Remedial/ Main Contractor Signoff"
"71dcc190-0eec-4a20-baea-21d60f42c07e","","checkpoint-group","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:1f3d0d97-888e-46e2-9570-fb0228f9142c","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","117"
"7baac918-cd0b-4165-bffc-f6d7d30919db","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:1f3d0d97-888e-46e2-9570-fb0228f9142c:77babf63-054c-4bf5-a7fa-410fac9dfd97","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","117","Area floor level acceptable"
"bb50db33-14ad-4c11-a022-babaa51fee1c","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:1f3d0d97-888e-46e2-9570-fb0228f9142c:09dcb213-a79f-47d6-b3e6-5ec1bec4e7d7","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","117","Wiring on the floor completed (photos attached)"
"d629d4eb-f5ed-4221-bc1e-2f163b3e5913","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:1f3d0d97-888e-46e2-9570-fb0228f9142c:d83246bc-8cb8-477a-be6e-5dfff29d8ebe","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","117","Self leveling coverage completed"
"c06f7a3d-583a-48eb-816a-0ec850047cc3","","holdpoint","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:1f3d0d97-888e-46e2-9570-fb0228f9142c:d83246bc-8cb8-477a-be6e-5dfff29d8ebe:7a4b83ed-1709-492c-8957-a00dd028273d","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","117","Raise Remedial/ Main Contractor Signoff"
"7df31115-60e0-46eb-bc15-9e5ad0c70cb5","","checkpoint-group","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:7370f7e7-9bd2-491e-9aa7-d745d7180f02","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","118"
"c003b3cd-fa4c-475c-baa8-36a2ddfe1553","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:7370f7e7-9bd2-491e-9aa7-d745d7180f02:290098e6-9544-4d0d-8ad5-76545b996a55","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","118","Area floor level acceptable"
"fd742bd2-2d41-4cc4-8753-5a3a406d84fb","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:7370f7e7-9bd2-491e-9aa7-d745d7180f02:a64588f9-65ca-44ec-92f4-a51886ac512e","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","118","Wiring on the floor completed (photos attached)"
"388ce712-7315-42a2-8dcc-bebb3518445a","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:7370f7e7-9bd2-491e-9aa7-d745d7180f02:f73db775-3ea3-4e54-8fec-2e18eb12df5b","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","118","Self leveling coverage completed"
"20b126ad-4a3f-4962-a69a-323ab6892d8b","","holdpoint","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:7370f7e7-9bd2-491e-9aa7-d745d7180f02:f73db775-3ea3-4e54-8fec-2e18eb12df5b:4ff9aa47-2f94-4565-b52e-af4c87a81dc6","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","118","Raise Remedial/ Main Contractor Signoff"
"887819d6-b9ff-46d9-9e4a-35063485d20d","","checkpoint-group","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:f75b7063-0269-45fa-9659-c9927e0e4ddc","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","119"
"bdb4993f-4c6d-44d1-a5ef-a77bf11b4987","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:f75b7063-0269-45fa-9659-c9927e0e4ddc:464a774c-18ef-49ff-a9bd-12eabd520797","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","119","Area floor level acceptable"
"8d6e7716-fb0e-48dc-ac89-ff0919b88e97","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:f75b7063-0269-45fa-9659-c9927e0e4ddc:364c6913-9d15-4271-ba68-d2c16844f0b4","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","119","Wiring on the floor completed (photos attached)"
"3db5ea28-c497-4c4f-8f3f-c7cdbff25015","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:f75b7063-0269-45fa-9659-c9927e0e4ddc:4ad96c76-999c-4ea5-b430-da050b32ab63","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","119","Self leveling coverage completed"
"033759fe-543e-4d30-861f-b95566aab5f9","","holdpoint","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:f75b7063-0269-45fa-9659-c9927e0e4ddc:4ad96c76-999c-4ea5-b430-da050b32ab63:241e74b7-7651-4cd5-be2b-39cb3e82647a","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","119","Raise Remedial/ Main Contractor Signoff"
"1e8e58b7-16c1-4f11-bd21-2df8562f60bd","","checkpoint-group","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:0417e2d0-082f-499c-b8b9-8f08548636fc","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","120"
"f77fda70-99ef-45ef-928d-5fc9231feb1c","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:0417e2d0-082f-499c-b8b9-8f08548636fc:3327c5f9-f5b0-4d2b-b60e-36428afdb073","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","120","Area floor level acceptable"
"f729aea4-0c33-4152-9278-4f9e25ab9341","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:0417e2d0-082f-499c-b8b9-8f08548636fc:4b1a9f41-a0c3-42ce-9a62-f3728d9bdcf8","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","120","Wiring on the floor completed (photos attached)"
"9c8f3692-bdb5-4389-b079-82720571a86c","","checkpoint-status","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:0417e2d0-082f-499c-b8b9-8f08548636fc:790fc31c-b607-4577-b444-34693e2ff515","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","120","Self leveling coverage completed"
"790480ae-aee6-4d51-8ae1-7910bfd349ef","","holdpoint","pass","SYS - Finger 1: Grids A - N & 1 - 6.5 LEVEL 1:0417e2d0-082f-499c-b8b9-8f08548636fc:790fc31c-b607-4577-b444-34693e2ff515:2aed6375-d9f4-4f41-be99-1f729935644b","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Level 1","120","Raise Remedial/ Main Contractor Signoff"
