"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b60c4645-5d93-480c-af02-f8dd14a47037","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"5d2d9831-7207-462c-8886-0bb0cf01be16","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA","B01A"
"d9c50cdc-8595-4c19-abc0-f9efbce9da90","","checklist-sectioned","pass","zSYS - B01A - Level 5","checklist","FALSE","FALSE","QA","B01A","Level 5"
"575f0bbc-7e22-419e-b7c0-7c6bfddd311b","","checkpoint-group","pass","zSYS - B01A - Level 5:b27c844d-748a-4473-8198-d0b952a4a71a","","FALSE","FALSE","QA","B01A","Level 5","ALS 562 - Bathroom"
"507d37f3-7666-43a7-93db-218da3a7c6af","","checkpoint-status","pass","zSYS - B01A - Level 5:a7d32328-7385-4a72-a7cd-52efff095a12:5ee63b56-9a32-4c10-bc04-649299f4250d","","FALSE","FALSE","QA","B01A","Level 5","ALS 568 - Bathroom","Area floor level acceptable"
"75ec644c-776d-47cf-961a-1b7813f6aafe","","checkpoint-status","pass","zSYS - B01A - Level 5:a7d32328-7385-4a72-a7cd-52efff095a12:1fdbe95a-1d59-4bb3-9de1-4d4d5872e585","","FALSE","FALSE","QA","B01A","Level 5","ALS 568 - Bathroom","Wiring on the floor completed (photos attached)"
"7dd37b87-b8b1-40a7-8ac9-54ec9b4e17b6","","checkpoint-status","pass","zSYS - B01A - Level 5:a7d32328-7385-4a72-a7cd-52efff095a12:6685622f-11a7-46ec-9b9d-5e5c8b33b471","","FALSE","FALSE","QA","B01A","Level 5","ALS 568 - Bathroom","Self leveling coverage completed"
"3219e890-2950-484b-b712-51b4bcd38fb8","","checkpoint-group","pass","zSYS - B01A - Level 5:a490fab5-8435-4297-80bb-a00ce05297ea","","FALSE","FALSE","QA","B01A","Level 5","ALS 569 - Bathroom"
"9d70b969-1c8d-4a1f-837c-3d1ad3a4f942","","checkpoint-status","pass","zSYS - B01A - Level 5:a490fab5-8435-4297-80bb-a00ce05297ea:9e63ae68-0e36-4591-b977-f340e50d9b0b","","FALSE","FALSE","QA","B01A","Level 5","ALS 569 - Bathroom","Area floor level acceptable"
"eeaead68-3dbc-4bef-9c32-e7de2025de1c","","checkpoint-status","pass","zSYS - B01A - Level 5:a490fab5-8435-4297-80bb-a00ce05297ea:e344be99-5af0-4a9d-854e-92cf9d3bd222","","FALSE","FALSE","QA","B01A","Level 5","ALS 569 - Bathroom","Wiring on the floor completed (photos attached)"
"3fd52741-543a-48a5-8ced-679f9503fba7","","checkpoint-status","pass","zSYS - B01A - Level 5:a490fab5-8435-4297-80bb-a00ce05297ea:9872086f-7577-4d0e-9173-6d031d3e455d","","FALSE","FALSE","QA","B01A","Level 5","ALS 569 - Bathroom","Self leveling coverage completed"
"5d42a4fa-3794-46a7-bd1e-1624f5a61653","","checkpoint-group","pass","zSYS - B01A - Level 5:e42be333-9fa6-4ee4-8725-c8d8f5f18723","","FALSE","FALSE","QA","B01A","Level 5","ALS 570 - Bathroom"
"5afd172a-b452-4c16-ab01-1ef1ba3fa9db","","checkpoint-status","pass","zSYS - B01A - Level 5:e42be333-9fa6-4ee4-8725-c8d8f5f18723:a93f61d0-adce-41c3-bea7-64b62afabc93","","FALSE","FALSE","QA","B01A","Level 5","ALS 570 - Bathroom","Area floor level acceptable"
"cae114c4-f309-439e-8afe-4c097a46156e","","checkpoint-status","pass","zSYS - B01A - Level 5:e42be333-9fa6-4ee4-8725-c8d8f5f18723:dc31bf33-e727-476c-b15b-3880bedf64f1","","FALSE","FALSE","QA","B01A","Level 5","ALS 570 - Bathroom","Wiring on the floor completed (photos attached)"
"67dbece4-2b41-4f40-927c-71744b021528","","checkpoint-status","pass","zSYS - B01A - Level 5:e42be333-9fa6-4ee4-8725-c8d8f5f18723:66b73b69-9173-435c-bb1b-fc34090435c7","","FALSE","FALSE","QA","B01A","Level 5","ALS 570 - Bathroom","Self leveling coverage completed"
"f0cef09b-6637-4896-beb9-796e665e3a4e","","checkpoint-group","pass","zSYS - B01A - Level 5:71f9ca7d-4cd0-4066-8c02-d52c56a6b5ac","","FALSE","FALSE","QA","B01A","Level 5","ALS 571 - Bathroom"
"e4dd945d-8ece-40fa-b9ff-eaa5fd19d307","","checkpoint-status","pass","zSYS - B01A - Level 5:71f9ca7d-4cd0-4066-8c02-d52c56a6b5ac:eb8bc082-0040-4112-926d-0e34b23ffa3b","","FALSE","FALSE","QA","B01A","Level 5","ALS 571 - Bathroom","Area floor level acceptable"
"9820d830-7ecb-4476-96e7-df9aae270157","","checkpoint-status","pass","zSYS - B01A - Level 5:71f9ca7d-4cd0-4066-8c02-d52c56a6b5ac:330df24f-70ab-4d5c-8127-032f2a207aa4","","FALSE","FALSE","QA","B01A","Level 5","ALS 571 - Bathroom","Wiring on the floor completed (photos attached)"
"e465ff85-9f02-4f89-9002-16c22c708c66","","checkpoint-status","pass","zSYS - B01A - Level 5:71f9ca7d-4cd0-4066-8c02-d52c56a6b5ac:8ef7a16d-79f8-4aad-8b59-8e750a08f8e2","","FALSE","FALSE","QA","B01A","Level 5","ALS 571 - Bathroom","Self leveling coverage completed"
"5c9bb548-183d-4d89-bd33-3ff525a58e08","","checkpoint-group","pass","zSYS - B01A - Level 5:c5373dd6-2578-4cea-8539-5af140f6ca39","","FALSE","FALSE","QA","B01A","Level 5","ALS 572 - Bathroom"
"878ccab1-0785-4921-94b6-bdead089fcf9","","checkpoint-status","pass","zSYS - B01A - Level 5:c5373dd6-2578-4cea-8539-5af140f6ca39:fa3c2b12-b506-4448-bf37-eb3e83caf2d9","","FALSE","FALSE","QA","B01A","Level 5","ALS 572 - Bathroom","Area floor level acceptable"
"e1395569-a985-4cad-98bb-77813b0b689b","","checkpoint-status","pass","zSYS - B01A - Level 5:c5373dd6-2578-4cea-8539-5af140f6ca39:3b76b3d3-8dad-4f3b-b816-5271d16f9336","","FALSE","FALSE","QA","B01A","Level 5","ALS 572 - Bathroom","Wiring on the floor completed (photos attached)"
"d58c5b24-70ab-4a05-ba61-ea11c88b8576","","checkpoint-status","pass","zSYS - B01A - Level 5:c5373dd6-2578-4cea-8539-5af140f6ca39:39af0253-ac65-4999-ad0c-e8358680e3fa","","FALSE","FALSE","QA","B01A","Level 5","ALS 572 - Bathroom","Self leveling coverage completed"
"fc8fe328-4c9c-45b2-b5c2-348d498f68a1","","checkpoint-group","pass","zSYS - B01A - Level 5:7f15d61c-6fd7-454b-9506-a353c46421cf","","FALSE","FALSE","QA","B01A","Level 5","ALS 573 - Bathroom"
"a6f4e945-2fc0-4fcb-bff5-a5170f5a9422","","checkpoint-status","pass","zSYS - B01A - Level 5:7f15d61c-6fd7-454b-9506-a353c46421cf:3a4f8527-cc70-47ec-8ee4-577570cc5a79","","FALSE","FALSE","QA","B01A","Level 5","ALS 573 - Bathroom","Area floor level acceptable"
"974598a5-d30e-475c-b733-7c4cfe75df4c","","checkpoint-status","pass","zSYS - B01A - Level 5:7f15d61c-6fd7-454b-9506-a353c46421cf:17bed1d3-8033-4270-a160-216b9b5a9d81","","FALSE","FALSE","QA","B01A","Level 5","ALS 573 - Bathroom","Wiring on the floor completed (photos attached)"
"ba151b8c-0e92-4f3a-8005-0f9a81a00aaf","","checkpoint-status","pass","zSYS - B01A - Level 5:7f15d61c-6fd7-454b-9506-a353c46421cf:555cd761-b012-491c-816a-ad98ed8d1fb4","","FALSE","FALSE","QA","B01A","Level 5","ALS 573 - Bathroom","Self leveling coverage completed"
"ec4ced36-a83f-494e-af1e-1275133d63fa","","checkpoint-group","pass","zSYS - B01A - Level 5:1459b076-a9c2-423b-bf2d-b5ee127b92f6","","FALSE","FALSE","QA","B01A","Level 5","ALS 574 - Bathroom"
"5b1821a2-ffd6-40d8-884e-111d27eb54e2","","checkpoint-status","pass","zSYS - B01A - Level 5:1459b076-a9c2-423b-bf2d-b5ee127b92f6:e3bb1a20-cbe7-42bb-bc80-e0304ab7dc22","","FALSE","FALSE","QA","B01A","Level 5","ALS 574 - Bathroom","Area floor level acceptable"
"8993fa4a-ecf9-4546-bdde-f9ff84fa27be","","checkpoint-status","pass","zSYS - B01A - Level 5:1459b076-a9c2-423b-bf2d-b5ee127b92f6:7c47fcef-eb3a-42fc-ac2d-3f39d3b93e3d","","FALSE","FALSE","QA","B01A","Level 5","ALS 574 - Bathroom","Wiring on the floor completed (photos attached)"
"f6734c92-c0e5-4054-a4d9-194dd5532556","","checkpoint-status","pass","zSYS - B01A - Level 5:1459b076-a9c2-423b-bf2d-b5ee127b92f6:e821893d-9e3f-4fa2-9edf-c9a88a030c50","","FALSE","FALSE","QA","B01A","Level 5","ALS 574 - Bathroom","Self leveling coverage completed"
"fb3767ec-5cd5-4732-b753-384c9ab608e8","","checkpoint-group","pass","zSYS - B01A - Level 5:fc33176c-1d71-42cf-a92b-16dcced90109","","FALSE","FALSE","QA","B01A","Level 5","ALS 575 - Bathroom"
"980f8459-fe1e-46fb-aafd-d87f06bf1382","","checkpoint-status","pass","zSYS - B01A - Level 5:fc33176c-1d71-42cf-a92b-16dcced90109:d1f87e0b-dcfe-4a3d-9099-7a356834fabf","","FALSE","FALSE","QA","B01A","Level 5","ALS 575 - Bathroom","Area floor level acceptable"
"bcf4b4b4-cfd4-4b43-98a1-f8997a4c9772","","checkpoint-status","pass","zSYS - B01A - Level 5:fc33176c-1d71-42cf-a92b-16dcced90109:1f56de23-f79d-4f2a-b943-a5c4e2fa428b","","FALSE","FALSE","QA","B01A","Level 5","ALS 575 - Bathroom","Wiring on the floor completed (photos attached)"
"578505bb-7b59-446a-95d9-36ef1d87dc1f","","checkpoint-status","pass","zSYS - B01A - Level 5:fc33176c-1d71-42cf-a92b-16dcced90109:90c6b277-0f6b-45e5-98c9-b7d0ec885d57","","FALSE","FALSE","QA","B01A","Level 5","ALS 575 - Bathroom","Self leveling coverage completed"
"0ce1c9b6-350d-48d4-ae13-65afe15a9a3e","","checkpoint-group","pass","zSYS - B01A - Level 5:6835e109-7d0d-4756-b613-2c70048f7ced","","FALSE","FALSE","QA","B01A","Level 5","ALS 576 - Bathroom"
"46c6a8d4-010b-4e5f-bcca-5e1cbb57ab41","","checkpoint-status","pass","zSYS - B01A - Level 5:6835e109-7d0d-4756-b613-2c70048f7ced:dcaba717-6868-44b4-ad9c-4564c6e51fa7","","FALSE","FALSE","QA","B01A","Level 5","ALS 576 - Bathroom","Area floor level acceptable"
"e3022aee-6e5c-4862-8ba8-55438016ba8c","","checkpoint-status","pass","zSYS - B01A - Level 5:6835e109-7d0d-4756-b613-2c70048f7ced:eb3c5bf4-2602-4a72-8aa0-f1840e55334f","","FALSE","FALSE","QA","B01A","Level 5","ALS 576 - Bathroom","Wiring on the floor completed (photos attached)"
"4d0cc804-a512-441b-af3d-0cbcc5df239b","","checkpoint-status","pass","zSYS - B01A - Level 5:6835e109-7d0d-4756-b613-2c70048f7ced:e53e6cd7-5070-4e7d-8964-916493af8195","","FALSE","FALSE","QA","B01A","Level 5","ALS 576 - Bathroom","Self leveling coverage completed"
"6e060a0e-b150-4269-83ea-ba32ee4ce186","","checkpoint-group","pass","zSYS - B01A - Level 5:13adb72e-e98f-4717-a585-bd54238c5676","","FALSE","FALSE","QA","B01A","Level 5","ALS 577 - Bathroom"
"59c711cb-26ae-4457-a2f4-84ba143a7b1b","","checkpoint-status","pass","zSYS - B01A - Level 5:13adb72e-e98f-4717-a585-bd54238c5676:81f38c39-4d1c-4db3-a9fc-f9846a905ebf","","FALSE","FALSE","QA","B01A","Level 5","ALS 577 - Bathroom","Area floor level acceptable"
"cc2e7a75-1463-4588-8653-389a8c818785","","checkpoint-status","pass","zSYS - B01A - Level 5:13adb72e-e98f-4717-a585-bd54238c5676:4daf6b4c-e228-4210-bee2-1a1fba595685","","FALSE","FALSE","QA","B01A","Level 5","ALS 577 - Bathroom","Wiring on the floor completed (photos attached)"
"b12681ca-3d7c-4ca8-9590-160fd45a59f1","","checkpoint-status","pass","zSYS - B01A - Level 5:13adb72e-e98f-4717-a585-bd54238c5676:4a6586a1-18f4-4887-b0b4-83bd938e6843","","FALSE","FALSE","QA","B01A","Level 5","ALS 577 - Bathroom","Self leveling coverage completed"
"91bef688-f46f-4efa-8eb0-771fc910f87e","","checkpoint-group","pass","zSYS - B01A - Level 5:9edc32e5-a592-4965-a30b-3efc73ef1776","","FALSE","FALSE","QA","B01A","Level 5","ALS 578 - Bathroom"
"e8d4d5ef-be77-4253-b73f-061957b6ba03","","checkpoint-status","pass","zSYS - B01A - Level 5:9edc32e5-a592-4965-a30b-3efc73ef1776:941ffbe3-2f4a-4f3a-9ed4-82f06f5f316b","","FALSE","FALSE","QA","B01A","Level 5","ALS 578 - Bathroom","Area floor level acceptable"
"6aafe616-d3ba-4f2b-9631-14308d321d0c","","checkpoint-status","pass","zSYS - B01A - Level 5:9edc32e5-a592-4965-a30b-3efc73ef1776:651f1ef0-e59e-4e8c-866f-7ae1ebcbe859","","FALSE","FALSE","QA","B01A","Level 5","ALS 578 - Bathroom","Wiring on the floor completed (photos attached)"
"20fd80f7-e556-498f-8792-32a15b26a581","","checkpoint-status","pass","zSYS - B01A - Level 5:9edc32e5-a592-4965-a30b-3efc73ef1776:92de31c3-3a97-4150-a809-2834796cf5e1","","FALSE","FALSE","QA","B01A","Level 5","ALS 578 - Bathroom","Self leveling coverage completed"
"19589c81-3e9a-4a50-893d-ca912335e3a3","","checkpoint-group","pass","zSYS - B01A - Level 5:e3772e2d-d1d4-46ca-b203-e29d43c3cf85","","FALSE","FALSE","QA","B01A","Level 5","ALS 579 - Bathroom"
"c525ea21-c998-4a34-ae2d-1ff39ce80a89","","checkpoint-status","pass","zSYS - B01A - Level 5:e3772e2d-d1d4-46ca-b203-e29d43c3cf85:6f6b8bee-51a2-403d-9f45-8c2b5df3338f","","FALSE","FALSE","QA","B01A","Level 5","ALS 579 - Bathroom","Area floor level acceptable"
"46b06be5-93a9-4e01-a063-96a560077c32","","checkpoint-status","pass","zSYS - B01A - Level 5:e3772e2d-d1d4-46ca-b203-e29d43c3cf85:2ee81b74-8eb9-4e59-ab39-8a0299d2c154","","FALSE","FALSE","QA","B01A","Level 5","ALS 579 - Bathroom","Wiring on the floor completed (photos attached)"
"52e5ff4c-1b03-4f67-b469-b9dd7202db03","","checkpoint-status","pass","zSYS - B01A - Level 5:e3772e2d-d1d4-46ca-b203-e29d43c3cf85:e2a89cdd-4333-4829-8d77-f7c2a5a02b0c","","FALSE","FALSE","QA","B01A","Level 5","ALS 579 - Bathroom","Self leveling coverage completed"
"272adfea-3732-4a48-8e55-57f03ad65a49","","checkpoint-group","pass","zSYS - B01A - Level 5:206d292b-381e-4ae2-a67e-e374f1b6d8e8","","FALSE","FALSE","QA","B01A","Level 5","ALS 580 - Bathroom"
"0efba13f-0b7f-49b1-84a6-8cf0a31cd583","","checkpoint-status","pass","zSYS - B01A - Level 5:206d292b-381e-4ae2-a67e-e374f1b6d8e8:7b852de9-acb9-4fea-9c0b-c2fc99ff4e2a","","FALSE","FALSE","QA","B01A","Level 5","ALS 580 - Bathroom","Area floor level acceptable"
"17e9dcb4-6137-45ec-860f-6728feeebeff","","checkpoint-status","pass","zSYS - B01A - Level 5:206d292b-381e-4ae2-a67e-e374f1b6d8e8:6e4fd879-4975-4b83-9646-bbb53dac9286","","FALSE","FALSE","QA","B01A","Level 5","ALS 580 - Bathroom","Wiring on the floor completed (photos attached)"
"2a1b08e5-f020-4b18-82f0-f0263dee1e1c","","checkpoint-status","pass","zSYS - B01A - Level 5:206d292b-381e-4ae2-a67e-e374f1b6d8e8:e80f5f4d-ac22-425f-8bd6-d0f642022dcd","","FALSE","FALSE","QA","B01A","Level 5","ALS 580 - Bathroom","Self leveling coverage completed"
"9db4bd36-44fa-493f-9484-19da1c230d36","","checkpoint-group","pass","zSYS - B01A - Level 5:2a05fdc6-bb80-405b-b87e-9af24d365788","","FALSE","FALSE","QA","B01A","Level 5","ALS 581 - Bathroom"
"912b58b4-6e6e-4614-be22-e0aaa2da5e11","","checkpoint-status","pass","zSYS - B01A - Level 5:2a05fdc6-bb80-405b-b87e-9af24d365788:9693831e-39fa-4923-ac4a-fa55cd64194c","","FALSE","FALSE","QA","B01A","Level 5","ALS 581 - Bathroom","Area floor level acceptable"
"56863556-661a-4c06-8975-814bc8dbe1c6","","checkpoint-status","pass","zSYS - B01A - Level 5:2a05fdc6-bb80-405b-b87e-9af24d365788:787d6c15-47a8-4b4d-8300-b4fd8122ddf6","","FALSE","FALSE","QA","B01A","Level 5","ALS 581 - Bathroom","Wiring on the floor completed (photos attached)"
"cba9cd51-e405-4fae-93fe-6f5290526c49","","checkpoint-status","pass","zSYS - B01A - Level 5:2a05fdc6-bb80-405b-b87e-9af24d365788:f91dda65-493b-416a-b8b6-7c4a3f8991c4","","FALSE","FALSE","QA","B01A","Level 5","ALS 581 - Bathroom","Self leveling coverage completed"
"760c7b66-33e6-4988-bd4a-d3581fc5ce56","","checkpoint-group","pass","zSYS - B01A - Level 5:bd5aec96-cea0-4650-98e8-3a89d6719ec7","","FALSE","FALSE","QA","B01A","Level 5","ALS 582 - Bathroom"
"f2ffa944-f734-43b9-8470-681b6da171e9","","checkpoint-status","pass","zSYS - B01A - Level 5:bd5aec96-cea0-4650-98e8-3a89d6719ec7:954a6ba9-c711-40a9-a3e2-788baf46e2df","","FALSE","FALSE","QA","B01A","Level 5","ALS 582 - Bathroom","Area floor level acceptable"
"2391ff5a-4927-4c09-a726-abb6746180d3","","checkpoint-status","pass","zSYS - B01A - Level 5:bd5aec96-cea0-4650-98e8-3a89d6719ec7:89a98bfb-982d-458c-888a-1d6ab8baab42","","FALSE","FALSE","QA","B01A","Level 5","ALS 582 - Bathroom","Wiring on the floor completed (photos attached)"
"e0218c31-1f8a-441f-893b-c14199319048","","checkpoint-status","pass","zSYS - B01A - Level 5:bd5aec96-cea0-4650-98e8-3a89d6719ec7:fd84441b-c9fa-441c-a7f3-d3cb572e39a9","","FALSE","FALSE","QA","B01A","Level 5","ALS 582 - Bathroom","Self leveling coverage completed"
"186cea2e-47e8-499a-b402-11e45b4a4a7e","","checkpoint-group","pass","zSYS - B01A - Level 5:c25fb1b5-f1f3-4b9c-b97c-ca5fce3628d6","","FALSE","FALSE","QA","B01A","Level 5","ALS 583 - Bathroom"
"2534b133-38f3-45be-9103-bd8340f01475","","checkpoint-status","pass","zSYS - B01A - Level 5:c25fb1b5-f1f3-4b9c-b97c-ca5fce3628d6:0fdce426-9e44-4707-8dcb-4370992f3498","","FALSE","FALSE","QA","B01A","Level 5","ALS 583 - Bathroom","Area floor level acceptable"
"4868c1f7-b7ef-4c06-9f85-46c489a1b87f","","checkpoint-status","pass","zSYS - B01A - Level 5:c25fb1b5-f1f3-4b9c-b97c-ca5fce3628d6:48f07f55-b5f9-479b-8966-35eb36831153","","FALSE","FALSE","QA","B01A","Level 5","ALS 583 - Bathroom","Wiring on the floor completed (photos attached)"
"e86b1ce5-c2ef-4de2-b74e-8d13bafa7e8b","","checkpoint-status","pass","zSYS - B01A - Level 5:c25fb1b5-f1f3-4b9c-b97c-ca5fce3628d6:49b9f07d-7ead-4590-936b-9a44463fe3b7","","FALSE","FALSE","QA","B01A","Level 5","ALS 583 - Bathroom","Self leveling coverage completed"
"2bd28a93-e92e-4907-b452-26c89aff3d72","","checkpoint-group","pass","zSYS - B01A - Level 5:7ee954c8-1cbf-4648-8d70-e48283748a11","","FALSE","FALSE","QA","B01A","Level 5","ALS 584 - Bathroom"
"cfd284f0-39f6-4c95-8985-0405527a527d","","checkpoint-status","pass","zSYS - B01A - Level 5:7ee954c8-1cbf-4648-8d70-e48283748a11:32f68765-55de-4c38-b50e-3b0a5ef5720a","","FALSE","FALSE","QA","B01A","Level 5","ALS 584 - Bathroom","Area floor level acceptable"
