"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"70513420-2675-400f-865a-e38ff25d6488","","folder-normal","not-started","","step","TRUE","FALSE","Drainage Installation"
"d0a0d546-66a9-4bf2-99d5-496a00b2e3a6","","folder-normal","not-started","","step","TRUE","FALSE","Drainage Installation","Stormwater"
"aa993fa1-58eb-4e0a-9e7e-614d53ca03c3","","folder-normal","not-started","","step","TRUE","FALSE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)"
"f62772cd-967b-4e73-8b20-fe4ea42b9a99","","checklist-sectioned","not-started","Stormwater- Pipeline Installation Checklist","checklist","FALSE","FALSE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist"
"d1c909f9-ae57-5673-98cd-9176fe03d82b","","checkpoint-group","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca","","FALSE","FALSE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Pipe Laying"
"9834a9aa-b910-5c2a-9aee-75096729d0ab","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:2d7339b5-9c3c-472e-88be-1274d95fae9d","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Caps are secure"
"3a74f309-2d2c-5563-8e86-59d025280aa6","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:0961e97c-8ada-404c-ad74-2904d17d1402","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Pipe Laying","All Cess Pitts have been checked, installed and approved"
"ae16d786-c4a9-5d25-ba63-470ae6f40e42","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:3a50c613-e53a-450c-80ee-79d3b5fdbf55","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Location confirmed"
"ea197476-a60c-5ad2-a6e1-73331a2ab50a","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:a7af3f46-3793-48a3-8c2e-e30ac62b04b5","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Heights are correct"
"42ba3313-afaf-5303-ac1d-e99360571041","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:cb9aae7e-d22c-4433-b2f9-441e783eb6c8","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Caps are secure"
"62092ac0-e000-58ca-b586-3b377940c172","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:5c517e65-621c-49c1-ac0f-1487bcf6d65c","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Pipe Laying Completed"
"28cbbb9d-67b3-5a31-95f8-7a90295c7b8e","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:bd0edfc9-e6fb-42a4-bf63-bddc0ae5358b","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Bedding Sound"
"1fe82cbf-1845-5307-a6a3-c3cc26fe5e42","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:7a3633d0-cb1d-4456-aa88-e669f9ab1678","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Soil Removed"
"86ab1b29-8f84-55bb-a859-ef3400bccf07","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:e2eee042-ea5b-4720-bd88-396227607c17","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Trench Compacted"
"1f8c4706-4bbc-5fd1-af49-6a7390f82160","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:972937fa-1913-4765-a4d9-fca9bf01efc1","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Hard Filled"
"9f17817f-862b-51c7-8fc4-2871952d8d19","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:ea1108a1-ab36-44be-b4b0-f8ba8a655b54","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Install Tests completed, reviewed & approved"
"917a4eae-92ac-51c3-979f-e4db83b88653","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:8d403cc0-6693-4a14-896c-fcbfa116a6d9","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Local Authority Inspection Passed"
"d334774a-1261-5673-b123-816d2fd25095","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:71b6e6bc-2d00-4ab8-a1fc-379a04914c72","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Area of Work Inspection Completed & Sign Off"
"a5043e96-b706-505e-a4d2-8aaa9da6c37d","","checkpoint-group","not-started","Stormwater- Pipeline Installation Checklist:6b9d2086-f639-4c65-83ae-0f003272baa9","","FALSE","FALSE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Backfill"
"d6d55f45-2e33-5be4-a5fa-2227eea66369","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:6b9d2086-f639-4c65-83ae-0f003272baa9:5189e464-7ecd-4c78-8d87-06a10c81f1e8","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Backfill","Backfill methodology and material confirmed"
"af72efbf-86fb-594a-b527-7bc19f7eb6ff","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:6b9d2086-f639-4c65-83ae-0f003272baa9:e8233221-50c5-4e57-80da-b6247bc47cdb","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Backfill","Any formwork/ debris removed from area"
"81c516f5-9048-5ac9-a481-ae4b85994e8c","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:6b9d2086-f639-4c65-83ae-0f003272baa9:88e16a35-9b12-408f-abe1-0d72356f8ac5","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Backfill","Any waterproofing/ drainage / service requirements completed and inspected"
"83dd6872-b70a-596b-9646-5509d7cc5b22","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:6b9d2086-f639-4c65-83ae-0f003272baa9:2be963c6-9cac-4fda-b7ed-5911896e1d34","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Backfill","Approval given to commence backfill - attach any other relevant inspections and observations closedout"
"578b54da-f08b-5770-b269-8df2a64862ea","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:6b9d2086-f639-4c65-83ae-0f003272baa9:e3fbc0b4-b1ef-444d-bf09-7fc7dca2dfe3","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Backfill","General photos and observations during backfill"
"e7397437-712f-5b56-ac73-508941ff2b6d","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:6b9d2086-f639-4c65-83ae-0f003272baa9:e63cdfb5-e127-4e8a-922a-c3874991123d","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Stormwater- Pipeline Installation Checklist","Backfill","Backfill completed correctly and heights checked/ correct"
"4664dade-4f4e-43ed-91db-da7450ebe12e","","checklist-flat","not-started","Cesspit Installation","checklist-flat","FALSE","FALSE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Cesspit Installation"
"437f859f-cdf4-516a-a32b-a46ed127fb4a","","checkpoint-status","not-started","Cesspit Installation:d73c2ce4-128f-4992-924c-a0a0238009a4","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Cesspit Installation","Setout & position checked and confirmed"
"a9b1bdee-8308-57e9-986d-df80dce6d2bc","","checkpoint-status","not-started","Cesspit Installation:195f701e-2691-4cc9-8f5c-8dc05f8e03b0","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Cesspit Installation","Cesspit installed as per standards"
"acac59e0-7fc8-5d7f-80be-26f52b6e2253","","checkpoint-status","not-started","Cesspit Installation:c30d625c-311f-4e29-8873-a7f1db5e33f4","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Cesspit Installation","Setout & position checked and confirmed"
"39c062ab-cb0f-5fb3-a8d4-94525126cf38","","checkpoint-status","not-started","Cesspit Installation:22381c22-dd1a-4e61-bd50-63bf2d639ade","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Cesspit Installation","All cut pipes epoxied"
"891b0a99-7a9b-59fb-a312-35b0fbeea1ff","","checkpoint-status","not-started","Cesspit Installation:7ef0f2ab-def2-4daf-9054-953764f196a5","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Cesspit Installation","Confirm Levels Correct"
"261fc940-ff13-52da-be91-1c9c31b4cebc","","checkpoint-status","not-started","Cesspit Installation:2c74ef9d-221e-41f3-9714-39222e5ce1f5","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Cesspit Installation","Cesspit cleaned of all Debris"
"624fa65c-abe2-52c0-b977-6678cada618d","","checkpoint-status","not-started","Cesspit Installation:3cde5380-62b9-48e1-83a0-132b94b70f53","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Cesspit Installation","Concrete Apron installed (if required)"
"1adc1210-2c53-553d-9faf-60d6ba78be56","","checkpoint-status","not-started","Cesspit Installation:66a7aa5c-29e4-4839-85a9-6fbead1374d1","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Cesspit Installation","Frame & Grate alignment checked"
"5af18a79-80fe-5658-aaca-b935230201cf","","checkpoint-status","not-started","Cesspit Installation:527a27ad-8dfa-4f4c-8b45-82f9f82ab72f","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Cesspit Installation","Minimum sump depth checked"
"2e0a7083-9cde-5122-93fa-ed2866d433c4","","checkpoint-status","not-started","Cesspit Installation:88778cc2-035f-4c47-96d3-1b89896cf99a","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Cesspit Installation","Captive Grates installed (if required)"
"c2ad3f21-2400-508e-afe3-c36e0bb6d810","","checkpoint-status","not-started","Cesspit Installation:9422dc07-0fb6-4a4b-9bcf-5b5dd4ceb0ec","","TRUE","TRUE","Drainage Installation","Stormwater","Standard Double Cesspit 1A(SWDCP 1A) to Stormwater Soakpit 1 (SWSP1)","Cesspit Installation","Cesspit complete & ready for sign off"
"3b67c1d5-8b42-4191-b104-338829995755","","folder-normal","not-started","","step","TRUE","FALSE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)"
"2324e1b3-93dd-4c45-9209-fa43f34369e4","","checklist-sectioned","not-started","Stormwater- Pipeline Installation Checklist","checklist","FALSE","FALSE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist"
"530e9a64-7460-54db-b27d-823d3f4cc4e2","","checkpoint-group","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca","","FALSE","FALSE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist","Pipe Laying"
"4c24d701-0fcc-54f6-b3a6-f03b307b8fc2","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:0e7aaaa3-b759-4859-b836-2d8db0e93825","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Latest consented drawings"
"5334983b-d792-5106-89ca-84d3581dbbbb","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:48b9b4e0-5649-4bc9-87a0-b179262693cc","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Setout completed checked and accurate"
"e60bacac-adaf-553f-a7e7-ec5e82962b9f","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:e3b4f544-f151-4f36-8301-84ac59ec0f67","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Excavation Accurate - Location & Depth"
"3ef85760-6906-50b2-9396-a17dcea0b79f","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:3b5b1990-1547-45ca-a0fc-7c2dada5ce89","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Ground Conditions Checked & Acceptable"
"0d74f378-d52e-59e7-ac71-0d37ed070c62","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:f4c14850-749f-415e-ad60-4ac5d54034f9","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Bedding depth and material correct"
"410e1bbe-71dc-570b-bc6c-b935814f5413","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:49164952-313a-4b22-92ab-3b847456b693","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Correct pipe laid to specified level and grade (all joints sealed correctly as specified)"
"bc8c4fde-cee8-5a6a-9c6e-c08a669deec4","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:d27c0140-2652-49c4-b093-b61ea6421f8a","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Connections to manholes complete and approved"
"13ae499b-d37c-5b7b-bc37-fea9b65296bf","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:9f1341e4-974b-446c-82c5-1c365476fdba","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist","Pipe Laying","All Downpipes have been checked, installed and approved"
"755a58fe-7766-5009-8e62-df7bfab38926","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:66273d08-a3ff-40b9-bb80-476c78573c3f","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Location confirmed"
"43c4854a-072a-5a78-96d6-e6582a0c6354","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:c8e8b675-41b0-4bd4-ba43-7d4ad4ea7bdc","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Heights are correct"
"7db13bd5-f9df-5034-80fd-d8c7f95d04e0","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:2d7339b5-9c3c-472e-88be-1274d95fae9d","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Caps are secure"
"43b671f8-0fd2-5ae5-a9cc-86c682fc3d6c","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:0961e97c-8ada-404c-ad74-2904d17d1402","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist","Pipe Laying","All Cess Pitts have been checked, installed and approved"
"568973f3-9c02-587c-a021-d22cbbe9a43a","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:3a50c613-e53a-450c-80ee-79d3b5fdbf55","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Location confirmed"
"50dc69e4-b0d2-5a51-b59c-2da1ec4d6eb2","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:a7af3f46-3793-48a3-8c2e-e30ac62b04b5","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Heights are correct"
"4d6ed6b6-1918-5505-842c-b895e30152dc","","checkpoint-status","not-started","Stormwater- Pipeline Installation Checklist:3afc0d28-4a74-4381-aba1-ab6bbc1bc7ca:cb9aae7e-d22c-4433-b2f9-441e783eb6c8","","TRUE","TRUE","Drainage Installation","Stormwater","Stormwater Soakpit 1(SWSP1) to Stormwater private connection2(SWPC2)","Stormwater- Pipeline Installation Checklist","Pipe Laying","Caps are secure"
