"Warnings","Type","Id","Name","Values","Prompting Name","Usage Count","Resource Id"
"","note","3c7bfeb2-48cc-4c75-8c53-db434c64e996","Select N/A if there are no Observations/Failures requiring closeout",,,,
"","button","5fc35eaa-61ff-4a6a-85df-bfb72c73a67d","All Relevant Observation Closeout evidence attached below if applicable (Pass once completed)","Pass, N/A",,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"Lift Glass","","Lift Glass",1,"1e829b73-eb91-4199-bce2-34223e2e98b5"
"","checkpoint",,"Steel structure painted and handed over prior to start of work",,,,
"","checkpoint",,"Spider fixing type as per specified (metroglass)",,,,
"","checkpoint",,"Spider fixing installed as per drawing",,,,
"","checkpoint",,"Spider fixing in good condition without damage to all parts",,,,
"","checkpoint",,"18mm single structural glass installed as per drawing layout (metroglass)",,,,
"","checkpoint",,"Glass is 50mm offset to steel structure and 15 glass gap at the bottom of L0 and 10mm elsewere",,,,
"","checkpoint",,"Glass logo visible",,,,
"","checkpoint",,"Clear sealant on gap",,,,
"","checkpoint",,"Spider centre at 120-130 edge distance to glass edge",,,,
"","checkpoint",,"Conduit penetration in the correct location",,,,
"","checkpoint",,"Glass free from scratch, chips or any damages",,,,
"","checkpoint",,"Glass protection installed",,,,
"","signoff",,"Request Signoff",,,,

"","checklist",,"QA - Piling","","QA - Piling",5,"2201e1f7-b7e9-495c-a440-8088b52fa508"
"","section",,"Prepour",,,,
"","checkpoint",,"Pile diameter",,,,
"","textbox","d07b8dab-206d-5921-a3f5-275207599823","Pile diameter",,,,
"","checkpoint",,"Engineer Inspection reinforcing",,,,
"","checkpoint",,"Geotech inspection",,,,
"","checkpoint",,"Council inspection",,,,
"","checkpoint",,"CLL QA received",,,,
"","checkpoint",,"Any Issues with Pile",,,,
"","textbox","409b3ddd-32e8-5b53-8e15-a74f47a38569","Any issues/ collapse?",,,,
"","textbox","459d666f-42f1-53e3-8e02-1476a2c064bb","Weather conditions",,,,
"","section",,"Post pour",,,,
"","checkpoint",,"Concrete poured to the correct height",,,,
"","textbox","a0456b24-1b48-4914-8ca0-12b6176fc593","Date of Concrete Pour:",,,,
"","checkpoint",,"Sand filled to clay height",,,,
"","checkpoint",,"Cage centre of the hole",,,,
"","checkpoint",,"No bars damaged",,,,
"","checkpoint",,"Concrete cleaned from reinforcing",,,,

"","checklist-flat",,"Add Council BC Minor Variation Checklist (V3)","","Council BC Minor Variation -",0,"23f538fc-821b-426d-a468-f44765e0cd22"
"","checkpoint",,"Minor variation status (PASS once approved & all information is attached including observations, correspondence & close out evidence)",,,,
"","note","39cfa62b-530c-435d-8c31-5ab24ebcb3d6","PASS above checkpoint when variation is approved",,,,
"","note","c5a175be-3b1a-445a-9336-4c5e4810c3ff","If minor variation is a FAIL - document why below and follow appropriate corrective actions",,,,
"","textbox","a88179f2-77b1-4269-9f04-8c5059bb8975","Date of application",,,,
"","textbox","2ddfe846-481f-4a8a-b0ae-2b214a1997f4","Reason for application",,,,
"","textbox","f01f557d-4086-43f4-a7ee-16bb2a52089f","Date of approval / acceptance",,,,
"","textbox","ae299b30-acf7-438f-ac12-da27eef39fab","How was the minor variation approved? e.g. email from council, site meeting etc",,,,
"","tickbox","a1fe9857-6309-49c9-8fe5-e06aaf747a30","Council approval of minor variation attached",,,,
"","note","f778aad6-b641-49d0-9b65-ea18fd7f65d3","Ensure this minor variation and respective changes are communicated to any relevant parties",,,,

"","checklist-flat",,"QA - Setout / Surveying Checklist (V1)","","Setout / Surveying -",0,"26b40be6-8dda-40b3-a96e-ac0979d6173f"
"","checkpoint",,"Any RL's setout are correct, labelled and photographed",,,,
"","checkpoint",,"Any grid setout are correct, labelled and photographed",,,,
"","checkpoint",,"Any other relevant setout/ survey documentation attached",,,,
"","checkpoint",,"Survey work completed, checked and accurate",,,,

"","checklist-flat",,"Doors","","Doors",4,"306a22ab-18f8-4157-a4d3-e27abfaa0b4f"
"","checkpoint",,"Door frames plumb and straight",,,,
"","checkpoint",,"Door size and opening as per drawing",,,,
"","checkpoint",,"Hinges, latches, knob, and other mechanical fixture in good condition",,,,
"","checkpoint",,"Motors/door closer working properly",,,,
"","checkpoint",,"If fire door, sealant applied as per speficied",,,,
"","checkpoint",,"Sealant along frames correct size and thickness",,,,
"","checkpoint",,"Correct sealant on PEF rod",,,,
"","checkpoint",,"Door protection installed",,,,
"","signoff",,"Request Signoff",,,,

"","checklist",,"QA - Structural Steel","","Structural Steel for Area:",7,"3bb5e337-d000-4817-8aec-c4ff0e18ab05"
"","section",,"Pre installation",,,,
"","checkpoint",,"Structural steel items checked",,,,
"","tickbox","bca0ce93-507b-5f41-9ea4-9fb262643b58","Type/Size Checked",,,,
"","tickbox","6603a5d4-47c2-5281-8dce-ecc448006cde","Finishing checked (ie. Painted, Galvanised, etc)",,,,
"","checkpoint",,"Cast in/anchor bolts and plates installed",,,,
"","checkpoint",,"All pre installation work completed",,,,
"","signoff",,"Request Signoff",,,,
"","section",,"Installation",,,,
"","checkpoint",,"Alignment and levels checked/correct",,,,
"","checkpoint",,"All dry packing completed",,,,
"","checkpoint",,"Any additional photos, comments and observations",,,,
"","checkpoint",,"Structural steel work completed within tolerance in respective area",,,,
"","tickbox","4c22c5cb-4c52-5160-acda-257757d2c746","Trades QA received, reviewed, attached and approved",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"QA - Piling Completion_Handover Checks","","QA - Piling Completion/Handover Checks",1,"3bea8de2-aadb-475b-8d06-10e6fbb6e6b7"
"","checkpoint",,"Trades QA completed, received & reviewed",,,,
"","checkpoint",,"General progress photos recorded",,,,
"","checkpoint",,"All piles completed (locations and heights checked and correct within tolerance)",,,,
"","signoff",,"Request signoff",,,,

"","checklist-flat",,"QA - Site Establishment Checklist (V1)","","Site Establishment",1,"3beb5133-9a2a-430e-abcf-485d3c5c2143"
"","checkpoint",,"Existing site conditions captured (pass once relevant information documented)",,,,
"","checkpoint",,"Attach relevant site establishment photos/ documents",,,,
"","checkpoint",,"Appropriate site fencing installed",,,,
"","checkpoint",,"Site establishment completed",,,,
"","signoff",,"Raise Remedial / Request Signoff",,,,

"","checklist-flat",,"Steel Frame Balustrade with Mesh Infill","","Steel Frame Balustrade with Mesh Infill",0,"41eadf9b-6238-4629-9c55-9e325f5a528a"
"","checkpoint",,"Balustrade using 50x25x3mm HD galv powder coated steel",,,,
"","checkpoint",,"Balustrade spacing as per specification",,,,
"","checkpoint",,"SS mesh as per specified",,,,
"","checkpoint",,"Height correct",,,,
"","checkpoint",,"Fixing done in accordance to drawing",,,,
"","checkpoint",,"Balustrade straight and plumb",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"QA - Drainage","","QA - Drainage",1,"46189d8f-c80a-41d4-be65-03143914c93c"
"","checkpoint",,"Council inspection records",,,,
"","checkpoint",,"General Photos",,,,
"","checkpoint",,"Bassett CONQA link/attached",,,,

"","checklist",,"Curtain Wall System","","Curtain Wall System",7,"4848b33c-9566-46db-8f3b-f11cf2e83c95"
"","section",,"Pre-installation. Waterproofing membrane",,,,
"","checkpoint",,"Surface clean and free from dust, oil, grease, sealant etc..",,,,
"","checkpoint",,"Sikalastic 152 applied before and after Sika Tape F. Continuous and 100mm up to the wall",,,,
"","checkpoint",,"Sikaseal Tape F applied as per specification",,,,
"","checkpoint",,"Dress at steel fin done in correct sequence",,,,
"","checkpoint",,"Reveal shield applied with 150mm overlapping",,,,
"","checkpoint",,"Liquiflash continuously applied and as per drawing",,,,
"","dropdown","3cf476a5-4d96-560e-be48-05d3c4792c26","All checked and ready to proceed to next stage","Pass, Fail, Partial Pass, N/A",,,
"","section",,"Hanging Brackets",,,,
"","checkpoint",,"Brackets type (aluminium/steel) used as per drawing. L0-L1 Aluminium. L2 Steel",,,,
"","checkpoint",,"Bracket thickness and dimension as per drawing",,,,
"","checkpoint",,"Bracket finish as per specified (powdercoated/intumicent painted/galvanized painted, etc...)",,,,
"","checkpoint",,"Washer size and type as per specification.",,,,
"","checkpoint",,"Bolt fixing used as per specification. Size,embedment depth, edge distance checked",,,,
"","dropdown","8f4a609f-e8b0-588a-97b9-ab31bfdd120c","All checked and ready to proceed to next stage","Pass, Fail, Partial Pass, N/A",,,
"","section",,"Seismic frame installation",,,,
"","checkpoint",,"Sill frame undamaged, straight and plumb",,,,
"","checkpoint",,"Sill frame screw fixing using Hilti HUS4 HR10x115, 75mm each side of mullion. Oversealed",,,,
"","checkpoint",,"Drainage slot 8x50mm size, 100mm from both ends and each side of mullion",,,,
"","checkpoint",,"End stops 100mm ht, fully sealed to structure",,,,
"","checkpoint",,"Jamb undamaged, straight and plumb",,,,
"","checkpoint",,"Jamb screw using M6x30 SS to steel, HUS HRS M6x70 to conc, 12G screw to timber with 450mm C/C max",,,,
"","checkpoint",,"Corner reinforcement as per detail",,,,
"","checkpoint",,"20mm GAP between jamb frame and head channel",,,,
"","checkpoint",,"Screws oversealed",,,,
"","checkpoint",,"Head channel undamaged, straight and plumb",,,,
"","checkpoint",,"Head channel fixed with M12 SS screws at 350 mm C/C min",,,,
"","checkpoint",,"Screws oversealed",,,,
"","checkpoint",,"Sikagard 52 is applied as per specification",,,,
"","dropdown","8347358b-9aa3-5c5a-99db-2dc865b18aa1","All checked and ready to proceed to next stage","Pass, Fail, Partial Pass, N/A",,,
"","section",,"Sealant works",,,,
"","checkpoint",,"Sika primer 3N/aktivator 205 is applied before sealant",,,,
"","checkpoint",,"PEF rod correct size and in good location",,,,
"","checkpoint",,"Gap 10mm +/-4",,,,
"","checkpoint",,"Continuous AT Façade applied all round air seal properly tooled",,,,
"","dropdown","328ef0cd-4fe6-542f-98c2-728a64ecf220","QA done ready for panel install","Pass, Fail, Partial Pass, N/A",,,
"","section",,"Curtain wall panel install",,,,
"","checkpoint",,"Panel frame free from dents, dings and scratches",,,,
"","checkpoint",,"Glass undamaged and free from scratches",,,,
"","checkpoint",,"Gaskets and wedge in good condition",,,,
"","checkpoint",,"Wip holes unblocked",,,,
"","checkpoint",,"Gaps consistent to the drawings",,,,
"","checkpoint",,"Panels aligned and plumb",,,,
"","checkpoint",,"Angle closer installed as per drawing",,,,
"","signoff",,"Request Signoff",,,,

"","checklist",,"Office Roof","","Office Roof",1,"49c10cd9-f6e4-4cde-bc18-fd784518e370"
"","section",,"Underlays",,,,
"","checkpoint",,"Covertek 403 separation layer to purlin structure and cavity battens",,,,
"","checkpoint",,"20mm H3.2 castellated cavity battens installed before plywood",,,,
"","checkpoint",,"Nog support timber framing at C purlin level at 600x600 spacing",,,,
"","checkpoint",,"17mm thick H3.2 waterborne CCA treated plywood fixed with 10x50 countersunk screw head",,,,
"","checkpoint",,"Plywood used is non LOSP (light organic solvent preservative) or copper nitrate treated",,,,
"","checkpoint",,"Screw 150mm c/c at edge and 200mm c/c at body of sheets",,,,
"","checkpoint",,"Internal corners with 25mm fillet, external corners with 5mm radius.",,,,
"","checkpoint",,"Timber plinth SG8 H3.2 100x50 timber layout as per drawing",,,,
"","checkpoint",,"Timber plinth screw head countersunk Hex 14G M10x150 tek fixed at 600mm c/c",,,,
"","checkpoint",,"Timber plinth with 45 degree timber fillet at corners",,,,
"","checkpoint",,"90mm Ht Timber diverter installed",,,,
"","checkpoint",,"Conduit penetration to roof, location checked as per drawing",,,,
"","checkpoint",,"Enough fall to drain",,,,
"","checkpoint",,"Gutter and sump area done as per drawing",,,,
"","checkpoint",,"No sharp object and all nail head flush to the plywood face",,,,
"","dropdown","d76fc444-2170-527d-857c-7519a16a9b22","All checked and ready to proceed to next stage","Pass, Fail, Partial Pass, N/A",,,
"","section",,"Roof Membrane",,,,
"","checkpoint",,"All surface is clean, dry, free from sharp edges, oil, grease or other materials that my affect adhesion",,,,
"","checkpoint",,"Worker is approved applicator to do the job",,,,
"","checkpoint",,"Nuralite Nuraply 3PM double layer torch on system installed continuously",,,,
"","checkpoint",,"No visible cracks, holes, damages into the membrane",,,,
"","checkpoint",,"Joint overlapping fully welded",,,,
"","checkpoint",,"Nuraglaze sealer is applied to portion of roof as shown in the architectural drawing",,,,
"","checkpoint",,"Sheets fully adhered to plywood",,,,
"","checkpoint",,"Double thickness application at all internal and external corner",,,,
"","checkpoint",,"Conduit penetration done with ring clamp",,,,
"","checkpoint",,"All penetration done properly",,,,
"","signoff",,"Request Signoff",,,,

"","checklist",,"Nuraply Waterproofing Membrane at Terrace to Warehouse Roof","","Nuraply Waterproofing Membrane at Terrace to Warehouse Roof",2,"4b20bfcd-999a-4318-a8ce-000ced158916"
"","section",,"Nuraply Waterproofing Membrane at Terrace to Warehouse Roof",,,,
"","checkpoint",,"All surface is clean, dry, free from sharp edges, oil, grease or other materials that my affect adhesion",,,,
"","checkpoint",,"Worker is approved applicator to do the job",,,,
"","checkpoint",,"Nuralite Nuraply 3PM double layer torch on system installed continuously",,,,
"","checkpoint",,"No visible cracks, holes, damages into the membrane",,,,
"","checkpoint",,"Joint overlapping fully welded",,,,
"","checkpoint",,"Nuraglaze sealer is applied to portion of roof as shown in the architectural drawing",,,,
"","checkpoint",,"Sheets fully adhered to plywood",,,,
"","checkpoint",,"Double thickness application at all internal and external corner",,,,
"","checkpoint",,"Pipe penetration done with ring clamp",,,,
"","section",,"At Seismic Joint",,,,
"","checkpoint",,"5mm powder coated aluminium scupper rebated to ply at seismic gap fix to 1 end only",,,,
"","checkpoint",,"Nuradeck bandage flashing with 50mm overlap to 3PM at scupper",,,,
"","checkpoint",,"Membrane dressed over seismic end cap at 70mm min",,,,
"","signoff",,"Request Signoff",,,,

"","checklist",,"QA - Concrete Pour (Slabs)","","Concrete Pour for Area:",29,"518abdd0-5b55-4662-8c42-477156e7097e"
"","section",,"Concrete - Pre Pour",,,,
"","checkpoint",,"Set-out correct",,,,
"","checkpoint",,"Any/All cast in items checked / correct (location and size)",,,,
"","checkpoint",,"Penetrations correctly formed/located, checked and accurate",,,,
"","checkpoint",,"Reinforcing checked and correct",,,,
"","button","4dc878d9-304e-536a-bfc9-1152c453f1dd","Size and type correct to specification","Yes, N/A",,,
"","tickbox","2394572d-10c5-51c8-b44e-11842d036890","Reinforcing spacing and location correct",,,,
"","tickbox","63b623d2-cd36-5864-a2c1-065815ca50ee","Specified covers checked/correct",,,,
"","tickbox","a5a3e83a-6e14-5766-94b5-a46868affe87","Splice laps checked/correct",,,,
"","tickbox","3de42f6b-b5cc-51fa-81c1-eec7aa1c962d","Any starter bars are installed correctly (location, size and spacing )",,,,
"","tickbox","243d6ce0-2160-5538-9532-742903b48e59","Any additional items installed/ completed (trimmer bars etc) and excess reinforcing removed",,,,
"","checkpoint",,"Waterproofing (checked and correct)",,,,
"","checkpoint",,"Bottom of concrete pour is clean and free of debris/roughened",,,,
"","checkpoint",,"Engineer informed of pour checks completed (see consultant folder and ensure observations are closed out)",,,,
"","signoff",,"Request Signoff",,,,
"","section",,"Concrete - Pour /Post Pour",,,,
"","checkpoint",,"General photos/comments/observations",,,,
"","tickbox","f5024dcb-51b2-5ff4-841c-413ac416afa6","All concrete dockets photographed/attached here",,,,
"","tickbox","5eb53f38-6e22-5ca8-8b5e-c7a803fa8336","Trades QA received & attached as applicable",,,,

"","checklist",,"Site Wide QA - Drainage","","Drainage for Area:",0,"566e9290-d8c7-46d9-9094-4aa576ab84d4"
"","section",,"Manhole",,,,
"","checkpoint",,"Diameter confirmed",,,,
"","checkpoint",,"IL confirmed",,,,
"","checkpoint",,"Base haunched",,,,
"","checkpoint",,"Lid plastered",,,,
"","checkpoint",,"Ladder condition acceptable",,,,
"","section",,"Drainage line",,,,
"","checkpoint",,"Upstream RL confirmed",,,,
"","checkpoint",,"Downstream RL confirm",,,,
"","checkpoint",,"Fall acceptable",,,,
"","checkpoint",,"Pipe diameter correct",,,,
"","checkpoint",,"Pipe material correct",,,,
"","checkpoint",,"Connections complete",,,,
"","checkpoint",,"Fines placed",,,,

"","checklist-flat",,"Terrace Glass Balustrade","","Terrace Glass Balustrade",1,"5b181474-7c17-43ed-baf7-08c6c18ebf4f"
"","checkpoint",,"Concrete nib straight with no damage",,,,
"","checkpoint",,"Hilti HIT-HY200 + HIT V-R M10 Grade 316 SS anchor fixing @ 200 c/c and 160 embedment",,,,
"","checkpoint",,"1st Anchor placed at 120mm from edge of the concrete",,,,
"","checkpoint",,"Continuous solid aluminium packer installed before between con structure and glass bottom support",,,,
"","checkpoint",,"2mm Powdercoated capping to concrete nib done as per drawing",,,,
"","checkpoint",,"Base powder coating dulux eternity metro silver pearl kinetic",,,,
"","checkpoint",,"Glass using 21.52mm safety sentry glass by Metroglass",,,,
"","checkpoint",,"Glass ht 1100-1150mm to the top of the nib",,,,
"","checkpoint",,"Glass is straigth and plumb",,,,
"","checkpoint",,"Glass protection installed",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"QA - Detailed Excavation Checklist (V1)","","Detailed Excavation -",3,"72d99bbb-d347-4848-b021-e2e2df5071ee"
"","checkpoint",,"General Photos / Comments / Observations during excavation",,,,
"","checkpoint",,"Excavation checked, correct and approved",,,,
"","tickbox","44b11573-9a80-47ed-8f5f-4b2516b78465","Location accurate",,,,
"","tickbox","7cbd784f-6f9c-482a-bee7-6cd5f508d0eb","Depth correct (allow for site concrete if required)",,,,
"","tickbox","240f12b5-8297-4a76-b009-d33f90b28600","Width correct (allow for boxing if required)",,,,
"","checkpoint",,"Any relevant excavation for services is completed and accurate (use underground services checklist to QA service install)",,,,
"","checkpoint",,"Excess Material Cleaned up and removed as required",,,,
"","checkpoint",,"Detailed excavation completed, reviewed and approved",,,,
"","note","b01560f3-933e-4ec0-bcf6-3ac688f2e87e","FINAL - Pass when work(s) are completed, area clean & tidy (any issues please comment below)",,,,
"","tickbox","91a8366b-e0fb-4816-8003-4c352c94db3f","Trades QA received & attached as applicable",,,,

"","checklist",,"Terrace Canopy","","Terrace Canopy",1,"7736b53f-b9db-4604-a09c-512c83ece6b1"
"","section",,"Stainless Steel Gutter at L1 Canopy",,,,
"","checkpoint",,"Steel structure is painted and handed over before start work",,,,
"","checkpoint",,"SS gutter weld continues and without hole, dent or crack",,,,
"","checkpoint",,"SS gutter and sump fall about 1:100",,,,
"","checkpoint",,"SS bracket at 600 C/C. Fixed to cladding with neoprene compressed washer with 12mm gap to cladding",,,,
"","checkpoint",,"Diverter flashing over terrace column installed as per drawing",,,,
"","section",,"Glazed Roof",,,,
"","checkpoint",,"Spider fixing installed per shop drawing and without damage",,,,
"","checkpoint",,"Glass using 21.52 toughened laminated safety glass with 115 clearance at structure",,,,
"","checkpoint",,"Glass with anti-reflective frit as per drawing",,,,
"","checkpoint",,"Glass overhung about 200mm from the spider fixing",,,,
"","checkpoint",,"Glass edge as per drawing",,,,
"","checkpoint",,"Joint sealant done with the correct type and properly tooled",,,,
"","checkpoint",,"Drip angle installed at the the lower edge",,,,
"","section",,"Aluminium Battened Soffit",,,,
"","checkpoint",,"50x50 aluminium box powder coated with Dulux Eternity Metro Silver Pearl Kinetic",,,,
"","checkpoint",,"Spacing as per drawing",,,,
"","checkpoint",,"Alignment as per drawing",,,,
"","checkpoint",,"Batten adequately fixed and no damage",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"Cast In Items","","Cast In Items",0,"7951885b-c342-419b-8630-6d9e4bbee089"
"","checkpoint",,"Drawings are marked for construction, are the latest revision and are entered on drawing register",,,,
"","checkpoint",,"All cast in items installed to correct positions",,,,
"","note","cc41aebf-a028-5557-b7a8-e10d6475795b","Ends sealed for in slab conduits",,,,
"","note","0031cb8c-460b-5653-9c68-4696e00d803f","Is the correct size",,,,
"","note","24940fc0-bf35-5042-9161-1ea565abc37d","Is securely fixed",,,,
"","note","211723e9-792b-57c2-a813-8462104687d3","Saddled and tied in position",,,,
"","checkpoint",,"Concrete pour has been observed to ensure cast in items have not been damaged",,,,
"","checkpoint",,"Final as installed drawings have been drafted",,,,

"","checklist-flat",,"Panel Sealant","","Panel Sealant",11,"7b0969cd-2ac3-4cf7-a6a6-90e99faeff01"
"","checkpoint",,"Cut and remove existing sealant",,,,
"","checkpoint",,"Clean all sealant residue and dirt/dust",,,,
"","checkpoint",,"Insert correct size backing (tight fit) rod to correct depth",,,,
"","checkpoint",,"Surface clean and dry - ready for application",,,,
"","checkpoint",,"Correct depth achieved prior to sealant",,,,
"","checkpoint",,"Apply specified sealant primer",,,,
"","checkpoint",,"Correct Sealant Applied as per manufacturers instructions",,,,
"","checkpoint",,"Sealant properly tooled",,,,
"","checkpoint",,"No visible voids, flaws or defect.",,,,
"","checkpoint",,"Double seal required from exterior - refer architect's detail",,,,
"","checkpoint",,"Double seal installed as per architect's direction (clearly mark double sealed area on elevation)",,,,
"","checkpoint",,"Ensure that drain slots are created the lowest point of panel 10mm dia",,,,

"","checklist-flat",,"QA - Service Location / Isolation Checklist (V1)","","Service Location / Isolation",0,"7d2495e3-2d67-4d04-aa21-159c2e127030"
"","checkpoint",,"Power located",,,,
"","signoff",,"Raise remedial / request trades QA / signoff",,,,
"","checkpoint",,"Water Supply located",,,,
"","signoff",,"Raise remedial / request trades QA / signoff",,,,
"","checkpoint",,"Sewer located",,,,
"","signoff",,"Raise remedial / request trades QA / signoff",,,,
"","checkpoint",,"Stormwater located",,,,
"","signoff",,"Raise remedial / request trades QA / signoff",,,,
"","checkpoint",,"Telecommunication/Fibre located",,,,
"","signoff",,"Raise remedial / request trades QA / signoff",,,,
"","checkpoint",,"Any other relevant services located/ isolated",,,,
"","signoff",,"Raise remedial / request trades QA / signoff",,,,
"","checkpoint",,"All Services located/ isolated (Pass once all services are located/isolated)",,,,
"","signoff",,"Raise remedial / Request signoff",,,,

"","checklist-flat",,"Add Council BC Amendment Checklist (V3)","","Council BC Amendment -",0,"82360c94-120f-4dd9-8ae7-cffc53ba63f7"
"","checkpoint",,"Building consent amendment status (Pass once approved & all information is attached including observations, correspondence & close out evidence)",,,,
"","note","d98f29dd-33e5-491e-a711-395516a2b7d0","PASS above checkpoint when amendment is approved",,,,
"","note","13ec50bf-c00e-4072-b748-5e7184045207","If amendment is a FAIL - document why below and follow appropriate corrective actions",,,,
"","textbox","3ac5e947-9f3e-472d-80b5-cc37078c23f1","Date of application",,,,
"","textbox","6aed6b13-06af-402c-b599-1b9386a6b3a4","Reason for application",,,,
