"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0c79cdc8-1eca-4725-b2ab-7cb0e4e6722c","","fail","","folder","TRUE","FALSE","H&S"
"7bb268e8-bb82-4d34-87e5-d9e14d99e155","","not-started","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","H&S - Daily Pre Start Checklist"
"fde1227b-329f-47cc-a243-efbf63dde5eb","","not-started","H&S - Site Toolbox Checklist","checklist","FALSE","FALSE","H&S","H&S - Site Toolbox Checklist"
"d8aaebac-8764-45a9-b039-9e500a87b9bc","","not-started","H&S - Accident & Incident Investigation Report","checklist","FALSE","FALSE","H&S","H&S - Accident & Incident Investigation Report"
"59989943-68bc-4e1f-97e0-07e9af794cb6","","work-in-progress","","folder","TRUE","FALSE","H&S","Daily Pre Start"
"3f6933fb-8cab-4e4d-bae5-b11723e53171","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 25.09.24"
"ec839ae8-67e8-4f2b-940d-63b95e8b67a3","","not-started","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 26.09.24"
"f05d3806-e862-4d81-8af5-97ff8f276c93","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 27.09.24"
"0f5c5412-c8f5-4a08-b6d1-4e3b268bd8f6","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 30.09.24"
"2e31f4e1-dff2-4b95-a897-2a84d4181c52","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 01.10.24"
"eda09661-a88e-494e-ba51-72f8d696bb13","","work-in-progress","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 02.10.24"
"9481e037-61fe-4fd8-8fa0-6369261f6a67","","work-in-progress","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 03.10.24"
"62ce1904-4848-4de8-b918-bfa55e23b4fa","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 04.10.24"
"95428650-7337-42f7-9e50-5ecf25500239","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 07.10.24"
"105f91a2-54c1-4103-9bf3-f66ff3705829","","not-started","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 08.10.24"
"cb3ef069-c084-4eb2-ace7-6a04f59da525","","not-started","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 09.10.24"
"26b9fd7f-dd36-46c3-a446-0efa0cb07673","","not-started","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 10.10.24"
"0a46dd86-85cf-48d6-89ec-da5455b23d25","","not-started","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 11.10.24"
"2d9a71a1-dcc5-41ba-a8b1-1087bd5375f1","","work-in-progress","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 14.10.24"
"efc17522-bdd6-435c-9689-a34b7d189aa3","","work-in-progress","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 15.10.24"
"780f5f28-cbeb-49de-8280-28f869cc21fd","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 16.10.24"
"88a229b1-4066-431f-b4e4-2588321b6c3f","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 17.10.24"
"8e02c3f5-fc90-46aa-b0fe-2d69c8f01fc5","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 18.10.24"
"80002f45-899f-4bf1-ac56-ef7a87a9f504","","work-in-progress","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 21.10.24"
"587904b4-eb80-4867-99b6-33f30c3ed924","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 22.10.24"
"fd5ca290-1a57-4a6d-a4ab-aa9be1ca58f4","","work-in-progress","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 23.10.24"
"87a24428-a43f-4297-9ee0-607a741b7094","","work-in-progress","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 24.10.24"
"f372c38a-bb31-4640-b765-94d52a596c83","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 30.10.24"
"5a403656-47f3-4676-8459-34fdc19d30c6","","work-in-progress","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 31.10.24"
"aec4b4d2-01eb-42ce-bfa8-ef376322583d","","work-in-progress","","folder","TRUE","FALSE","H&S","Weekly toolbox"
"b0f2bc5e-1c29-4618-bd4a-be9734ce9524","","work-in-progress","H&S - Site Toolbox Checklist","checklist","FALSE","FALSE","H&S","Weekly toolbox","H&S - Site Toolbox Checklist 04.10.24"
"e5a57789-8be4-48ce-acd2-5f3d636fc562","","work-in-progress","H&S - Site Toolbox Checklist","checklist","FALSE","FALSE","H&S","Weekly toolbox","H&S - Site Toolbox Checklist 18.10.24"
"5077ff09-7e7d-4993-9893-463eb866d307","","work-in-progress","H&S - Site Toolbox Checklist","checklist","FALSE","FALSE","H&S","Weekly toolbox","H&S - Site Toolbox Checklist 25.10.24"
"d2b5ae07-2994-4b95-ad8d-b8e426491339","","fail","","folder","TRUE","FALSE","H&S","Weekly Site Inspection"
"d1076d41-9d4b-4349-8cc2-021089310b0d","","work-in-progress","H&S - Weekly Site Inspection Checklist","checklist","FALSE","FALSE","H&S","Weekly Site Inspection","H&S - Weekly Site Inspection Checklist 18.10.24"
"6e969a9a-e5de-4e65-9fc0-08c2529425a8","","fail","H&S - Weekly Site Inspection Checklist","checklist","FALSE","FALSE","H&S","Weekly Site Inspection","H&S - Weekly Site Inspection Checklist 25.10.24"
"41b7ef42-adb6-4ee1-bba3-4c433f01e92e","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"ddbed6c3-1a26-4eec-86a4-9e3b65d286ec","","pass","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Pre nail framing Checklist (Sample) "
"0578b7f9-bbcb-467f-be74-1cba6e97a661","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 "
"d68833c4-b836-452d-b74d-2c6c37fec049","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 "
"bcfa6d7e-4d4a-4378-a6ab-b3d3da0b1209","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A"
"6e96cc46-ef7b-4a6f-900a-79ce445cce5b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 2 (016) "
"6fb42888-29c0-4c72-a46a-618d7431038a","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","CORRIDOR (1019)","Pre nail framing Checklist"
"1ada337f-aa43-4ff6-80f5-11a342934ddb","","work-in-progress","CLT Floor/Wall/Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","CLT Floor (ZONE 1A) "
"f5c706e8-efd6-4d60-8434-b08c09586fb3","","not-started","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","Pre nail framing Checklist"
"a23ea47e-aeee-485e-9b27-09d183feb115","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B "
"c0c7eca6-5000-432e-bfa0-f0d8b12a2db1","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MC2 (018)"
"0aeadf8f-6b48-45ae-a8ca-3de1d76f1115","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MC2 (018)","Pre Nail Framing Checklist"
"a0b2e7e6-b2e1-463c-88d2-b7cb9ca353e6","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MC2 (018)","Doors Checklist"
"c9049abe-21e3-4afb-9c08-125e4d1f97cf","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MC2 (018)","Trims Checklist"
"3405e99a-acb4-4244-8be5-48836ae1c12d","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MC2 (019)"
"25de742d-e82e-48f4-bdf8-e89bcb612aae","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MC2 (019)","Pre Nail Framing Checklist"
"9f1c57fd-5161-4129-9c1b-0581db5ffbc1","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MC2 (019)","Doors Checklist"
"dc3bb2f1-e6df-417a-b30e-f8e3c726c30d","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MC2 (019)","Trims Checklist"
"589f59a9-00e3-4654-bd3f-6425af7bd0b8","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","PUMP ROOM (1033)"
"0015e82f-98f4-4ad2-aad6-4ce923f4b543","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","PUMP ROOM (1033)","Pre Nail Framing Checklist"
"ce0a536a-a6b2-49ef-b231-d66ce5b1df64","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MAIN SWITCH ROOM (1034)"
"73d68677-a5c5-4e43-bf66-27233775cd1f","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MAIN SWITCH ROOM (1034)","Pre Nail Framing Checklist"
"ab8b16e7-93cd-4e1a-a25c-315cf518cb27","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","COMMERCIAL LAUNDRY (1035)"
"87dea295-9b93-4f3a-843a-baf0b54704d3","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","COMMERCIAL LAUNDRY (1035)","Pre Nail Framing Checklist"
"bd56379b-df2f-4141-9752-e4db3fc8fd36","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","COMMERCIAL LAUNDRY (1035)","Doors Checklist"
"707e5086-a951-4cb4-88e0-9cdeedf058e6","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","COMMERCIAL LAUNDRY (1035)","Trims Checklist"
"1cea7746-0072-4ca9-b61c-c43c7ccda260","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","SERVER (1036)"
"410171a3-891c-4f61-b7e6-789a75965a36","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","SERVER (1036)","Pre Nail Framing Checklist"
"9b8e13f9-34d5-4b1e-a609-476708d52f96","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","SERVER (1036)","Doors Checklist"
"db9a511e-91d9-4023-9319-ce80d67f6fee","","pass","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","LIFT 2 (1037)"
"8d731fd0-e9a0-444c-96b4-b6517377867f","","pass","CLT Floor/Wall/Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","LIFT 2 (1037)","CLT Wall"
"1bb4fb6e-ce10-4c3c-93e5-603193d0f03f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","ST2 (1038)"
"20a8a2f5-06e4-482f-bf84-c1bafbc3eedb","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","ST2 (1038)","Pre Nail Framing Checklist"
"2496f15d-11ab-4081-bc6f-e3634d822779","","work-in-progress","CLT Floor/Wall/Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","ST2 (1038)","CLT Stairs Checklist"
"d3856520-c5a6-4f18-9c7d-1bdcda38b0c1","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","ST2 (1038)","Doors Checklist"
"925aa8fb-2757-4182-bcec-8bc315c500bf","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","SLUICE RM 1 (1002)"
"96ceae93-29a0-4b6c-a427-dece087a4878","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","SLUICE RM 1 (1002)","Pre Nail Framing Checklist"
"8fd47314-6c1b-45e7-abf9-3dd231eb20f8","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","SLUICE RM 1 (1002)","Door Checklist"
"b13ee76b-7739-4185-b6ac-4e1200b156c7","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","SLUICE RM 1 (1002)","Trims Checklist"
"e19c9e69-378d-427d-b1b0-f8b434172af4","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","LINEN 1 (1004)"
"17d77b9a-9616-42eb-a5ac-a2f44d894536","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","LINEN 1 (1004)","Pre Nail Framing Checklist "
"8f0793aa-609b-4c03-abd0-64a06542be69","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","LINEN 1 (1004)","Door Checklist"
"62446efb-7f72-48c0-9e33-89b36a7d5b27","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","LINEN 1 (1004)","Trims Checklist"
"aa65be27-efd7-40d5-a105-a79565cbfe35","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","CLEANERS 2 (1001)"
"afe90c72-7d7d-4786-b976-6735df6fb284","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","CLEANERS 2 (1001)","Pre Nail Framing Checklist"
"3608b4ad-df22-429d-83dc-d247d489498b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MC4 (020)"
"68016656-a2f9-4d49-839c-cba8060264f8","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MC4 (020)","Pre Nail Framing Checklist"
"c1576698-f5fc-4106-a0e5-d837d7e8013c","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MC4 (020)","Doors Checklist"
"7a0a0fa8-b873-4d84-9cb3-8c9afcc57436","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MC4 (020)","Trims Checklist"
"b7640651-342a-4a3f-b056-249fa6a324bb","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","LOUNGE 1 (1028)"
"ecca7b23-5fa0-4654-a1c9-abd9036a23ee","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","LOUNGE 1 (1028)","Pre Nail Framing Checklist"
"8fe29369-1d0b-46a7-a663-ae31cf3ab4ce","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","LOUNGE 1 (1028)","Trims Checklist"
"41015a13-dace-4fd1-95a3-adb63c9186bd","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MEMORY CARE NURSE (1029)"
"da003cd9-d59b-4733-84bd-761bdbee1f1a","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MEMORY CARE NURSE (1029)","Pre Nail Framing Checklist"
"f717193e-7058-40d6-820b-99298f1ebc80","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MEMORY CARE NURSE (1029)","Door Checklist"
"3858758e-90fd-498a-8b7f-30d2ecba2471","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","MEMORY CARE NURSE (1029)","Trims Checklist"
"61ea41f2-25f1-4225-bbfc-692579feccb0","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","POST AREA (1030)"
"94cb8261-c5f0-474e-8f75-7a73216bffb7","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","POST AREA (1030)","Pre Nail Framing Checklist"
"4a83e95e-8323-4197-8e84-0c4c42178f8d","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","POST AREA (1030)","Trims Checklist"
"60121089-b00d-4424-8584-b151a4a9a6ea","","work-in-progress","CLT Floor/Wall/Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1B ","CLT Floor Checklist"
"5b631fcd-6ee8-4e84-a932-c167d9f04b6f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C "
"ec6a3dbb-5666-4b1e-b7ed-6d92c96f165e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","FOYER (1012)"
"dee66a9a-57a2-413a-8b81-d7eb7012ce16","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","FOYER (1012)","Pre Nail Framing Checklist"
"007b3193-e000-4beb-9e7d-0a62f6e02327","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","FOYER (1012)","Trims Checklist"
"987e9f03-a354-495a-a7b9-98bc17ca882d","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","ACTIVITIES AREA 1 (1013)"
"79e4d2f8-ca06-46eb-a180-a742adfb4001","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","ACTIVITIES AREA 1 (1013)","Pre Nail Framing Checklist"
"c109b150-0f0b-4a38-b9f5-44e5e7aa805e","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","ACTIVITIES AREA 1 (1013)","Trims Checklist"
"eca63da6-e811-41bb-9780-4c8ccaa859df","","pass","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","LIFT 1 (1014)"
"05e673bb-d641-4be0-bfc0-ea24feec0f2a","","pass","CLT Floor/Wall/Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","LIFT 1 (1014)","CLT Wall Checklist"
"85de44cc-fa48-4b47-8ef1-7a0ef4a45656","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","STORE (1015)"
"d6660022-fdb0-4ff8-ae20-05ddfbd79e5f","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","STORE (1015)","Pre Nail Framing Checklist"
"5693064c-ffe5-4db5-9ba0-3722823d11c0","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","STORE (1015)","Trims Checklist"
"d14ad7c7-7a6c-421a-9ed1-281e906f3d3c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MEMORY CARE LEAD (1016)"
"ace90507-c022-45b2-9905-5aef0469dde5","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MEMORY CARE LEAD (1016)","Pre nail framing Checklist"
"924ab5ab-949b-42b6-ae4e-1135ebe2681b","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MEMORY CARE LEAD (1016)","Door Checklist"
"ae67a207-959a-4288-b27f-ebd5218841d0","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MEMORY CARE LEAD (1016)","Trims Checklist"
"16fcd7ac-23b5-42e2-84b1-d56f1a89133a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","WCH/HOIST 1 (1017)"
"5d5752a7-0175-4eb5-ad9c-c841b89fb5bf","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","WCH/HOIST 1 (1017)","Pre Nail Framing Checklist"
"00201015-7091-45e5-a8d8-39a9c79eb8a5","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","WCH/HOIST 1 (1017)","Doors Checklist"
"5226ac0f-1554-4fe8-94be-58f9cadc7edc","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","WCH/HOIST 1 (1017)","Trims Checklist"
"8319b710-2629-4ac0-968a-262832cb343b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","CORRIDOR (1018)"
"0ee87bae-85ae-4f83-a9df-27c334f8a2f8","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","CORRIDOR (1018)","Pre Nail Framing Checklist"
"041dc8fe-5282-471d-81d6-9614a24b4405","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","CORRIDOR (1018)","Doors Checklist"
"28b3e598-c263-4b31-87f2-a32a1169729a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC2 (007)"
"56a56fc9-b0fd-41ae-ac88-8090af3f3a96","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC2 (007)","Pre Nail Framing Checklist"
"e61b1d80-dc2f-4565-9885-216b5787fb8a","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC2 (007)","Doors Checklist"
"8cb5b1a9-2a17-4031-af99-62732bf909aa","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC2 (007)","Trims Checklist"
"b9c9e240-a2fa-4670-8ddd-b58355334c46","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC1 (008)"
"60baebca-5ce3-42dd-9313-0ba757108b3b","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC1 (008)","Pre Nail Framing Checklist"
"c4edcb9d-bd62-482f-9036-de31000bd685","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC1 (008)","Doors Checklist"
"23d785fd-f693-496b-afd9-7b928a399f4f","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC1 (008)","Trims Checklist"
"8f7b1960-f5c2-4607-a650-7450c20d18a0","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC4 (009)"
"402c454a-4bee-4406-a2c3-272ab6d042ab","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC4 (009)","Pre Nail Framing Checklist"
"b394f5cb-15f5-4778-9621-b9749d5da5d6","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC4 (009)","Doors Checklist"
"ab433903-c943-4540-9fa7-5b6cb41f3a72","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC4 (009)","Trims Checklist"
"276147db-41b1-4bf5-8575-6ad5b97c4e92","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC2 (010)"
"778dc7ef-09b5-4910-ac2b-1d53c7e54b8d","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC2 (010)","Pre Nail Framing Checklist"
"c2489b13-38ea-4ee6-96bf-7ab6190c09c6","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC2 (010)","Doors Checklist"
"103a1edd-00c1-4ed5-a08a-4dcf294c26af","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC2 (010)","Trims Checklist"
"374e3196-ca87-458b-947d-5ccd1e162d35","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC3 (011)"
"ab039fa5-d27d-4621-b495-89cca717fc57","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1C ","MC3 (011)","Pre Nail Framing Checklist"
