"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b683adb2-4923-4991-8a13-a5722e04e8bb","","folder-normal","not-started","","step","TRUE","FALSE","B01"
"68495235-ead8-4a9c-a54f-0e3be05f8e13","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor"
"672784cb-4846-4708-b435-d0ce2f173184","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care"
"82b6aa77-7cb9-4db1-9709-c2e426e2349a","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 1 (Accessible)"
"9d8d3822-d842-4ee9-8ad5-397a21f091a8","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Care/ALS Fit Off Checklist"
"bff520f9-761f-416c-b6f2-6dd941236189","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 7"
"3b761f66-64c3-4636-b656-81b2b7693e34","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Rough In"
"35a89f62-d7cf-4f58-aa67-f6a9e8233b41","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Installation"
"5bb987d4-6c7e-4e86-89f5-acf59e27c7cc","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 7","Care/ALS Fit Off Checklist"
"cdc1e2d1-ec9e-4c1a-8f5c-63be3326c885","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 8"
"a8e45b9c-5b72-4624-a046-21d5c8c6ef85","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Rough In"
"ae11452e-817d-48ab-a06d-5db851afecb6","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Installation"
"76d5c0d4-76e4-45af-98dc-66803ab380e4","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 8","Care/ALS Fit Off Checklist"
"1f2a713b-d586-4263-a8d3-992d99191826","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 9"
"d8fc5494-78f9-430b-a93a-1f384cebbe12","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Rough In"
"ceec70e6-d544-47af-8df9-86be27970e76","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Installation"
"2008d193-d069-4b7e-8b31-9361c888eb62","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 9","Care/ALS Fit Off Checklist"
"3a6750fb-79b4-4421-b6a5-371e3455bcdb","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 10"
"20933a08-d1a4-45f4-a11a-c3454c811aa3","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Rough In"
"96c9ed27-a70e-41e7-9452-b7dbd91c61a5","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Installation"
"bb59fa37-6c2f-4406-a301-6499c01fd63e","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 10","Care/ALS Fit Off Checklist"
"3989023f-e5b4-42d8-98d1-7025ab341ad4","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 11"
"80f7992f-ce39-4737-bd9b-8739bbefa1ca","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 11","Rough In"
"3a4ba1ee-3c55-4927-938a-753f1caffa36","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 11","Installation"
"ace6fb8e-b1da-4396-84e4-b2ba5e03bf55","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 11","Care/ALS Fit Off Checklist"
"2fb171d3-c53b-4dfd-90cb-f9e887fdbc24","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 12"
"2d7cfa90-40f1-4c62-9e70-79710542ed06","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 12","Rough In"
"40511229-88cf-4aeb-88a4-9e6f6dc30600","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 12","Installation"
"2c9dab7f-676e-4326-914c-2e7a039607f2","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 12","Care/ALS Fit Off Checklist"
"4e2ae68e-ccdf-46a0-95e7-e6cf650c73d7","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 13"
"83837040-04bc-4d6c-a4f2-16393ae107a5","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 13","Rough In"
"4b820ba5-99d8-4682-878b-5723ca5f12a6","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 13","Installation"
"4001bb44-acf5-43ea-9fa5-34f0744ffd35","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 13","Care/ALS Fit Off Checklist"
"354679f9-c3d1-417c-8425-eaec83744186","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 14"
"adfe8b5e-8d37-45f4-992a-5df87826dcff","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 14","Rough In"
"4c6831c6-c5a1-44c7-8e1f-117c614e2be0","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 14","Installation"
"ac27e94d-a579-42c2-a014-b6d21b58bfb8","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 14","Care/ALS Fit Off Checklist"
"34d24228-0933-4f95-80c0-9c40f4d82fc4","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 15"
"bec77324-16a0-4cd3-bee6-99dc93412ebc","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 15","Rough In"
"862609bf-2c96-4f0a-9355-b6561c7a0f11","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 15","Installation"
"e27e36cf-37e2-41fe-911f-331eeb670329","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 15","Care/ALS Fit Off Checklist"
"8438dd57-c577-489d-bd51-3401b4560cd8","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Common Area"
"47086ce6-306b-4d12-aa31-7818c2fa6b6d","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Common Area","Sitting Area"
"f16a6fb3-ecb7-47d3-b1cd-bc21fd55d101","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Common Area","Sitting Area","Rough In (Cavity Pockets & PMJ)"
"cd7390ac-adfa-4cef-979c-3ad0f33d2e13","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Common Area","Sitting Area","Common Area Checklist"
"06516c09-eb9e-4125-b7ad-87e0953deef2","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Common Area","Corridor"
"6205ab4d-62fd-4afb-a6dc-227286a32308","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Common Area","Corridor","Rough In (Cavity Pockets & PMJ)"
"a329157d-2c6f-4c8e-b141-dc197a51d5e8","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Common Area","Corridor","Common Area Checklist"
"7776c3ca-f200-4408-a6f9-649d810a89f0","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Common Area","Stair 3"
"60d9ab2b-790c-42d6-9aa2-15c9459b3a09","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Common Area","Stair 3","Rough In (Cavity Pockets & PMJ)"
"9b970391-2f54-4d7b-a875-7093f31ad2a4","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Common Area","Stair 3","Common Area Checklist"
"9fbf4245-e0d5-4137-8c37-29849dccce1c","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Common Area","Stair 3 External Door"
"a89bc14d-d533-43b4-93e7-ae7925807718","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Common Area","Stair 3 External Door","Rough In (Cavity Pockets & PMJ)"
"db645e07-c00e-4947-9625-cfceda0bb663","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Common Area","Stair 3 External Door","Common Area Checklist"
"c54ed59b-b659-40c7-8057-a7c8fdb42e29","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Common Area","Sluice Room"
"6afd4a80-9b9f-4060-896d-ad7f8d2f36cf","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Common Area","Sluice Room","Rough In (Cavity Pockets & PMJ)"
"1322f3b6-4a45-4f3a-974d-6b4d56505d3f","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Common Area","Sluice Room","Common Area Checklist"
"927753df-8d8e-4930-8c6d-f92b75974dba","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Common Area","Treatment Room"
"cee69dca-5a01-451f-be9c-9b9d7e6f72c6","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Common Area","Treatment Room","Rough In (Cavity Pockets & PMJ)"
"918f8457-dc8b-461e-9975-562f81a14a8a","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Common Area","Treatment Room","Common Area Checklist"
"d275cc3b-c87d-4489-b7d7-8afff5e63540","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Common Area","Secondary Lounge"
"e37b5417-7198-4637-bcac-cb363a7f7676","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Common Area","Secondary Lounge","Rough In (Cavity Pockets & PMJ)"
"9b0f80e2-bf2f-495f-b9aa-eb351ce8e2c4","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Common Area","Secondary Lounge","Common Area Checklist"
"72e76a3b-9054-4c6f-9575-5f560c266c6a","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Dementia Care"
"7879170c-c4a3-483c-9b03-82fca5262a47","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Dementia Care","Apartment 16"
"ac760748-b1e3-408a-bf30-9ce01d75ae06","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Dementia Care","Apartment 16","Rough In"
"983ebdb8-ed0b-4c35-8aa4-8b069db582ae","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Dementia Care","Apartment 16","Installation"
"c640b059-490d-4ff8-adc1-2f51f8494ce6","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Dementia Care","Apartment 16","Care/ALS Fit Off Checklist"
"9454dbd3-300c-4107-951f-015dae6028b9","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Dementia Care","Apartment 17"
"3d017ae2-dd62-40dd-b035-c1a5937ba4fc","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Dementia Care","Apartment 17","Rough In"
"eb0bf6e9-4812-433c-84a5-a15a1cdd8c4b","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Dementia Care","Apartment 17","Installation"
"d0851e96-d178-4e5b-a128-c966ea58b75b","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Dementia Care","Apartment 17","Care/ALS Fit Off Checklist"
"4f43dadd-8da3-4c0a-8532-54da189398b0","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Dementia Care","Apartment 18"
"2b4dd211-c1ea-4f5d-85b4-8cb75d2fd02d","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Dementia Care","Apartment 18","Rough In"
"e5634948-af47-4346-9147-a917fe7543c7","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Dementia Care","Apartment 18","Installation"
"1da3c5df-43c6-4b76-b8d0-ff4fba02c82a","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Dementia Care","Apartment 18","Care/ALS Fit Off Checklist"
"7d019a6c-da39-47e9-aadf-0122154e51bc","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Dementia Care","Apartment 19"
"9474942f-a381-4c01-a6e0-3c426abef3b6","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Dementia Care","Apartment 19","Rough In"
"4124178a-8306-485c-981a-a82c0f17534e","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Dementia Care","Apartment 19","Installation"
"655e0d08-336d-499f-ba25-21d9d6c2de71","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Dementia Care","Apartment 19","Care/ALS Fit Off Checklist"
"bcefdd08-8402-4c31-ba2c-72b373210c89","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area"
"b8c767af-cd52-4c3f-8b65-717dd39b1554","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Lounge"
"edae55d4-2fbe-41b6-aca9-ffb29db071f4","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Lounge","Rough In (Cavity Pockets & PMJ)"
"77ce2650-0a6e-4046-9706-b2b7d10aff8a","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Lounge","Common Area Checklist"
"0a8b0516-39e9-4180-a237-8d787f5a08e0","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Corridor"
"e77edb21-5942-48c6-b649-3555aba3620c","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Corridor","Rough In (Cavity Pockets & PMJ)"
"108287c0-d468-433e-ae56-15f50f8ab575","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Corridor","Common Area Checklist"
"3f27d5e5-90c5-4529-8c0c-2e47a62e3946","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Nurse Hub"
"76d2f0a1-776c-444d-a4a2-1e857a5c9e20","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Nurse Hub","Rough In (Cavity Pockets & PMJ)"
"843df862-e44f-430b-bbfc-5bdf40ee1e6e","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Nurse Hub","Common Area Checklist"
"85d7941c-87c4-4820-b60f-e011423e95f0","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Care Hub"
"73fd1eab-c853-4ba2-a235-f12a45f4825b","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Care Hub","Rough In (Cavity Pockets & PMJ)"
"1eb57cf2-b83f-4afb-a7ff-4a19b6d7e0a5","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Care Hub","Common Area Checklist"
"d65f6e5c-68ab-43d7-85ab-3f5dc4da6caf","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Servery"
"3f94be8f-85be-44ed-9d3f-5cc445679296","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Servery","Rough In (Cavity Pockets & PMJ)"
"86927c70-cbe1-4557-8f79-30b1e6bda97d","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Servery","Common Area Checklist"
"36a08215-4c9a-43b0-95b4-1b863794a0a8","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Dementia Dining"
"6b13a539-e3e1-4948-b454-87f088c2a6d8","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Dementia Dining","Rough In (Cavity Pockets & PMJ)"
"474bcf8c-58e4-4b86-9eee-0a25dda0a4b7","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Dementia Dining","Common Area Checklist"
"2f71e900-e1f6-4081-88ec-d2a791ff5768","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Corridor Pivot Doors"
"02f5e0fb-fc45-43a0-8be1-617bd9774875","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Corridor Pivot Doors","Rough In (Cavity Pockets & PMJ)"
"0b40f7fa-f0ca-4c6f-992c-27ec0724e374","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Corridor Pivot Doors","Common Area Checklist"
"2299bcae-8706-46cc-b695-c0c4cdf4ad60","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Stair 2"
"e9641fe2-80c7-4d4b-87b8-467d128e3bc5","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Stair 2","Rough In (Cavity Pockets & PMJ)"
"6ee02d47-e848-4b9c-83ad-82baf9250408","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Stair 2","Common Area Checklist"
"48ad1e38-5d18-4471-82d2-f1585e0b6ab3","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","FHR Cupboard"
"38ae24c6-b4ac-4e9f-ba48-6e6de6a8abc1","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","FHR Cupboard","Rough In (Cavity Pockets & PMJ)"
"9c6c5e72-f6ca-43a3-8619-6bcd2bf2ae25","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","FHR Cupboard","Common Area Checklist"
"4176817a-7665-422c-acad-51f005c26f92","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Lobby"
"ff876e15-b0df-45b4-85a9-3e19f641f545","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Lobby","Rough In (Cavity Pockets & PMJ)"
"62cc78b5-91f2-47c5-8246-3177a44517c0","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Lobby","Common Area Checklist"
"c333b46a-1f6f-42df-99fc-e65313c1dd48","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","External Lobby Door"
"2e65c492-2ce8-4c71-9271-07ca5b45fa25","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","External Lobby Door","Rough In (Cavity Pockets & PMJ)"
"2b6e30e4-8c91-4b55-9add-7424574b7b16","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","External Lobby Door","Common Area Checklist"
"3064558e-a50f-43de-b8bf-57cf9f2f750f","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area B - Common Area","Care Laundry"
"767d60cd-4611-4f64-a812-99d751287d4b","","checklist-flat","not-started","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area B - Common Area","Care Laundry","Rough In (Cavity Pockets & PMJ)"
