"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"38568799-7c11-4498-8889-438b70dd1f53","","","Site Establishment and Safety Checklist","checklist","FALSE","FALSE","OHS"
"eab51c46-926d-4c87-b53d-82f06c08e855","","","","folder","TRUE","FALSE","PAVILION 1"
"067fd326-a2ca-428c-b331-90185d77974d","","","","folder","TRUE","FALSE","PAVILION 1","GROUND FLOOR"
"ce68e437-0723-446c-8995-c5ce3a09c879","","","Grille Fit-Off Checklist","checklist","FALSE","FALSE","PAVILION 1","LEVEL 1","Grille Fit-Off"
"4e49c524-bcfa-4421-940f-ebac093ff5bf","","","Fan Checklist","checklist","FALSE","FALSE","PAVILION 1","LEVEL 1","Fan"
"dca612a0-4303-47dd-93d3-1f6e8b262669","","","","folder","TRUE","FALSE","PAVILION 1","ROOF"
"cdd35984-6c30-4f85-8521-c791de2f7139","","","All Subbie Rough-in Progression Checklist","checklist","FALSE","FALSE","PAVILION 1","ROOF","All Subbie Rough-in Progression"
"ccabdf29-a2d1-49ea-9476-410da3fe8ba0","","","All Subbie Fit off & Testing Progression Checklist","checklist","FALSE","FALSE","PAVILION 1","ROOF","All Subbie Fit off & Testing Progression"
"59e2bc8f-34f1-46da-b277-4a78986e3ad2","","","As Builts Checklist","checklist","FALSE","FALSE","PAVILION 1","ROOF","As Builts"
"64b3ef9a-1945-416d-b3a5-58d0a923f828","","","Ductwork Checklist","checklist","FALSE","FALSE","PAVILION 1","ROOF","Ductwork"
"59108f6a-d591-477c-8aab-5d3a4985225b","","","Pipework Checklist","checklist","FALSE","FALSE","PAVILION 1","ROOF","Pipework"
"672f8b7c-1748-4919-8ec8-edc4a38e3264","","","Plantroom / Outdoor Equipment Checklist","checklist","FALSE","FALSE","PAVILION 1","ROOF","Plantroom / Outdoor Equipment"
"028b2bd4-61a1-434f-ac6c-99ff018adbfd","","","Refrigeration Pipe Checklist","checklist","FALSE","FALSE","PAVILION 1","ROOF","Refrigeration Pipe"
"6da5e15d-0fc4-457f-ac52-3520be8edb21","","","Grille Fit-Off Checklist","checklist","FALSE","FALSE","PAVILION 1","ROOF","Grille Fit-Off"
"c920e80b-74ab-4d8d-a5ae-c7fea49c145e","","","Fan Checklist","checklist","FALSE","FALSE","PAVILION 1","ROOF","Fan"
"1f5a3742-b917-4944-9d39-ab788fddf719","","","","folder","TRUE","FALSE","PAVILION 2"
"09e8969e-73b1-4bbc-b289-e7a56c0f4208","","","","folder","TRUE","FALSE","PAVILION 2","GROUND FLOOR"
"d5cd6fee-3468-4aea-bf5e-578fb6fb62a5","","","All Subbie Rough-in Progression Checklist","checklist","FALSE","FALSE","PAVILION 2","GROUND FLOOR","All Subbie Rough-in Progression"
"25da56eb-0d80-4891-836a-218d71367a22","","","All Subbie Fit off & Testing Progression Checklist","checklist","FALSE","FALSE","PAVILION 2","GROUND FLOOR","All Subbie Fit off & Testing Progression"
"7104a64a-7e5a-427c-8df7-93724a920c59","","","As Builts Checklist","checklist","FALSE","FALSE","PAVILION 2","GROUND FLOOR","As Builts"
"7f246d8b-4f57-4869-adbb-0cc7ea87fbd7","","","Ductwork Checklist","checklist","FALSE","FALSE","PAVILION 2","GROUND FLOOR","Ductwork"
"491e7943-2af5-4eed-9cce-a5fd4714d43f","","","Pipework Checklist","checklist","FALSE","FALSE","PAVILION 2","GROUND FLOOR","Pipework"
"9daeb6c5-ae9d-4697-9fb0-77f271286e06","","","Indoor Equipment Checklist","checklist","FALSE","FALSE","PAVILION 2","GROUND FLOOR","Indoor Equipment"
"441bb1ac-258e-4428-b1d4-cd561a51e017","","","Grille Fit-Off Checklist","checklist","FALSE","FALSE","PAVILION 2","GROUND FLOOR","Grille Fit-Off"
"2c4b1eeb-8847-4189-82a7-0c4d5141ecac","","","","folder","TRUE","FALSE","PAVILION 2","LEVEL 1"
"1e54ea4c-0fb3-4617-9b97-339eebf3ddee","","","All Subbie Rough-in Progression Checklist","checklist","FALSE","FALSE","PAVILION 2","LEVEL 1","All Subbie Rough-in Progression"
"46a62168-cfdc-48a4-91f1-fd2bcac64dff","","","All Subbie Fit off & Testing Progression Checklist","checklist","FALSE","FALSE","PAVILION 2","LEVEL 1","All Subbie Fit off & Testing Progression"
"cd13d284-c622-43e0-8311-bb1cad6b42d1","","","As Builts Checklist","checklist","FALSE","FALSE","PAVILION 2","LEVEL 1","As Builts"
"0d27e662-a76a-440e-a747-5f3505bec272","","","Ductwork Checklist","checklist","FALSE","FALSE","PAVILION 2","LEVEL 1","Ductwork"
"32f82ca3-def1-414f-8a6c-becf67f1f0f6","","","Pipework Checklist","checklist","FALSE","FALSE","PAVILION 2","LEVEL 1","Pipework"
"81ddab9b-2c52-45ab-bdc9-d16c20489360","","","Indoor Equipment Checklist","checklist","FALSE","FALSE","PAVILION 2","LEVEL 1","Indoor Equipment"
"4cd1b24c-5d8e-470c-a59e-e92be103886b","","","Refrigeration Pipe Checklist","checklist","FALSE","FALSE","PAVILION 2","LEVEL 1","Refrigeration Pipe"
"1f32ebfa-a01c-48fa-ad1c-eee53fc55f71","","","Grille Fit-Off Checklist","checklist","FALSE","FALSE","PAVILION 2","LEVEL 1","Grille Fit-Off"
"ec1b46b6-4b7d-4280-9544-8695342fc023","","","Fan Checklist","checklist","FALSE","FALSE","PAVILION 2","LEVEL 1","Fan"
"2036b3c5-4a52-4cef-a82c-b36f44720572","","","","folder","TRUE","FALSE","PAVILION 2","ROOF"
"fdb3d9af-5380-4086-85c9-10db0b365365","","","All Subbie Rough-in Progression Checklist","checklist","FALSE","FALSE","PAVILION 2","ROOF","All Subbie Rough-in Progression"
"011a535d-ad94-48de-8795-709389665a12","","","All Subbie Fit off & Testing Progression Checklist","checklist","FALSE","FALSE","PAVILION 2","ROOF","All Subbie Fit off & Testing Progression"
"896a3615-55f7-4cc1-8d3c-d510d762e7e3","","","As Builts Checklist","checklist","FALSE","FALSE","PAVILION 2","ROOF","As Builts"
"7fbaa7ff-0d30-4c2b-bac9-4bab155d7e8c","","","Ductwork Checklist","checklist","FALSE","FALSE","PAVILION 2","ROOF","Ductwork"
"18cb322e-ded6-4908-a3a0-d1cc9b6552da","","","Pipework Checklist","checklist","FALSE","FALSE","PAVILION 2","ROOF","Pipework"
"bca70d97-a57d-4543-b106-7b1f27bdf338","","","Plantroom / Outdoor Equipment Checklist","checklist","FALSE","FALSE","PAVILION 2","ROOF","Plantroom / Outdoor Equipment"
"8366ac06-1554-4da9-b0b8-101fc5e6d4d1","","","Refrigeration Pipe Checklist","checklist","FALSE","FALSE","PAVILION 2","ROOF","Refrigeration Pipe"
"a992425c-1924-4131-8ec1-4041ac68c838","","","Grille Fit-Off Checklist","checklist","FALSE","FALSE","PAVILION 2","ROOF","Grille Fit-Off"
"a043ad66-1967-4b89-b85c-b76cde1bb25f","","","Fan Checklist","checklist","FALSE","FALSE","PAVILION 2","ROOF","Fan"
