"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7e74042d-d751-4035-9d71-274f3320d6ee","","checklist-flat","","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"bf7757b4-b6d2-4346-846b-d56967ad65ec","","folder-normal","","","step","TRUE","FALSE","QA"
"dd7bc0ae-7e26-4969-9391-32b6bc83bf04","","folder-normal","","","step","TRUE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors"
"0561691e-ebd6-4f0f-a10c-1445d21d0512","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","9no AP Type 05 Fall Arrest Anchors","Fit Off Checklist - Anchor 3"
"92806f6f-cb26-47d6-ba35-7178a5224af8","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","9no AP Type 05 Fall Arrest Anchors","Fit Off Checklist - Anchor 4"
"c38da544-c0f4-4493-8bb9-ec650605c30f","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","9no AP Type 05 Fall Arrest Anchors","Fit Off Checklist - Anchor 5"
"d2cfab89-47f4-4c92-b3f9-d8d52c52af33","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","9no AP Type 05 Fall Arrest Anchors","Fit Off Checklist - Anchor 6"
"dd1c3d11-ff46-4f94-828e-954f7522bbf9","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","9no AP Type 05 Fall Arrest Anchors","Fit Off Checklist - Anchor 7"
"9026ba69-54f2-4e8c-9bfb-d09817040eb5","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","9no AP Type 05 Fall Arrest Anchors","Fit Off Checklist - Anchor 8"
"23bc15a6-b698-4c45-a2bb-a8953c145ce3","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","9no AP Type 05 Fall Arrest Anchors","Fit Off Checklist - Anchor 9"
"587f1121-0d1f-456e-82fa-9bb44f2be4a7","","folder-normal","","","step","TRUE","FALSE","QA","3no Ladder Brackets"
"3831d0c3-a8dd-426b-9628-d3997cc7cbd0","","checklist-flat","","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","3no Ladder Brackets","Pre-Fit Off Checklist - Ladder Bracket - Fixed to Rooflogic Ultratherm MSR with Topdeck T"
"cfda48f1-4769-4947-bf52-501d478fbb4e","","checklist-flat","","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","3no Ladder Brackets","Fit Off Checklist - Ladder Bracket 01"
"7c0624e2-4fb3-4383-8700-61f7156a1719","","checklist-flat","","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","3no Ladder Brackets","Pre-Fit Off Checklist - Ladder Bracket Fixed to membrane on Plywood Roofing"
"a18c2918-a1ca-487e-a90d-6590fb58325c","","checklist-flat","","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","3no Ladder Brackets","Fit Off Checklist - Ladder Bracket 02"
"293034e8-cf49-4fec-ba01-140fa5cbbb79","","checklist-flat","","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","3no Ladder Brackets","Fit Off Checklist - Ladder Bracket 03"
"bf8132a1-1832-4b49-8472-d68373593145","","folder-normal","","","step","TRUE","FALSE","Roof Access Requirements"
"686c35cf-5ec7-4abc-b945-5daaead98bf2","","checklist-flat","","Roof Access Requirements","checklist-flat","FALSE","FALSE","Roof Access Requirements","Roof Access Requirements"
"120304bb-f25c-42f8-af58-5a1ed7b795b5","","folder-normal","","","step","TRUE","FALSE","Data Plate & Access Point"
"94ad4720-ad2a-4627-b0dc-c54a22655dda","","checklist-flat","","Data Plate & Access Point (Anchor Points)","checklist-flat","FALSE","FALSE","Data Plate & Access Point","Data Plate & Access Point"
"1198c914-0e61-4f4c-b7a7-0d119c3c57d3","","checklist-flat","","SYS - PT - Practical Completion","checklist-flat","FALSE","FALSE","Practical Completion"
