Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,,
,,4.04 Rip Rap Materials,,4.04 rip rap materials,,,,,,,,,
,,4.05 River Diversion Materials,,4.05 river diversion materials,,,,,,,,,
,,4.06 Jet Grouting Materials,,4.06 jet grouting materials,,,,,,,,,
,,4.07 Piling Materials,,4.07 piling materials,,,,,,,,,
,,4.08 Concrete Materials,,4.08 concrete materials,,,,,,,,,
,,4.09 Timber Handrail Materials,,4.09 timber handrail materials,,,,,,,,,
,,4.10 Rail & Walkway Materials,,4.10 rail and walkway materials,,,,,,,,,
,,5.01 Erosion & Sediment Controls,,5.01 erosion and sediment controls,,,,,,,,,
,,5.02 Diversion,,5.02 diversion,,,,,,,,,
,,"5.03 Clearing, Stripping & Excavation",,"5.03 clearing, stripping, and excavation",,,,,,,,,
,,5.04 Placement & Compaction of Fill General,,5.04 placement and compaction of fill general,,,,,,,,,
,,"5.05 F1, F2 & F3 Placement & Compaction",,"5.05 f1, f2 and f3 placement and compaction",,,,,,,,,
,,5.06 Subsoil Drainage,,5.06 subsoil drainage,,,,,,,,,
,,5.07 Buttress Fill Placement & Compaction,,5.07 buttress fill placement and compaction,,,,,,,,,
,,5.08 Rip Rap Installation,,5.08 rip rap installation,,,,,,,,,
,,6.01 Jet Grout Trial Columns,,6.01 jet grout trial columns,,,,,,,,,
,,6.02 Jet Grout Installation,,6.02 jet grout installation,,,,,,,,,
,,7.01 Piling General,,7.01 piling general,,,,,,,,,
,,7.02 Setout & Excavation,,7.02 setout and excavation,,,,,,,,,
,,7.03 Permanent Casings,,7.03 permanent casings,,,,,,,,,
,,7.03 Pile Concreting,,7.03 Pile Concreting,,,,,,,,,
,,7.04 Temporary Casings,,7.04 temporary casings,,,,,,,,,
,,7.04 Concrete Pour,,7.04 Concrete Pour,,,,,,,,,
,,7.05 Concreting in Dry Conditions (Preferred),,7.05 concreting in dry conditions (preferred),,,,,,,,,
,,7.05 Pile Post Pour,,7.05 Pile Post Pour,,,,,,,,,
,,7.06 Class 2 Pile Inspection Requirements,,7.06 class 2 pile inspection requirements,,,,,,,,,
,,7.06 Concreting under water (Alternative),,7.06 concreting under water (alternative),,,,,,,,,
,,7.07 First Pile at Every Structure,,7.07 first pile at every structure,,,,,,,,,
,,7.07 Pile Concreting,,7.07 pile concreting,,,,,,,,,
,,7.08 Pile Post Pour,,7.08 pile post pour,,,,,,,,,
,,8.01 Concrete Subgrade Preparation,,8.01 concrete subgrade preparation,,,,,,,,,
,,8.02 Concrete Pour,,8.02 concrete pour,,,,,,,,,
,,8.02 Concrete Pour (Pre & Post Pour Checksheet),,8.02 concrete pour (pre and post pour checksheet),,,,,,,,,
,,8.02 Concrete Pour (Pre Pour Checksheet),,8.02 concrete pour (pre pour checksheet),,,,,,,,,
,,8.03 Pre-Past Concrete Placement,,8.03 pre-past concrete placement,,,,,,,,,
,,9.01 Steel Welding,,9.01 steel welding,,,,,,,,,
,,9.02 Finishing/Coating,,9.02 finishing / coating,,,,,,,,,
,,9.03 Removal & Installation,,9.03 removal and installation,,,,,,,,,
,,9.04 Installation & Alignment of Bottom Steel Corbels,,9.04 installation and alignment of bottom steel corbels,,,,,,,,,
,,9.05 Installation & Alignment of Top Steel Corbels,,9.05 installation and alignment of top steel corbels,,,,,,,,,
,,9.06 Lifting & Handling,,9.06 lifting and handling,,,,,,,,,
,,9.07 Rail & Assembly,,9.07 rail and assembly,,,,,,,,,
,,10.01 Site Post Construction Activities,,10.01 site post construction activities,,,,,,,,,
,,Concrete Pour (Post Pour Checksheet),,concrete pour (post pour checksheet),,,,,,,,,
