"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"98be5657-2d65-4439-8aad-c693c9a0a16b","","folder-normal","","","step","TRUE","FALSE","IPL QA"
"d925928b-fe12-4b2e-9605-9a6484d0ac1c","","folder-normal","","","step","TRUE","FALSE","IPL QA","B01"
"b20999b5-8806-48e3-9093-a1e801bb1e0b","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix"
"d3ac50e7-cfc1-4ac1-9341-4519c1d50fc2","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Basement"
"dc7d26b2-453a-4dd6-bd28-c20e084876d8","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Basement","Area A"
"5879b4d7-7610-4863-aecc-803546119e37","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area A","Carpark"
"928cf2b3-ec35-4be1-ada5-f8faef3c6c1e","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area A","Swimming Pool"
"2e64948e-1e30-4d4f-b265-7189785520e7","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area A","SPA"
"69a14eda-647b-4f80-a5a8-ed9ea36a8b16","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area A","Lobby"
"a222ad0b-a87a-4207-934d-ef1b6d89ad7d","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area A","Lift 1"
"00ceb7cb-4fb0-46ff-82b2-8babe6664778","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area A","Stairs"
"dcea2cb8-2934-4851-a601-0eb67a03815e","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area A","WC"
"e5318dba-cef4-4455-bbbc-bda18dec5d71","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area A","Resident workshop shed"
"a4afe3b8-e883-4e73-b85f-877037558b69","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Basement","Area B"
"93c08065-2ad9-4443-8688-14d3b2744934","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area B","Car Park"
"3f8e632a-603f-42fc-8ea6-2fd50891c385","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Basement","Area C"
"74061f28-04bb-41bb-bc93-4b709a2a48c0","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area C","Car Park"
"dc97a12b-315c-478c-a772-a3b921f6be79","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area C","Lobby"
"d703491d-959a-4683-99a3-f226bd454913","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area C","Lift 2"
"279ec996-bf12-4e04-99e3-6dff964eb307","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Basement","Area D"
"c5e2f842-6af6-48fb-a66d-21fc2e9f030e","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area D","Car Park"
"c84dd06f-61cd-4c43-895e-8ba48840a373","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Basement","Area E"
"64088e6e-a75c-4b29-8b9a-e7af75849b9d","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area E","Car Park"
"26487cfe-1e6c-4912-8b19-80f2bfa2c247","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area E","Lobby"
"7776eadf-4072-4712-892a-3d4468ceb67a","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area E","Lift 3"
"e28d3a68-f338-4712-ab28-f473bd2cd98b","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area E","Gardener room"
"eb0f569d-62cf-47c1-a7d7-651db5970a09","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area E","Maintenance"
"b1b9fa27-9730-4e5c-8a8a-56548c5054e6","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Basement","Area E","Staff room"
"3fee67a7-aecc-4f24-a013-6604495313a5","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Ground Level"
"fc25c70a-e2cb-4c29-9e05-9a95f34282af","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Ground Level","Area A"
"7f0fd5e3-a0af-47ff-b131-3494bca2567e","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Ground Level","Area A","Common Areas"
"9c477632-be2e-4948-a49a-dbcbc2917f1d","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Common Areas","Stair 2"
"8aa23605-c2c2-4e63-a901-cd7d60c0ae1d","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Service Areas"
"e345dd8b-3b12-4d9b-b062-1555f4dca2f0","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Service Areas","Store room"
"71bdb524-ac23-4e42-bee3-0dbaa52b3d84","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas"
"95659c7a-87a6-4950-a8e0-422505d5a872","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas","Bed G5"
"86104dcc-c24c-4c1f-94f5-bd772d3da556","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas","Bed G6"
"ac7f0672-31a7-47a5-ba04-56dd72c28c77","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas","Bed G7"
"2d77c084-149f-4eda-829f-9c6045966a9b","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas","Bed G8"
"0e752e70-8a54-45d4-a3e5-7855b9ee8d60","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas","Bed G9"
"188df696-8bdc-4a91-8aad-6be5e4a6fc60","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas","Bed G10"
"420bc97b-d28f-43ba-8d92-2853ba3ae25a","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas","Bed G11"
"e4b18027-17f4-4564-bd7a-65cc8028c966","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas","Bed G12"
"2a1041b8-e4ff-4568-a91b-eaa3d01f103d","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas","Bed G13"
"22fba953-bb86-480c-95d0-55854c304fef","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas"," Bed G14"
"6e00cd8a-b8bf-4fe5-a125-99ebc389b303","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas","Bed G15"
"d9bcc0c3-6c5e-4ea1-bdc6-62880d691e2f","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas","Bed G16"
"fdf86d27-5c81-427b-8b22-9460e357c055","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas","ACC Bed G17"
"a73c3796-d4c2-462a-8fa9-2f226605c336","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas","Bed G18"
"0ac6e476-a5e6-4197-85f9-a701ef8e4ca9","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas","Bed G19"
"8ff20112-bf57-4e4f-a3fb-699696fb9359","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area B","Residential Areas","ACC Bed G20"
"1036b225-b7b8-4790-861f-678b793bd90b","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Ground Level","Area C"
"3ba0acd6-a4f9-461c-a48f-03f5e3d2e81f","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Ground Level","Area C","Common Areas"
"c5565923-6957-41e4-82da-4ddb8d99b425","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area C","Common Areas","Foyer"
"2c7eb31b-b6cf-4b7d-b885-46c295412207","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area C","Common Areas","Quiet room 1"
"df72ad4a-fb67-4282-93c5-5c65cf120742","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area C","Common Areas","Quiet room 2"
"e65f7c5a-c8db-471f-8fc3-54be00c5297e","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area C","Common Areas","Nurses Station"
"0aac0976-8a2e-402c-9f6d-29dff70bbaf8","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area C","Common Areas","Dementia Hub"
"0f4bb28d-bccd-4783-a869-4b6211eed524","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area C","Common Areas","Treatment room"
"dcd35fbc-4f1a-4538-a064-13f4d35aebd7","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area C","Common Areas","Lounge"
"8ddea700-0631-4b01-b55a-b09fe89c282d","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area C","Common Areas","Lift 2"
"c27c37c1-2151-4042-9323-cb439b3af4cc","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Ground Level","Area D"
"a59f4739-55bb-4555-99ba-85f042c0bea0","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Ground Level","Area D","Common Areas"
"43cfd6ef-6b9d-4a02-b69a-3b78c7d1ecbf","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area D","Common Areas","Corridor"
"70e39983-5d62-4823-b8e8-40a6568556fd","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area D","Common Areas","store room"
"04d094f3-3eea-49b3-ac6f-33b955a61c2c","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area D","Common Areas","Stairs 4"
"1137d9d6-2a8f-43ca-beb0-be5dfff925ed","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Ground Level","Area D","Residential Areas"
"808ae401-9be7-45a0-9b55-8b7750323d82","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area D","Residential Areas","ALS G51"
"6f2b7797-7b61-4bb6-9e73-2af40486ca71","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area D","Residential Areas","ALS G52"
"50243ebf-011e-412d-a6de-bcc55fcf1bf4","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area D","Residential Areas","ALS G53"
"ccce14fd-1b9a-4d20-8b86-7cb44af313d4","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area D","Residential Areas","ALS G54"
"329dce1e-ef10-46b2-94fa-48bec55c6fbc","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area D","Residential Areas","ALS G55"
"cbe9a5ab-f9f8-44f7-8406-ec9dda64d528","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area D","Residential Areas","ALS G56"
"b1c39fed-8dbc-439f-8cab-b633bcbbbb57","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area D","Residential Areas","ALS G57"
"3e23d9ce-e8f6-469f-8b09-220b20140722","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area D","Residential Areas","ALS G58"
"406e935c-8708-4640-a86e-bd925b2b840e","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area D","Residential Areas","ALS G59"
"ffbcb9be-8f91-4093-8960-ef357515e377","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area D","Residential Areas","ALS G60"
"60ba09e5-ded8-4285-8502-6b4f6c2b8119","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Ground Level","Area E"
"b71ec1c1-9223-4479-8e45-0a1ff762dcf1","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Ground Level","Area E","Common Areas"
"277296ac-5d30-4a28-9d47-d97f304e9594","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area E","Common Areas","sluice"
"09f33638-5ba5-4946-bc3b-adac1828fb29","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area E","Common Areas","Lobby"
"e01740af-e627-4169-ad49-f6e3dfc21491","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area E","Common Areas","Linen room"
"219bce19-5e8d-4b68-9b48-e96be454db8a","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area E","Common Areas","Laundry"
"70b2ae64-5639-4ac9-8f83-97294eb9a854","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area E","Common Areas","Commercial Kitchen"
"b76ce4af-ab69-41da-960d-e916fa0ac642","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area E","Common Areas","Staff Room"
"3f313053-3a77-48c4-9ce5-e1c1bf1b6413","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area E","Common Areas","Stair 3"
"01f57988-3f39-4e25-bcd7-c5c77246ec42","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area E","Common Areas","Staff Toilet"
"3dd8b6b6-c3e9-48c2-b4a9-468842641a3d","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area E","Common Areas","Lift 3"
"8ed62649-ef27-4d09-8631-ad33462775eb","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Ground Level","Area E","Service Areas"
"ba8c094c-fe2a-408c-a5e8-49e740201c2f","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area E","Service Areas","MSB Room"
"e6ed80ad-735a-492a-bfb3-d3f9e1ea2210","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Ground Level","Area E","Service Areas","Store room"
"ff71d868-fe5d-4660-83e2-7b53b48de91b","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Level 1"
"e7edbd0e-a859-4064-9277-ac4655b339af","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Level 1","Area A"
"3f4df308-c084-4b89-8cfc-5db4eca1f8b2","","folder-progress","","","checklist","TRUE","FALSE","IPL QA","B01","First Fix","Level 1","Area A","Common Areas"
"5b1cdf6d-a908-45d0-a228-e8f7887b7fc1","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Level 1","Area A","Common Areas","Café"
"9757f735-9262-4333-9ad3-25454d56ee63","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Level 1","Area A","Common Areas","Café Dining"
"1b37a3dd-f6c2-440e-848c-29d47dd2561d","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Level 1","Area A","Common Areas","Mezzanine"
"e75d0317-5029-4c2f-9019-47af02456ac2","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Level 1","Area A","Common Areas","Hair Salon"
"2c05bdf5-1b79-4414-9720-ef1a3500e3af","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Level 1","Area A","Common Areas","Beauty Room"
"33bdf8cd-5016-4dd0-a68d-bbd4cf7e7cfe","","checklist-sectioned","","First Fix","checklist","FALSE","FALSE","IPL QA","B01","First Fix","Level 1","Area A","Common Areas","Bar"
