type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,
label,"Reference - IFC Drawings 703.05 (a), 703.07 MRPA Quality Management Plan Melbourne Water 7251/08/420",,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Concrete mix meets strength, grade, and maximum aggregate size as detailed on the drawings.",,,,,,,,,,,,,,,,,,,
label,○ Paving concrete mix conforms to AS1379.,,,,,,,,,,,,,,,,,,,
label,○ SUP concrete mix is registered with VicRoads.,,,,,,,,,,,,,,,,,,,
label,○ No air entraining chemical admixtures shall be used without approval from the Nominated Authority.,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,
label,"Frequency - Once, for each mix design, prior to placement of concrete ",,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - ConQA Hold Point Release,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,2.3 - Reinforcement Certification (or ACRS Certification),,,,,,,,,,,,,,,,,,,
label,Reference - 703.13 MRPA Quality Management Plan,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Reinforcement shall comply with AS4671.,,,,,,,,,,,,,,,,,,,
label,"○ Alternatively, provide a current ACRS certification for materials and for bar processing (as this covers a higher certification)",,,,,,,,,,,,,,,,,,,
label,"Note: ACRS certificate may cover both aspects or be for each separate portion (e.g 1 for the material supplier and another for the bar processor (bending, cropping and delivery)",,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,
label,"Frequency - Once for each supplier, prior to placement of order",,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,2.4 - Evaporative Retardant,,,,,,,,,,,,,,,,,,,
label,Reference - 703.09,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Details of evaporative retardant, application procedure (including application rates) to be submitted for review to the Nominated Authority.",,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,
label,"Frequency - Once, for each product, prior to placement of concrete",,,,,,,,,,,,,,,,,,,
label,Category - WP,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,2.5 - Curing Compound,,,,,,,,,,,,,,,,,,,
label,Reference - 703.10 (a),,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Details of curing compound and NATA test certificate stating compliance with AS3799 no more than 3 years from issue, to be submitted for review to the Nominated Authority.",,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,
label,"Frequency - Once, for each product, prior to placement of concrete",,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
section,3. Pre-construction Activities,,,,,,,,,,,,,,,,,,,
checkpoint,3.1 - IFC Drawings,,,,,,,,,,,,,,,,,,,
label,Reference - MRPA Quality Management Plan,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Check the revision of the IFC drawings are current as per the drawing register (on Teambinder),,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,
label,Frequency - Prior to starting Works and at regular intervals,,,,,,,,,,,,,,,,,,,
label,Category - HP*,,,,,,,,,,,,,,,,,,,
label,Responsibility - All,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,3.2 - Survey Set-out,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings 703.17,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - The work shall be constructed in accordance with the confirmed set out to the line and level and cross-sectional profiles as shown on the drawings.,,,,,,,,,,,,,,,,,,,
label,○ The Nominated Authority will review and confirm the set out.,,,,,,,,,,,,,,,,,,,
label,○ Maximum deflection angle of 18 degrees,,,,,,,,,,,,,,,,,,,
label,Attach: Survey Report,,,,,,,,,,,,,,,,,,,
label,"Method - Document Review, Measure, Visual",,,,,,,,,,,,,,,,,,,
label,"Frequency - Where applicable, each lot",,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - ConQA Hold Point Release,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
section,4. Construction Activities,,,,,,,,,,,,,,,,,,,
checkpoint,4.1 - Excavation,,,,,,,,,,,,,,,,,,,
label,Reference - 703.20 Melbourne Water 7251/08/420,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Excavation shall be to a sufficient depth to allow for the required compacted thickness of bedding material under the full width of concrete paving.,,,,,,,,,,,,,,,,,,,
label,○ Excavation to allow for a minimum of 50mm reinforcement cover on earth face and a minimum of 375mm from pipe joint.,,,,,,,,,,,,,,,,,,,
label,"Method - Visual, Measure",,,,,,,,,,,,,,,,,,,
label,"Frequency - Where applicable, each lot",,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE/PE/SPE,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,4.2 - Bedding Material Placement & Compaction,,,,,,,,,,,,,,,,,,,
label,Reference - 703.21,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Place bedding material to the minimum thicknesses (post-compaction) as per the IFC drawings (equal to or greater than the relevant Council drawings).,,,,,,,,,,,,,,,,,,,
label,"○ Bedding shall be trimmed to the appropriate levels, moistened as necessary, and firmly compacted.",,,,,,,,,,,,,,,,,,,
label,○ The foundation shall be true to grade and cross section as shown on the drawings by filling and excavating as necessary.,,,,,,,,,,,,,,,,,,,
label,○ All soft wet or unstable material shall be removed to a depth of not less than 100 mm below the design level of the underside of bedding and filled with bedding material moistened and compacted to form a stable foundation.,,,,,,,,,,,,,,,,,,,
label,Attach: Bedding Material Delivery Dockets,,,,,,,,,,,,,,,,,,,
label,"Method - Visual, Measure",,,,,,,,,,,,,,,,,,,
label,"Frequency - Where applicable, each lot",,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE/PE/SPE,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,4.3 - Formwork Construction & Placement,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings 703.12,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Designed and constructed in such a manner so it can be removed without damage to the concrete.,,,,,,,,,,,,,,,,,,,
label,"○ Formwork to be rigid, braced, full depth of the concrete & tied together to restrict movement during concreting operations to maintain dimensional comformance.",,,,,,,,,,,,,,,,,,,
label,○ Joints in formwork shall be constructed such that loss of mortar is prevented.,,,,,,,,,,,,,,,,,,,
label,"○ Prior to placing concrete in an earth excavation, formwork shall be erected so that fresh concrete is not placed directly against the sides of the excavation.",,,,,,,,,,,,,,,,,,,
label,"Method - Visual, Measure",,,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE/PE/SPE,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,4.4 - Construction Joints & Matching Exisiting Surfaces,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings 703.24,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Where applicable, construction joints shall be placed where the new construction ties into existing structures.",,,,,,,,,,,,,,,,,,,
label,"○ Consult the relevant Council Standard drawings for the joint detail, these may require:",,,,,,,,,,,,,,,,,,,
label,i. Concrete cutting of a shear-key,,,,,,,,,,,,,,,,,,,
label,ii. Surface roughening,,,,,,,,,,,,,,,,,,,
label,iii. Drilling and insertion of dowel bars (may also be galvanised),,,,,,,,,,,,,,,,,,,
label,iv. Cutting a groove for sealant,,,,,,,,,,,,,,,,,,,
label,"○ Where it is necessary to join to an existing section of profile different from that being constructed, the change of profile shall be made at a constant rate between 10 and 20 mm per metre.",,,,,,,,,,,,,,,,,,,
label,○ Transitions between different profiles shall be made in accordance with the drawings.,,,,,,,,,,,,,,,,,,,
label,○ Matching of new to existing concrete paving shall be such that it appears identical to the existing section.  ,,,,,,,,,,,,,,,,,,,
label,"Method - Visual, Measure",,,,,,,,,,,,,,,,,,,
label,"Frequency - Where applicable, each lot",,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE/PE/SPE,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,4.5 - Isolation Joints,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings 703.26 (c),,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Where applicable, isolation joints shall be placed:",,,,,,,,,,,,,,,,,,,
label,"i. around all abutting structures such as pits, utility services, power poles, kerbs and other such features",,,,,,,,,,,,,,,,,,,
label,ii. at any location marked on the drawings,,,,,,,,,,,,,,,,,,,
label,○ The joint shall be made with a compressable material extending for the full width and full depth of the paving and secured into position prior to concrete operations.,,,,,,,,,,,,,,,,,,,
label,"Method - Visual, Measure",,,,,,,,,,,,,,,,,,,
label,"Frequency - Where applicable, each lot",,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE/PE/SPE,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,4.6 - Reinforcement Placement,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings 703.13 Melbourne Water 7251/08/420,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - The correct mesh type and location as shown on the IFC drawings.,,,,,,,,,,,,,,,,,,,
label,○ Any splice lengths achieve the minimum length and are in contact for this length.,,,,,,,,,,,,,,,,,,,
label,"○ The reinforcement surface condition is free from dirt, debris and damage.",,,,,,,,,,,,,,,,,,,
label,○ The resulting cage securely held with sufficient ties and/or bar chairs to limit displacement or deformation during the concrete pour (typically 900mm crs maximum).,,,,,,,,,,,,,,,,,,,
label,"○ Wire chairs with or without plastic tips, bricks or pieces of timber or coarse aggregate shall not be used to support steel reinforcement.",,,,,,,,,,,,,,,,,,,
label,○ Minimum cover of 50mm at edges has been achieved (including tie wire locations).,,,,,,,,,,,,,,,,,,,
label,"Method - Measure, Visual",,,,,,,,,,,,,,,,,,,
label,Frequency - Each element,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Foreman, SE/PE/SPE",,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,4.7 - Pre-pour Inspection,,,,,,,,,,,,,,,,,,,
label,"Reference - IFC Drawings 703.15, 703.21 Melbourne Water 7251/08/420",,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Inspection to ensure that forms, reinforcement dowels and other embedments conform to the requirements of the specifications and drawings.",,,,,,,,,,,,,,,,,,,
label,"Method - Measure, Visual",,,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE/PE/SPE,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,4.8 - Weather Conditions & Evaporation Limits,,,,,,,,,,,,,,,,,,,
label,Reference - 703.09,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Concrete shall not be placed when the air temperature at the point of placement is less than 5°C or greater than 35°C.,,,,,,,,,,,,,,,,,,,
label,"○ The temperature of concrete, measured immediately prior to placing, shall not be less than 10°C or greater than 32°C.",,,,,,,,,,,,,,,,,,,
label,"○ The air temperature, relative humidity, concrete temperature and wind velocity are measured to determine the evaporation rate of water from the concrete.",,,,,,,,,,,,,,,,,,,
label,○ When the evaporation rate exceeds 0.50 kg/m²/hr apply evaporation retardant at the rates specified on the manufacturer’s TDS.,,,,,,,,,,,,,,,,,,,
label,Record: Required information on the Concrete Pour Record.,,,,,,,,,,,,,,,,,,,
label,"Method - Measure, Visual",,,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Foreman, SE/PE/SPE",,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,4.9 - Concrete Testing - Sampling Frequencies,,,,,,,,,,,,,,,,,,,
label,Reference - 703.11 Melbourne Water 7251/08/420,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Concrete cast in one continuous operation to be tested at a frequency as shown below:,,,,,,,,,,,,,,,,,,,
label,○ 0m³ to 50m³ = 1 sample,,,,,,,,,,,,,,,,,,,
label,○ Each sample shall consist of 1 no. slump test and 2 no. compressive strength cylinders minimum.,,,,,,,,,,,,,,,,,,,
label,○ Compressive strength cylinders = 2 no. 28 day strength.,,,,,,,,,,,,,,,,,,,
label,Record: Required information on the Concrete Pour Record.,,,,,,,,,,,,,,,,,,,
label,Method - Test,,,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Concrete Tester, Foreman, SE/PE/SPE",,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,4.10 - Concrete Testing - Slump,,,,,,,,,,,,,,,,,,,
label,Reference - 703.11 Melbourne Water 7251/08/420,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Slump testing tolerances = ,,,,,,,,,,,,,,,,,,,
label,<60mm = ±10mm,,,,,,,,,,,,,,,,,,,
label,≥60mm to ≤80mm = ±15mm,,,,,,,,,,,,,,,,,,,
label,>80mm to ≤110mm = ±20mm,,,,,,,,,,,,,,,,,,,
label,>110mm to ≤150mm = ±30mm,,,,,,,,,,,,,,,,,,,
label,>150mm = ±40mm,,,,,,,,,,,,,,,,,,,
label,Record: Required information on the Concrete Pour Record.,,,,,,,,,,,,,,,,,,,
label,Method - Test,,,,,,,,,,,,,,,,,,,
label,Frequency - Each sample,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,Responsibility - Concrete Tester,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,4.11 - Concrete Testing - Compressive Strength Cylinders,,,,,,,,,,,,,,,,,,,
label,Reference - 703.11,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Correct quantity of cylinders manufactured per sample.,,,,,,,,,,,,,,,,,,,
label,Record: Required information on the Concrete Pour Record.,,,,,,,,,,,,,,,,,,,
label,Method - Test,,,,,,,,,,,,,,,,,,,
label,Frequency - Each sample,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,Responsibility - Concrete Tester,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,4.12 - Supply & Discharge Rates,,,,,,,,,,,,,,,,,,,
label,"Reference - 703.08, AS1379 Clause 4.4.1, AS1379 Clause 4.2.3, AS1379 Clause 4.2.5",,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Concrete is supplied at an adequate rate to ensure no cold joints are formed.,,,,,,,,,,,,,,,,,,,
label,○ Maximum elapsed time for discharge (including compaction) is 90 minutes from batching.,,,,,,,,,,,,,,,,,,,
label,○ Concrete that stiffens or is showing signs of stiffening shall not be used.,,,,,,,,,,,,,,,,,,,
label,"○ If water is added once discharge commences, the volume shall not exceed the water-cement ratio for the mix design and the water volume is recorded on the concrete pour record.",,,,,,,,,,,,,,,,,,,
label,Record: Required information on the Concrete Pour Record.,,,,,,,,,,,,,,,,,,,
label,"Method - Measure, Visual",,,,,,,,,,,,,,,,,,,
label,Frequency - Each load,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Foreman, SE/PE/SPE",,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,4.13 - Placement & Compaction,,,,,,,,,,,,,,,,,,,
label,Reference - 703.08 Melbourne Water 7251/08/420,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - All concrete batches are traceable.,,,,,,,,,,,,,,,,,,,
label,"○ Where concrete pumps are used, the initial discharge is pumped to waste until a consistent workable mix is discharged.",,,,,,,,,,,,,,,,,,,
label,"○ Fresh concrete shall not be placed against concrete which has taken its initial set, except at properly formed construction joints.",,,,,,,,,,,,,,,,,,,
label,"○ Concrete shall be thoroughly compacted by means of continuous tamping and internal vibration and shall be worked around any embedments and into corners of formwork or excavations to produce a dense concrete free from voids, honeycombing, segregation or surface defects.",,,,,,,,,,,,,,,,,,,
label,○ Vibration continued at each point until air bubbles cease to emerge from the concrete.,,,,,,,,,,,,,,,,,,,
label,"○ Unformed surfaces shall be hand tamped to ensure a smooth surface with a uniform colour and appearance, and screeded to achieve the specified level, dimensions, falls and tolerances.",,,,,,,,,,,,,,,,,,,
label,Record: Required information on the Concrete Pour Record.,,,,,,,,,,,,,,,,,,,
label,Attach: Concrete Pour Record,,,,,,,,,,,,,,,,,,,
label,Attach: Concrete Dockets,,,,,,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,,,,,
label,Frequency - Each load,,,,,,,,,,,,,,,,,,,
label,Category - SP,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Foreman, SE/PE/SPE",,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,4.14 - Surface Finishes,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings Melbourne Water 7251/08/420 703.25,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Surface finish shall be as per the drawings or; as a minimum, finished to grade and cross section with a wooden float to produce a lightly textured non-skid surface.",,,,,,,,,,,,,,,,,,,
label,○ All outside edges of slabs and all joints shall be finished with a suitable edging tool.,,,,,,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Foreman, SE/PE/SPE",,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,4.15 - Marking of Conduit Locations,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings Relevant Council Drawings 703.28,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - The positions of any existing conduits passing under edgings shall be marked by a chase in the edging immediately above the conduit together with the nominated identification mark shown on the drawings.,,,,,,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Foreman, SE/PE/SPE",,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,4.16 - Crack-control Joints / Weaken Plane Joints,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings Relevant Council Drawings 703.26 (b) (ii),,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Crack-control joints shall be finished with a suitable edging tool, full-width of the pavement to the required depth and locations and/or longitudinal spacings as shown on the drawings.",,,,,,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,,,,,
label,"Frequency - Where applicable, each lot",,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Foreman, SE/PE/SPE",,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,4.17 - Curing,,,,,,,,,,,,,,,,,,,
label,Reference - 703.10 Melbourne Water 7251/08/420,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - The curing of exposed concrete surfaces shall commence immediately after finishing operations are progressively completed either by water curing, wet hessian, polyethylene sheeting which is adequately sealed, curing compound or a combination of these.",,,,,,,,,,,,,,,,,,,
label,"○ Where curing compounds are used, 2 coats of the shall be applied in accordance with the manufacturer's TDS.",,,,,,,,,,,,,,,,,,,
label,○ The curing membrane shall be maintained intact for not less than the specified period of curing.  Any damage to the curing membrane during the period of curing shall be repaired immediately at the original rate of application,,,,,,,,,,,,,,,,,,,
label,"○ Curing shall continue uninterrupted for a period of not less than 7 days after placing the concrete, or 3 days for concrete edgings.",,,,,,,,,,,,,,,,,,,
label,"○ Freshly finished exposed concrete surfaces shall be effectively protected from rain or damage from other sources, until hard set has occurred.",,,,,,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Foreman, SE/PE/SPE",,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
section,5. Post-construction Activities,,,,,,,,,,,,,,,,,,,
checkpoint,5.1 - Protection of Newly Poured Concrete,,,,,,,,,,,,,,,,,,,
label,Reference - 703.27,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - All concrete shall be protected from damage from early loading by pedestrians, animals, vehicles and from rain or any other cause.",,,,,,,,,,,,,,,,,,,
label,"○ Suitable flagging, signage or bunding shall be erected to prevent vehicles from crossing over residential and/or commercial vehicle crossings a minimum of four days after completion of casting of the concrete.  Vehicles greater than 1.5 tonnes may be permitted to cross after 7 days.",,,,,,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,,,,,
label,"Frequency - Where applicable, each lot",,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Foreman, SE/PE/SPE",,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,5.2 - Stripping Formwork,,,,,,,,,,,,,,,,,,,
label,Reference - 703.12 AS3610,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Formwork shall not be stripped until the minimum times have elapsed from the time of completion of the placing of concrete:,,,,,,,,,,,,,,,,,,,
label,i. 2 days for vertical formwork on external surfaces; and,,,,,,,,,,,,,,,,,,,
