"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d516bb46-7961-4cc9-ac3e-ffaf4b3af258","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA / ITP's"
"842e5247-fc12-4ca3-b17e-193ac9a094b7","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA / ITP's","Roofing"
"15aabfc0-5267-48d1-8b60-4568564fc36e","","folder-normal","not-started","","step","TRUE","FALSE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium"
"eac1ac88-fc42-48d6-8147-656d96bbf7c2","","folder-normal","not-started","","step","TRUE","FALSE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding"
"4408716e-53c9-4964-886f-6d42ad07c556","","checklist-sectioned","not-started","Soffit Cladding checklist","checklist","FALSE","FALSE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding"
"320a1458-7e2a-5ac3-986c-39a9efe2efeb","","checkpoint-group","not-started","","","FALSE","FALSE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection"
"7ec5ab10-0cfd-517e-b25c-4b4013c63bda","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation"
"d07b0c88-a28f-5020-b956-e9868079a3f4","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Checked and Signed by:"
"42565c1d-2565-52e7-be2a-7bdfe0da3505","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Inspected and accepted by Authorized Representative"
"19418cae-c5a1-51e4-b36f-5b6380940574","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Checked and Signed by:"
"68783ebc-11a1-5ba6-be9f-6ec4aa2d2eb4","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Reinspection requested by Subcontractor"
"ea559311-4336-5c83-ae09-56a99a1b579f","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Date:"
"2bbdb4b4-9c46-57d4-b1a5-a8ab915fb95e","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Non-Conforming Items to be Rectified"
"5afcc051-e4c5-5cab-a9c3-cb030a4dc89d","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Follow up work satisfactorily"
"f101a0c8-b4b7-525d-94ff-86f5f43f718e","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Site Supervisor:"
"73f87f03-8b88-5382-9835-7e2648ed274b","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","All items have been completed and demonstrated satisfactorily"
"56dedcee-092d-5629-9999-725607e103e0","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Client Representative:"
"05f6c6cd-c7b3-4b3b-a7e6-232910a3dbe7","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA / ITP's","Roofing","Roofing Zone 1"
"a84342cd-22d9-4447-b581-f2c304b74680","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3"
"5b098085-2221-4605-b8bc-652246886530","","checklist-sectioned","pass","Roof - Zone 1 / Roof 3 Box Gutter Installation checklist","checklist","FALSE","FALSE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation"
"bd8a2ca0-9f10-5940-a29c-91e56c5ac579","","checkpoint-group","pass","","","FALSE","FALSE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Material Inspection"
"2c8d0d90-9fae-5920-96c9-934ec1e1b5f8","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Material Inspection","Box Gutter Brackets:"
"19eb015b-ef11-5c25-ba38-531a739aefc2","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Material Inspection","Box Gutter Insulation - 60mm Anticon"
"b245a6a6-d1db-528e-bfd9-30ae3edb2bd7","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Material Inspection","Box Gutter Insulation - 4mm Polyair - 1200mm"
"3b487406-ad41-5af8-9504-2ea16d7db380","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Material Inspection","Box Gutter - Spandek gutterboard"
"0c52d849-2a59-5950-a8d1-b0deff786266","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Material Inspection","Box Gutter: Stainless Steel 316"
"dcd8f3d6-9459-51aa-b53c-58e444fc88ef","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Material Inspection","Gutter Flashing: Stainless steel to match 316"
"e88a1912-2b3b-50e4-ab64-6fa2615b000d","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Material Inspection","Syphonic Outlet"
"e157d46b-e86a-5b0b-993d-4f7becdf40ce","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Material Inspection","Overflow Outlet 0.70mm 316 Stainless Steel"
"27d14721-ac75-50d4-bd57-feac0f4f1eb4","","checkpoint-group","pass","","","FALSE","FALSE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Installation"
"e54be063-6736-5fcd-b574-4d469ee89bb2","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Installation","Gutter Brackets installed with fall as per Specification."
"fe0ee7aa-ff0b-5211-bea1-7a3bf4375564","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Installation","Insulation installed under gutter board"
"2e2cd30e-4fe3-532e-ad3c-3cbc9b8a5009","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Installation","Gutter Board installed"
"da509ed1-e868-5d49-8ffd-4f0f810aaf84","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Installation","Box gutter installed to sizes as shown in specification and drawings."
"77858f34-454a-5161-acc8-12e832a838d8","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Installation","Sumps installed to correct locations and sizes as specified and as shown on drawings"
"6eb06c5d-7c96-5b90-9824-126012eb5b22","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Installation","Pops installed under the sump"
"8d5a7623-78e6-5d85-93db-fc0305d22d12","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Installation","Outlets installed to correct sizes."
"0c44d164-8264-5731-b522-8edf83948bc2","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Installation","Overflow outlets installed at each downpipe location and to correct size as indicated."
"e297516f-fc37-5c78-b9d8-02df05992af7","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Installation","Gutter flashing installed with minimum of 100mm off from the sole of the box gutter"
"9c3caee9-e483-59f5-abd2-19e804120a02","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Installation","Area clean and free of debris."
"afc9666e-e37f-5760-8886-c8ed1544db3a","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Installation","Fix only Syphonic Outlet"
"8d7a9fcc-bc21-5083-af0d-95842e862c44","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Installation","Materials in good condition"
"0e8347ec-a2f0-58f0-9146-a0a480db8304","","checkpoint-group","pass","","","FALSE","FALSE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Signoffs"
"fa22e5c1-782b-5c5b-bf09-8ff3a0405f90","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Signoffs","Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation"
"fd4726a5-3014-5ef8-85ad-0c992a61c639","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Signoffs","Inspected and accepted by Authorized Representative"
"77864fb4-cc2b-5fc8-9e07-a312a48a5091","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Signoffs","Reinspection requested by Subcontractor"
"08e8febd-e17c-5409-90b2-fdfd91fe385d","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Signoffs","Non-Conforming Items to be Rectified"
"606c25ef-f448-55d9-bc58-31cd2ee742c3","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Signoffs","Follow up work satisfactorily"
"c208b535-71c5-5235-a3fe-e1dc622ed856","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Box Gutter Installation","Signoffs","All items have been completed and demonstrated satisfactorily"
"85117872-408d-4390-b497-c6293caab50d","","checklist-sectioned","pass","Roof - Zone 1 / Roof 3 Insulation checklist","checklist","FALSE","FALSE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation"
"eb20e010-543d-5e4a-a149-20dec336fef0","","checkpoint-group","pass","","","FALSE","FALSE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Material Inspection"
"234f9a15-ecec-55cb-8fc8-454aef28d23c","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Material Inspection","Insulation: Roof - Glasswool on Medium Sarking - 145mm"
"7d48f697-14f3-5811-8633-2c0b9c487d38","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Material Inspection","Thermal spacer: Ashgrid 1200mm - 120mm"
"b01ee33b-bf06-51bd-9bf4-5785d21ebed9","","checkpoint-group","pass","","","FALSE","FALSE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Installation"
"6b5fde2e-a814-54da-a00b-2f875317a310","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Installation","insulation to entire roof area"
"90341fcf-d819-55a3-987a-550f8b05b733","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Installation","correctly lapped and joined"
"1f200735-2971-5edf-a7b1-b3bd7a1c428c","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Installation","No over hang into gutters"
"23e033d0-1242-5005-bdbe-bbc18a2d0534","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Installation","Manufacturers recommendations."
"4fc094b8-2957-5093-92f8-37260614fa2b","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Installation","Thermal Spacer Located correctly"
"f3fe243e-a955-5451-80d0-b27ca8381709","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Installation","insulation below box gutter lapped at joins"
"eed0ad7c-eabf-5be0-baf5-5759ceb5b4a7","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Installation","insulation cut back at sumps"
"c66e8b3e-7737-5161-8328-d1ac0d603f34","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Installation","Area clean and free of debris"
"7f70b66d-5680-520f-8db8-8936a8698f30","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Installation","Materials in good condition with no tears"
"87bda6d7-a0f6-5d54-b22b-4d0825a46253","","checkpoint-group","pass","","","FALSE","FALSE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Signoffs"
"8cbea821-e27c-5f20-a5d1-14ae74ebf129","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Signoffs","Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation"
"c4c463d7-95f3-5acc-ba56-1eb6cf909090","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Signoffs","Inspected and accepted by Authorized Representative"
"b19ecf69-858f-5240-83c0-169459ec5a40","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Signoffs","Reinspection requested by Subcontractor"
"b792a770-164d-503f-bd62-83a17101e100","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Signoffs","Non-Conforming Items to be Rectified"
"fdc48dcf-add6-52ec-a2b5-36191e0eb319","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Signoffs","Follow up work satisfactorily"
"abe8a664-76c8-59ea-aa74-cc3e6751db6b","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Insulation","Signoffs","All items have been completed and demonstrated satisfactorily"
"a63274bc-5313-4539-96bd-71ee8f352e1d","","checklist-sectioned","pass","Roof - Zone 1 / Roof 3 Roof Installation checklist","checklist","FALSE","FALSE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation"
"6a7a4227-7ded-5090-bc8b-b493aff93f9a","","checkpoint-group","pass","","","FALSE","FALSE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Material Inspection:"
"fdc0fa85-e1e5-524d-9c2b-58a41d6a8406","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Material Inspection:","Roof Sheets: 0.48mm Colorbond Ultra - Klip-lok / Speed Deck Ultra"
"150c8c68-978c-5d36-9cd5-12873332652d","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Material Inspection:","Coating Type: Standard Colorbond"
"3e9f2787-de2a-5f21-8c2d-3ac548c9b173","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Material Inspection:","Insulation Type: Roof sarking on medium weight paper"
"ad0ddc92-5a24-5fe4-b2e9-45c39c4fd161","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Material Inspection:","100mm glasswool on medium sarking"
"a62240c1-c6a7-549f-b136-a446b797663b","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Material Inspection:","Safety Mesh: Galvanised 2mm x 150mm x 300mm"
"72c7405a-e886-5448-ac62-24f8dcbe04ca","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Material Inspection:","Roofing - Profile Infill Strips"
"75d79470-9902-5ec1-83d0-abbd803abff7","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Material Inspection:","Roof Clips - Klip-lok / Speed Deck Ultra (incl screws)"
"d6f7325f-2a19-5d45-96b5-309c79718be5","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Material Inspection:","Roof Screws: Monoclad screws"
"17ca02f5-a4e3-568a-be6f-0e54a36f2880","","checkpoint-group","pass","","","FALSE","FALSE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Installation:"
"ba75c250-9cf3-53c0-a212-3531f2857952","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Installation:","Safety Mesh Installed"
"b7fb9465-80ee-5331-a594-c2d5ac0ec9d2","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Installation:","Insulation installed"
"13381665-767d-5f89-8deb-13d87f546b6f","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Installation:","Roof clips installed"
"339e0dfb-bb84-578e-980a-fdebb21570b8","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Installation:","Roof installed with adequate fall to meet roof profile"
"ae30f84f-9d37-5f6f-8478-9f2737beb4e9","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Installation:","Roof installed straight and perpendicular to Roof purlins"
"8de19331-3220-54c9-bd30-400bea78920b","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Installation:","Roof has adequate overhang into box gutter / spouting"
"790a9d0d-e646-518d-ab88-92abad64020e","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Installation:","Roof sheet turned up at high end of roof"
"15271005-6d1c-5900-8db4-7a4dbd25cc5b","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Installation:","Roof sheet turned down at gutter end of roof"
"186aa47e-bf8e-5a07-a0d9-6475ab46a0df","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Installation:","Area clean and free of debris"
"470b6b00-ec93-56f7-9cd4-b5d156f06210","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Installation:","Materials in good condition"
"3b38bb9c-c4fb-5b1a-8cb4-2cc4bf45235b","","checkpoint-group","pass","","","FALSE","FALSE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Signoffs"
"5e1f8bbd-1bdf-5e3c-8a88-fc53d6b48190","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Signoffs","Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation"
"0a65d106-e554-5b91-bf4d-fa2791da6d0e","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Signoffs","Inspected and accepted by Authorized Representative"
"bbae2c78-11f9-5be0-8beb-657621ffbe0b","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Signoffs","Reinspection requested by Subcontractor"
"b928b795-b243-52ae-8e61-f986e2d97061","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Signoffs","Non-Conforming Items to be Rectified"
"a1f14f4b-9705-58c5-951c-57c74c36df51","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Signoffs","Follow up work satisfactorily"
"f79461ca-8cb5-5a25-a07b-46fc072c6081","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Roof Installation","Signoffs","All items have been completed and demonstrated satisfactorily"
"b8e5395c-01ee-441b-9490-c2aad376ebfc","","checklist-sectioned","work-in-progress","Roof - Zone 1 / Roof 3 Flashing/Capping Installation Checklist","checklist","FALSE","FALSE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Flashing/Capping Installation Checklist"
"f46cd5d7-8e7c-5aae-a7e4-ea6c13183a4b","","checkpoint-group","pass","","","FALSE","FALSE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Flashing/Capping Installation Checklist","Material Inspection"
"eabdad5a-693f-579f-8fe4-9f9a5b077511","","checkpoint-status","pass","","","TRUE","TRUE","QA / ITP's","Roofing","Roofing Zone 1","Roof 3","Flashing/Capping Installation Checklist","Material Inspection","Insulated panel - 60mm Kooltherm K10 under parapet capping (600mm)"
