"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"406c699b-df7a-4298-9065-56d84c117576","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"222bc592-a09e-4ca2-a959-2b20a05b355a","","pass","Site Establishment","checklist","FALSE","FALSE","Project QA","Site Establishment"
"71a7445f-0c6f-44d4-bd92-11f3201952cf","","not-started","Preline","checklist","FALSE","FALSE","Project QA","Preline"
"4e333a3b-5a19-48d1-8f48-a9e89dc89bd9","","not-started","Finishes","checklist","FALSE","FALSE","Project QA","Finishes"
"4f645107-18a1-40a2-b137-cf237d50199e","","not-started","Defect Clearance","checklist","FALSE","FALSE","Project QA","Defect Clearance"
"2439b1a3-1d94-4174-960d-5d7b9f1fd6e2","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety"
"d60d7b74-35b3-4c2c-a5cd-9d84347c3c4f","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start"
"90cf8c4e-9aa8-47c6-a723-fcf3b78264f7","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Jul-23"
"3e2257b2-b1a2-4d5e-9afb-c675a0745332","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Aug-23"
"bf772a48-f989-43aa-b7ee-f13f4fddc77e","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Sep-23"
"0b9b134d-c2b9-405d-98d0-e150bd30aacc","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Oct-23"
"72a5760b-6017-4e61-a6fb-95b950f81fd2","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Nov-23"
"0e4797b4-d1f6-47cf-bed0-383ac7368528","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Dec-23"
"aa975dc6-cacb-46e3-a3de-d06fdaef0d58","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Jan-24"
"4b8480b4-3e1f-460b-9870-5cf93c8c2609","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Feb-24"
"0c2378ae-8bf1-4e3e-8a39-dc4df06dceb3","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Mar-24"
"f77a9473-8bcb-4612-a0e6-114b73ab8e04","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Apr-24"
"2f53fe61-835c-477b-9497-8fb3d1d171cc","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","May-24"
"2365ad90-5487-4698-9844-615a3c7ac747","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Jun-24"
"9b67f1a7-9b1b-4bb6-afa9-eee44d6fa072","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Jul-24"
"a8df38c1-8cae-4230-b65d-4a9b52c67859","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Aug-24"
"9c47e3ac-1f3a-4667-b46e-15248fe14291","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Sep-24"
"0f2062f3-442b-4022-a723-18162c2cf53a","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Oct-24"
"dc30ed35-30fa-42ec-a16b-039766c7387e","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection"
"5329d7ad-a28b-481b-ab53-ecbe22707d2a","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Jun-23"
"ad272e71-fcb0-4b09-91e1-fde0ba86fd17","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Jul-23"
"2b499687-1ec5-40d0-9456-5a3d97dfdff7","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Aug-23"
"55f58069-f268-488b-98a7-78ee75c2056b","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Sep-23"
"e773b376-9cef-476a-ab61-7920bd8152ee","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Oct-23"
"c4407645-d24f-42bd-9c74-bbdd22b5fbf4","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Nov-23"
"247d6faa-47b4-4fb2-9827-527a71604b97","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Dec-23"
"309c8bc9-31b9-42fd-b780-c7b6a3445da0","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Jan-24"
"ee7a653d-a91a-4a43-9724-4af18982a2c5","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Feb-24"
"5b368ed7-75a0-4dce-95a3-d371bcabe2d8","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Mar-24"
"aed74038-1769-4df3-804b-f4e2377c90cb","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Apr-24"
"efd99d88-bab7-4c35-9e16-60d46ec82192","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","May-24"
"44fddc9a-b1f9-4c1a-aa35-79735565c575","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Jun-24"
"692c3b03-3657-4a88-9fdd-d12f9702a7e9","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Jul-24"
"c12b8c4e-4711-4e21-96bc-2a0520e9e473","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Aug-24"
"d3bcd3e7-9aea-4029-ba2a-2395eb99c8eb","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Sep-24"
"8ee97c3c-c22f-433e-b9ce-c9ec047e16de","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Oct-24"
"4aab89f2-0617-4b26-ae0a-ffa3045681f5","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation"
"e3a0720c-1e7d-44c9-97bb-576cb0ad1139","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jun-23"
"122fc969-3099-49c1-bb63-ad977e28fb68","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jul-23"
"3ddf8fea-a019-4bab-a8dd-4adc41e9a58d","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Aug-23"
"38e69a03-1ec7-4aea-9a79-39de9d3c5551","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Sep-23"
"fec3eabd-0821-4efd-974c-1e8fc005bdbc","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Oct-23"
"ac7fc774-a06e-49d9-a51a-3178e97e47f7","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Nov-23"
"41ecc36d-314b-4073-bb48-e78d7dc0359c","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Dec-23"
"272d2669-c496-459d-9496-e8981e71f74b","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jan-24"
"f85e41ff-2d2f-46d3-ae1f-2eb5baa3a297","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Feb-24"
"1504b1c4-9377-486a-813f-6243bd483c73","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Mar-24"
"e029fc17-4820-4877-954b-9c0717050c8f","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Apr-24"
"2a972dae-a1c0-4b86-b416-b55c2c1ce381","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","May-24"
"9c70416a-7b48-4a89-a5ca-426e2993c36c","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jun-24"
"a3258c71-01c8-4c8e-9e44-7e9072ba81f3","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jul-24"
"9c96a84b-38c7-4c37-949c-ed7a28573b1e","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Aug-24"
"47ba2c43-c1d3-473e-b426-d4cb5bb7739e","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Sep-24"
"80193721-e3fc-4793-9bc5-b4a1c719fe0a","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Oct-24"
"fc043b2f-aab8-4f1b-8167-112244d7c6b6","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping"
"6d827c8c-3d4e-48ad-b429-288161dd5fc3","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jun-23"
"8720e00f-ab60-4886-a047-788d05a1c97b","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jul-23"
"191174a2-e74f-428e-8bc1-313435c91b78","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Aug-23"
"71b28797-c30b-4916-97e2-3aaf0b50a75a","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Sep-23"
"50d4d6c8-b4a1-4819-b14d-f0c191ae209b","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Oct-23"
"9c35e853-2e54-4878-9871-38f85dc706f3","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Nov-23"
"b81a54e4-b455-4f8a-9755-bbd30b1df6a2","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Dec-23"
"941ca2ee-3b70-450b-b4b1-dd8db65861c4","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jan-24"
"528e3227-1156-47b8-83e1-53458dedb3e0","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Feb-24"
"d075db4b-0ab1-4606-9c57-c8c2f06763d4","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Mar-24"
"890f359a-fa5a-435e-9329-1727b19bbef2","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Apr-24"
"81231a5b-c000-4816-981d-961eb57bb532","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","May-24"
"e3dc5cd3-4902-4605-b7ff-a7d065c17556","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jun-24"
"5655a6cb-edbc-4906-bfa2-7b4b1346c37a","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jul-24"
"d1876dcb-8b1c-47a6-8ebb-b4da61f1b443","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Aug-24"
"df3dc82b-e4e1-4fa3-b540-8611c4f663cf","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Sep-24"
"65dd039b-d469-4ad0-a255-83bab67d94c5","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Oct-24"
"48a4bd47-0bf2-44eb-b2a4-e941ae565646","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA"
"a931b3fb-c904-45a2-ae49-cbad89cc8200","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Jun-23"
"0d655656-e354-4078-8d71-8142a1800148","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Jul-23"
"5169491b-754b-48b0-ae10-b0e91ec6e8be","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Aug-23"
"5dbc5a9d-7b4e-45b2-a287-c6bbe88b5d6b","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Sep-23"
"b0ed2d50-3f81-45f9-be5a-b514b114d496","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Oct-23"
"9bc46b96-2d41-4803-8ddc-08f71d0745c1","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Nov-23"
"d3610313-6819-4722-aaa3-9b5343ed9e01","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Dec-23"
"c16682f3-4641-4cd4-83df-6836f7fec039","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Jan-24"
"c93fadec-b595-4bee-8532-a7cab12c82bc","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Feb-24"
"8e3e4d8f-7760-4078-9e29-f4b7f1f2a790","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Mar-24"
"901e40f0-1e2e-4bba-8ee5-c650bfe510b8","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Apr-24"
"c9889357-7e1b-4f62-8a43-8ddba83f3635","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","May-24"
"8f89afd6-c5a1-4750-a053-87c8435a64ed","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Jun-24"
"cd84a939-866e-451e-ac41-1650b8e5f141","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Jul-24"
"080526cf-a03c-4d36-956c-56760397c75a","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Aug-24"
"9e95266c-d0d7-40d5-9fcb-629971d22336","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Sep-24"
"c8ccd98c-24e1-405a-b7f6-0bf507414224","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Oct-24"
"2c438a9b-f3fd-4fcf-b17c-186a18d15042","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Stand Down"
"2c00efb3-e4cb-4118-bbb4-89fc3ccca762","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Documents"
