"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b7ddae86-1f8d-4a72-89c7-0274955404d2","","no-status-not-started","","folder","TRUE","FALSE","Project QA"
"15835392-070a-4c10-b83e-d632f8fc6429","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Site Establishment"
"31712676-ab13-482a-9547-c88c680df2ef","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Steelwork - Existing"
"48b0feda-f393-442b-8dbb-33d6d4233c90","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Steelwork - New"
"04fd80c1-b256-46ef-850d-957484c9d927","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Building - External works"
"f62048f7-9f6d-48e5-9b7d-42b3bb7cd02c","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Building - Interior fitout works"
"6b5c9d81-e65a-4681-a432-f6f9fdd5540f","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Building - Concrete works"
"4577b68d-aaf0-496d-bb84-754ef0ea655e","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety"
"53e05320-2620-479a-9abc-9dbb38bfd968","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start"
"ee15c00a-2349-4200-9707-f02112631640","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Mar-24"
"0274be0c-67fa-472b-86ef-0ceaa9362fc8","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Apr-24"
"0f9fe9d2-f09a-401c-8c50-d9b0aaf8b48c","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","May-24"
"5c42b246-7d9f-4d07-b33f-a0791a2855b1","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jun-24"
"7eab48e1-cc83-499e-8200-38a2acb77ce2","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jul-24"
"695280df-e392-48cb-9536-cc20a9e96d4c","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Aug-24"
"0858e072-c4ad-4701-a303-1b4cec990136","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Sep-24"
"1f8e5132-0fde-4e7c-89a1-6424df8096a1","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Oct-24"
"93a99825-c020-46d1-8ccd-432593847fed","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA"
"84b4dba0-8c1e-4268-a965-0c79b9377390","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Jun-23"
"98c9c762-e3ac-4e50-894a-e9c02f950e5a","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Jul-23"
"f38d1e34-34fd-4575-be79-db87f8e97ec0","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Aug-23"
"de197640-58a2-41d5-be44-0c003157140b","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Sep-23"
"0e72dc6b-ea54-44eb-a86d-ca1e99821d0d","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Oct-23"
"7a6dc2dd-1b28-4581-9fcc-40ba7147e108","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Nov-23"
"72253991-91b5-4a41-a0b2-1e25831ea6d8","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Dec-23"
"440ac2a1-e3be-4349-8b56-49c3d75fa050","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Jan-24"
"d1187dfa-4634-437a-8490-8f651441f4a5","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Feb-24"
"fd475989-d684-4b28-8c79-b6431098d32f","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Mar-24"
"45d638e7-7605-43c6-b7ec-7469bea9b970","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Apr-24"
"8efddbb8-ced0-4048-b712-ee0c0e3380c1","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","May-24"
"f5b56665-4291-4c97-9370-18000d746d01","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Jun-24"
"e63035db-6757-46df-95ee-da69242238eb","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Jul-24"
"90aef485-625b-4878-ab16-9d0a108e8b58","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Aug-24"
"760c70cd-d350-4153-8d47-d38590629970","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Sep-24"
"e7cc1b89-70fd-4668-87bf-e25fb94f9531","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","TA/JSEA","Oct-24"
"ef56a7ee-ee99-4f67-9b42-f379c9f9f751","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Stand Down"
"1125683d-4d18-459a-8464-5b28ba5b037a","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Documents"
