"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"181b8919-19aa-4e2c-87e8-9332abe1a4e2","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"02072b7f-b057-51f1-9051-2c4e1238f55e","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Lot 1"
"78108b51-5698-554f-81f4-904582daafe7","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Lot 1","Earthworks"
"ba7e9415-dda6-54d5-9ed3-18b9e51e704b","","checklist-flat","pass","QA - Detailed Excavation -","checklist-flat","FALSE","FALSE","Site QA","Lot 1","Earthworks","Detailed Excavation"
"82a3aa81-8a8d-5708-8fdc-b5f559b70ae6","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Services Located"
"994fbd60-3bf3-5b2b-80bb-40ce86f21349","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Location accurate"
"214f7057-04e0-5f3b-b93c-83bbe3688e35","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Topsoil stripped completely"
"4cd86227-df7e-5c9f-8c63-3c866edadf7e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Building pads set out correctly with RLs as required for cut/fill"
"7de0d35b-e368-58d0-bfaa-10f004f2a48b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Correct cut back for walls/foundations"
"e1b202b1-d0f7-58f3-86e8-258d47d42e2c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Geotech Engineer Inspection"
"869be14f-c022-5d6f-8069-a3eadc69e020","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Detailed excavation completed, reviewed and approved"
"17b284cb-d3f2-5cac-8069-5f087ca7b7b1","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Lot 1","Stormwater"
"db890b43-3931-5358-8194-842c99749de5","","checklist-sectioned","pass","QA - Pipeline Installation Checklist","checklist","FALSE","FALSE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1"
"f293b2ef-a930-5ba4-be69-63184691052e","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1","Pipe Laying"
"4726a345-b2b5-5daf-9c57-2a9dd0dfa223","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1","Pipe Laying","Pipe Laying Completed"
"7f1b76a1-d709-5ae9-8e0d-4bd001812279","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1","Pipe Laying","CCTV Completed"
"e14b29af-f447-5de3-9524-673d19e4c99d","","checklist-sectioned","pass","9a2a9405598fb4c1164f518114d976e703ca2b2a9f4d972c544b81627b120834","checklist","FALSE","FALSE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1"
"9902a06f-20b1-5953-8aad-12e94cb32f2d","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install"
"189a0bdc-aca4-5bfc-9a7c-f8bab6190b7f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Latest consented drawings"
"b464c3b1-4ff8-5e92-add1-3a407475d6d9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Setout an manhole sizing checked"
"b97b4211-be17-5f09-abee-db60142add7a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Services Located and before you dig plans checked"
"ef4e04a8-48db-5b2b-ab37-4c5d7ce057a1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","MHS measured onsite. Prep height determined from Lid Level. "
"acabc5d9-80fc-51ff-9161-fe40f8f2b6c6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Benching/shield required if >1.5m"
"db190a06-6ca2-55bb-9cd2-0a94cbd9c877","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Ground conditions checked & acceptable"
"bcf0b172-b52e-5b99-9166-ab1f551ae503","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Bedding depth and material correct & compacted (Photo Required)"
"143dbb27-9d10-51b1-948c-2cccb2e20d11","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Cut in Manhole Shearbands ( Photos required)"
"282e1ec8-50e5-5918-b264-d4fb24cc5afa","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Manhole Risers epoxyed (if applicable Photo required)"
"c15e3af2-3fa9-5b22-83c3-fb6d2dab875f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Inside of starters epoxyed all the way around"
"589ddf5d-44a7-5a0c-835d-2eafb26334c0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Manhole benching completed and acceptable (Photo required)"
"424d0831-fb95-5d47-97a8-3ee24cadc5cd","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Concrete Lid Installed, Correct orientation and sealed"
"c363e0cb-e703-58ee-a234-d14c266d282d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Cast Iron Lid Raised and Installed at 90 degrees to steps"
"e9996c46-4ccb-56b2-8516-fd27c1199205","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Epoxy completed inside lid and "
"bd11b2dd-9f15-540a-b4f3-021a33eddfb2","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Stormwater lids to be spray painted blue"
"3fa873b7-3bc2-5af0-93e9-915b313b791e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Sewer manhole safety grille installed"
"2fc15848-7ee4-5ed4-aad2-58da9ead461c","","checklist-sectioned","pass","QA - Pipeline Installation Checklist","checklist","FALSE","FALSE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2"
"4d9c91df-cb23-54c0-a4dd-5de8695e30e7","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying"
"f08a5fd1-61d5-5dd5-9194-538d9cb3e5c3","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Latest consented drawings"
"1d0c9f34-6541-5184-b343-6d86c475d810","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Setout completed checked and accurate"
"a4e7b4fd-8908-5bd6-a51a-1acf209fed17","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Services Located and before you dig plans checked"
"727ebe1f-a8d6-5367-a200-d63414ee40be","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","All junctions marked out and run through with operator"
"f0964743-8b35-5e0f-b423-af85d9f34672","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Laser grade checked. Correct +/-. Benching required if >1.5m"
"6141e930-e50b-5c2c-bef9-da87060474ee","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Laser checked for line with string line"
"78c0d24f-ff84-5865-9880-a06412bd7ab4","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Correct trench width for pipe size"
"a2b584f7-2d16-5390-a919-edcc2029eef6","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Starter checked for fall. Starter epoxyed to seal from water."
"dcd2084c-8227-5d37-a65d-ea77058ce87b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Corbel installed with suitable bedding around pipe (Photo Required)"
"f1a8cf14-973c-581f-8439-acdaed209848","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Ground Conditions Checked & Acceptable"
"4e1be3b2-4082-5979-befe-2f286bff5940","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","General photos during pipe laying"
"823112b4-7ed3-5af9-a3b6-c01965663ddb","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Pipe Laying Completed"
"e4be81dc-e628-5221-9c54-39f74bb49359","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","CCTV Completed"
"9fae269b-13d0-5acd-8546-6d97e016241c","","checklist-sectioned","pass","9a2a9405598fb4c1164f518114d976e703ca2b2a9f4d972c544b81627b120834","checklist","FALSE","FALSE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2"
"3317725a-6952-5faa-8450-7c04ed7fec6c","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install"
"c0efb802-b56c-54bd-8f88-b75cdf5289e5","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Latest consented drawings"
"802595b9-1034-571f-9733-250d2c78ef54","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Setout an manhole sizing checked"
"22f1cd98-921d-54e2-8503-24282f6c1c7b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Services Located and before you dig plans checked"
"124aa895-f65b-5c0e-8689-649f830eafb2","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","MHS measured onsite. Prep height determined from Lid Level. "
"5b9185cc-4603-5fce-b749-b1e710abe730","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Benching/shield required if >1.5m"
"873e67fa-7cfb-50a0-863e-803eb3786d5e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Ground conditions checked & acceptable"
"5f1cdd76-083b-5bfe-aa45-d698b9d0da18","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Bedding depth and material correct & compacted (Photo Required)"
"e2ee23e2-1cc7-51fb-b74d-974aa5d07ee8","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Cut in Manhole Shearbands ( Photos required)"
"6cbe8ffa-d8d9-5bda-8207-b85e79b4c706","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Manhole Risers epoxyed (if applicable Photo required)"
"0148ddc9-0579-5467-9650-200482aeead6","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Inside of starters epoxyed all the way around"
"2d13163d-01fc-57c9-9459-2581dae36a30","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Manhole benching completed and acceptable (Photo required)"
"40f69dd5-91cd-5da5-8345-bf3dba82115d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Concrete Lid Installed, Correct orientation and sealed"
"eb779f4e-9cd8-58ab-8110-6dbe7d4d5142","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Cast Iron Lid Raised and Installed at 90 degrees to steps"
"63ada094-7e10-5f7c-a300-8bc8fc84f59f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Epoxy completed inside lid and "
"d85a2279-d3d1-5334-9b7a-6d66340bab64","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Stormwater lids to be spray painted blue"
"f97e0910-0211-537b-a232-92e033d93b9d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Sewer manhole safety grille installed"
"afa3ea1b-b338-5acc-8ad0-4b3d7e0d220b","","checklist-sectioned","pass","QA - Pipeline Installation Checklist","checklist","FALSE","FALSE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02"
"1efa56f5-3aed-5fb6-a967-917dd28bb692","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying"
"478a662d-351b-58bc-be31-6010c96d2b61","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Latest consented drawings"
"d02a9622-3337-59b9-8bf0-e3f1411dbd0d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Setout completed checked and accurate"
"48f79d99-d612-59ae-918d-79462a458dc0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Services Located and before you dig plans checked"
"a240ba39-82b9-51c5-8e63-cd5b8506d641","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","All junctions marked out and run through with operator"
"6b1c8f70-04c5-5b93-ad2d-10b8c77ecc69","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Laser grade checked. Correct +/-. Benching required if >1.5m"
"34d81b07-a23f-5236-afb7-3a7eec627aff","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Laser checked for line with string line"
"6c0a5eea-594d-5b01-aa09-7691a0af0d6c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Correct trench width for pipe size"
"db393497-0ddc-521b-bb48-460aebde7709","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Starter checked for fall. Starter epoxyed to seal from water."
"0fa0365f-563b-53b8-b9d4-4a532c1e8757","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Corbel installed with suitable bedding around pipe (Photo Required)"
"22f3c638-49bd-5dd5-b756-26bc2cbd87e0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Ground Conditions Checked & Acceptable"
"3f0c8e9b-72b6-5975-9dfb-774ad969149b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","General photos during pipe laying"
"caab4d2a-500e-571d-96ea-ad938d325b34","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Pipe Laying Completed"
"a86cbf79-a123-523d-b10d-8497fa50137a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","CCTV Completed"
"85bb5f5f-670a-552b-9d69-b3022aeff213","","checklist-sectioned","pass","832b8bf60ca418c16ed53db8182696d55c29e499133570613b915909ac9f0e21","checklist","FALSE","FALSE","Site QA","Lot 1","Stormwater","Cesspit Installation SWCP02"
"5c161343-983b-5806-b4ce-f2938e2ec466","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Lot 1","Stormwater","Cesspit Installation SWCP02","Cesspit Install"
"d532cb82-4ffd-5807-b605-b1e1c542e72e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Cesspit Installation SWCP02","Cesspit Install","Latest consented drawings"
"8b84687d-f03a-51f0-b086-127d04ce4773","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Cesspit Installation SWCP02","Cesspit Install","Services Located and before you dig plans checked"
"5e0b946f-3d3f-5a0f-98ee-afefb5aa8adf","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Cesspit Installation SWCP02","Cesspit Install","Cesspit correct distance off edge of driveway or kerb line "
"70b114e3-39ce-573f-9b58-079787ca6949","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Cesspit Installation SWCP02","Cesspit Install","MHS measured onsite. Prep height determined from Lid Level. "
"da0992bc-1c3b-507d-9f78-4f00db3aa0bf","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Cesspit Installation SWCP02","Cesspit Install","Ground conditions checked & acceptable"
"0d10f65c-c3af-5484-9fbe-f0ea4f6df668","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Cesspit Installation SWCP02","Cesspit Install","Bedding depth and material correct & compacted"
"6c84c98c-30d4-5834-a0fd-17f830e9dcd6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Cesspit Installation SWCP02","Cesspit Install","Half Siphon where required. (Photo required with bedding)"
"9a1025a5-6f5a-554a-b107-f5bf3ec6aa24","","checklist-sectioned","pass","ae811f95d58249a6eb6af96c38aa6c162e9406a48c70ffc1524ba5d048026683","checklist","FALSE","FALSE","Site QA","Lot 1","Stormwater","Stormwater Concrete Junction Lot 1"
"4e5360b7-9762-5d72-9664-0e9c1fc08dcc","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Lot 1","Stormwater","Stormwater Concrete Junction Lot 1","Stormwater Concrete Junction "
"e78a916e-dc1f-58d3-a288-a9f02f509325","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Stormwater Concrete Junction Lot 1","Stormwater Concrete Junction ","Correct sized junction"
"045f1a98-1feb-584b-8794-727e5631cfe8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Stormwater Concrete Junction Lot 1","Stormwater Concrete Junction ","Angle of Junction Between Spring level  and 60 degrees (Photo Required)"
"22f4d5fd-5b06-50da-800c-913cd981d1fb","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Stormwater Concrete Junction Lot 1","Stormwater Concrete Junction ","Expoxy inside and out"
"18eaeae4-606f-5389-8e67-a5632514ae1b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Stormwater Concrete Junction Lot 1","Stormwater Concrete Junction ","Shear band connection (Photo required)"
"2a250613-cbdf-526a-921a-b133dfdfeb19","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Stormwater Concrete Junction Lot 1","Stormwater Concrete Junction ","Junction Pegged and Sprayed Blue"
"42de7d92-4979-5974-af2b-75d2713e5137","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Stormwater Concrete Junction Lot 1","Stormwater Concrete Junction ","Inspection straight if connecting to private drainage (Photo Required)"
"03670437-c1ea-5daa-ad2b-63b8646c1b6f","","checklist-flat","pass","QA - Cap existing connection","checklist-flat","FALSE","FALSE","Site QA","Lot 1","Stormwater","Cap existing connection"
"5cf194b1-373a-5c0a-a37c-45dab140245c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Cap existing connection","Photo and location of capped connection"
"ab50b672-8c45-5ed8-8bf4-4916da45151a","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Lot 1","Sewer"
"1f5b09f9-3a9f-52de-bdc3-d5f3fa7aa888","","checklist-sectioned","pass","9a2a9405598fb4c1164f518114d976e703ca2b2a9f4d972c544b81627b120834","checklist","FALSE","FALSE","Site QA","Lot 1","Sewer","Drainage - Manhole Install New SSMH A/1"
"4a7b6209-e670-5ae5-b4a5-49e3b382337e","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Lot 1","Sewer","Drainage - Manhole Install New SSMH A/1","Manhole Install"
