Type,Id,Name,Values,Prompting Name,Resource Id,
note,cb1bc34d-d436-5e9f-996d-45ae1a43557c,Action Respon. - FM,,,,
date,3852298b-46e1-5efe-a801-5dd93d5e170c,Date:,,,,
signoff,,HOLD POINT,,,,
checkpoint,,Earthworks - Fill construction,,,,
note,4259831b-a4c0-5872-b984-9b6ca5b7812c,HP,,,,
note,0fac03b7-d96c-5d74-ac85-f22f7e9cf0e6,Applicable Standard / Reference - VR204.10 (b),,,,
note,b330cf3d-1dec-5075-8165-eee09679cc0e,Acceptance Criteria - The Contractor shall not commence placing of any fill on the prepared surface until the area has been reviewed by the Superintendent.,,,,
note,85decdfe-f2f1-5207-8ed3-f931cbd7564d,Frequency - Each Lot,,,,
note,def0fe93-9888-5829-b7b5-4aa244e67192,Verification Records - Visual,,,,
note,69b440f4-5166-5ca1-9a20-baefa74e92f6,Action Respon. - FM,,,,
date,d9041c30-3e59-5e51-bd04-2fc0ec220335,Date:,,,,
signoff,,HOLD POINT,,,,
checkpoint,,"Earthworks - Fill at Structures (wing walls, culverts >1200mm)",,,,
note,225636cc-0b5c-529a-877f-4b1f2b65bd4c,HP,,,,
note,4ba546b4-b94b-5c47-a358-35bde0466807,Applicable Standard / Reference - VR204.11 (b),,,,
note,77d9ed98-6684-5442-a79b-026912ef1e93,Acceptance Criteria - No fill shall be placed against or within 3m of a structure until the foundation for the fill has been reviewed by the Superintendent.,,,,
note,c8c69d23-d619-5649-abfa-7c5ea73fad3f,Frequency - Each Lot,,,,
note,2150abba-d67d-5c43-beb1-34537dcb6526,Verification Records - Visual,,,,
note,f3cc1f09-9cb0-501d-a774-3214b22163ae,Action Respon. - FM,,,,
date,a83c4dc3-2363-5d8c-9d6a-4083cfa6e664,Date:,,,,
signoff,,HOLD POINT,,,,
checkpoint,,Test Rolling,,,,
note,c8c6b663-a916-5986-a08a-1e08e6446cbe,"Applicable Standard / Reference - VR173.03, VR204.12",,,,
note,a00dad14-b8ac-5fa1-af21-10aa705ddbe9,Acceptance Criteria - Undertake test roll prior to placement of fill/or proceeding layer.,,,,
note,ac6ec417-83ad-5893-85c9-b7cdd9b20fa0,Frequency - Each Lot,,,,
note,0babd9ce-7f55-5a39-86af-2f70b34de880,Verification Records - Visual,,,,
note,25363048-20c5-5238-92fc-08057df2a17b,Action Respon. - FM,,,,
date,bb0033d2-55dc-50a1-b3ab-2652468a1890,Date:,,,,
checkpoint,,Compaction - Lot size,,,,
note,13deffdb-b71f-5af6-aa96-10306c70e45e,Applicable Standard / Reference - VR204.13,,,,
note,558533b1-2476-5e9d-87db-9616d94fc9b6,"Acceptance Criteria - Type C: 10,000m2 or one day's production, whichever is the lesser",,,,
note,2f5cbc15-0a3a-5a4f-afd5-0ea52bcb86b9,Frequency - Each Lot,,,,
note,7fa7b6d5-a4ec-5aa4-bf5d-f97a4a99fb6f,Verification Records - Records,,,,
note,3758410a-c562-52b9-9746-ef3d2156b85e,Action Respon. - PE/SE,,,,
date,c0030969-f54c-565b-a257-cfcf3d4625bc,Date:,,,,
checkpoint,,Compaction,,,,
note,5607f70a-6efc-537e-bcf9-85f9cd709236,"Applicable Standard / Reference - VR204.13 (b), VR204.14",,,,
note,1dda1615-fcef-5751-9643-d156c3f2d15e,Acceptance Criteria - Compaction,,,,
note,76aa9873-9378-5207-aa75-dd07f770681d,○ All Type C material should conform to 95% of a standard density,,,,
note,440991ff-9f3f-57f8-a3ab-f88b029c6d74,○ Max. particle size <100mm (visual inspection),,,,
note,ba390d5b-ba0e-582f-aaae-2d60dbc6c061,Frequency - 1 test per each 6 lots,,,,
note,30f38b23-6263-5a7e-b02c-a667193e68cd,Verification Records - Records/Visual,,,,
note,38516a2d-3e09-5e9d-b0ce-266823d02898,Action Respon. - FM,,,,
date,529966e8-7b84-5ba2-9df0-81003a71c726,Date:,,,,
checkpoint,,Other Contract Specific Requirements,,,,
textbox,817bc309-2c03-5b43-9b3b-bddcae5ba5db,Requirement(s):,,,,
date,74efc221-af12-5383-a44b-d2ea2f5e0f81,Date:,,,,
,,,,,,
checklist,,Drainage Pit,itp,Drainage Pit,,4f94952e-2787-426f-a0fb-e44ba97fe38c
section,,PRELIMINARIES,,,,
checkpoint,,Design Issued for Construction,,,,
checkpoint,,Drawings Issue for Construction,,,,
checkpoint,,Material Hold Points Released,,,,
checkpoint,,Survey Request,,,,
checkpoint,,Traffic Management Plan Approved,,,,
checkpoint,,Subcontractor/Provider approved?,,,,
checkpoint,,Kick-off meeting (Subcontractor),,,,
section,,CONSTRUCTION,,,,
checkpoint,,Safety; SWMS,,,,
note,2c069adf-4821-5a45-943c-91bd3f3da84c,W,,,,
note,e0152f14-13b9-5112-a471-0cac2614eedd,Applicable Standard / Reference - HSMP,,,,
note,5ce42bba-c891-52b7-889b-4bb0a50dd758,Acceptance Criteria - SMWS to be written for each activity on Project and shall be reviewed by a competent person.,,,,
number,27d4ed61-748a-504a-aa6f-d9b072f43468,Submitted to the client,,,days prior to commencement of Activity.,
note,61580692-5546-539e-9d23-81328021af21,Frequency - Each Activity,,,,
note,8642d739-1db3-5f8f-b9a9-9caba849ecf3,Verification Records - Records,,,,
note,11ea7f75-7cde-5983-982c-45d38574fde9,Action Respon. - PE/SE,,,,
date,51cd4805-d0f1-553e-8827-cf07aeaff7a1,Date:,,,,
checkpoint,,Environmental Controls,,,,
note,80551931-0635-541a-922f-4b51490b28c8,W,,,,
note,29202470-c8e1-579d-902a-55ba8ef651dc,Applicable Standard / Reference - EMP,,,,
note,2e1ae175-4480-5694-876f-88555b7dd770,Acceptance Criteria - No work shall commence unless all erosion/ Sediment controls are implemented in accordance with EMP.,,,,
note,7550f321-aed3-5ddb-aeee-25a7b7e4ec49,Frequency - Each Activity,,,,
note,17168461-2183-5fb1-b418-588f523ec57b,Verification Records - ECP,,,,
note,902e4ae2-ba5c-5e72-bc29-8149076bbc6a,Action Respon. - PE/SE,,,,
date,bd762d6a-fb97-5b0a-85c8-291d16ff6381,Date:,,,,
checkpoint,,Excavation Permit,,,,
note,307a07ee-5883-5b62-ba3a-70b1f70993bc,H,,,,
note,b5dfd2d3-aad4-5e4f-9339-09a0a67ba802,Applicable Standard / Reference - OHS,,,,
note,fbcb6396-9607-5a63-a05e-ad7923cd9fde,"Acceptance Criteria - DBYD information available on site, Excavation permit issued and spotter at location before commencement of excavation works",,,,
note,e74b651e-7685-52e7-a2ee-a9ca13725078,Frequency - Each Lot,,,,
note,acc9f7c8-4e27-5ac5-8904-0550424a717a,Verification Records - Records,,,,
note,4173bb78-72a2-5e85-ba3c-24d152c74f48,Action Respon. - PE/SE,,,,
date,f0a4b56e-dc66-5486-acf9-db65953fd434,Date:,,,,
signoff,,HOLD POINT,,,,
checkpoint,,"Manufacture Precast Documentation (QMP, ITPs,ITCs, Shop Drawings, Reports)",,,,
note,d127e527-1d31-50af-a192-83a6d58880d7,W,,,,
note,e4eee257-3704-5f5e-a337-be4b0f2349e0,Applicable Standard / Reference - ITP,,,,
note,aead8a78-6fc1-5124-974a-5e3c0f030d71,Acceptance Criteria -,,,,
note,36d8b662-5774-57dc-9b8d-2d825c655a3c,Frequency - For Each Manufacture,,,,
note,7ba32e22-64df-525b-86fe-f6216f6c6b61,Verification Records - Records,,,,
note,87095faa-ad8b-5fdb-8aa9-56e9a0f2f3f4,Action Respon. - PE/SE,,,,
date,c4316d42-694c-5d57-8925-58d2503b32dd,Date:,,,,
checkpoint,,Delivery Dockets,,,,
note,2ab792f9-a90a-5c7d-bc19-31dca2a22245,R,,,,
note,b2d3e8a2-edc9-5bfd-ad41-859c26b3ab94,Applicable Standard / Reference - ITP,,,,
note,d6f13cd5-e466-58c1-bf61-74ae3778495c,Acceptance Criteria - Delivery Docket for each Pit must be clearly identified and uploaded to the lot,,,,
note,5aff589b-0bba-5a0e-8d66-c4b3514424a2,Frequency - Each Pit,,,,
note,5a98f8fc-e48b-55dc-a3cd-fea25ab101ff,Verification Records - Delivery Docket,,,,
note,d4415b4f-58ca-5207-aa71-97584e3710fe,Action Respon. - PE/SE,,,,
date,60a7f091-073e-509b-a6d3-319913121f34,Date:,,,,
checkpoint,,"Unit Identification (Pit number, other)",,,,
note,7dab31a0-58bd-5563-bf2e-969013d3797f,S,,,,
note,3d718021-2b1a-51c3-9096-3092ef6151bf,Applicable Standard / Reference - ITP,,,,
note,bd81b91b-0d9a-5eee-b305-227f379b6b73,Acceptance Criteria - Pit Unit Identification must be visible after installation for further identification,,,,
note,66d611e9-1a5c-535b-9ae2-071508226db4,Frequency - Each Pit,,,,
note,fef79108-3e9b-55a2-9552-b1a334842d31,Verification Records - Picture,,,,
note,a0951f6e-e868-55f6-9d64-d60f848f3b8d,Action Respon. - PE/SE,,,,
date,ce3e3bcc-c3b5-536c-8f06-1c00e75c0e31,Date:,,,,
checkpoint,,Materials,,,,
note,da962fd8-e879-50fc-b0f0-664c061e3c47,W,,,,
note,9ce49f24-cf2a-5a82-9b81-d89dd16cc432,Applicable Standard / Reference - VR705.04 (c) & (d),,,,
note,24dfc8b2-8ab9-5aff-9248-16e84d34a552,Acceptance Criteria - Concrete - Shall be N32 standard strength grade?,,,,
note,52dc7ff4-71a0-53b1-8873-a19fe3a96da8,"○ Covers, Lids, Grates, Lintels as shown on drawings",,,,
note,56a9ffe2-d274-58ae-995d-cc07d7123853,○ Step Irons - Those manufactured from 13mm steel bar covered with polypropylene plastic must be approved by superintendent,,,,
note,f1aae10d-9079-5023-8aef-784b4084c34e,Frequency - Once,,,,
note,c3274c1e-a0b3-5386-83c9-a89aa3da0b40,Verification Records - Records,,,,
note,13d4a3ea-ce5d-5b2c-bfaa-5389f1adf6d7,Action Respon. - PE/SE,,,,
date,4a1c36dd-07eb-5167-a8e5-7c563d1c4eac,Date:,,,,
checkpoint,,Excavation - Precast Pits,,,,
note,c17fcd2a-b755-52f8-809d-28d30fe57a7f,I,,,,
note,123bd835-70ac-5fa0-811e-a7940011611e,Applicable Standard / Reference - VR705.05 (b),,,,
note,3c4c7a69-63f7-5f61-b312-e3ad1774efd3,Acceptance Criteria - Clearance from all external faces of the pit to each face of the excavation shall be not less than 400mm.,,,,
note,014dce96-92f5-5fe5-bf62-f9f926b24429,"○ Bedding shall be supplied, placed and compacted to a thickness not less than 80mm on a clay foundation or 150mm on a rock foundation.",,,,
note,d3fc06b1-e29d-56d7-be20-7d6a96f9ddb3,Frequency - Each Lot,,,,
note,d4c8f312-9a21-5134-870b-0e87d31fe43e,Verification Records - Visual / Pictures,,,,
note,7d82ca6f-a303-5d35-9bae-92baa3490494,Action Respon. - SE/FM,,,,
date,ebaa179e-e15b-5546-b5f5-fd816a0f9708,Date:,,,,
checkpoint,,Precast Pits,,,,
note,d9641a04-4e01-5bc3-918f-7ab7e3e56a41,I,,,,
note,960fc058-f56e-59cd-897c-cf800f40cba3,Applicable Standard / Reference - VR705.09,,,,
note,bdb71d8b-78cc-55b2-8e79-a01c84a162b2,Acceptance Criteria - Holes for subsurface drains should be 150mm unless specified otherwise.,,,,
note,ce817e3f-59e6-5762-90f1-141afaf82c0d,○ Weepholes of 50mm shall be provided in all precast pits (see spec for location),,,,
note,94ecf57a-277e-5331-8552-ebcc41360472,○ Segmented pits require a minimum 15mm rebate.,,,,
note,943a07ff-7cb5-5028-b6b4-9c2e4ccd61bd,Frequency - Each Lot,,,,
note,0d0b1935-7237-5dfa-b7cc-f9ac6f93a447,Verification Records - Visual / Pictures,,,,
note,209bb861-d467-51b6-bb0a-a62b1b867c82,Action Respon. - SE/FM,,,,
date,08b97539-f4a6-527f-a629-6a483c0db007,Date:,,,,
checkpoint,,Stormwater drainage connections,,,,
note,b56a471f-b01f-5e80-843c-155cb762d2b4,I,,,,
note,97adef71-02a2-58ff-ab2a-14763ed1db7e,Applicable Standard / Reference - VR705.1,,,,
note,672dd232-0204-5e6b-a302-74db46a09d9d,"Acceptance Criteria - All stormwater drainage connections to pits shall be neatly made, and where necessary the ends of all drains shall be trimmed off and finished with cement mortar.",,,,
note,d9cb8af3-e6b2-581a-be72-d03c673a2bca,Frequency - Each Lot,,,,
note,16545276-d7cc-5ed8-b814-d2c797d0a18d,Verification Records - Visual / Pictures,,,,
note,78bab2cb-9565-539c-b6f9-68aa7b809c2e,Action Respon. - SE/FM,,,,
date,d1b7e5c1-2383-57d0-9c3e-18fcd1e90b61,Date:,,,,
checkpoint,,Step Irons,,,,
note,a9c8323b-9999-56db-a8cd-1aeb5b744d06,S,,,,
note,2f905ae1-ab2f-5579-82ca-ce3b465407e6,Applicable Standard / Reference - VR705.11,,,,
note,c0c07bd6-7465-5445-b784-5ba519a5d70d,Acceptance Criteria - Pits greater than 1.0m deep shall be fitted with step irons. Step irons of an approved proprietary type shall be installed in accordance with the manufacturer's instructions.,,,,
note,5c06b7c4-6346-5616-9ee8-7f52e7a4672e,Frequency - Each Lot,,,,
note,3afef1fe-8453-5222-a173-90f12afbf1a7,Verification Records - Visual / Pictures,,,,
note,5067be92-5a16-56f8-90c9-4fe255220a92,Action Respon. - SE/FM,,,,
date,40a4ae72-dda1-563a-85f3-138414c25b80,Date:,,,,
checkpoint,,Shape of floor,,,,
note,ba6dac60-267a-5043-8496-7e4b2511624b,S,,,,
note,ec8e364a-9acb-52f1-9165-0d19deb778d0,Applicable Standard / Reference - VR705.12,,,,
note,54ac72cd-b7b3-5f4e-bd0a-de78f09111be,Acceptance Criteria - Pit floors shall be smoothly shaped from the inlet to the outlet for a height of 1/3 of the diameter of the outlet pipe.,,,,
note,a41a6b4a-2f64-55ec-a559-65c0a8d365c0,Frequency - Each Lot,,,,
note,7fc3780e-94e9-5cd3-9a2c-6791b56e2177,Verification Records - Visual / Pictures,,,,
note,8e03bee5-ee11-56f0-8c51-b701bc7206a0,Action Respon. - SE/FM,,,,
date,8f6c4360-bebb-537b-891e-8266b10f968e,Date:,,,,
checkpoint,,Fitting of Covers,,,,
note,98191ba8-4110-5056-9857-a3a91c5d2174,W,,,,
note,8fedd045-5a26-5c09-be4a-94efd7015b48,Applicable Standard / Reference - VR705.16,,,,
note,31d8660f-fae1-5568-aee1-1678a3f997d0,"Acceptance Criteria - Frames for pit covers shall be cast into the top of the pit or bedded on fresh mortar, 5mm thick, consisting of 2 parts sand : 1 part cement and sufficient water.",,,,
note,a2aefe78-ca18-5c43-bd1c-595dabcb5b17,"○ Level at every point of the perimeter shall be within 10mm of the design level for that point, and the line of the cover shall be within 10mm of the design kerb line.",,,,
note,b149d308-f6d1-5950-90e2-c112ba29fed9,Frequency - Each Lot,,,,
note,9b78c086-28f3-5cff-b891-85657a78ec59,Verification Records - Visual / Pictures,,,,
note,da898b63-004a-5b05-a224-c6a5e692844c,Action Respon. - SE/FM,,,,
date,7b25ce15-2272-56e7-aebe-2a35703bde25,Date:,,,,
checkpoint,,Backfilling,,,,
note,b61f7017-6266-5550-8d6b-a9440f979ac6,W,,,,
note,6b54ad02-c68b-537b-b571-dcdc5aa7254b,Applicable Standard / Reference - VR705.17,,,,
note,55be80bf-2fce-53f9-8595-4d8be631db14,Acceptance Criteria - Backfilling around pits shall be placed in layers not exceeding 300mm loose thickness and compacted to refusal using hand held mechanical equipment.,,,,
note,28709efc-0325-5aab-a0c5-319a5b65ac34,Frequency - Each Lot,,,,
note,2187e4ed-cdd7-5095-9504-e3b7f5765b37,"Verification Records - Visual / Pictures, Report",,,,
note,0cd24154-ca2d-59bb-b6a4-878da10573fe,Action Respon. - SE/FM,,,,
date,8bce5a67-6f71-5c4a-9a4f-f7f4f3bc38ab,Date:,,,,
checkpoint,,Other Contract Specific Requirements,,,,
textbox,fa20320f-8e26-5628-951e-44f6255c376e,Requirement(s):,,,,
note,cbff3bf2-7fdb-522f-955b-e735bf3cf1c8,S,,,,
note,818d4b31-fdf6-5270-af41-caab567066c1,Applicable Standard / Reference - ITP,,,,
date,7ff5d18d-fc55-583b-83e3-b3544ca74a6b,Date:,,,,
,,,,,,
checklist,,Capping Layer,itp,Capping Layer,,7ad43959-9c63-4b3a-bdb5-018fc6a16cb5
section,,PRELIMINARIES,,,,
checkpoint,,Design Issued for Construction,,,,
checkpoint,,Drawings Issue for Construction,,,,
checkpoint,,Material Hold Points Released,,,,
checkpoint,,Survey Request,,,,
checkpoint,,Traffic Management Plan Approved,,,,
checkpoint,,Subcontractor/Provider approved?,,,,
checkpoint,,Kick-off meeting (Subcontractor),,,,
section,,CONSTRUCTION,,,,
checkpoint,,Safety; SWMS,,,,
note,c62862b3-1f36-5ef1-add1-cf2544cec851,Applicable Standard / Reference - HSMP,,,,
note,4e0bc24b-1300-5f57-af40-b745e0e6ee13,Acceptance Criteria - SMWS to be written for each activity on Project and shall be reviewed by a competent person.,,,,
number,c27e5cde-5fc6-564f-94b8-daefeff53899,Submitted to the client,,,days prior to commencement of Activity.,
note,e6e01b90-ce99-51b1-b0bd-2cbb9f378c0f,Frequency - Each Activity,,,,
note,b73bbe78-1bbe-57f3-a214-832293e238e5,Verification Records - Records,,,,
note,1c6bba55-8e2e-5f4b-8c92-25c6ac69d6f8,Action Respon. - PE/SE,,,,
date,fe49a528-2403-55c0-94c9-4e12760905a1,Date:,,,,
checkpoint,,Environmental Controls,,,,
note,a56faac8-3feb-5f2c-aa25-d483555479e5,Applicable Standard / Reference - EMP,,,,
note,d3727f5b-f621-5d8d-82ff-cd5f03bba0cf,Acceptance Criteria - No work shall commence unless all erosion/ Sediment controls are implemented in accordance with EMP.,,,,
note,b43042e1-ba6f-5708-852b-948ccb096e44,Frequency - Each Activity,,,,
note,c3c25744-b64a-56be-a54a-18c34e579d70,Verification Records - ECP,,,,
note,4b44a1d8-d134-50e7-8280-5175f3a8c6c0,Action Respon. - PE/SE,,,,
date,c2686678-b780-5b75-81d1-2719347f3261,Date:,,,,
checkpoint,,Excavation Permit,,,,
note,bf66d4d1-9909-5b39-9b9b-642d528a8e85,Applicable Standard / Reference - OHS,,,,
note,90992dc8-e534-5d61-b249-fa373eb69873,"Acceptance Criteria - DBYD information available on site, Excavation permit issued and spotter at location befotre commencement of excavation works",,,,
note,2d647c50-8ee8-587f-9e12-bb6be6f5754b,Frequency - Each Lot,,,,
note,e09324e0-0fb2-5973-bd3e-122f8f6b8554,Verification Records - Records,,,,
note,d2c7dc1a-a673-537b-acdd-76500bdc6a4d,Action Respon. - PE/SE,,,,
date,5c6861d8-554f-5bd9-8405-a104199f934c,Date:,,,,
checkpoint,,Survey Control,,,,
note,73a9bb70-3623-57b7-a2af-a27271dc290c,"Applicable Standard / Reference - VR204.03 (a), (b, c)",,,,
note,fc7449c5-b9b8-551e-acd0-2c0b7787bec9,"Acceptance Criteria - All Earthworks shall be finished to conform to the levels, lines, grades and cross sections showed in the plans.",,,,
date,24ff4f98-f6ef-5c48-80ca-bbb6441e47b4,Machine GPS File Date,,,,
note,af35b6f8-cfe3-5a09-9a35-ce80e5f621ef,Frequency - Each Lot,,,,
note,402f9480-32bf-5d65-8ce3-da798134cbd2,Verification Records - Setout,,,,
note,cd29d0b4-79b4-5d7f-a0ac-aa57fbf3e13c,Action Respon. - Surveyor,,,,
date,cc3c3a1b-f748-5162-85b1-6ca0b48dce9c,Date:,,,,
checkpoint,,Material - Type A,,,,
note,a79b90f2-c071-5bb2-a959-abe8caee0925,HP,,,,
note,690e890e-e3e5-518c-8744-b2054f743ad6,Applicable Standard / Reference - VR204.04 (b),,,,
note,6a55ce6e-61b3-5032-a953-d4de8255ad3a,"Acceptance Criteria - Material classified as silt, either before or after compaction, is not acceptable as Type A material unless otherwise approved by the Superintendent.",,,,
note,6a8be750-cfba-50f1-86f8-fb0f7f9fe789,Frequency - Each Lot,,,,
note,d76624a2-969e-5757-a2ce-cd344928894f,Verification Records - Visual,,,,
note,d1571b81-ff8d-53c4-bd90-05cf9bd735d3,Action Respon. - SE,,,,
date,090e281a-ceb4-5408-9684-3b3c6ba9a9a3,Date:,,,,
signoff,,HOLD POINT,,,,
checkpoint,,Site excavation - Cut Floor Level,,,,
note,0b73d8d7-4348-551d-b93c-18801e9ff64f,Applicable Standard / Reference - VR204.03 (f),,,,
note,b33b9f4f-9144-52b4-b529-57aed06cdd6e,Acceptance Criteria - The level at any point on the surface of the Cut Floor Level immediately below capping and/or selected material shall not differ by more than 15 mm above or 30 mm below the specified level.,,,,
note,24fdefc6-c964-57aa-bd26-ccc6e96209a7,Frequency - Each Lot,,,,
note,ec98e6c6-663b-56e5-80f7-5e43cc0bf33c,Verification Records - Visual,,,,
note,b8bfe0bc-db3e-598c-9a19-90e043f1be2b,Action Respon. - SE,,,,
date,eb77d84d-4d39-589d-9027-082f6868fd60,Date:,,,,
checkpoint,,Site excavation - material category,,,,
note,89416277-5964-5307-ae05-9e0975f6bd00,HP,,,,
note,df06c80a-ef30-564f-9249-b09272d02c13,Applicable Standard / Reference - VR204.06 (c),,,,
note,fc6c6a1b-fa7b-55c3-b6b2-540aa3011eac,"Acceptance Criteria - Prior to commencing excavation in any area and during excavation work, the Superintendent and the Contractor shall inspect each type of material encountered and subject to verification by appropriate laboratory testing, agree on the category of the material in accordance with Clause 204.04.",,,,
note,2d8882fb-37be-5178-9d2b-fef0c3a9f439,Frequency - Each Lot,,,,
note,faf69779-f9f4-549a-843f-8664c6016e78,Verification Records - Visual,,,,
note,41be4cb6-08c3-558f-b218-6079dd5c1205,Action Respon. - SE,,,,
date,0b1aeeb2-d901-5d67-ac39-955573e58287,Date:,,,,
signoff,,HOLD POINT,,,,
checkpoint,,Earthworks - treatment of cutting at cut floor level,,,,
