type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
section,Testing,,,,,,,,,,,,,
checkpoint,4.1 Track testing,,,,,,,,,,,,,
label,FREQUENCY: Each weld,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: All welds shall be tested by qualified NDT operator.,,,,,,,,,,,,,
label,• Failed welds shall be cut out and replaced,,,,,,,,,,,,,
label,• Testing documentation shall be recorded and supplied to the superintendent,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 Appendix C ,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Inspection / Test Method,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,TP,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer/NDT,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,,,,,
label,The signature below verifies that this ITP has been completed in accordance with the FH’s Quality system Procedures and verifies lot compliance with specifications.,,,,,,,,,,,,,
text,Print Name:,,,,,,,,,,,,,
text,Position:,,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,,
