"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1ec5c7fe-b96c-4913-a49c-d82a0f8627f0","","fail","","folder","TRUE","FALSE","Building A"
"eed51ddb-790c-4f47-af59-6dc396547425","","work-in-progress","","folder","TRUE","FALSE","Building A","Level 1"
"8a8099d2-3aa7-4d15-9a48-8f4ab1579676","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.056 - Waiting Room "
"67daeb16-cdb4-486c-a515-ae4eda81abc1","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.060 - Consult Room"
"a42fa6ba-6d0f-46e7-b237-9274b9824187","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.071 - Consult Room"
"ce8f9747-eba9-45ad-b9be-53af8f9e8e59","","fail","","folder","TRUE","FALSE","Building A","Level 2"
"52a514d4-8b94-4ffb-aa50-aeec64e95ed5","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.001 - Travel"
"5f1dc359-e27b-4bf3-8af1-f49e6a3f5669","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.005 - Multifunction Entrance Lobby"
"7f16a076-96ac-4e55-a158-aa6cba1e7b4c","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.006 - Meeting Room - Large"
"b00b95e2-2e1f-431c-b3a2-ca7d7805f4e3","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.020 - Collaboration Booths, 6 Person"
"dfbe6604-14d6-40ff-ab44-c00e9256ffa2","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.021 - Office - Single Person AV"
"190babba-fce8-4623-ad8c-1019139e0b21","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.022 - Collaboration Booths, 6 Person"
"a264f0eb-e254-4f20-a608-8aa886ea4c5f","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.023 - Meeting Room, Small"
"c144494a-5b44-461c-8a02-c210f4988335","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.024 - Meeting Room, Small"
"d4b346f7-c62e-40dd-a527-39ec8e918561","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.025 - Collaboration Room"
"6643ee6d-0481-4be3-b3d2-3def827de710","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.028 - Tutorial Room"
"171c71ef-e163-4f77-83ab-3b99ed633ea5","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.029 - Tutorial Room"
"9f79057a-385f-4c08-97c2-c7e0a99008ed","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.030 - IT Study Corals Room, 35 person"
"2b07b35e-9cbf-430b-af97-738a7b211273","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.044 - New Simulation Lab"
"0318c7c1-28b3-4e8a-b33b-bd4478a979d0","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.046 - Auditorium / Lecture Hall"
"041c6edb-883b-4093-b4b1-9f8ecf85a0bf","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.071 - Multipurpose Simulation Laboratory"
"3b9a6810-28d6-4351-a124-9ae7d8d7923e","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.072 - Observation / Control Room"
"b9442ce2-233a-447f-905a-6ea91c498c87","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.073 - Surgical Simulation Laboratory"
"dcb56537-cb86-48da-b98d-2132c93b38ae","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.073 - Surgical Simulation Laboratory"
"3847e1ad-3c42-4cfd-9989-be0c14b499a2","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.074 - Observation / Control Room"
"71372a3f-63a6-48d6-8d2f-7b747bc8b7fd","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.078 - Debrief Room"
"e8b028e9-97b2-412a-b42a-0634212573b8","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.079 - Observation / Control Room"
"24ce2026-44e4-4af3-bd97-5cfd1c6e7214","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.080 - Clinical Training Laboratory, 2 Bed, & Ensuite"
"52b5f59c-6fb4-45d5-b7a3-9e044c5c49f7","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.082 - Meeting Room - Large"
"12d4aa86-7148-4903-a466-32694d24c334","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.083 - Seminar Room - 25P"
"2e407706-0f58-4fab-896a-2b105865d09a","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.084 - Seminar Room - 25P"
"226ad194-68a6-429a-b603-7a8833e1611d","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.097 - Collaboration Booths, 6 Person"
"c671bb67-6a12-4670-adf9-91f061ae4280","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.100 - Collaboration Booths, 6 Person"
"366b32d4-bdda-4238-9829-490338c9ee9e","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.102 - Virtual Reality Room"
"ed261ec9-93b1-4739-b113-956f541ba2d8","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.103 - Virtual Reality Room"
"09f7faff-789b-4751-af4b-f4541cb925d9","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.105 - Waiting"
"7214772b-bac8-40d5-aa30-ae69c04cbcb5","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.106 - Reception / Clerical"
"09ca98c1-736f-4879-9a00-2ad753df0fc6","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.123 - Staff Room"
"62389515-8440-4b9b-8d9a-51b8520804f8","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.129 - Meeting Room - Large"
"5eab406e-ae58-4902-a171-90cb161c1c07","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.218 - Office - Clinical Workroom"
"ffe3299a-dd73-4b49-aafb-5b6df3fb69dc","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.248 - Lounge & Kitchenette"
"80c4d630-be7c-41b0-bfcc-c4313f4d8104","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.250 - Interview Room"
"66600e14-f82c-431f-b822-7288d11f4cc1","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.251 - Meeting Room - Large"
"ba1039fe-44ae-4d40-a8cc-c62440074a94","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.252 - Meeting Room - Large"
"b86cfeca-3bd6-44d1-b884-bc9def98cb36","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.253 - Interview Room"
"aa45bb7a-f385-4536-b49d-3524fee12936","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.254 - Meeting Room, Medium"
"fb7b77dd-1f21-4763-98df-b02627a42e45","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.256 - Meeting Room, Medium"
"a4a3df91-8e7d-4a57-b2a7-c7c7d2012f6a","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.258 - Meeting Room, Medium"
"dfecef10-c8fa-4f90-b0aa-130f5e15011d","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.328 - AV Room"
"be70d5d6-a85e-4b4d-9754-5b78ff9f9d25","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.332 - Meeting Room - Large"
"4e03edea-47fe-48ff-98d1-366f1083b64b","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.333 - Meeting Room - Large"
"cc223f85-8612-472a-aefb-12e73bfa827f","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.334 - Meeting Room, Medium"
"d0fd07a5-9833-434c-bc02-7fa328edd0ce","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 2","02.A.335 - Meeting Room - Large"
"3d716075-742e-4083-8102-412dc0428eba","","fail","","folder","TRUE","FALSE","Building A","Level 3"
"49218b0f-f2ec-4631-b1b4-42dc9b4d080b","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.001 - Meeting / Education Room"
"36a889b1-8089-4085-aafb-7e4cc2943f69","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.003 - Collab Room"
"e6d921fa-381b-4cb7-af4d-4087b559e301","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.005 - Staff Room"
"b1878c39-ff08-490f-944a-bcb088b89585","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.039 - Assessment / Activities - Patient"
"d2c546df-46f7-42ca-8ad7-402731e9437d","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.054 - Lounge - Patient / Family"
"1325d939-dc45-407b-bf2d-65e9415dd8f0","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.106 - Office - Clinical Workroom"
"6d957e70-7e0a-4c3a-bda5-f75c0a47ecfe","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.114 - Office - Clinical Workroom"
"3cdf87fe-2fa6-436c-89d8-e5e084f7df99","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.114 - Office - Clinical Workroom"
"3098774f-081f-4112-a3b4-3dc10128289e","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.116 - Interview Room"
"01d95fbe-9cbc-407f-8824-2499fd970e72","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.118 - Family Meeting / Education Room"
"af05c7b0-e960-4d77-a41b-f7b2df79cb80","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.119 - Multipurpose Therapy room, large"
"deb02ffc-db0b-4cbd-9afb-ba94f2b1571c","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.124 - Independent Living Unit"
"62600125-8ff0-48df-bbba-4fc1bced5cdf","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.125 - ADL Kitchen"
"fa39b42d-120e-4045-b376-cccb416c5d15","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.153 - Assessment / Activities - Patient"
"77410c0d-20e3-4467-8050-71fb5fa9a3d3","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.168 - Lounge - Patient / Family"
"60c1c76a-089c-418f-bbf2-4f8150b710f0","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.209 - Office - Clinical Workroom"
"7466c705-37bc-43cb-858f-cd71938d0d9d","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.245 - Office - Clinical Workroom"
"caf25283-26bd-41e8-9124-25504b9a4e09","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 3","03.A.264 - KH"
"687bdbf7-49bc-487d-a5be-b24710eb5fd5","","fail","","folder","TRUE","FALSE","Building A","Level 4"
"ee4702ff-8b0a-41c0-aafc-5bbcd615cb72","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 4","04.A.029 - Assessment / Activities - Patient"
"614cfcac-bff0-416f-a576-1e9830c203a7","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 4","04.A.097 - Office - Clinical Workroom"
"f811c767-1c07-448f-94c4-f22f9a5f525f","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 4","04.A.107 - Office - Clinical Workroom"
"ddded5c7-cfbb-4e6a-96bb-94cebafda8b3","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 4","04.A.114 - Meeting Room, Medium (Family)"
"9fa87002-d053-4771-a325-f1022915127a","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 4","04.A.115 - Family Lounge"
"2b1aea1b-b9ff-492f-9660-572a4e2338ce","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 4","04.A.117 - Interview Room"
"0223f4d9-4c6f-4a8d-b29a-30ed68ea4ed6","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 4","04.A.120 - Collaboration Room"
"ad50f162-1258-4e7b-8137-9f5c2a7f907a","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 4","04.A.123 - Staff Room"
"fdf2fe41-ddd1-4268-bdd8-7917133a9286","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 4","04.A.127 - Travel"
"cc20ec58-0f0e-4870-93a4-dc1d4cee2bb8","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 4","04.A.142 - Lounge - Patient / Family"
"6390fd6f-8b82-4863-9cc1-cb9d45dcf341","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 4","04.A.143 - Meeting / Education Room"
"8b05c186-b257-4764-8b3c-3655ca4d65cf","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 4","04.A.152 - Meeting room"
"c1553bb7-31c1-4e6b-bc2d-700bb58fcb13","","fail","","folder","TRUE","FALSE","Building A","Ground Floor"
"a8fc52c5-7e60-47da-abcc-08cc4080db56","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.002 - Waiting"
"2d5a3a2a-a92a-48a6-b841-6d56f4fce4f7","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.010 - Welcome Desk - Volunteers"
"6e053513-b125-41a9-8ed5-cdb2ca64e92a","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.011 - Reception / Clerical"
"4cce4603-ca8d-447e-bab0-18992f72c13d","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.015 - Airlock"
"d22a573f-600a-4a97-ae16-79310ed09e00","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.041 - Lounge - Patient / Family"
"b5c83d67-f282-4c1e-a28d-82e04474e250","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.044 - Interview Room"
"cea7fd62-d027-4f5c-aaa8-18cd1b8059f6","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.049 - Education Room"
"c90daaeb-4d1a-41cb-89a4-e53301123ebf","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.051 - Interview Room"
"a592818e-4b4d-4465-a3ef-94cf2fd9d677","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.056 - Lounge - Patient / Family"
"d49de720-4008-461c-be6a-d913943f63b1","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.068 - Waiting - Sub"
"4ede2bd6-6d88-41ed-b51f-cbf12059eac7","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.068 - Waiting - Sub"
"b6b6cab7-e1ad-4114-9b08-4cdf58377b26","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.070 - Reception / Clerical"
"b0bc2f53-7f92-4d2d-8cd1-66ad48a55f00","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.073 - Reception / Clerical"
"21e0c1c4-bd9d-4b07-b7b0-1aac5af3e014","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.075 - Waiting - Sub"
"126d0081-183c-48f6-adda-e000c3cdbd05","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.090 - Collaboration Room"
"131745ce-ad8c-4ba0-8119-df333074ee0d","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.096 - Collaboration Room"
"7c562189-6a91-4f79-8895-8c26db27f643","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Ground Floor","GF.A.500 - Courtyard"
"4bf55404-56ca-452c-8599-5dc79dd14339","","fail","","folder","TRUE","FALSE","Building A","Lower Ground"
"3eecfd27-d3dd-43e7-95c4-5c1d164b6dda","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Lower Ground","LG.A.013 - Staff Room"
"f3e5c7b9-a028-4022-bd5d-9002675e642f","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Lower Ground","LG.A.016 - Staff Room"
"283c66cd-9922-4555-ae30-359610f5c3e3","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Lower Ground","LG.A.037 - Meeting Room, Medium"
"c8484915-eaa8-4e46-9986-b2bb67361aaa","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Lower Ground","LG.A.038 - Meeting / Education Room"
"784b2bbe-a4b4-4fad-9268-c9420cfbe472","","fail","","folder","TRUE","FALSE","Building B"
"0b444d8f-b33c-44f5-8f44-ef74744d1b76","","fail","","folder","TRUE","FALSE","Building B","Level 1"
"90e456b0-7452-4d19-8884-c06cfcbd4854","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.002 - DS"
"bca2d4fa-33f4-4fd0-b6ce-831b106a55ee","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.002 – Digital Signage"
"72a124e9-a905-4229-a261-458a39d35b2c","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.004 - KH"
"c14b3ebe-9cdd-40c0-8169-b0d00f339d1e","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.018 - Lounge - Consumer / Family, Privacy Separation"
"aee1839a-3a4d-44e2-b6f8-ce47298e652e","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.021 – KH"
"39a109da-13bd-4ec6-b47a-d02858b87ac4","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.024 - Staff Station"
"c9946549-1cc7-4bd3-917a-ba5acbff3997","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.030 - Lounge - Consumer / Family, Privacy Separation"
"ff27d94c-fe82-456c-8f34-12f2dd50085a","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.070 - Office - Clinical Workroom"
"adaf007c-a8f5-43d0-bc33-97d82a2565bf","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.071 - Multipurpose Activities Room"
"a6928159-f775-4b0c-88fc-c97f3c3a66cc","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.072 - Meeting Room, Medium"
"3303fca1-8a62-47f2-9d82-dbd99784c0e8","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.072 - Meeting Room, Medium"
"3658088d-50e6-4c8c-8e16-baf12e9c77a6","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.077 - Staff Room"
"16004914-1389-4912-b6cb-39ecb250f034","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.083 - Quiet Room"
"8ef08e33-9cf3-4e60-a2ff-c839209a1ed2","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.104 - Multi-Disciplinary Training room"
"1609bff2-9d42-4cd8-a33b-e2850d81abce","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.155 - Staff Room"
"03df9c06-89c5-4fc8-990b-553d7a0feb63","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.209 - Pharmacy Counter"
"0289a1e5-a917-4395-bea1-88bec1c394bf","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.269 - Bay - Store (Outpatient)"
"fa720829-43de-4926-b36f-a93034f043bb","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.271 - Meeting Room - Large"
"5d6103f4-d0f1-4c40-a09e-ac923bc7a045","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.335 - Meeting Room, Medium"
"6882fded-4b52-4edb-baaa-b0f74269132b","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.338 - Office - Clinical Workroom"
"ef7383b9-6560-4da8-b9aa-c655954b333b","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.342 - Meeting Room, Small"
"b3c24f0a-9f5c-4d5b-8dd5-d4e4bd2bf7a1","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.402 - Staff Room"
"a5721c6e-541e-4c63-9e6e-df8cac312003","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.414 - Meeting Room, Small"
"033e5f57-3c33-4d17-879b-ab9ac8eb4e58","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.416 - Meeting Room, Medium"
