"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1e131c81-4472-4310-a523-a508d965cd3c","","folder-normal","pass","","step","TRUE","FALSE","Stage 1"
"fae69bb7-4c72-42e6-b281-5f1cf16c7857","","folder-normal","pass","","step","TRUE","FALSE","Stage 1","51"
"604f812b-ebf1-427e-8ecd-6f2659fc756d","","folder-normal","pass","","step","TRUE","FALSE","Stage 1","51","Ground"
"5a17034f-d6f2-4159-8a58-c62ed7e669fb","","checklist-flat","pass","Residential Suite","checklist-flat","FALSE","FALSE","Stage 1","51","Ground","W01h-51"
"7185f226-a0ee-5b4a-b2ea-10dbcc47e083","","checkpoint-status","pass","Residential Suite:e1c5c805-307e-46e1-b63c-3445aadd0d61","","TRUE","TRUE","Stage 1","51","Ground","W03h-51","Airseals Completed"
"f4792ad9-699b-586a-a4bc-870db7880e8b","","checkpoint-status","pass","Residential Suite:b754cab3-9fe2-44aa-a388-33a0694689b2","","TRUE","TRUE","Stage 1","51","Ground","W03h-51","Site Glazing Completed - Viridian Glass"
"0177833f-93b1-57a1-952b-737a4d348798","","checkpoint-status","pass","Residential Suite:b59821e0-248d-499f-b75f-f28c16c2b445","","TRUE","TRUE","Stage 1","51","Ground","W03h-51","Trade Clean"
"6b23e788-c9e1-502a-b828-7dbdc63a939b","","checkpoint-status","pass","Residential Suite:2a2a1b30-f501-428f-bd20-95c03ccfd883","","TRUE","TRUE","Stage 1","51","Ground","W03h-51","Wights - Sign Off"
"5636d3a9-b8cb-44fc-b96a-e70f4ea681cc","","checklist-flat","pass","Residential Suite","checklist-flat","FALSE","FALSE","Stage 1","51","Ground","W18-51"
"20465033-3616-5d0f-a6c6-1c1555958c8a","","checkpoint-status","pass","Residential Suite:36b39726-5dbb-4555-a4e7-d9e9a328bc77","","TRUE","TRUE","Stage 1","51","Ground","W18-51","Opening Wrapped & Prepared Correctly"
"c7f60ce8-922d-543f-9c16-b5085e191fa0","","checkpoint-status","not-applicable","Residential Suite:a1dd8f97-d392-4a0e-b03f-cb88d29ff49c","","TRUE","TRUE","Stage 1","51","Ground","W18-51","Weather Seals As Per Shop Drawing (provide photo reference)"
"84575fe5-0e19-581e-8e35-442c3357952d","","checkpoint-status","pass","Residential Suite:a11d5101-7888-4e47-9417-bc68307ebcfd","","TRUE","TRUE","Stage 1","51","Ground","W18-51","Installed / Fixed As Per Shop Drawings"
"03273963-b779-5de4-955a-106a76369228","","checkpoint-status","pass","Residential Suite:e1c5c805-307e-46e1-b63c-3445aadd0d61","","TRUE","TRUE","Stage 1","51","Ground","W18-51","Airseals Completed"
"385665d7-2d9f-532f-b8fe-3226fd6f0e3a","","checkpoint-status","pass","Residential Suite:b754cab3-9fe2-44aa-a388-33a0694689b2","","TRUE","TRUE","Stage 1","51","Ground","W18-51","Site Glazing Completed - Viridian Glass"
"01a1a753-a35a-5a86-842e-cfb10d93293a","","checkpoint-status","pass","Residential Suite:b59821e0-248d-499f-b75f-f28c16c2b445","","TRUE","TRUE","Stage 1","51","Ground","W18-51","Trade Clean"
"15a7e1cb-235d-53ba-a5c6-6262a955dcef","","checkpoint-status","pass","Residential Suite:2a2a1b30-f501-428f-bd20-95c03ccfd883","","TRUE","TRUE","Stage 1","51","Ground","W18-51","Wights - Sign Off"
"ec446237-1563-494d-ad99-99fc0c12e392","","folder-normal","pass","","step","TRUE","FALSE","Stage 1","51","1"
"6084d21a-23e8-471d-833e-ec6925a69a98","","checklist-flat","pass","Residential Suite","checklist-flat","FALSE","FALSE","Stage 1","51","1","W05-51"
"3d4ff332-7f4a-54c8-ad49-09fe4ce7291a","","checkpoint-status","pass","Residential Suite:36b39726-5dbb-4555-a4e7-d9e9a328bc77","","TRUE","TRUE","Stage 1","51","1","W05-51","Opening Wrapped & Prepared Correctly"
"99503fb5-305d-5b92-b1af-48ae7482ee8c","","checkpoint-status","not-applicable","Residential Suite:a1dd8f97-d392-4a0e-b03f-cb88d29ff49c","","TRUE","TRUE","Stage 1","51","1","W05-51","Weather Seals As Per Shop Drawing (provide photo reference)"
"13bd9029-57b5-50ac-8bc3-bd79754ae68d","","checkpoint-status","pass","Residential Suite:a11d5101-7888-4e47-9417-bc68307ebcfd","","TRUE","TRUE","Stage 1","51","1","W05-51","Installed / Fixed As Per Shop Drawings"
"46e6d46e-f0b2-57f6-b23f-617c5d2762c8","","checkpoint-status","pass","Residential Suite:e1c5c805-307e-46e1-b63c-3445aadd0d61","","TRUE","TRUE","Stage 1","51","1","W05-51","Airseals Completed"
"1fddd38b-26c8-5f0c-a7e1-3960cb878980","","checkpoint-status","pass","Residential Suite:b754cab3-9fe2-44aa-a388-33a0694689b2","","TRUE","TRUE","Stage 1","51","1","W05-51","Site Glazing Completed - Viridian Glass"
"c04d06d7-20fe-543e-b34d-b254e0a9d27d","","checkpoint-status","pass","Residential Suite:b59821e0-248d-499f-b75f-f28c16c2b445","","TRUE","TRUE","Stage 1","51","1","W05-51","Trade Clean"
"7162c051-df37-5182-8143-85739b251992","","checkpoint-status","pass","Residential Suite:2a2a1b30-f501-428f-bd20-95c03ccfd883","","TRUE","TRUE","Stage 1","51","1","W05-51","Wights - Sign Off"
"60b06391-56c5-4d08-bc38-914bd1750b91","","checklist-flat","pass","Residential Suite","checklist-flat","FALSE","FALSE","Stage 1","51","1","W07-51"
"50378881-1b3b-50be-b71d-c4841253c882","","checkpoint-status","pass","Residential Suite:36b39726-5dbb-4555-a4e7-d9e9a328bc77","","TRUE","TRUE","Stage 1","51","1","W07-51","Opening Wrapped & Prepared Correctly"
"411d38c0-8972-5376-ae2e-82973022de72","","checkpoint-status","not-applicable","Residential Suite:a1dd8f97-d392-4a0e-b03f-cb88d29ff49c","","TRUE","TRUE","Stage 1","51","1","W07-51","Weather Seals As Per Shop Drawing (provide photo reference)"
"60bb8f40-9111-5bf7-9c49-3f0992706c6c","","checkpoint-status","pass","Residential Suite:a11d5101-7888-4e47-9417-bc68307ebcfd","","TRUE","TRUE","Stage 1","51","1","W07-51","Installed / Fixed As Per Shop Drawings"
"423a52ef-1486-592a-bf66-9432578e9680","","checkpoint-status","pass","Residential Suite:e1c5c805-307e-46e1-b63c-3445aadd0d61","","TRUE","TRUE","Stage 1","51","1","W07-51","Airseals Completed"
"bf1be9ad-c59b-53ba-8da1-8a3036147a99","","checkpoint-status","pass","Residential Suite:b754cab3-9fe2-44aa-a388-33a0694689b2","","TRUE","TRUE","Stage 1","51","1","W07-51","Site Glazing Completed - Viridian Glass"
"cfc771be-21d0-5413-88ec-57dd0cab180c","","checkpoint-status","pass","Residential Suite:b59821e0-248d-499f-b75f-f28c16c2b445","","TRUE","TRUE","Stage 1","51","1","W07-51","Trade Clean"
"624006d5-6b16-5b1f-a5a6-48441cb8b694","","checkpoint-status","pass","Residential Suite:2a2a1b30-f501-428f-bd20-95c03ccfd883","","TRUE","TRUE","Stage 1","51","1","W07-51","Wights - Sign Off"
"d681ba86-70a5-4746-be64-b75d0f4acd09","","checklist-flat","pass","Residential Suite","checklist-flat","FALSE","FALSE","Stage 1","51","1","W08h-51"
"3e31e6a2-163b-5665-bdf3-ce01298d2c91","","checkpoint-status","pass","Residential Suite:36b39726-5dbb-4555-a4e7-d9e9a328bc77","","TRUE","TRUE","Stage 1","51","1","W08h-51","Opening Wrapped & Prepared Correctly"
"81a7121a-78d4-5bb0-a437-e59ea4cafa3a","","checkpoint-status","not-applicable","Residential Suite:a1dd8f97-d392-4a0e-b03f-cb88d29ff49c","","TRUE","TRUE","Stage 1","51","1","W08h-51","Weather Seals As Per Shop Drawing (provide photo reference)"
"b28cec7f-6e8e-5680-b443-9d182c7cf0f0","","checkpoint-status","pass","Residential Suite:a11d5101-7888-4e47-9417-bc68307ebcfd","","TRUE","TRUE","Stage 1","51","1","W08h-51","Installed / Fixed As Per Shop Drawings"
"a4804b8d-0f01-5eb6-a4b8-360a95aa6e17","","checkpoint-status","pass","Residential Suite:e1c5c805-307e-46e1-b63c-3445aadd0d61","","TRUE","TRUE","Stage 1","51","1","W08h-51","Airseals Completed"
"e02fbdeb-177f-5548-a895-1a8e87d0eaa2","","checkpoint-status","pass","Residential Suite:b754cab3-9fe2-44aa-a388-33a0694689b2","","TRUE","TRUE","Stage 1","51","1","W08h-51","Site Glazing Completed - Viridian Glass"
"e15df96c-01c0-5de8-81d4-c1df8af73696","","checkpoint-status","pass","Residential Suite:b59821e0-248d-499f-b75f-f28c16c2b445","","TRUE","TRUE","Stage 1","51","1","W08h-51","Trade Clean"
"031935c1-97dd-5437-a4bc-0cc199f07a52","","checkpoint-status","pass","Residential Suite:2a2a1b30-f501-428f-bd20-95c03ccfd883","","TRUE","TRUE","Stage 1","51","1","W08h-51","Wights - Sign Off"
"7530c7f9-8821-4fde-a5d9-cf74b4aac723","","checklist-flat","pass","Residential Suite","checklist-flat","FALSE","FALSE","Stage 1","51","1","W20-51"
"70985b8d-8cb0-531e-a86c-70520c559a80","","checkpoint-status","pass","Residential Suite:36b39726-5dbb-4555-a4e7-d9e9a328bc77","","TRUE","TRUE","Stage 1","51","1","W20-51","Opening Wrapped & Prepared Correctly"
"d9f4ed53-4266-5bff-94f5-a446410ff088","","checkpoint-status","not-applicable","Residential Suite:a1dd8f97-d392-4a0e-b03f-cb88d29ff49c","","TRUE","TRUE","Stage 1","51","1","W20-51","Weather Seals As Per Shop Drawing (provide photo reference)"
"93ca01da-dc58-57dd-8523-2be1db84c829","","checkpoint-status","pass","Residential Suite:a11d5101-7888-4e47-9417-bc68307ebcfd","","TRUE","TRUE","Stage 1","51","1","W20-51","Installed / Fixed As Per Shop Drawings"
"d88874f5-6041-5970-ba16-5cf3eaaef306","","checkpoint-status","pass","Residential Suite:e1c5c805-307e-46e1-b63c-3445aadd0d61","","TRUE","TRUE","Stage 1","51","1","W20-51","Airseals Completed"
"607ffb0d-b090-5fb3-ac8c-34a94456e1cf","","checkpoint-status","pass","Residential Suite:b754cab3-9fe2-44aa-a388-33a0694689b2","","TRUE","TRUE","Stage 1","51","1","W20-51","Site Glazing Completed - Viridian Glass"
"d1cc32fc-b596-5b27-8009-c2fca17b1b03","","checkpoint-status","pass","Residential Suite:b59821e0-248d-499f-b75f-f28c16c2b445","","TRUE","TRUE","Stage 1","51","1","W20-51","Trade Clean"
"c0b42957-d2de-5ad3-8db8-214bb73caf2b","","checkpoint-status","pass","Residential Suite:2a2a1b30-f501-428f-bd20-95c03ccfd883","","TRUE","TRUE","Stage 1","51","1","W20-51","Wights - Sign Off"
"41f5248f-e5f9-43d6-bd3f-778b01be4d24","","folder-normal","pass","","step","TRUE","FALSE","Stage 1","51","2"
"378e09da-2665-4303-a00d-e02dd94a576a","","checklist-flat","pass","Residential Suite","checklist-flat","FALSE","FALSE","Stage 1","51","2","W06-51"
"68258650-7668-5778-a8df-3a37f4e149e8","","checkpoint-status","pass","Residential Suite:36b39726-5dbb-4555-a4e7-d9e9a328bc77","","TRUE","TRUE","Stage 1","51","2","W06-51","Opening Wrapped & Prepared Correctly"
"5ac5a88a-27c3-5aaf-94ec-dacdf8e9b0a2","","checkpoint-status","not-applicable","Residential Suite:a1dd8f97-d392-4a0e-b03f-cb88d29ff49c","","TRUE","TRUE","Stage 1","51","2","W06-51","Weather Seals As Per Shop Drawing (provide photo reference)"
"a9bdb251-ef2f-5fcf-bd17-5c459d4028bf","","checkpoint-status","pass","Residential Suite:a11d5101-7888-4e47-9417-bc68307ebcfd","","TRUE","TRUE","Stage 1","51","2","W06-51","Installed / Fixed As Per Shop Drawings"
"699fb861-a8e2-578c-bf51-f8d748cd806c","","checkpoint-status","pass","Residential Suite:e1c5c805-307e-46e1-b63c-3445aadd0d61","","TRUE","TRUE","Stage 1","51","2","W06-51","Airseals Completed"
"1861ca73-af34-598d-9f1e-4707149bd73b","","checkpoint-status","pass","Residential Suite:b754cab3-9fe2-44aa-a388-33a0694689b2","","TRUE","TRUE","Stage 1","51","2","W06-51","Site Glazing Completed - Viridian Glass"
"5c9f7be2-4397-566c-b49e-e1cf4f30bd70","","checkpoint-status","pass","Residential Suite:b59821e0-248d-499f-b75f-f28c16c2b445","","TRUE","TRUE","Stage 1","51","2","W06-51","Trade Clean"
"bd492dad-9a7b-5638-93b7-209e7df96303","","checkpoint-status","pass","Residential Suite:2a2a1b30-f501-428f-bd20-95c03ccfd883","","TRUE","TRUE","Stage 1","51","2","W06-51","Wights - Sign Off"
"0887aa7a-afd1-4b7a-ac3d-c2aae636f9b1","","checklist-flat","pass","Residential Suite","checklist-flat","FALSE","FALSE","Stage 1","51","2","W09-51-2"
"34acc2e9-2e8c-5793-afd1-9a0a8193dfb9","","checkpoint-status","pass","Residential Suite:36b39726-5dbb-4555-a4e7-d9e9a328bc77","","TRUE","TRUE","Stage 1","51","2","W09-51-2","Opening Wrapped & Prepared Correctly"
"9c102dfd-3e2e-5fa1-9668-b79039ccd82b","","checkpoint-status","not-applicable","Residential Suite:a1dd8f97-d392-4a0e-b03f-cb88d29ff49c","","TRUE","TRUE","Stage 1","51","2","W09-51-2","Weather Seals As Per Shop Drawing (provide photo reference)"
"6db2c37b-66fb-55aa-8fa6-1bccd67c7ca5","","checkpoint-status","pass","Residential Suite:a11d5101-7888-4e47-9417-bc68307ebcfd","","TRUE","TRUE","Stage 1","51","2","W09-51-2","Installed / Fixed As Per Shop Drawings"
"2dbd4fa7-f882-5c01-baad-bc361a1b0b0a","","checkpoint-status","pass","Residential Suite:e1c5c805-307e-46e1-b63c-3445aadd0d61","","TRUE","TRUE","Stage 1","51","2","W09-51-2","Airseals Completed"
"19c3bde0-cccc-58a5-8d32-80922c9e7210","","checkpoint-status","pass","Residential Suite:b754cab3-9fe2-44aa-a388-33a0694689b2","","TRUE","TRUE","Stage 1","51","2","W09-51-2","Site Glazing Completed - Viridian Glass"
"6e7fea29-dda2-512a-9374-f2fac20864f6","","checkpoint-status","pass","Residential Suite:b59821e0-248d-499f-b75f-f28c16c2b445","","TRUE","TRUE","Stage 1","51","2","W09-51-2","Trade Clean"
"e10b87f1-2f4a-5081-89be-0558e9960b34","","checkpoint-status","pass","Residential Suite:2a2a1b30-f501-428f-bd20-95c03ccfd883","","TRUE","TRUE","Stage 1","51","2","W09-51-2","Wights - Sign Off"
"707d3128-cdd1-45d9-a6bd-ec677e3086c8","","checklist-flat","pass","Residential Suite","checklist-flat","FALSE","FALSE","Stage 1","51","2","W22-51"
"ce72da89-1641-55bf-a181-7e2bd796a529","","checkpoint-status","pass","Residential Suite:36b39726-5dbb-4555-a4e7-d9e9a328bc77","","TRUE","TRUE","Stage 1","51","2","W22-51","Opening Wrapped & Prepared Correctly"
"446e57f9-80b1-504f-aebe-ae6e8f6744e3","","checkpoint-status","not-applicable","Residential Suite:a1dd8f97-d392-4a0e-b03f-cb88d29ff49c","","TRUE","TRUE","Stage 1","51","2","W22-51","Weather Seals As Per Shop Drawing (provide photo reference)"
"24b654de-36f2-5ff1-9b74-aabb619e8296","","checkpoint-status","pass","Residential Suite:a11d5101-7888-4e47-9417-bc68307ebcfd","","TRUE","TRUE","Stage 1","51","2","W22-51","Installed / Fixed As Per Shop Drawings"
"31045cd3-a8f8-5e43-a49d-f0be277419b0","","checkpoint-status","pass","Residential Suite:e1c5c805-307e-46e1-b63c-3445aadd0d61","","TRUE","TRUE","Stage 1","51","2","W22-51","Airseals Completed"
"d7026012-041c-5c40-a174-577191e606d6","","checkpoint-status","pass","Residential Suite:b754cab3-9fe2-44aa-a388-33a0694689b2","","TRUE","TRUE","Stage 1","51","2","W22-51","Site Glazing Completed - Viridian Glass"
"e4bcb723-01e3-5b86-a5d6-79b9bd2a904a","","checkpoint-status","pass","Residential Suite:b59821e0-248d-499f-b75f-f28c16c2b445","","TRUE","TRUE","Stage 1","51","2","W22-51","Trade Clean"
"dd8dae6c-e3c2-5ef2-b95b-405aafb07d73","","checkpoint-status","pass","Residential Suite:2a2a1b30-f501-428f-bd20-95c03ccfd883","","TRUE","TRUE","Stage 1","51","2","W22-51","Wights - Sign Off"
"e1f7be3e-c755-4f2a-a953-cf56d4cd6f14","","checklist-flat","pass","Residential Suite","checklist-flat","FALSE","FALSE","Stage 1","51","2","W23-51"
"112947e7-3ca5-5d84-a891-897507033756","","checkpoint-status","pass","Residential Suite:36b39726-5dbb-4555-a4e7-d9e9a328bc77","","TRUE","TRUE","Stage 1","51","2","W23-51","Opening Wrapped & Prepared Correctly"
"1fca0d23-ef67-5f1d-8689-c3de0d9a8d7f","","checkpoint-status","not-applicable","Residential Suite:a1dd8f97-d392-4a0e-b03f-cb88d29ff49c","","TRUE","TRUE","Stage 1","51","2","W23-51","Weather Seals As Per Shop Drawing (provide photo reference)"
"16e1ebfe-aace-52b6-9fe1-3d6f88816d48","","checkpoint-status","pass","Residential Suite:a11d5101-7888-4e47-9417-bc68307ebcfd","","TRUE","TRUE","Stage 1","51","2","W23-51","Installed / Fixed As Per Shop Drawings"
"a6ef11d9-03ef-54f6-9458-a79f20d68316","","checkpoint-status","pass","Residential Suite:e1c5c805-307e-46e1-b63c-3445aadd0d61","","TRUE","TRUE","Stage 1","51","2","W23-51","Airseals Completed"
"06f9e4a1-23d7-5c8c-a7f5-19d47bcf17ad","","checkpoint-status","pass","Residential Suite:b754cab3-9fe2-44aa-a388-33a0694689b2","","TRUE","TRUE","Stage 1","51","2","W23-51","Site Glazing Completed - Viridian Glass"
"34a8c346-7f5b-5a3f-a9a2-c5ce1b95b3fd","","checkpoint-status","pass","Residential Suite:b59821e0-248d-499f-b75f-f28c16c2b445","","TRUE","TRUE","Stage 1","51","2","W23-51","Trade Clean"
"0d883fb8-ae56-5341-8a4a-4ac572e7a121","","checkpoint-status","pass","Residential Suite:2a2a1b30-f501-428f-bd20-95c03ccfd883","","TRUE","TRUE","Stage 1","51","2","W23-51","Wights - Sign Off"
"0b56ab83-4962-4ed5-9440-c58dbf46cee3","","folder-normal","pass","","step","TRUE","FALSE","Stage 1","51","3"
"6906f16f-4854-4c7b-a3b5-98f9475b991b","","checklist-flat","pass","Residential Suite","checklist-flat","FALSE","FALSE","Stage 1","51","3","W09-51-3"
"c197e21b-b1fa-5cc4-90da-a5dfb4c63c09","","checkpoint-status","pass","Residential Suite:36b39726-5dbb-4555-a4e7-d9e9a328bc77","","TRUE","TRUE","Stage 1","51","3","W09-51-3","Opening Wrapped & Prepared Correctly"
"b68dc0ae-7b5b-598f-b235-d74e5b768d98","","checkpoint-status","not-applicable","Residential Suite:a1dd8f97-d392-4a0e-b03f-cb88d29ff49c","","TRUE","TRUE","Stage 1","51","3","W09-51-3","Weather Seals As Per Shop Drawing (provide photo reference)"
"b9027cbe-37d6-589f-a81e-23930f23afdf","","checkpoint-status","pass","Residential Suite:a11d5101-7888-4e47-9417-bc68307ebcfd","","TRUE","TRUE","Stage 1","51","3","W09-51-3","Installed / Fixed As Per Shop Drawings"
"1896669a-e459-5e71-bc44-deaa11f11882","","checkpoint-status","pass","Residential Suite:e1c5c805-307e-46e1-b63c-3445aadd0d61","","TRUE","TRUE","Stage 1","51","3","W09-51-3","Airseals Completed"
"85a748ab-bca1-523f-bed9-c5813642ad5a","","checkpoint-status","pass","Residential Suite:b754cab3-9fe2-44aa-a388-33a0694689b2","","TRUE","TRUE","Stage 1","51","3","W09-51-3","Site Glazing Completed - Viridian Glass"
"822ab802-f8f9-5552-bc58-050350b4f5fa","","checkpoint-status","pass","Residential Suite:b59821e0-248d-499f-b75f-f28c16c2b445","","TRUE","TRUE","Stage 1","51","3","W09-51-3","Trade Clean"
"fde86de4-b7ec-51e7-9017-838d3d7dd787","","checkpoint-status","pass","Residential Suite:2a2a1b30-f501-428f-bd20-95c03ccfd883","","TRUE","TRUE","Stage 1","51","3","W09-51-3","Wights - Sign Off"
"ecc56a63-a2e8-4940-b362-3cd0e9500f2d","","checklist-flat","pass","Residential Suite","checklist-flat","FALSE","FALSE","Stage 1","51","3","W13h-51"
"dc63a8fc-39b1-5e6e-a516-3fd74b4b0eb9","","checkpoint-status","pass","Residential Suite:36b39726-5dbb-4555-a4e7-d9e9a328bc77","","TRUE","TRUE","Stage 1","51","3","W13h-51","Opening Wrapped & Prepared Correctly"
"7be289cd-f4c1-5b71-97f0-e52c23d8b707","","checkpoint-status","not-applicable","Residential Suite:a1dd8f97-d392-4a0e-b03f-cb88d29ff49c","","TRUE","TRUE","Stage 1","51","3","W13h-51","Weather Seals As Per Shop Drawing (provide photo reference)"
"608dbeb5-e35e-5f89-b877-4dd2f3f56f80","","checkpoint-status","pass","Residential Suite:a11d5101-7888-4e47-9417-bc68307ebcfd","","TRUE","TRUE","Stage 1","51","3","W13h-51","Installed / Fixed As Per Shop Drawings"
"c37fcede-9725-5cb2-a363-904e145979f2","","checkpoint-status","pass","Residential Suite:e1c5c805-307e-46e1-b63c-3445aadd0d61","","TRUE","TRUE","Stage 1","51","3","W13h-51","Airseals Completed"
"2ace1144-ccab-53ab-b8de-f1e1521ba05a","","checkpoint-status","not-applicable","Residential Suite:b754cab3-9fe2-44aa-a388-33a0694689b2","","TRUE","TRUE","Stage 1","51","3","W13h-51","Site Glazing Completed - Viridian Glass"
"8b3d713a-83d2-5a2d-80e6-08432814bd65","","checkpoint-status","pass","Residential Suite:b59821e0-248d-499f-b75f-f28c16c2b445","","TRUE","TRUE","Stage 1","51","3","W13h-51","Trade Clean"
"3056acab-bdb2-5ec2-8190-69d928c2c330","","checkpoint-status","pass","Residential Suite:2a2a1b30-f501-428f-bd20-95c03ccfd883","","TRUE","TRUE","Stage 1","51","3","W13h-51","Wights - Sign Off"
"d91b1a49-eb18-4094-b17e-4581c68f80c9","","checklist-flat","pass","Residential Suite","checklist-flat","FALSE","FALSE","Stage 1","51","3","W14h-51"
"8fe2467b-9324-519d-b844-2b839b1a70f9","","checkpoint-status","pass","Residential Suite:36b39726-5dbb-4555-a4e7-d9e9a328bc77","","TRUE","TRUE","Stage 1","51","3","W14h-51","Opening Wrapped & Prepared Correctly"
"f10b06b4-e6b4-5703-aaff-87e594c74dd6","","checkpoint-status","not-applicable","Residential Suite:a1dd8f97-d392-4a0e-b03f-cb88d29ff49c","","TRUE","TRUE","Stage 1","51","3","W14h-51","Weather Seals As Per Shop Drawing (provide photo reference)"
"cb75c99f-1ece-5f35-b5cc-615868cd1b84","","checkpoint-status","pass","Residential Suite:a11d5101-7888-4e47-9417-bc68307ebcfd","","TRUE","TRUE","Stage 1","51","3","W14h-51","Installed / Fixed As Per Shop Drawings"
"63ffc594-dabb-5675-a430-c3f05f04473c","","checkpoint-status","pass","Residential Suite:e1c5c805-307e-46e1-b63c-3445aadd0d61","","TRUE","TRUE","Stage 1","51","3","W14h-51","Airseals Completed"
