"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5496bd3b-43c6-477c-8bfc-8f754a3e9c80","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"da83bc21-93d8-5cbe-9b7a-9097e69d2bf1","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"cda5f5a5-7556-5d66-b9b4-bfbcea1b950c","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"244f7ec7-d6c0-5564-a8a0-bbe270a93001","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"3a1bb973-be14-5bcc-8442-b6bd4b53bf26","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"fcb18e33-a69b-563b-a096-ace7bdb7fe20","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"d7bdcd44-4637-532b-8f8b-a5c0e7899973","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"23730f57-f56c-43f9-81cc-eea55eb99441","","folder-normal","not-started","","step","TRUE","FALSE","QA"
"50864cac-96df-4bc1-af95-3958fa58cf06","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems"
"9a34591a-f2b1-4092-99d0-70560c67a68a","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01"
"6a0f141a-9eeb-4e63-9a54-6c3f4ba939cc","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist"
"9a93e519-94bc-492f-9a2a-e414c92817a0","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Pre-Fit Off Checklist"
"71c41f7e-238b-5da3-8ab5-6963a6afa592","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"1637b48a-9109-5884-bd40-a302e4fbf467","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Pre-Fit Off Checklist","EMAIL PM"
"ecac8361-c822-58dc-ad6c-41ae8a2da25a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"6c2c97f4-c234-4d7f-8411-061279ff65ee","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02"
"dc8d564c-4ea4-56d7-9193-f3c6afb05243","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Photo taken of line pull test - 2 photos required"
"ed0fb779-8421-5806-aed5-1db57df1717a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Photo taken of Swages - 12 photos required"
"00c07fbc-3bb3-5f5a-bb43-44338e4d089a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Photo taken of Engraved Line Plate / ID Tag"
"1c378055-c89a-52f5-bb64-3083673f1a14","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Video taken of system"
"e56c2226-2f2a-5c74-99ce-cc96e80e4f59","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"b6db62ff-bb40-4b0b-ad3f-eaeaae38d2d8","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03"
"01c3e3ad-0670-437f-a746-f71dec63bb36","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Pre-Fit Off Checklist"
"1e60fb59-571f-5bd1-990d-04b0ec69a1a2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"db2786f4-b556-5e24-bd0f-ffb48d902622","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Pre-Fit Off Checklist","EMAIL PM"
"d25de366-f0e6-550c-bb5a-3bd57f81fe4a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"5a6777f0-e203-42c5-9ba9-fc5893e8ece0","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03"
"99904fe1-549f-5599-80b6-26fa1566b069","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Photo taken of line pull test - 2 photos required"
"879f6f32-ff6d-556b-948f-b3e3e16cc88d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Photo taken of Swages - 12 photos required"
"9dcc5e34-5094-5166-9eb7-4a3e16023b0c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Photo taken of Engraved Line Plate / ID Tag"
"5b37171a-d4ee-5db4-95b3-b77c3d31a609","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Video taken of system"
"561253e7-947d-55ce-b5c7-66c59e100888","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"1acdeee2-7b67-4e7f-bab0-05f102278219","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04"
"031b9594-9fd1-4ec3-973b-2964bf3902bc","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Pre-Fit Off Checklist"
"8e51a3ea-4802-57bd-9bc7-e2da486baf3a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"e9df1e10-546c-5130-b145-367bbc660281","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Pre-Fit Off Checklist","EMAIL PM"
"636273db-7128-5784-baca-e2affe2e2732","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"b97c487c-0a14-45ec-aa5d-4d49e268bc06","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04"
"7902328b-1096-59e2-8b7e-2a87e10389ae","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04","Photo taken of line pull test - 2 photos required"
"c0a4b29f-2b64-5fb8-9102-b0be2e504508","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04","Photo taken of Swages - 12 photos required"
"7bf84c87-5204-5109-86bd-9386ccc7bb53","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04","Photo taken of Engraved Line Plate / ID Tag"
"0b934316-df3e-5499-9c0c-726be10856e4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04","Video taken of system"
"0172c447-fcc9-5fef-a36f-5947d5b4629f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"09c7985c-8318-4763-b18e-4f6e41f85f79","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil Systems"
"0b16c2a8-8319-43c4-b4b9-e846d198bfb5","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 01"
"e563da05-a32e-4c92-a5be-19ecdd2c1301","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 01","Pre-Fit Off Checklist"
"233b177f-a274-57e4-8466-8a63571c0eb8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"f3cb78f2-de00-5a33-9fd2-7bef0bb32023","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 01","Pre-Fit Off Checklist","EMAIL PM"
"b2b7bd74-c7cc-5215-be6c-9fa2b71fe9a5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"3e7c88ac-c438-476d-84a8-aba4d52e17ff","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 01","Rail Checklist - RSRAIL 01"
"aa37bbb6-81f9-5007-97a2-6f6ea8e59555","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 01","Rail Checklist - RSRAIL 01","Photo taken of Engraved Line Plate / ID Tag"
"5a59933c-75a9-51a9-a666-19cdc4dcd46d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 01","Rail Checklist - RSRAIL 01","Video taken of system"
"313900ec-80d2-5c35-a554-dc631e527cf8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 01","Rail Checklist - RSRAIL 01","Description input of location / person Rail systems shuttle left with"
"be529da7-8962-55c8-8768-3b029e386392","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 01","Rail Checklist - RSRAIL 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"9dcec3d6-f142-41f0-9cb6-25b40fd598b7","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 02"
"7cb142c7-209e-43e1-976f-b520f48bf81e","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 02","Pre-Fit Off Checklist"
"d3a37632-0caf-53e2-9d3f-3ae3c62f6f48","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"1b52b28d-023b-51ad-ae4b-02f296af3bd7","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 02","Pre-Fit Off Checklist","EMAIL PM"
"631ddffd-2686-548c-84b2-589b03fcf5bc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 02","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"3c6ca936-a23d-49ff-b4f5-1978877848eb","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 02","Rail Checklist - RSRAIL 02"
"4f761761-1e61-59c0-a2e4-ac8d2465b958","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 02","Rail Checklist - RSRAIL 02","Photo taken of Engraved Line Plate / ID Tag"
"d8589ed1-5424-5832-bfed-3b605a45c862","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 02","Rail Checklist - RSRAIL 02","Video taken of system"
"9283e9d1-a8ee-5c4b-8a01-d875ba576e34","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 02","Rail Checklist - RSRAIL 02","Description input of location / person Rail systems shuttle left with"
"c68263ba-dacf-5553-a217-2d94d8d88ef3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System - RSRail 02","Rail Checklist - RSRAIL 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"311ad7a1-91f8-4a67-8a72-00d3f9ed6ecc","","folder-normal","not-started","","step","TRUE","FALSE","QA","Anchor Points"
"61f9e483-5423-460f-b22d-0b76fb173a2c","","folder-normal","not-started","","step","TRUE","FALSE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors"
"d3e25374-ab2a-47dd-9660-b46d4246aa31","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist"
"19673947-85e0-50be-a5b1-439a4ad5bd54","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"a12b17e3-a87b-5e1b-b1cb-57de339597aa","","holdpoint","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist","EMAIL PM"
"328be3e9-7d4d-5440-9781-33a0187cf59c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"48ff8995-7b0d-47f6-9887-3ac080699b76","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 02"
"25ea25fe-8834-501e-8a08-7d8f3857a0b1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 02","Required number of photo(s) taken of installed anchor(s)"
"6b0fd726-96fc-5d7d-8798-59ff1bf76a57","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"4b42b6ef-b14d-4ecd-9178-cd862da093e9","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 03"
"826c830d-432e-5042-a9c2-48b2de1ab4f8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 03","Required number of photo(s) taken of installed anchor(s)"
"1266f4d9-5940-566e-84bd-47601793a376","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"d928528f-870b-4003-916a-21aca057bdc4","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 04"
"2b2b16af-cb8d-58f5-8a2c-9b872815d0f1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 04","Required number of photo(s) taken of installed anchor(s)"
"b8598a6c-140f-5fef-a2ec-da03a9a1d380","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"e3e69337-b6cf-4bb9-8682-457fc0919d9f","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 05"
"4fca9c2d-a7f2-50e9-8db6-0ca477bc99f0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 05","Required number of photo(s) taken of installed anchor(s)"
"e0e34407-5b26-53f1-9e1d-690c57b7bc8a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"e64e6472-b676-4cc0-9188-c700f0f70b04","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 06"
"e13392e0-868c-51b3-9c09-39c664929a27","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 06","Required number of photo(s) taken of installed anchor(s)"
"b46f717f-f0bd-5a73-a802-1b734501d54e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"41113ce1-3e48-4afd-a917-665322435f9f","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 07"
"02e47a2c-8861-5081-bb32-e26dd2602e2a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 07","Required number of photo(s) taken of installed anchor(s)"
"357548d7-f491-5da2-bcea-7d48c8b059f2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 07","Installed as per PBI drawings supplied and manufacturer's requirements"
"8f2d41fd-d809-4569-a02d-4ed3eb82c04c","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 08"
"d35017c7-f368-50d6-a087-ebc622a07ad7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 08","Required number of photo(s) taken of installed anchor(s)"
"e9047880-ed11-591f-9be0-1818705d2ea4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 08","Installed as per PBI drawings supplied and manufacturer's requirements"
"db85c873-2e94-4848-80a4-752c9426c91e","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 09"
"00e12487-ce64-5c66-9e59-cb7ddd9d1eb8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 09","Required number of photo(s) taken of installed anchor(s)"
"a1db5186-bd92-5599-9161-8485daf30b24","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 09","Installed as per PBI drawings supplied and manufacturer's requirements"
"990077a7-5e55-464a-9de8-dc62b543f8d0","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 10"
"c6c2b3ea-f7d0-5aee-957a-7d37edc547d4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 10","Required number of photo(s) taken of installed anchor(s)"
"59e78865-3baa-54c4-b1d2-ea27d4bbec8f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 10","Installed as per PBI drawings supplied and manufacturer's requirements"
"f22ff7cd-32a2-4efc-ac20-800ea6e707d6","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 11"
"188fd25d-31db-54be-99c5-1b8003757c96","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","19No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 11","Required number of photo(s) taken of installed anchor(s)"
