"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3ab4f696-a60e-4a29-a9d3-3698d34b5a61","","not-started","","folder","TRUE","FALSE","Site QA/ITC's"
"dd7b4b90-ca9c-4f9f-8aa2-90529fc53d53","","not-started","","folder","TRUE","FALSE","Site QA/ITC's","GROUND"
"f7c9053d-4aae-423b-ac18-561945955980","","not-started","","folder","TRUE","FALSE","Site QA/ITC's","GROUND","ZONE 1"
"7307e1ab-751a-442c-afb3-4e272d6b149f","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6","checklist","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.001 AUDIOL"
"a127ed93-9191-5f4c-a3be-3f383682fed7","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f","section","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.001 AUDIOL","Room Checklist"
"87ba4961-29ee-58f8-a22b-c43d53ed80f7","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:d878a31d-244d-478d-a4b8-f8448960599e","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.001 AUDIOL","Room Checklist","Bulk Tile / Sheet Ceiling"
"775b1a75-d710-582c-b9f2-5d7e01f96524","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:934a0e7a-5010-4b3e-937d-9ea3bd04e795","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.001 AUDIOL","Room Checklist","Final Inspection"
"71964a5e-ac5a-4e0f-8710-30218913839a","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6","checklist","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.002 TRMT-HTS"
"40c1dd00-c0da-5434-b073-2cf50b691976","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f","section","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.002 TRMT-HTS","Room Checklist"
"bcf42ef2-78b9-580c-83d5-fde31af70d17","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:279f94db-a55b-408a-b4c0-d18f0b58371c","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.002 TRMT-HTS","Room Checklist","Setout"
"9211c698-31dd-578c-80df-12cc830a3711","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:6c486c63-a152-465e-a133-4dd5ca535866","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.002 TRMT-HTS","Room Checklist","Soffit Insulation"
"e7aa5987-2b60-5dd2-b29c-8000931afcab","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:b4fa5a06-cd55-4d70-b2e6-161dd839241f","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.002 TRMT-HTS","Room Checklist","Frame Walls"
"92743baf-b01f-5fb2-bf0b-ab263972f5ac","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:abdf22ef-6ab9-407f-83b3-5c78911d51f6","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.002 TRMT-HTS","Room Checklist","Install Noggins"
"2785bd9a-0f1b-5590-8547-2fab2e8db0a0","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:72b61898-83fd-4446-b249-ed7dbbe0bf93","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.002 TRMT-HTS","Room Checklist","Acoustic wall junctions photographed (1 photo per corner) and wall insulation"
"9941432a-32e0-5c3c-8d58-a8eff19daa82","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:efd71e5d-1e74-49b5-af3f-6c649f2d9d1d","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.002 TRMT-HTS","Room Checklist","Specialist wall linings installed – Yes / No / NA option?"
"2c3f711f-6dc1-55b1-83cf-1303519f5770","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:cb05cdd1-1e52-42eb-aea7-55a0130affb2","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.002 TRMT-HTS","Room Checklist","Plaster wall Sheeting"
"6d6daf32-96fd-5593-9e44-613eb486aac3","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:47befba7-a4b7-497f-81b5-6a42aa758886","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.002 TRMT-HTS","Room Checklist","Stop and Sand"
"5b88851f-6f7b-5e64-a15e-65050fefb2b6","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:98f5e5e8-73e1-426c-abc6-3e0b93dad4d2","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.002 TRMT-HTS","Room Checklist","Frame Ceilings"
"b4cf9be1-a550-5456-abd4-10bdc3f64f5c","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:fcc5b159-d9a7-4655-836a-6e93ab700085","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.002 TRMT-HTS","Room Checklist","Service Ceiling Tiles Installed (if applicable)"
"7875b3e1-6cb2-5c32-9f24-b3a539c954c3","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:d878a31d-244d-478d-a4b8-f8448960599e","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.002 TRMT-HTS","Room Checklist","Bulk Tile / Sheet Ceiling"
"44e466a3-0390-5980-bf91-0f48bd7f2964","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:934a0e7a-5010-4b3e-937d-9ea3bd04e795","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.002 TRMT-HTS","Room Checklist","Final Inspection"
"c54caf9f-945e-4810-ac75-b3e1baf661a4","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6","checklist","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.003 TRAVEL"
"13403167-74f6-55d2-b781-ccc3e0f27cba","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f","section","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.003 TRAVEL","Room Checklist"
"7c65a315-56a5-5b2f-bec1-6a3986959cd3","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:279f94db-a55b-408a-b4c0-d18f0b58371c","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.003 TRAVEL","Room Checklist","Setout"
"1a4777b4-120d-5df1-9e85-dbdadeffa694","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:6c486c63-a152-465e-a133-4dd5ca535866","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.003 TRAVEL","Room Checklist","Soffit Insulation"
"8fff1b3e-4f88-5c99-aa7c-8a7bffff4712","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:b4fa5a06-cd55-4d70-b2e6-161dd839241f","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.003 TRAVEL","Room Checklist","Frame Walls"
"fdb11105-6a48-5e16-80f5-053e14f52e1c","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:abdf22ef-6ab9-407f-83b3-5c78911d51f6","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.003 TRAVEL","Room Checklist","Install Noggins"
"fc04cf4a-6059-5c6b-8195-0d14555b48d3","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:72b61898-83fd-4446-b249-ed7dbbe0bf93","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.003 TRAVEL","Room Checklist","Acoustic wall junctions photographed (1 photo per corner) and wall insulation"
"8132988e-1d7c-5c31-a299-7ed5a190a390","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:efd71e5d-1e74-49b5-af3f-6c649f2d9d1d","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.003 TRAVEL","Room Checklist","Specialist wall linings installed – Yes / No / NA option?"
"236c140e-8d64-58f6-9742-0191fadd3280","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:cb05cdd1-1e52-42eb-aea7-55a0130affb2","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.003 TRAVEL","Room Checklist","Plaster wall Sheeting"
"bebe1d27-736f-52b7-b279-83a72108dad4","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:47befba7-a4b7-497f-81b5-6a42aa758886","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.003 TRAVEL","Room Checklist","Stop and Sand"
"5804d8af-0d2a-5ad7-b7e4-c31169812d1c","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:98f5e5e8-73e1-426c-abc6-3e0b93dad4d2","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.003 TRAVEL","Room Checklist","Frame Ceilings"
"eef95100-dd74-5071-835e-af254b4618d3","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:fcc5b159-d9a7-4655-836a-6e93ab700085","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.003 TRAVEL","Room Checklist","Service Ceiling Tiles Installed (if applicable)"
"2ae1447d-d3c1-5cb7-8375-da41a7d26aa2","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:d878a31d-244d-478d-a4b8-f8448960599e","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.003 TRAVEL","Room Checklist","Bulk Tile / Sheet Ceiling"
"182f284a-9859-5db4-bf29-fdfd35c4a7af","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:934a0e7a-5010-4b3e-937d-9ea3bd04e795","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.003 TRAVEL","Room Checklist","Final Inspection"
"bce0eb47-e934-4ab6-85bb-6cee9659a40e","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6","checklist","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.004 INTV"
"f4788378-1b9e-57de-b14f-b5d666f32cbc","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f","section","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.004 INTV","Room Checklist"
"4b577692-7169-5b04-9a14-417cd8ade683","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:279f94db-a55b-408a-b4c0-d18f0b58371c","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.004 INTV","Room Checklist","Setout"
"eaa368e6-292f-519f-9a04-f937b62ba985","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:6c486c63-a152-465e-a133-4dd5ca535866","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.004 INTV","Room Checklist","Soffit Insulation"
"235ce0b5-d7a3-59f1-b970-fcb43e54a70d","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:b4fa5a06-cd55-4d70-b2e6-161dd839241f","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.004 INTV","Room Checklist","Frame Walls"
"8c69957b-d0dc-555a-86c2-10f84c757b8f","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:abdf22ef-6ab9-407f-83b3-5c78911d51f6","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.004 INTV","Room Checklist","Install Noggins"
"22d1e1a6-d547-5f6e-b718-4664135635e3","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:72b61898-83fd-4446-b249-ed7dbbe0bf93","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.004 INTV","Room Checklist","Acoustic wall junctions photographed (1 photo per corner) and wall insulation"
"a4fda6f1-f617-5f0d-98cb-9fd172875255","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:efd71e5d-1e74-49b5-af3f-6c649f2d9d1d","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.004 INTV","Room Checklist","Specialist wall linings installed – Yes / No / NA option?"
"362441ac-c314-50a4-9358-7a5ff15ba189","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:cb05cdd1-1e52-42eb-aea7-55a0130affb2","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.004 INTV","Room Checklist","Plaster wall Sheeting"
"09e0ed4e-285c-5d2c-907a-58498daf59f4","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:47befba7-a4b7-497f-81b5-6a42aa758886","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.004 INTV","Room Checklist","Stop and Sand"
"076ccfab-c942-54fc-beba-642b24afa67e","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:98f5e5e8-73e1-426c-abc6-3e0b93dad4d2","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.004 INTV","Room Checklist","Frame Ceilings"
"a877493e-3e1a-55d6-a580-eb5c5ff9da96","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:fcc5b159-d9a7-4655-836a-6e93ab700085","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.004 INTV","Room Checklist","Service Ceiling Tiles Installed (if applicable)"
"140bc9cf-e011-5c36-945a-7c8fe99a2f2d","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:d878a31d-244d-478d-a4b8-f8448960599e","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.004 INTV","Room Checklist","Bulk Tile / Sheet Ceiling"
"32569720-adda-51bd-a304-b845356914af","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:934a0e7a-5010-4b3e-937d-9ea3bd04e795","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.004 INTV","Room Checklist","Final Inspection"
"16ee1466-c4fd-4fae-ba42-8d1427d8ded8","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6","checklist","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.005 OBSV"
"9b647af7-6b38-530e-9a0a-ee67a10597f0","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f","section","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.005 OBSV","Room Checklist"
"c43478ac-3ca5-5f5d-a9b5-3498f529d079","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:279f94db-a55b-408a-b4c0-d18f0b58371c","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.005 OBSV","Room Checklist","Setout"
"5297628b-8119-5541-af40-9bc671cc8278","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:6c486c63-a152-465e-a133-4dd5ca535866","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.005 OBSV","Room Checklist","Soffit Insulation"
"16f46e9b-d58a-57d4-a88e-4a7c8874d7fd","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:b4fa5a06-cd55-4d70-b2e6-161dd839241f","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.005 OBSV","Room Checklist","Frame Walls"
"351876df-016a-5564-9e37-a9df2832a8f1","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:abdf22ef-6ab9-407f-83b3-5c78911d51f6","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.005 OBSV","Room Checklist","Install Noggins"
"a6ff389f-4ba0-5de9-820d-05706b18154c","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:72b61898-83fd-4446-b249-ed7dbbe0bf93","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.005 OBSV","Room Checklist","Acoustic wall junctions photographed (1 photo per corner) and wall insulation"
"ad2535fc-9103-5987-b25a-f5bf11d9b5a2","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:efd71e5d-1e74-49b5-af3f-6c649f2d9d1d","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.005 OBSV","Room Checklist","Specialist wall linings installed – Yes / No / NA option?"
"102a273c-fd75-5330-ab80-a2828f8b8750","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:cb05cdd1-1e52-42eb-aea7-55a0130affb2","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.005 OBSV","Room Checklist","Plaster wall Sheeting"
"7977b59c-257d-5eb1-8d6d-4e7452a172da","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:47befba7-a4b7-497f-81b5-6a42aa758886","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.005 OBSV","Room Checklist","Stop and Sand"
