"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ccc8f6c3-2f23-4f1b-983d-a6e203670de0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building A"
"ed3e743b-c8c8-4b63-827a-f19eccce84b4","","folder-normal","pass","","step","TRUE","FALSE","Building A","Ground floor"
"830c8cd8-2646-47fc-ad7c-6888c3d6f059","","checklist-flat","pass","Photos","checklist-flat","FALSE","FALSE","Building A","Ground floor","Underslab - Waste Water"
"f7aebb82-ca42-40bc-98c2-5e2e1d91337f","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Building A","Refuse Room"
"cd71b5fc-c95e-4e99-9860-94f8706e8d66","","checklist-flat","not-started","Underslung Pvc","checklist-flat","FALSE","FALSE","Building A","Underslung"
"b23a3c4c-7a02-4b5c-af69-eb3117af36f3","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1"
"8e3f0fa2-da1c-41d5-9434-3eacdb09e9f6","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A101"
"3f210217-6a9e-4e02-bf21-4023950039c8","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A101","Bathroom"
"7af30748-5576-4853-ba49-841af5968258","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A101","Hot Water Cylinder"
"a3aee48b-77ff-4aec-806e-3ba1c8e67a99","","checklist-flat","not-started","Hot Water Cylinder Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A101","Hot Water Cylinder","HWC"
"8d06dc5d-af07-444b-b1a5-d5f4087b6f7a","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A101","Underslung"
"bc71b3cf-3670-4f3b-a36d-41d683195fd7","","checklist-flat","not-started","Underslung Pvc","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A101","Underslung","Underslung Pvc"
"c861fd17-6ac2-4f76-b012-c31bf323385d","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A101","Acoustic Lagging"
"b4d0c69a-0192-40ec-86cc-09d27e225303","","checklist-flat","not-started","Acoustic Lagging Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A101","Acoustic Lagging","Acoustic Lagging Checklist"
"430ad5ac-642a-4523-8141-7654e590a484","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A102"
"ad3b4efb-ee14-49b4-bd51-e32b9e7da7e3","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A102","Bathroom"
"41fcc256-c510-4857-9ee4-ee3de416a208","","checklist-flat","not-started","Toilet Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A102","Bathroom","Toilet"
"77f4b1ea-fce1-4d8c-a743-d872792e1a74","","checklist-flat","not-started","Laundry","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A102","Bathroom","Wash Hand Basin"
"53f224b6-a408-403e-a10d-27c7dbf94dbc","","checklist-flat","not-started","Shower Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A102","Bathroom","Shower"
"4e00c168-5430-49cf-881b-986f01bb89fe","","checklist-flat","not-started","FWG First Fix Checklist","checklist-flat","TRUE","TRUE","Building A","Level 1","Unit A102","Bathroom","FWG"
"840859fa-9293-45c8-82c8-98aa60a3a7d1","","checklist-flat","not-started","Shower Tray","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A102","Bathroom","Shower Tray"
"75ac9b2e-df4c-4818-938c-fef1fbe801a4","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A102","Kitchen"
"574d4685-2b14-4153-a485-52d8e1d2263d","","checklist-flat","not-started","Kitchen Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A102","Kitchen","Kitchensink checklist"
"fb3b963e-fdd4-41f0-9abd-d54e29dcf699","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A102","Laundry"
"94cc14b4-523a-4181-8493-620a41895451","","checklist-flat","not-started","Laundry","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A102","Laundry","Laundry"
"e1bcfcbb-571a-410d-850b-29739f7e754f","","checklist-flat","not-started","FWG First Fix Checklist","checklist-flat","TRUE","TRUE","Building A","Level 1","Unit A102","Laundry","FWG"
"781550a8-5ee5-4168-ade5-188d600333d2","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A102","Hot Water Cylinder"
"ed521b6b-2d39-45a5-9941-96ab2bdc2911","","checklist-flat","not-started","Hot Water Cylinder Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A102","Hot Water Cylinder","HWC"
"31b8c6e5-bd38-4562-8b4b-c77b5dcda5c2","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A102","Underslung"
"906b06b4-9fdb-4ac2-a410-8a4f6b841498","","checklist-flat","not-started","Underslung Pvc","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A102","Underslung","Underslung Pvc"
"a9c82df4-7838-48ee-be80-0576a28c3380","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A102","Acoustic Lagging"
"4ee5b0b8-94d6-4b02-a751-1c45e0b1e515","","checklist-flat","not-started","Acoustic Lagging Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A102","Acoustic Lagging","Acoustic Lagging Checklist"
"5bb9e08e-5a0e-432e-befa-a9d0638b9a94","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A103"
"7e1c227c-199d-401e-9249-71788d0de898","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A103","Bathroom"
"2f05e126-fe39-43d9-9535-33693fbc4075","","checklist-flat","not-started","Toilet Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A103","Bathroom","Toilet"
"4743bbd0-8c57-4851-8525-df00e13e7874","","checklist-flat","not-started","Laundry","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A103","Bathroom","Wash Hand Basin"
"8949db81-5025-41e8-87e5-e7d14f12c074","","checklist-flat","not-started","Shower Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A103","Bathroom","Shower"
"20de64e4-7053-4d0f-9060-d66795ada8a5","","checklist-flat","not-started","FWG First Fix Checklist","checklist-flat","TRUE","TRUE","Building A","Level 1","Unit A103","Bathroom","FWG"
"15cdcaf0-3b87-42b2-b643-dc35ce043038","","checklist-flat","not-started","Shower Tray","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A103","Bathroom","Shower Tray"
"52fce03c-c0e4-4d4a-86b1-50005efeb8dc","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A103","Kitchen"
"36553f69-30f3-4bc2-a616-8c195e5b5a6c","","checklist-flat","not-started","Kitchen Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A103","Kitchen","Kitchensink checklist"
"c10bc155-b6e6-4b0f-81a7-38871f5e960a","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A103","Laundry"
"f209c6c5-15b5-4199-88a9-1412aad0c874","","checklist-flat","not-started","Laundry","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A103","Laundry","Laundry"
"49523035-421a-46f8-81d6-443b3b383dac","","checklist-flat","not-started","FWG First Fix Checklist","checklist-flat","TRUE","TRUE","Building A","Level 1","Unit A103","Laundry","FWG"
"91d908e8-54e5-4ffe-baf7-b26fb53bc49e","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A103","Hot Water Cylinder"
"76bc0a47-7e71-4049-9f29-6940234bad20","","checklist-flat","not-started","Hot Water Cylinder Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A103","Hot Water Cylinder","HWC"
"33f93693-e5c2-4545-9aab-b66abe2281e5","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A103","Underslung"
"1144a57e-f531-4726-b1f1-83ab7a7e34d4","","checklist-flat","not-started","Underslung Pvc","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A103","Underslung","Underslung Pvc"
"8d1d16e7-09fe-43bd-aaed-2db4c30ab2e1","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A103","Acoustic Lagging"
"5d0aeff8-939f-4751-86ec-4f90d844cd5c","","checklist-flat","not-started","Acoustic Lagging Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A103","Acoustic Lagging","Acoustic Lagging Checklist"
"e41994f1-a02a-4d72-b258-66f16df744cb","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A104"
"8b24b69d-8bff-42da-bc86-9e6f15e1fb8d","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A104","Bathroom"
"115fa236-3fcb-4d08-9d8b-aece188fd34b","","checklist-flat","not-started","Toilet Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A104","Bathroom","Toilet"
"6cfeffbc-63be-4c75-a65f-c5d1bcc3ecb6","","checklist-flat","not-started","Laundry","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A104","Bathroom","Wash Hand Basin"
"636aa989-0739-4e00-9685-9d7874bf08ab","","checklist-flat","not-started","Shower Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A104","Bathroom","Shower"
"77124209-e634-45d1-b266-f90b3498a814","","checklist-flat","not-started","FWG First Fix Checklist","checklist-flat","TRUE","TRUE","Building A","Level 1","Unit A104","Bathroom","FWG"
"aa492af4-4e5e-4d62-bb98-5c594ecf10f9","","checklist-flat","not-started","Shower Tray","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A104","Bathroom","Shower Tray"
"49df0f7a-ab32-40a2-9852-670a47d8c947","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A104","Kitchen"
"93a41ca4-264d-47c1-afd9-39d36ed458ba","","checklist-flat","not-started","Kitchen Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A104","Kitchen","Kitchensink checklist"
"d5dbfc7d-da31-4458-a682-6aff6b8b9fbf","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A104","Laundry"
"f88f1b86-0b02-450a-a6dd-e479400699ea","","checklist-flat","not-started","Laundry","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A104","Laundry","Laundry"
"eaad19e2-33f4-4cdb-8593-fab6a0b6ccf5","","checklist-flat","not-started","FWG First Fix Checklist","checklist-flat","TRUE","TRUE","Building A","Level 1","Unit A104","Laundry","FWG"
"dbcbeac4-bde7-4f84-9346-ea0fb2ec3599","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A104","Hot Water Cylinder"
"1289576a-7636-4b63-bf5b-8b50b5806dbc","","checklist-flat","not-started","Hot Water Cylinder Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A104","Hot Water Cylinder","HWC"
"8a0a06ca-4bff-4d78-b26b-f22c4e69b26e","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A104","Underslung"
"297918d9-f756-4431-aa1a-d903fd9930a4","","checklist-flat","not-started","Underslung Pvc","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A104","Underslung","Underslung Pvc"
"adac16d1-6fc8-4de6-91a4-58211403958d","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A104","Acoustic Lagging"
"7eb537eb-e21d-4d22-8ec1-4ca53a8e6ebb","","checklist-flat","not-started","Acoustic Lagging Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A104","Acoustic Lagging","Acoustic Lagging Checklist"
"e68f3c58-4a0e-49d7-a2f2-03ab21265051","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Corridor"
"3c6adcd0-9bb6-4686-8518-e80ba66d8404","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Building A","Level 1","Corridor","Photos"
"ed1836f1-a8d0-4070-a150-5665f90aeefe","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A105"
"103fcdbb-b979-49fb-8a60-c03721f64dbb","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A105","Bathroom"
"ef7e5141-7319-4aff-ae45-9bc2dac8b80a","","checklist-flat","not-started","Toilet Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A105","Bathroom","Toilet"
"6bca07c9-b163-4d19-ab3f-fda126eee381","","checklist-flat","not-started","Laundry","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A105","Bathroom","Wash Hand Basin"
"36a9f46a-bf5d-43a8-a0e7-cb46da7ed185","","checklist-flat","not-started","Shower Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A105","Bathroom","Shower"
"6b8c1c05-5c16-4b33-bf4d-0f656d2dc344","","checklist-flat","not-started","FWG First Fix Checklist","checklist-flat","TRUE","TRUE","Building A","Level 1","Unit A105","Bathroom","FWG"
"0e912e43-28e4-4a64-a25d-1a6e515af499","","checklist-flat","not-started","Shower Tray","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A105","Bathroom","Shower Tray"
"381a981e-f8da-4e99-91cc-d214e3aa351e","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A105","Kitchen"
"47204eff-8e5c-41cd-a815-beba911240d0","","checklist-flat","not-started","Kitchen Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A105","Kitchen","Kitchensink checklist"
"111db33f-3340-4b33-a625-b4585e2a511c","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A105","Laundry"
"a4403a35-6fe0-4897-af2e-389e5ce89940","","checklist-flat","not-started","Laundry","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A105","Laundry","Laundry"
"37db817f-d0e5-4506-943d-e3cef6162a9d","","checklist-flat","not-started","FWG First Fix Checklist","checklist-flat","TRUE","TRUE","Building A","Level 1","Unit A105","Laundry","FWG"
"a3d8ee71-0487-40b2-b22e-43efa7c9fff4","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A105","Hot Water Cylinder"
"f7a9cf43-3aa6-47dd-a3bd-7143b9d4f25d","","checklist-flat","not-started","Hot Water Cylinder Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A105","Hot Water Cylinder","HWC"
"41f902b8-7ce3-4dc1-b960-00c65f4e3a28","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A105","Underslung"
"02af7476-3141-4513-8da8-a074b71d7658","","checklist-flat","not-started","Underslung Pvc","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A105","Underslung","Underslung Pvc"
"6a43b255-4758-433c-ad61-76010d741a2a","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A105","Acoustic Lagging"
"40484762-4553-47c6-92c1-dc37e7702bde","","checklist-flat","not-started","Acoustic Lagging Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A105","Acoustic Lagging","Acoustic Lagging Checklist"
"eeef2771-bbd6-49be-9652-433f1f49e7fe","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A106"
"d81d0c1b-66ab-40d3-baaf-f9c9a661787f","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A106","Bathroom"
"d5471eec-e55e-466e-a858-a9e48d9a91c5","","checklist-flat","not-started","Toilet Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A106","Bathroom","Toilet"
"f6734435-7682-424e-aff0-4224fef325b2","","checklist-flat","not-started","Laundry","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A106","Bathroom","Wash Hand Basin"
"a33826a0-0d83-471b-98c4-f5d3f0b1fea8","","checklist-flat","not-started","Shower Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A106","Bathroom","Shower"
"0a3e7f65-680f-4bb2-90a9-94383d8fa0fa","","checklist-flat","not-started","FWG First Fix Checklist","checklist-flat","TRUE","TRUE","Building A","Level 1","Unit A106","Bathroom","FWG"
"7e0d1dc7-2b09-4792-a98d-3ea5e0a73a4a","","checklist-flat","not-started","Shower Tray","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A106","Bathroom","Shower Tray"
"e0af8174-0bef-453a-8ee0-77dcf05b3815","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A106","Kitchen"
"ee831eef-9f2b-4b4e-94e7-8de6d95a03d4","","checklist-flat","not-started","Kitchen Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A106","Kitchen","Kitchensink checklist"
"8284aa54-da16-4cf5-99e2-1f68564897d3","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A106","Laundry"
"00d4dfd5-5d76-4a11-9481-7436a4b941ce","","checklist-flat","not-started","Laundry","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A106","Laundry","Laundry"
"b4c83ff0-6fe1-4fd6-b7af-63bdfbe46a40","","checklist-flat","not-started","FWG First Fix Checklist","checklist-flat","TRUE","TRUE","Building A","Level 1","Unit A106","Laundry","FWG"
"1b016028-e9d1-4cdc-8542-931c47aec861","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A106","Hot Water Cylinder"
"20e576b9-fe9f-49bc-a12d-069b133a31d4","","checklist-flat","not-started","Hot Water Cylinder Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A106","Hot Water Cylinder","HWC"
"9ed8a982-4f21-4de3-9161-e3559377897a","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A106","Underslung"
"93b4864a-a6fc-493b-93f5-d7e95eb24014","","checklist-flat","not-started","Underslung Pvc","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A106","Underslung","Underslung Pvc"
"071d552f-d10b-46e3-995b-8d5372f47add","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A106","Acoustic Lagging"
"0130e94c-33ab-47cb-b541-49f7478af3ca","","checklist-flat","not-started","Acoustic Lagging Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A106","Acoustic Lagging","Acoustic Lagging Checklist"
"7c7df43b-0e7f-41e7-8af2-ced35bef147a","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A107"
"83c58774-ff1d-4d7d-897a-069eedaab047","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A107","Bathroom"
"794aa337-53c6-4007-ade1-4bbf57b1d921","","checklist-flat","not-started","Toilet Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A107","Bathroom","Toilet"
"f7962ff4-4f7f-4dd3-bbb1-b78a0c776ddf","","checklist-flat","not-started","Laundry","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A107","Bathroom","Wash Hand Basin"
"e5656565-83d7-4c8f-909f-dc0ebe43ebeb","","checklist-flat","not-started","Shower Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A107","Bathroom","Shower"
"3d2c21cd-7c14-4704-a2dc-92d03ad4d925","","checklist-flat","not-started","FWG First Fix Checklist","checklist-flat","TRUE","TRUE","Building A","Level 1","Unit A107","Bathroom","FWG"
"2b06fbe9-e5e2-4443-846e-7950b34aecc4","","checklist-flat","not-started","Shower Tray","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A107","Bathroom","Shower Tray"
"4f7321c9-2f3c-496d-b738-4ccc952b5fc7","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A107","Kitchen"
"80e6f203-fd61-4c42-bb38-a4188a090a9f","","checklist-flat","not-started","Kitchen Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A107","Kitchen","Kitchensink checklist"
"51888595-ee68-4726-8742-53cb75039ef9","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A107","Laundry"
"351c7df3-1c96-4447-bbc0-a8a4524e5e69","","checklist-flat","not-started","Laundry","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A107","Laundry","Laundry"
"d4b5034a-da55-4704-ad8e-589b41978b97","","checklist-flat","not-started","FWG First Fix Checklist","checklist-flat","TRUE","TRUE","Building A","Level 1","Unit A107","Laundry","FWG"
"e49bbe06-afef-4121-bca1-fb92b0472431","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A107","Hot Water Cylinder"
"d6a78438-14c2-47ba-a365-e2ab8fd479e1","","checklist-flat","not-started","Hot Water Cylinder Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A107","Hot Water Cylinder","HWC"
"e33fe6e0-db4a-47d3-bb1d-3e665a0a1824","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A107","Underslung"
"ca42e976-47fc-4c5f-ae8b-840bd1e62e2a","","checklist-flat","not-started","Underslung Pvc","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A107","Underslung","Underslung Pvc"
"1ec13992-cd1a-42d2-b13d-e3633f81cad9","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A107","Acoustic Lagging"
"74dfa0d3-a3e5-4249-8fc5-6fc381da8d34","","checklist-flat","not-started","Acoustic Lagging Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A107","Acoustic Lagging","Acoustic Lagging Checklist"
"6433638b-840d-408c-b989-b8a0c027a64a","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A108"
"43bceabc-7eba-4181-8c42-88f0a88f6ed9","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A108","Bathroom"
"758f8886-514e-4b6c-903a-6a3f93e9381d","","checklist-flat","not-started","Toilet Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A108","Bathroom","Toilet"
"e1b024b2-9f38-4323-968c-93340d852e8d","","checklist-flat","not-started","Laundry","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A108","Bathroom","Wash Hand Basin"
"fa7eadea-3856-4071-82e5-e56e2acab5f0","","checklist-flat","not-started","Shower Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A108","Bathroom","Shower"
"02a0a7db-5224-4880-9280-480e0dbdfe0d","","checklist-flat","not-started","FWG First Fix Checklist","checklist-flat","TRUE","TRUE","Building A","Level 1","Unit A108","Bathroom","FWG"
"4db8fd2a-bcd4-4b4d-b522-c28a84e257a7","","checklist-flat","not-started","Shower Tray","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A108","Bathroom","Shower Tray"
"742549b5-f1f2-4043-806b-9049e6a77c5a","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A108","Kitchen"
"7a6a3dde-fab2-4587-8520-736ce81e8aa9","","checklist-flat","not-started","Kitchen Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A108","Kitchen","Kitchensink checklist"
"f8891e3a-2e7b-4848-9995-a55cb6b12104","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A108","Laundry"
"c06d7729-b79d-4787-afec-8ac29ca28dd2","","checklist-flat","not-started","Laundry","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A108","Laundry","Laundry"
"3f1275dc-abd3-4d1d-8b68-360bdab2d0fb","","checklist-flat","not-started","FWG First Fix Checklist","checklist-flat","TRUE","TRUE","Building A","Level 1","Unit A108","Laundry","FWG"
"33662492-42ae-4662-b2a7-334e990baa79","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A108","Hot Water Cylinder"
"3f6fe17d-2832-4513-bd21-4288a6b4795e","","checklist-flat","not-started","Hot Water Cylinder Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A108","Hot Water Cylinder","HWC"
"d517cc1a-2ef6-4c45-97ca-79b108323b09","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A108","Underslung"
"c384ee4c-573b-4a30-a88c-3c46ea7526b2","","checklist-flat","not-started","Underslung Pvc","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A108","Underslung","Underslung Pvc"
"7a5be183-5b64-446d-ab5e-4520dc99aadc","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A108","Acoustic Lagging"
"2665b15e-7955-4f37-b4c4-94f4203067b0","","checklist-flat","not-started","Acoustic Lagging Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A108","Acoustic Lagging","Acoustic Lagging Checklist"
"7ab40569-4669-43f0-ad53-91303f2ec8a1","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 2"
