"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1aaed0a5-fc27-470d-ad90-a08ba3523b78","","fail","","folder","TRUE","FALSE","Site QA"
"c297c7aa-cdbc-4f11-8f95-f5215168c7eb","","fail","","folder","TRUE","FALSE","Site QA","Multigate Office"
"75865981-7e93-491b-ba1b-6df16f3d58e7","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure"
"81e3d7c0-4f4e-422a-ae17-d94b07ca5b8b","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)"
"0261fff3-f86e-4c19-bda6-ce59be8ed14a","","pass","Excavation - GPL-QSE-ITP-STRUC-003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East"
"5ba8777d-e62e-59a1-a9e5-3a3a34cd11a9","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Prior to Works"
"f9cab14f-8cba-5a1e-9158-0cceac79bd5d","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","During Works"
"7ae51c42-3772-5dad-a0fa-9691e04c69e6","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","During Works","Collection of tip dockets if required"
"06cd7cb1-68b7-5797-a67e-86f7b3b5465a","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","During Works","Confirm progressive set out of basement line (typically at 3m drops - attach survey plans)"
"0df8b9e4-e280-5b0a-bcc1-f8f3c93b7392","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","During Works","Confirm progressive Geotech inspections (typically at 3m drops - attach report and associated closeouts)"
"269cd703-d567-55e9-831b-1bc6949e61af","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","During Works","Confirm anchor set out and type (if required)"
"d7e8dd6e-4202-5222-a7b5-2ad3d37178a0","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","During Works","Confirm anchor depth and angle (if required)"
"70067b5d-dea3-5a0d-ac49-38a760b2de6c","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","During Works","Confirm anchor grout strength prior to stressing (if required)"
"13dbe398-7f27-5fae-9808-02b9718c666c","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","During Works","Confirm dowel and reo detail to shotcrete (if required)"
"bee635b4-b902-53e0-bfbc-729b0e179953","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","During Works","Attach Principal Structural Engineer Inspection Report, and confirm that all actions are closed out with photos sent to engineer"
"3eac0d91-e2d2-52ee-9f84-0886f84d1c02","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","During Works","Confirm correct concrete supplied (attach docket)"
"ff71639d-d73b-5c83-a69f-45cc786bf07e","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","During Works","Confirm thickness and finish to shotcrete is as per design"
"e064e144-8544-5744-810a-57222e68fab5","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","During Works","Confirm RL at bulk excavation level"
"5af6ddcd-00f1-55a6-bb31-baf8a7218145","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","During Works","Geotech inspection and bearing capacity at bulk excavation level"
"d4041ba3-db53-5ab8-8356-dd858be6f9ff","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","During Works","Confirm subbase is compliant with engineers requirements"
"9ada6c6e-9d4e-5e23-a806-1ccbd766a3f8","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","During Works","Civil/Structural Engineer inspection"
"3472eb01-60f7-5c50-99e6-7486e8c7c8bb","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","After Works"
"af15bdd7-0219-5e53-9d02-45e363d18cfd","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","After Works","Attach Subcontractor ITP"
"b4ca34c4-36b9-5619-989d-44e16b4ec148","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Sign Off"
"42a7ee53-b455-5660-8bfa-9d453fbae0e6","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Sign Off","Orwell Sign Off"
"336edef7-f09c-5b17-b4c4-46c9b79dd6cb","","pass","","signoff","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Sign Off","Request Sign Off"
"b1524db2-e7da-4ca3-ba97-eb9d5212200f","","pass","Excavation - GPL-QSE-ITP-STRUC-003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West"
"ba2d4d0b-45a4-5c00-b6bc-e8378e8cc07e","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","Prior to Works"
"b0c2d141-e91c-576f-b692-ae90742baac2","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","Prior to Works","Attach markup plan of extent of excavation covered by this ITP"
"3c389a2b-77aa-57ee-850b-d5f64ac1466b","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","Prior to Works","Confirm Dial-Before-You-Dig has been received (attach plans)"
"65358855-719c-5bf8-9fdd-b00f45ba7f19","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","Prior to Works","Confirm existing service scan has been completed (attach survey report)"
"4ab6ed50-d49f-5288-95a0-681c2bbd0bf1","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","Prior to Works","Confirm if any hand digging excavation is required close to underground services"
"a0145654-931f-5859-b311-5197000b7905","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","Prior to Works","Confirm set-out of site boundary, excavation line and RL datum (attach survey plan)"
"6ba934d0-ec82-5cb2-806f-6ded19c9d33c","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","Prior to Works","Confirm existing water table RL"
"dcffd000-df56-5e7c-a32c-35e3b50d2f2c","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","Prior to Works","Confirm dewatering requirements & methodology (if required)"
"4cb5f79f-66b5-57c6-8566-71d76a875bb2","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","Prior to Works","Obtain approval for temporary anchors outside the site boundary (if required)"
"02abdded-1581-5753-88f8-b27393af3bae","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","Prior to Works","Confirm vibration limits and monitoring requirements"
"118ca8bc-d755-5466-b9c5-1a46dd493ae6","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","Prior to Works","Confirm noise limits and monitoring requirements"
"7068da04-72c8-5ca2-9328-7e324d8b1d79","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","Prior to Works","Confirm working hours and equipment limitations"
"9588f29a-f5da-5ccb-9e01-7134d0ccd2e4","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","Prior to Works","Confirm soil testing has been undertaken and tipping classification report received (attach report)"
"190fd906-e50a-5d2e-b33d-8d4eea2e3700","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","During Works"
"d0dd8959-1c0a-5d3b-b760-d9ad227e5d58","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","During Works","Collection of tip dockets if required"
"3ad5d031-35a1-5471-9c7c-4d2d5454e449","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","During Works","Confirm progressive set out of basement line (typically at 3m drops - attach survey plans)"
"dd318a69-c289-5638-917e-338f70306845","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","During Works","Confirm progressive Geotech inspections (typically at 3m drops - attach report and associated closeouts)"
"eba809b1-e844-5ad5-9f17-74c72a246a0d","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","During Works","Confirm anchor set out and type (if required)"
"ab3b9955-a261-5467-abb3-db67a0a9ab32","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","During Works","Confirm anchor depth and angle (if required)"
"d608864e-7de6-5435-8a70-80035f1cabaf","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","During Works","Confirm anchor grout strength prior to stressing (if required)"
"ca3cc151-25bf-503f-8f8c-37152fe49b5f","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","During Works","Confirm dowel and reo detail to shotcrete (if required)"
"009c3005-b0ee-517c-aed7-123923c25716","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","During Works","Attach Principal Structural Engineer Inspection Report, and confirm that all actions are closed out with photos sent to engineer"
"c9497ea8-665e-59b2-9f64-2efb1bc280a4","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","During Works","Confirm correct concrete supplied (attach docket)"
"38b68c31-4508-5d01-b87e-cee6037f2207","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","During Works","Confirm thickness and finish to shotcrete is as per design"
"d683e457-ddc7-5f14-a399-17cb39a6d719","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","During Works","Confirm RL at bulk excavation level"
"13596bb3-bb16-5301-8205-16bec7f137c7","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","During Works","Geotech inspection and bearing capacity at bulk excavation level"
"fcbd2193-b341-5608-988b-dd8bd5aacebd","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","During Works","Confirm subbase is compliant with engineers requirements"
"85e8d6e7-9ee8-5ee5-813d-7693921af2d7","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","During Works","Civil/Structural Engineer inspection"
"37b7bfdb-75c3-5e10-8a51-3e377e3a2b3a","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","After Works"
"4f34b4a1-67fa-54a3-ac51-16e1d17fd58c","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","After Works","Attach Subcontractor ITP"
"adbab6e2-c8fe-5f0e-add1-fce6e925f51d","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","Sign Off"
"003d020c-43fd-56c4-9fbc-517462642afb","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","Sign Off","Orwell Sign Off"
"53c05200-4826-542f-bfd8-324141336aa5","","pass","","signoff","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West","Sign Off","Request Sign Off"
"49f58d6b-32bb-4fd4-b6f7-4db91ac92d68","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Piling"
"6a5b4f8f-ac24-4094-905a-1f8f65a004d3","","pass","Piling - GPL-QSE-ITP-STRUC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Piling","East"
"5caa5369-55dd-5c35-9529-e4879aa8a1d6","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Piling","East","Prior to Works"
"6581d53f-5f67-56fc-99d7-86454fb6d547","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","Prior to Works","Attach markup plan of piles covered by this ITP"
"1b19e3ce-e668-5491-a6b0-806ef4063e8a","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","Prior to Works","Confirm Dial-Before-You-Dig has been received (attach plans)"
"1cafd8f4-74da-5a89-958f-576cb43e24ca","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","Prior to Works","Confirm existing service scan has been completed (attach survey report)"
"bf211a8f-8a1a-5c49-97a5-b3db15a3fa35","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","Prior to Works","Obtain certification for the piling mat from Geotech (attach certificate)"
"43eeeaff-7f6e-5f2e-b921-b709f4993314","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","Prior to Works","Confirm vibration limits and monitoring requirements"
"3eaebc7f-337b-532e-ac59-7cb23f388510","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","Prior to Works","Confirm RL’s of top of piles"
"cc53cf90-ab98-50d9-a774-947a36885fe7","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","Prior to Works","Confirm set-out of piles and/or recovery marks has been completed (attach survey plan)"
"c190e0df-6bee-520b-b9c6-268d38e8e6ac","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","Prior to Works","Confirm MPa, slump and agg size of concrete"
"a1726401-be39-5d95-b558-49d404d07aad","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","Prior to Works","Ensure that adequate exclusion zones are setup during piling operations as per SWMS"
"6f590134-7f76-598f-907d-0660095ee01e","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Piling","East","During Works"
"a2250321-0fe3-57f1-8063-02c7733f3b39","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","During Works","Confirm pile diameters are correct as per plan"
"a766e7a4-2cc5-5097-a59e-dcb19617a8f0","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","During Works","Confirm pile cages installed are correct as per design"
"8cd0a465-cb65-5e4e-a151-3892baaa5503","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","During Works","Confirm correct concrete supplied (attach docket)"
"1d6f35ee-6bb1-55a5-8672-2f789365e1aa","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","During Works","Confirm concrete tester onsite to take samples"
"81c3d880-12fd-5081-af90-445108064566","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","During Works","Ensure reo cage has sufficient cover and starter bars are of sufficient length"
"6c17c480-b0d9-5721-993f-65532c286eac","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Piling","East","After Works"
"0ea5b886-0717-54e1-97a3-18ba0bcc591e","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","After Works","Obtain as-built survey of piling positions and top of piles RL (attach survey)"
"061bc818-2573-57a8-a328-2a8f1cf7cae7","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","After Works","Confirm tolerance of piles are as follows:"
"dc811451-f390-58f8-98c5-95e683fc73f1","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","After Works","Obtain 7 day concrete crush tests results (attach)"
"660b6666-5a26-5c7b-8182-907ed136dc38","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","After Works","Obtain 28 day concrete crush tests results (attach)"
"23dde7a2-ef85-5ba8-8b0a-e9d8dc302e0a","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","After Works","Attach Piling Subcontractor ITP"
"2f2ad397-2cd4-5716-b95d-1437204f65b3","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Piling","East","Sign-Off"
"4bc06cd3-68c1-5dc8-ad3f-d1386e8eb5e1","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","Sign-Off","Orwell Sign Off"
"53fdc94b-5738-51da-b6d5-93c882313d51","","pass","","signoff","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","East","Sign-Off","Request Sign Off"
"ac23b338-367d-4aa8-8191-cc6b7d2a11f5","","pass","Piling - GPL-QSE-ITP-STRUC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Piling","West"
"47e845f6-9d32-5a43-a1a1-e28fe224806b","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Piling","West","Prior to Works"
"2a2dd85b-d8a1-5c56-9ca3-9b066380824c","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","Prior to Works","Attach markup plan of piles covered by this ITP"
"0d313e6e-de35-5aef-9eb2-22e05aa777c9","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","Prior to Works","Confirm Dial-Before-You-Dig has been received (attach plans)"
"1d05abfc-e8f9-53c8-93bd-0b36496643fe","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","Prior to Works","Confirm existing service scan has been completed (attach survey report)"
"58f542e8-66ca-5baf-a910-861afbf73e99","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","Prior to Works","Obtain certification for the piling mat from Geotech (attach certificate)"
"a6c6a894-033f-534d-a9f0-6164c9cdc57b","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","Prior to Works","Confirm vibration limits and monitoring requirements"
"fedd60a1-559a-5690-8456-944a6d74576b","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","Prior to Works","Confirm RL’s of top of piles"
"a1db7923-db81-5b42-97d5-8756cf7521be","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","Prior to Works","Confirm set-out of piles and/or recovery marks has been completed (attach survey plan)"
"a792ea26-ab7d-5dbb-a424-6f740bf3ed8e","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","Prior to Works","Confirm MPa, slump and agg size of concrete"
"0807ae1a-e526-51c2-8eaa-99b917accabe","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","Prior to Works","Ensure that adequate exclusion zones are setup during piling operations as per SWMS"
"fdbfc9e6-d30c-5244-8fdd-951f2ef4e8c5","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Piling","West","During Works"
"f8353ea1-a372-589d-94b1-7d0cd84eaf1e","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","During Works","Confirm pile diameters are correct as per plan"
"fa5147d6-d135-58ae-ba41-025fd2ab315f","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","During Works","Confirm pile cages installed are correct as per design"
"38ccf373-5d86-5217-9004-efd80717fc10","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","During Works","Confirm correct concrete supplied (attach docket)"
"01d7d6f3-b96a-5233-ac41-59c68c0b33cf","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","During Works","Confirm concrete tester onsite to take samples"
"019e8fd8-fa50-5eb6-9588-50ed29e90991","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","During Works","Ensure reo cage has sufficient cover and starter bars are of sufficient length"
"1124c18e-01c4-5a33-808f-67bc321fffba","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Piling","West","After Works"
"1f31e6d9-9aee-59c5-ae94-c42172c74282","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","After Works","Obtain as-built survey of piling positions and top of piles RL (attach survey)"
"e465e5cd-ccf2-5a95-8f4e-074bfa376de8","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","After Works","Confirm tolerance of piles are as follows:"
"936330bb-2ad3-56b8-82ff-f2cb1df1f9a5","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","After Works","Obtain 7 day concrete crush tests results (attach)"
"2c836618-663f-5abe-825f-bc8266091010","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","After Works","Obtain 28 day concrete crush tests results (attach)"
"c142d4b7-3382-592b-ba03-334b947f261a","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","After Works","Attach Piling Subcontractor ITP"
"7d773722-e76e-572e-b5cd-5283da2e7057","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Piling","West","Sign-Off"
"514fe36c-11e8-5877-b33b-2133ca476ffb","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","Sign-Off","Orwell Sign Off"
"c1b56ca5-5139-5c6c-91b7-fb58bee4f011","","pass","","signoff","TRUE","TRUE","Site QA","Multigate Office","Structure","Piling","West","Sign-Off","Request Sign Off"
"93ac8b39-31a9-4e99-8dcb-d8363b7ac79a","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Footings"
"da59ea2a-dd51-4e1b-818c-a778fbc56c9b","","pass","Footings & Bases - GPL-QSE-ITP-STRUC-004 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Footings","OSD Base"
"54c588b1-933a-5a88-9f99-8c2ca452b0a4","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Footings","OSD Base","Prior to Works"
"16802aa7-1120-5cdb-bf94-58c3419ec8ae","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Footings","OSD Base","Prior to Works","Attach markup plan of footings & bases covered by this ITP"
"76739e9d-6905-5a51-b2f0-89b0a2e1f899","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Footings","OSD Base","Prior to Works","Confirm set-out of footings & bases has been completed (attach survey plan)"
"20cf39f4-f8e1-5ad1-b056-8a0c58d0ab54","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Footings","OSD Base","Prior to Works","Confirm RL of underside of footing & bases"
"3dfb5011-7802-5ccf-99a7-825513397c46","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Footings","OSD Base","Prior to Works","Geotech inspection and bearing capacity of base"
"75ab7fd0-b65c-58eb-b3b2-d156f21e7e9a","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Footings","OSD Base","Prior to Works","Confirm MPa, slump and agg size of concrete"
"5c796feb-672d-5353-bedf-aed27dc7047b","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Footings","OSD Base","Prior to Works","Check quantity of concrete required prior to ordering"
"e3d073d5-03ca-5146-89bb-e77bab74ffed","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Footings","OSD Base","During Works"
