"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1aaed0a5-fc27-470d-ad90-a08ba3523b78","","fail","","folder","TRUE","FALSE","Site QA"
"c297c7aa-cdbc-4f11-8f95-f5215168c7eb","","fail","","folder","TRUE","FALSE","Site QA","Multigate Office"
"75865981-7e93-491b-ba1b-6df16f3d58e7","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure"
"81e3d7c0-4f4e-422a-ae17-d94b07ca5b8b","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)"
"3167872c-9258-44d4-96bd-6c31fed013e5","","pass","Slab on Ground - GPL-QSE-ITP-STRUC-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 1 (Ground)","SOG (C)"
"ab7319a6-3fe9-4b7a-a691-e0c8ae081c28","","pass","Slab on Ground - GPL-QSE-ITP-STRUC-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 1 (Ground)","SOG (D)"
"057116a2-044d-4e11-a509-f43daec335bf","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 1 (Ground)","Suspended Slab over OSD"
"37ebede8-afc9-4d16-a38b-acaad40c78a3","","pass","Structure Handover to Fitout - GPL-QSE-ITP-STRUC-010 (REV 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 1 (Ground)","Structure Handover"
"091da3b1-5bcb-48a4-b3c4-ea8c8910dbb3","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Level 2"
"60acf242-7f20-4231-a436-85c8adbeb556","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 2","Suspended Slab (A)"
"d5fc7fd3-725f-4ecb-971c-9a3a226709a7","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 2","Suspended Slab (B)"
"4c5f8a3a-e17f-4859-82d9-a5aab5d28942","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 2","Suspended Slab (C)"
"64854fe6-b1a2-47d0-9c4a-5160a1b5ce3b","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 2","Suspended Slab (D)"
"2ffcf271-059a-4a8a-b468-97c5dc3a53ae","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 2","Ramp (L1-2)"
"34f7205f-90e4-44a8-a4b6-43ea56960bc3","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 2","Blade Wall & Columns (L1-2, A)"
"988ffb26-565d-4e37-800d-e9df99ac3a10","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 2","Stair Walls & Columns (L1-2, B)"
"10ad6123-8a18-4588-9ab9-39ca6d82b6e1","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 2","Stair Walls & Columns (L1-2, C)"
"ed74640a-32d8-4c83-afa7-f59f92416018","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 2","Stair Walls & Columns (L1-2, D)"
"5e5e7b94-fc23-417d-a9f1-970f6f4fba2b","","pass","Structure Handover to Fitout - GPL-QSE-ITP-STRUC-010 (REV 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 2","Structure Handover"
"76d37e73-3f23-4737-b549-ed9f462592aa","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Level 3"
"ef5042c3-d42c-453b-955a-b180df949f0d","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 3","Suspended Slab (A)"
"d5bd4d68-65bf-416b-b5b1-3bb26a5f5737","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 3","Suspended Slab (B)"
"483e791f-c7ab-46ab-bee7-9fb06910d95e","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 3","Suspended Slab (C)"
"77bda636-0a28-40e6-8c36-b78ba8413d3c","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 3","Suspended Slab (D)"
"59e3c7d7-4da0-4c93-9fd8-c38755038313","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 3","Ramp (L2-3)"
"75c48725-c3ca-4930-9f93-1038bb216d39","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 3","Blade Wall & Columns (L2-3, A)"
"1b369afc-2f47-4557-84de-f566418a68c9","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, B)"
"d8dbd808-bc08-4f10-a9cf-c58edc51012d","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, C)"
"d79d0e98-426d-4c50-b979-6f58d23cc7f3","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)"
"3d4ce310-6189-46d0-9c13-691af048994f","","pass","Structure Handover to Fitout - GPL-QSE-ITP-STRUC-010 (REV 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 3","Structure Handover"
"d17a34fd-8b4d-4bc3-897d-09d9da1a45c9","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Level 4"
"d8e6b52d-0d19-4100-865b-2e4ff03ddc25","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)"
"b081f3a5-c208-41f0-85e9-bcd08df085c5","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)"
"495af8df-0ab7-4ec5-8afc-16ef3f88c311","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (C)"
"48cf8b91-03c3-456e-ad4b-0ae883368b26","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (D)"
"da7fbf3c-d084-47ca-8343-2cbd1a8e1019","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Ramp (L3-4)"
"9311ef5f-fc82-4c4c-86d3-c58e2db7bc06","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Blade Wall & Columns (L3-4, A)"
"e37248ab-8313-42fb-a805-36ce55a36569","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Stair Walls & Columns (L3-4, B)"
"8e3ffa1d-d0fc-4e6c-a030-e5ae7954daeb","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Stair Walls & Columns (L3-4, C)"
"7610f6a8-9cef-4d9f-bf8f-5837386a1ae3","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Stair Walls & Columns (L3-4, D)"
"f358aa3a-5756-4ee0-a4e7-9993f7db718a","","pass","Structure Handover to Fitout - GPL-QSE-ITP-STRUC-010 (REV 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Structure Handover"
"049dd98f-73dc-4eda-a084-2a38ea35a4a2","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Level 5 (Roof)"
"34935715-5be8-4955-ac4b-c772add2318e","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 5 (Roof)","Suspended Slab (A)"
"c20d8bb1-be64-4324-915b-ace992115eb9","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 5 (Roof)","Suspended Slab (B)"
"a54b63e5-f343-4900-b484-ad022660a83f","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 5 (Roof)","Suspended Slab (C)"
"786d3401-ba2d-45d2-8c0b-66401d61467f","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 5 (Roof)","Suspended Slab (D)"
"acd89a88-4cf5-4487-9516-732689549820","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 5 (Roof)","Ramp (L4-5)"
"bc49fde7-88f8-401c-b13e-48346e672fbd","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 5 (Roof)","Blade Wall & Columns (L4-5, A)"
"450ba976-7f0c-4a1b-b7cb-4c27dad53b80","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 5 (Roof)","Stair Walls & Columns (L4-5, B)"
"f7a7b1ff-767e-442d-a1ff-484ecd16123e","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 5 (Roof)","Stair Walls & Columns (L4-5, C)"
"2504e216-cdb1-4e81-9d61-f2615484ebe4","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 5 (Roof)","Stair Walls & Columns (L4-5, D)"
"41697504-1bb9-4d4d-b5d2-384fd9bfe478","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 5 (Roof)","Stair Core Lids"
"afbfd236-3cac-4bfe-8ee6-6f6b0eaa7107","","pass","Structure Handover to Fitout - GPL-QSE-ITP-STRUC-010 (REV 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 5 (Roof)","Structure Handover"
"e315fda3-a0d9-484d-b163-855c0034afe8","","fail","","folder","TRUE","FALSE","Site QA","Multigate Office","Facade"
"bfead04e-edee-4cc3-ae66-660aef52e794","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Facade","North Elevation"
"27b8b377-746c-493b-bbce-a911e804459a","","work-in-progress","Louvres & Screens - GPL-QSE-ITP-FAC 003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","North Elevation","Facade Screen PS01 (Level 3-5)"
"0f2cbc30-3421-4a1a-888d-604754446247","","work-in-progress","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","North Elevation","Curtain Wall Window (Level 1-3)"
"4b15297c-5f91-47a5-b199-383124c0d780","","work-in-progress","Stone Cladding - GPL-QSE-ITP-FAC 004 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","North Elevation","Sandstone Cladding (Level 1-3)"
"cbddfc9a-10f9-4aa6-b82e-27b4c9db6058","","work-in-progress","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","North Elevation","Reception Windows "
"1f6788ca-a72b-4565-a27f-e248e4bd7d2d","","fail","","folder","TRUE","FALSE","Site QA","Multigate Office","Facade","East Elevation"
"83a7acff-1d55-4e68-bf7a-9dd55f489151","","work-in-progress","Louvres & Screens - GPL-QSE-ITP-FAC 003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","East Elevation","Facade Screen PS01 (Level 3-5)"
"c2c948cc-6ae5-4e09-92d7-859bf44b1fa4","","work-in-progress","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","East Elevation","Curtain Wall Window (Level 1-3)"
"6eed2d9d-2f6f-4c7d-ae3c-cffdd48715b5","","fail","Structural Steel - GPL-QSE-ITP-STRUC-011 (REV 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","East Elevation","Structural Steel to Lift 01"
"d1b0d7dc-1e18-40fd-b4b8-1ae472a96f9d","","work-in-progress","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","East Elevation","Glazing To Lift Shaft 01"
"f6b31df8-9e9e-4dad-86c2-bfdeb032c2ff","","not-started","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","East Elevation","Level 1 Sub Head & Sub Seal "
"df4d899c-afec-4999-bccb-58787130b8cd","","fail","","folder","TRUE","FALSE","Site QA","Multigate Office","Facade","South Elevation"
"c6c4f6e0-63ee-4976-ba72-fa80f52168af","","work-in-progress","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","South Elevation","Curtain Wall Window (Level 1-2)"
"9091b6d2-9b3d-4f62-8e53-1627f044d7fe","","fail","Façade Cladding - GPL-QSE-ITP-FAC 008 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","South Elevation","Façade Cladding (Level 1-3)"
"cfa24370-c304-4437-9b5d-b324083078e0","","work-in-progress","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","South Elevation","Sub Head & Sub Sill Levels 1 & 2"
"9a2ce2e5-cfce-464c-b2c8-d3a11f5e6217","","work-in-progress","Awnings & Roofing - GPL-QSE-ITP-FAC 006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","South Elevation","Laneway Awning Glazing & Box Gutter"
"6bd821ea-3994-419d-a199-c087dabf5a10","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Facade","West Elevation"
"9c56ff04-978c-4f8b-9af3-78e1d0d52b36","","work-in-progress","Louvres & Screens - GPL-QSE-ITP-FAC 003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","West Elevation","Facade Screen PS01 (Level 3-5)"
"a8e1a027-404a-4819-adba-1e3a374669d7","","fail","","folder","TRUE","FALSE","Site QA","Multigate Office","Facade","Atrium Voids"
"cb4a6821-860b-47cf-809a-4fc939b35be1","","work-in-progress","Louvres & Screens - GPL-QSE-ITP-FAC 003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","Atrium Voids","Facade Screen PS01 (Level 3-5)"
"a4918c83-f996-4010-915d-52a009d38291","","work-in-progress","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","Atrium Voids","Curtain Wall Window (Level 1-3)"
"b6c68fd9-466c-41f3-9e08-ddd21ce11144","","fail","Structural Steel - GPL-QSE-ITP-STRUC-011 (REV 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","Atrium Voids","Structural Steel to Lift 02"
"9f851588-508c-4cd2-86ea-b96ab75fefa7","","fail","Structural Steel - GPL-QSE-ITP-STRUC-011 (REV 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","Atrium Voids","Chimney & Awning Structural Steel"
"dbfe9e7e-a296-4d9d-a452-4a90f9cb562e","","work-in-progress","Louvres & Screens - GPL-QSE-ITP-FAC 003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","Atrium Voids","Chimney Louvres"
"55f5ec84-66b1-4612-85f8-f0aaaeb2a9a4","","work-in-progress","Façade Cladding - GPL-QSE-ITP-FAC 008 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","Atrium Voids","Chimney Façade Cladding"
"34ab8a97-c386-4dc7-a392-75dbad9c78c0","","work-in-progress","Awnings & Roofing - GPL-QSE-ITP-FAC 006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Facade","Atrium Voids","Atrium Awning Glazing & Box Gutter"
"5379b5a1-ecf0-4c78-87d3-531840a35084","","fail","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out"
"e0cad528-f43e-49ae-b5c9-f548333d9abf","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (North)"
"fa58aeab-2920-46ca-b871-4f30cd69b5ff","","pass","Plasterboard Walls - GPL-QSE-ITP-FIT-003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (North)","Riser Walls"
"3da11e0d-0566-43a5-8cc4-63557c24d504","","pass","Internal Masonry - GPL-QSE-ITP-FIT-02 (Rev00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (North)","Masonry Walls"
"127ac397-3cdc-429d-879a-b3021f698422","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (North)","Services Rough-In"
"ef239c28-acce-4aa0-9246-187cb8c78c68","","pass","Hydraulic Rough-in - GPL-QSE-ITP-FIT-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (North)","Services Rough-In","Hydraulic"
"95b1ed78-a85d-43d3-b695-cddde00f0bee","","pass","Mechanical Rough In - GPL-QSE-ITP-FIT-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (North)","Services Rough-In","Mechanical"
"8ecfbb50-f066-4f59-93c4-21e713765bf3","","pass","Electrical Rough In - GPL-QSE-ITP-FIT-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (North)","Services Rough-In","Electrical"
"003bae4b-0e11-4165-a97b-893ca9d68361","","pass","Fire Services Rough In - GPL-QSE-ITP-FIT-008 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (North)","Services Rough-In","Fire Services"
"86368c22-b2c3-4114-888b-dc84255df681","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (North)","Finishes"
"7236bd42-1193-4a2a-88c7-097cbd883500","","pass","Plasterboard Walls - GPL-QSE-ITP-FIT-003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (North)","Finishes","Walls"
"146194ce-595b-4f1c-9bc6-56cd4d95839f","","work-in-progress","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (North)","Finishes","Internal Glazing"
"a2c72c6e-0079-46c4-9f5d-001d338ddfb1","","pass","Plasterboard Ceilings - GPL-QSE-ITP-FIT-004 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (North)","Finishes","Ceilings"
"473cd7d1-fe60-4f09-b7bc-c0152d3dac2d","","work-in-progress","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (North)","Finishes","Tiling to Common Areas"
"d20aea93-6d4e-4ef5-b42f-72a4b81aabc4","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (North)","Wet Areas"
"eb950f7d-2eda-4ba6-bace-1431b341ac52","","pass","Internal Waterproofing - GPL-QSE-ITP-FIT-009 (Rev00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (North)","Wet Areas","Waterproofing"
"fd45a647-55db-485c-b124-d9087ddfba3d","","work-in-progress","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (North)","Wet Areas","Tiling"
"f9a489da-5887-43f3-8541-8c5c340bd32a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (South)"
"d9e6dca6-a34a-4f6b-8aab-2a26804e044d","","work-in-progress","Fire Services Rough In - GPL-QSE-ITP-FIT-008 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (South)","Fire Services Rough In - GPL-QSE-ITP-FIT-008 (Rev 00)"
"0a6c57f3-15f7-41a5-a5a4-b3558ed0bf46","","work-in-progress","Electrical Rough In - GPL-QSE-ITP-FIT-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (South)","Electrical Rough In - GPL-QSE-ITP-FIT-006 (Rev 00)"
"b86849dd-58fd-4e21-ac7a-24420b5b9b70","","work-in-progress","Hydraulic Rough-in - GPL-QSE-ITP-FIT-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (South)","Hydraulic Rough-in - GPL-QSE-ITP-FIT-005 (Rev 00)"
"40573428-c974-4f00-8535-93579499311f","","work-in-progress","Mechanical Rough In - GPL-QSE-ITP-FIT-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (South)","Mechanical Rough In - GPL-QSE-ITP-FIT-007 (Rev 00)"
"4eff5032-46e3-4c2f-b3bc-74dc1de76a44","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (South)","Finishes"
"643e82c7-617b-4bac-9eb3-8ba4da7c5530","","work-in-progress","Plasterboard Walls - GPL-QSE-ITP-FIT-003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (South)","Finishes","Plasterboard Walls - GPL-QSE-ITP-FIT-003 (Rev 00)"
