type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,
checkpoint,Purlin Connector Installation,,,,,,,,,,
label,Mechanical Installation ITC's completed for purlin connector installations,,,,,,,,,,
label,Purlin Connector placed under purlin,,,,,,,,,,
label,Purlin Connectors are screwed together with Four x M10x25 bolts for LC/LT Purlins,,,,,,,,,,
label,Tightened to a torqued value of +/- 5% of 32Nm and pass/fail recorded,,,,,,,,,,
label,Each bolted connection shall be marked after torquing,,,,,,,,,,
label,"K&T to check 100%, United Civil to check 15%, CHINT to check 5%",,,,,,,,,,
checkpoint,Purlin Mounting Checks,,,,,,,,,,
label,Purlins have been placed on top of the girders in correct direction,,,,,,,,,,
label,FS Gen3 Girder Purlin connector bottom attached,,,,,,,,,,
label,FS Flex Claw Installed,,,,,,,,,,
label,"K&T to check 100%, United Civil to check 15%, CHINT to check 5%",,,,,,,,,,
checkpoint,Bolted Connection of Girder and Purlin,,,,,,,,,,
label,Mechanical Installation ITC's are completed for each bolted connection,,,,,,,,,,
label,M10x35 bolt and nut tightened to a torque of +/- 5% of 32Nm ,,,,,,,,,,
label,M21x30 bolt and nut tightened to a torque of +/- 5% of 56Nm,,,,,,,,,,
label,"K&T to check 100%, United Civil to check 15%, CHINT 5%",,,,,,,,,,
section,Post Construction and Handover,,,,,,,,,,
checkpoint,Final Walkthrough & Inspection,,,,,,,,,,
label,Comprehensive Visual Inspection of installed racking system,,,,,,,,,,
label,Compliance with approved design and specifications,,,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,,
checkpoint,Non-Conformance-Reports,,,,,,,,,,
label,"Each Non-Conformance Reported, Rectified & Closed Out",,,,,,,,,,
checkpoint,Punch List,,,,,,,,,,
label,Development of Punchlist with Client and Contractor Representative,,,,,,,,,,
label,Punch List closed out in a timely manor,,,,,,,,,,
checkpoint,Documentation,,,,,,,,,,
label,On completion of the Racking works for this Block,,,,,,,,,,
label,Supply all documentation on completion of the Racking works for the block,,,,,,,,,,
label,"Submission of all test results, ITC's and any as-built drawings",,,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,,
,,,,,,,,,,,
checklist,ITP - Module Installation,itp,,,,,ITP - Module Installation,,,,
section,Location Details,,,,,,,,,,
checkpoint-no-status,Site Reference - Block,,,,,,,,,,
dropdown,Site Reference,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",,,,,,,,,
section,Preconstruction,,,,,,,,,,
checkpoint,Design Review,,,,,,,,,,
label,Verification of Module layout and mounting details,,,,,,,,,,
label,Compliance with approved drawings and structural analysis,,,,,,,,,,
label,Design Approval Documentation,,,,,,,,,,
label,Schletter FS Duo - Fixed Tilt Installation Procedure,,,,,,,,,,
label,01_Maungaturoto_FS2V-23°-12_DUO_EX ,,,,,,,,,,
label,02_Maungaturoto_FS2V-23°-12_DUO_EX,,,,,,,,,,
holdpoint,CHINT Hold Point,,,,,,,,,,
checkpoint,Material Approval,,,,,,,,,,
label,Approval of Solar Module components and hardware,,,,,,,,,,
label,Compliance with material specifications (e.g. certifications & warranties),,,,,,,,,,
label,Material Test Certificates,,,,,,,,,,
holdpoint,CHINT Hold Point,,,,,,,,,,
checkpoint,Racking Inspection,,,,,,,,,,
label,Verify racking system readiness for module installation,,,,,,,,,,
label,Properly installed and inspected as per Racking Installation ITP,,,,,,,,,,
label,Inspection of all tables,,,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,,
checkpoint,Equipment Verification,,,,,,,,,,
label,Inspect equipment and tools for installation,,,,,,,,,,
label,Equipment is functional and calibrated,,,,,,,,,,
label,Equipment Records where applicable,,,,,,,,,,
section,Construction,,,,,,,,,,
checkpoint,Module Handling,,,,,,,,,,
label,Visual inspection of modules for damage during unloading,,,,,,,,,,
label,"No visible cracks, chips, or scratches",,,,,,,,,,
checkpoint,Mounting Hardware,,,,,,,,,,
label,Verify assembly ITCs as per Schletter FS Duo - Fixed Tilt Installation Procedure and secure mounting of hardware,,,,,,,,,,
label,As per manufacturer’s specifications within Schletter FS Duo Installation Manual,,,,,,,,,,
label,Visual Inspection,,,,,,,,,,
checkpoint,Module Mounting,,,,,,,,,,
label,"Check alignment, tilt angle, and secure attachment",,,,,,,,,,
label,Compliance with approved layout and tolerances within Schletter FS Duo Installation Procedure,,,,,,,,,,
checkpoint,"
Align Modules and Tighten Clamps
",,,,,,,,,,
label,Check alignment and verticality of installed frames and modules,,,,,,,,,,
label,Top panel to bottom panel to be between 5-10mm,,,,,,,,,,
label,Horizontally between panels with module clamps: 22mm,,,,,,,,,,
label,Panel clamps torqued to 15Nm and recorded as pass/fail in ITC's,,,,,,,,,,
label,"K&T to check 100%, United Civil to check 15%, CHINT to check 5%",,,,,,,,,,
section,Post Construction and Handover,,,,,,,,,,
checkpoint,Final Walkthrough & Inspection,,,,,,,,,,
label,Comprehensive Visual Inspection of installed modules,,,,,,,,,,
label,Inspect modules for alignment and cleanliness,,,,,,,,,,
label,"No misalignment, defects, or debris",,,,,,,,,,
label,ITC's Completed for each table,,,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,,
checkpoint,Non-Conformance-Reports,,,,,,,,,,
label,"Each Non-Conformance Reported, Rectified & Closed Out",,,,,,,,,,
checkpoint,Punch List,,,,,,,,,,
label,Development of Punchlist with Client and Contractor Representative,,,,,,,,,,
label,Punch List closed out in a timely manor,,,,,,,,,,
checkpoint,Documentation,,,,,,,,,,
label,On completion of the Module works for this Block,,,,,,,,,,
label,Supply all documentation on completion of the Module works for the block,,,,,,,,,,
label,"Submission of all test results, ITC's and any as-built drawings",,,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
