"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"05b1a614-6b42-458d-b173-630463585c6a","","folder-normal","not-started","","step","TRUE","FALSE","Project QA"
"759d80e3-3e53-4ba4-8e02-e0e755684bdf","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","North Elevation"
"e5da91df-c476-4ff0-aadc-5e3f599bd63a","","checklist-sectioned","not-started","QA - Panel Installation","checklist","FALSE","FALSE","Project QA","North Elevation","Installation"
"7c4ee4d7-fd7c-54d2-af5c-758ea1164da3","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","North Elevation","Installation","PRE-START"
"2d2a9a1c-e5ed-5977-963c-d5481fbb6b8c","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","East Elevation","On-site Fabrication","PRE-START"
"3804a05e-adb5-5c9b-a944-e3aebbaed30c","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","On-site Fabrication","PRE-START","Check panel delivered is in accordance with dimensions related to fabrication drawings"
"ddefe7bd-98bf-5523-a48d-1dbee6b59a3e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","On-site Fabrication","PRE-START","Check fold locations are correct to Symonite Shop Drawings and existing structure"
"3e76ff19-62d6-5bee-8644-22a75c4b04d4","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","On-site Fabrication","PRE-START","Ensure correct tooling method used as detailed within fabrication drawings"
"209edf53-5776-52fb-b2f9-9c966157dc83","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","East Elevation","On-site Fabrication","PANEL FABRICATION"
"9df22461-5021-5a02-bf3c-2300fb556bdc","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","On-site Fabrication","PANEL FABRICATION","Panel cut to match existing structure / symonite shop drawing"
"4ded9e46-aea5-560f-8ae8-492dfae0b04c","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","On-site Fabrication","PANEL FABRICATION","Stiffeners cut to correct length"
"199c7d96-80b7-5335-aa32-7b91bc606378","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","On-site Fabrication","PANEL FABRICATION","Panel cleaned / prepared using Aktivator 205 for Sika 522 Adhesive"
"97156b6b-0ed4-5d1c-a59d-6aa59f0e3491","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","On-site Fabrication","PANEL FABRICATION","Stiffeners bonded at correct centres (based on fabrication drawings)"
"7be72d19-d2b1-5e61-8923-874ca07b8a22","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","On-site Fabrication","PANEL FABRICATION","Time taken to allow stiffener bonding to cure as per manufacturer's specification (24hrs)"
"53033cf4-cf66-5326-8ccc-0cd356c71a05","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","On-site Fabrication","PANEL FABRICATION","Gusset installation as per fabrication drawings"
"8353f444-8d4e-4b9c-9abc-24b1669bd121","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","West Elevation"
"fccaa5e8-eb11-4875-ae3f-8e058711c2a6","","checklist-sectioned","not-started","QA - Panel Installation","checklist","FALSE","FALSE","Project QA","West Elevation","Installation"
"bf21fc3c-3702-56be-b30d-24dcaecdc14c","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","West Elevation","Installation","PRE-START"
"c6b06f72-09d4-5f5d-a75f-d8a785f3efaa","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","Installation","PRE-START","Check structure/frame is constructed in accordance with Symonite shop drawings. Ensure set out centres are correct (1465mm East and West, 1415mm North and South)"
"846fcd53-791d-52a7-9d4e-ed2e47f78ad1","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","Installation","PRE-START","Check joinery (by others) and abutments for aligment"
"370ca49e-4c85-59fa-aa4b-ad0757f22b22","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","Installation","PRE-START","Check all flashings (if applicable) installed and fitted as per shop drawings"
"ee799778-3afd-5345-9922-deee1d161a5a","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","Installation","PRE-START","Check building wrap/RAB/insulation/tenmat fitted as required and defect free"
"99306c28-ed43-572c-99af-b62ae9e76c3e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","Installation","PRE-START","Check presence and correct fitment of any other critical elements"
"a152951a-ca8b-504e-93dc-a73b7d5f458d","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","West Elevation","Installation","PRE-CLADDING INSTALLATION"
"ed8b02d2-3ee7-51df-860b-0b6d1943ba86","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","Installation","PRE-CLADDING INSTALLATION","Install base / break flashings as detailed in shop drawings (if required)"
"519155fc-f81c-53ce-a47f-9bf7c3c4382f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","Installation","PRE-CLADDING INSTALLATION","Install Naideck Tape at weather line penetrations"
"a4d149c1-03f5-572f-969e-5965de8c3462","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","Installation","PRE-CLADDING INSTALLATION","Install top hat brackets as detailed plumb and level, use correct fixing as per drawings (ensuring embendment within structure as per shop drawings - note this varies per elevation)"
"0649cefe-90f1-5fba-85a6-c441344ee32e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","Installation","PRE-CLADDING INSTALLATION","Vertical Fixing rails installed as detailed plumb and level, use correct fixing as per drawings"
"745d2736-d835-51c0-bb83-af74feb5236e","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","West Elevation","Installation","PANEL INSTALLATION"
"5c22b946-f6f4-5b83-a472-77d06909d661","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","Installation","PANEL INSTALLATION","Check panel size and identification is correct for location, no defects"
"7b194d9a-8bc8-51c9-beb3-90194a662aab","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","Installation","PANEL INSTALLATION","Fix off panels to rails, use correct fixing as per drawings"
"da018f94-2ef4-5761-829b-d3d551cd9c5e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","Installation","PANEL INSTALLATION","Install closer / vermin flashings as required"
"70cae1c2-dcc1-5ec2-b4ca-5a97802d489d","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","Installation","PANEL INSTALLATION","Install sill flashings below windows, with stabiliser brackets"
"fcb29fff-3969-5d34-b2e2-c9471b7b887b","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","Installation","PANEL INSTALLATION","Install stabiliser brackets to window head flashings where required"
"631e0358-868b-5028-8c61-d698c3693648","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","Installation","PANEL INSTALLATION","Install Sealant and backing rod as per shop drawings (ensuring joints do not exceed 20mm)"
"26e6e4d6-300b-4956-9b5d-ccfda713ef08","","checklist-sectioned","not-started","QA - Panel Fabrication","checklist","FALSE","FALSE","Project QA","West Elevation","On-site Fabrication"
"e794133c-46b4-52e6-b9de-48c40676814a","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","West Elevation","On-site Fabrication","PRE-START"
"464477f0-bffe-5095-ba29-79d134e48ea8","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","On-site Fabrication","PRE-START","Check panel delivered is in accordance with dimensions related to fabrication drawings"
"505efb6d-059c-58fa-aa39-92b839d7cbaf","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","On-site Fabrication","PRE-START","Check fold locations are correct to Symonite Shop Drawings and existing structure"
"50c98234-1abd-5e9d-abf7-137b8b35d218","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","On-site Fabrication","PRE-START","Ensure correct tooling method used as detailed within fabrication drawings"
"1bd1fa36-cb42-5778-a112-67d401c17df8","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","West Elevation","On-site Fabrication","PANEL FABRICATION"
"f260106b-77da-570e-b2b9-61ac94114f34","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","On-site Fabrication","PANEL FABRICATION","Panel cut to match existing structure / symonite shop drawing"
"e689031a-7696-5092-b702-6a9d14bf1575","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","On-site Fabrication","PANEL FABRICATION","Stiffeners cut to correct length"
"d5c0efd2-b072-5cc8-87c8-0a2fae584c58","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","On-site Fabrication","PANEL FABRICATION","Panel cleaned / prepared using Aktivator 205 for Sika 522 Adhesive"
"8f3387d8-f782-59b1-9419-69d2a24ebfe7","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","On-site Fabrication","PANEL FABRICATION","Stiffeners bonded at correct centres (based on fabrication drawings)"
"e607619d-066b-50ab-bb16-eb1833011d25","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","On-site Fabrication","PANEL FABRICATION","Time taken to allow stiffener bonding to cure as per manufacturer's specification (24hrs)"
"fd5d9d5a-2197-5b81-a39c-fda7e82e075d","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","West Elevation","On-site Fabrication","PANEL FABRICATION","Gusset installation as per fabrication drawings"
"c465f6f2-7a8d-4b14-a886-4c38a972d995","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","South Elevation"
"509695ad-3be5-497f-9985-0091a47da8a7","","checklist-sectioned","not-started","QA - Panel Installation","checklist","FALSE","FALSE","Project QA","South Elevation","Installation"
"5dba087d-64d6-579f-9a5f-3fb7fc73ca06","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","South Elevation","Installation","PRE-START"
"83aadd37-aa60-5bf5-84d9-2c6a2a43c9f5","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","Installation","PRE-START","Check structure/frame is constructed in accordance with Symonite shop drawings. Ensure set out centres are correct (1465mm East and West, 1415mm North and South)"
"ec9296cb-bd12-53a6-8787-09572354f7a0","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","Installation","PRE-START","Check joinery (by others) and abutments for aligment"
"35c1400a-13f2-508c-953e-8d813eef7d41","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","Installation","PRE-START","Check all flashings (if applicable) installed and fitted as per shop drawings"
"569e10d0-a01a-5bb1-9bc0-eb471f134201","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","Installation","PRE-START","Check building wrap/RAB/insulation/tenmat fitted as required and defect free"
"b9823c7c-7188-5d3b-99ab-52b231befc96","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","Installation","PRE-START","Check presence and correct fitment of any other critical elements"
"fdffe4f8-3ebf-5ff8-a1f0-9308cef84265","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","South Elevation","Installation","PRE-CLADDING INSTALLATION"
"035bc1fd-3280-5039-bc4e-d17e9a447f94","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","Installation","PRE-CLADDING INSTALLATION","Install base / break flashings as detailed in shop drawings (if required)"
"215b3c1a-8109-5586-aa28-0c8281a059ff","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","Installation","PRE-CLADDING INSTALLATION","Install Naideck Tape at weather line penetrations"
"d209a3a4-2601-5b3c-a4a3-6aba83851d5e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","Installation","PRE-CLADDING INSTALLATION","Install top hat brackets as detailed plumb and level, use correct fixing as per drawings (ensuring embendment within structure as per shop drawings - note this varies per elevation)"
"2d3ecd07-1d31-5933-afaa-9703ae96636c","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","Installation","PRE-CLADDING INSTALLATION","Vertical Fixing rails installed as detailed plumb and level, use correct fixing as per drawings"
"07edcaa6-55f5-502d-bee0-56a1c4403365","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","South Elevation","Installation","PANEL INSTALLATION"
"4e891d09-32a9-59d0-800c-458be1728540","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","Installation","PANEL INSTALLATION","Check panel size and identification is correct for location, no defects"
"7aa6b109-2176-53b8-9217-89d134a2a7ee","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","Installation","PANEL INSTALLATION","Fix off panels to rails, use correct fixing as per drawings"
"b2b8ab04-2c8f-52c5-87be-73c517fee3cb","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","Installation","PANEL INSTALLATION","Install closer / vermin flashings as required"
"c8d40dc3-4b92-5bf7-bef0-40f1e3a7292e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","Installation","PANEL INSTALLATION","Install sill flashings below windows, with stabiliser brackets"
"248a5ff0-0f2f-5ded-8694-3dd61b7cdefd","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","Installation","PANEL INSTALLATION","Install stabiliser brackets to window head flashings where required"
"12d9d19d-5ecb-5b45-95ec-31ad18ee4938","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","Installation","PANEL INSTALLATION","Install Sealant and backing rod as per shop drawings (ensuring joints do not exceed 20mm)"
"87972dba-66ac-4afc-b513-d2743f7d7675","","checklist-sectioned","not-started","QA - Panel Fabrication","checklist","FALSE","FALSE","Project QA","South Elevation","On-site Fabrication"
"2a81b9c9-d3fc-5bd8-9f01-0f057decc5d9","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","South Elevation","On-site Fabrication","PRE-START"
"3a4faa48-ff0c-598a-ba0f-2ff53051e766","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","On-site Fabrication","PRE-START","Check panel delivered is in accordance with dimensions related to fabrication drawings"
"2c5629f3-0387-5f18-92a4-f13add76bfff","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","On-site Fabrication","PRE-START","Check fold locations are correct to Symonite Shop Drawings and existing structure"
"ba736172-24cd-5c58-94c0-cef299d280ac","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","On-site Fabrication","PRE-START","Ensure correct tooling method used as detailed within fabrication drawings"
"1194f8f8-55cf-52de-a4bb-478838cb460c","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","South Elevation","On-site Fabrication","PANEL FABRICATION"
"2fab874b-4657-5f49-9536-e4bd4268a870","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","On-site Fabrication","PANEL FABRICATION","Panel cut to match existing structure / symonite shop drawing"
"4587d120-7f46-55b3-87b5-718715802538","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","On-site Fabrication","PANEL FABRICATION","Stiffeners cut to correct length"
"3b8bc1b4-3027-5046-a6da-ba496c5ad140","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","On-site Fabrication","PANEL FABRICATION","Panel cleaned / prepared using Aktivator 205 for Sika 522 Adhesive"
"5ff18562-dd7b-5bb1-802f-27f0e41d26dc","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","On-site Fabrication","PANEL FABRICATION","Stiffeners bonded at correct centres (based on fabrication drawings)"
"8e3be9f8-cc1e-5e7a-aea1-7e17481646db","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","On-site Fabrication","PANEL FABRICATION","Time taken to allow stiffener bonding to cure as per manufacturer's specification (24hrs)"
"e4b787fa-de15-52ca-88b6-c19b7af93b90","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","South Elevation","On-site Fabrication","PANEL FABRICATION","Gusset installation as per fabrication drawings"
