Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,,,,
label,a4abbe8f-ea43-5372-bc31-30c02d4fc1e3,,note,Approval - E,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Materials: M/4 AP40 Basecourse Material - Source Property Test (2),,,,,,,,,,,,,,
label,e1715bff-0afd-5fda-bbb4-63d2497e4de3,,note,"Controlling Documents - Weathering Quality Index (3.3.2) - TNZ M/4: 2006, NZS 4407: 1991, Test 3.11 (Weathering Quality Index Test)",,,,,,,,,,,,,,
label,f291e498-d1b9-5a08-a93c-66242b20745e,,note,"Acceptance Criteria - AA, AB, AC, BA, BB or CA",,,,,,,,,,,,,,
label,4f2578e2-3466-53b0-9ea7-ac27b5a6bdcd,,note,"Method - Weathering Quality Index Test (NZS 4407: 1991, Test 3.11)",,,,,,,,,,,,,,
label,ef05fff4-6c9c-5423-8612-1095fe74eaa9,,note,"Frequency - One test for every 10,000m³ of source material",,,,,,,,,,,,,,
label,3607eabe-6f5e-5d4d-aaab-cd788d34dbbf,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,83625949-c85e-53c3-b5f9-c779c6f03383,,note,Verifying Document - Test Report,,,,,,,,,,,,,,
label,3a653919-677b-5e31-9286-d2fbb856f6e7,,note,Conduct - Sp or C or S,,,,,,,,,,,,,,
label,0fb8df99-875e-5799-ad38-70d658905b30,,note,Produce Record - Sp or S,,,,,,,,,,,,,,
label,9da0f7f0-a1f4-53e1-8cf5-91b8439eacbc,,note,Approval - E,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Materials: M/4 AP40 Basecourse Material - Source Property Test (3),,,,,,,,,,,,,,
label,7ef8f333-d4d7-5ac8-89f9-695471dec6a1,,note,"Controlling Documents - California Bearing Ratio (3.3.3) - TNZ M/4: 2006, NZS 4402: 1986 Test 4.1.3, NZS 4407: 1991 Test 3.15 (California Bearing Ratio Test)",,,,,,,,,,,,,,
label,6db53159-3e45-5127-9450-0653fa60529a,,note,Acceptance Criteria - Soaked CBR ≥ 80%,,,,,,,,,,,,,,
label,6906ada3-89a0-5ed1-9c0a-eba993f92edb,,note,"Method - California Bearing Ratio Test (NZS 4407: 1991, Test 3.15) after being compacted according to Vibrating Hammer Compaction Test at OWC (NZS 4402: 1986, Test 4.1.3)",,,,,,,,,,,,,,
label,b6e29e0b-4556-50f7-b835-4c21699e11a4,,note,"Frequency - One test for every 10,000m³ of source material",,,,,,,,,,,,,,
label,1afa2bf3-1fc6-53a3-acc2-b2bcc57142c8,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,93e46d00-11d9-50e3-99b5-e0e7b95fbac1,,note,Verifying Document - Test Report,,,,,,,,,,,,,,
label,abb28785-e7f9-5843-b101-95fd656dfb8a,,note,Conduct - Sp or C or S,,,,,,,,,,,,,,
label,5e6f328b-d3d1-598e-9c03-589c881ba3e5,,note,Produce Record - Sp or S,,,,,,,,,,,,,,
label,25f67c01-9322-5d3f-b167-933df19be617,,note,Approval - E,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Materials: M/4 AP40 Basecourse Material - Production Property Test (1),,,,,,,,,,,,,,
label,a2d9dcc3-148a-5e07-b155-1e3890c523b7,,note,"Controlling Documents - Sand Equivalent (4.2.1.1) - TNZ M/4: 2006, NZS 4407: 1991 Test 3.6 or Clay Index (4.2.1.2) - TNZ M/4: 2006, NZS 4407: 1991, Test 3.5 or Plasticity Index (4.2.1.3) - TNZ M/4: 2006, NZS 4407: 1991 Test 3.4",,,,,,,,,,,,,,
label,90a36e78-eb44-5570-b010-2a2bce7d804e,,note,Acceptance Criteria - Sand Equivalent ≥40; or Clay Index ≤3; or Plasticity Index ≤5,,,,,,,,,,,,,,
label,b21227f5-b6bf-5287-9f5f-e95f9f41b39b,,note,"Method - Sand Equivalent Test (NZS:4407:2015, 3.6); or Clay Index Test (NZS:4407: 1991, 3.5); or Plasticity Index Test (NZS 4407:1991, 3.4)",,,,,,,,,,,,,,
label,82d0e350-a88e-5c8b-b48d-d92e63eb62e7,,note,"Frequency - 2 Samples required as per Table 1, Production Property Test Sampling (4.1) - TNZ M/4: 2006",,,,,,,,,,,,,,
label,6eb39719-ef10-500f-8ded-236bc0127b1c,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,dd00680b-face-5f3d-9346-b6e8dc9a55e0,,note,Verifying Document - Test Report,,,,,,,,,,,,,,
label,d912d33b-004b-5441-83e5-456cb9212888,,note,Conduct - Sp or C or S,,,,,,,,,,,,,,
label,0f58760e-b172-50a3-b286-a6c3c779ecb5,,note,Produce Record - Sp or S,,,,,,,,,,,,,,
label,596c57ad-73d5-530c-8ecc-f1737b7dcfd2,,note,Approval - E,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Materials: M/4 AP40 Basecourse Material - Production Property Test (2),,,,,,,,,,,,,,
label,69d2be0c-bff5-505d-8c72-97e685a21a47,,note,"Controlling Documents - Broken Face Content (4.2.2) - TNZ M/4: 2006, NZS:4407: 1991 Test 3.14",,,,,,,,,,,,,,
label,f88d73b7-a4ad-549a-9a93-031241b2e190,,note,Acceptance Criteria - Broken Face Content ≥70% between 37.5mm and 4.75mm sieve and ≥2 broken faces,,,,,,,,,,,,,,
label,9a05f47b-6e47-58a2-8362-721a2e62a7d0,,note,"Method - Broken Face Test (NZS:4407: 1991, Test 3.4)",,,,,,,,,,,,,,
label,8b081e40-92c1-5014-8272-1350adede683,,note,"Frequency - 2 Samples required as per Table 1, Production Property Test Sampling (4.1) - TNZ M/4: 2006",,,,,,,,,,,,,,
label,4767ae93-7131-5ed1-9046-83327caa3b23,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,1a30b19f-7828-5124-a8d0-680dd148e5aa,,note,Verifying Document - Test Report,,,,,,,,,,,,,,
label,546633f1-726b-56b1-b992-3dc916941349,,note,Conduct - Sp or C or S,,,,,,,,,,,,,,
label,88873f8e-5427-537f-8256-62624fc77f7a,,note,Produce Record - Sp or S,,,,,,,,,,,,,,
label,8e9a2f1b-539e-5479-a733-e087aa504d95,,note,Approval - E,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Materials: M/4 AP40 Basecourse Material - Production Property Test (3),,,,,,,,,,,,,,
label,bdbb0eba-11a3-568b-a1a5-e5f816d8d882,,note,"Controlling Documents - Particle Size Distribution (4.2.3) - TNZ M/4: 2006, NZS 4407: 1991 Test 3.8.1 (Wet Sieving Test)",,,,,,,,,,,,,,
label,ac48aacf-a1c2-50b8-ad24-c1cbf96b5c9d,,note,"Acceptance Criteria - Particle size distribution as per Table 2 and Table 3, 4.2.3 Particle Size Distribution",,,,,,,,,,,,,,
label,d366f2f5-e003-5853-a930-25db5ff700ed,,note,"Method - Wet Sieving Test (NZS 4407: 1991, Test 3.8.1)",,,,,,,,,,,,,,
label,d129113d-743c-5825-aac6-dbd6d4a8afa4,,note,"Frequency - 2 Samples required as per Table 1, Production Property Test Sampling (4.1) - TNZ M/4: 2006",,,,,,,,,,,,,,
label,b5580708-99f1-5514-ad1e-74187a2dbf11,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,faccd150-b780-5cf1-b6da-69ffec3105b9,,note,Verifying Document - Test Report,,,,,,,,,,,,,,
label,9a97d484-abb0-58ec-bc4a-3890ac91208f,,note,Conduct - Sp or C or S,,,,,,,,,,,,,,
label,174bd2ed-70db-58af-a380-e990753e6c53,,note,Produce Record - Sp or S,,,,,,,,,,,,,,
label,41cc2c8b-0691-55ae-8b7e-0266cd4c940a,,note,Approval - E,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Materials: Cement - Stabilising Agent Selection,,,,,,,,,,,,,,
label,ad5f5bd8-ec8b-5947-8388-ffddf618e033,,note,Controlling Documents - Cement (4.1.2) - TNZ B/5: 2008,,,,,,,,,,,,,,
label,5447442e-c03c-591e-8ab9-415045b8f47e,,note,Acceptance Criteria - GP,,,,,,,,,,,,,,
label,43cb2364-d32f-5b1b-adc2-40d07a6a6d15,,note,Method - Visual inspection of supplier docket,,,,,,,,,,,,,,
label,8d154479-d948-51cb-abe1-649800a12726,,note,Frequency - per truck load,,,,,,,,,,,,,,
label,9723f69a-f37b-5eec-a441-242891c47fbc,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,51d92989-d973-5d02-9053-594a498243f8,,note,Verifying Document - Supplier Docket Supplier Cert,,,,,,,,,,,,,,
label,b676a455-baeb-53d0-80e3-f671206d31e4,,note,Conduct - Sp or S,,,,,,,,,,,,,,
label,75a56a42-0dbb-5e49-a487-2583043e1973,,note,Produce Record - Sp or S,,,,,,,,,,,,,,
label,23e8f69e-fec0-5e77-b7e7-3ce65654106e,,note,Approval - C,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Materials: Water - Water draw for stabilising,,,,,,,,,,,,,,
label,36fea035-5314-541c-84cf-72b2ce239ef0,,note,Controlling Documents - Water (5.0.0) - TNZ B/5: 2008,,,,,,,,,,,,,,
label,0a5d70a9-c31d-50fa-8e4e-7bf087a05802,,note,Acceptance Criteria - Free from impurities justified by use of municipal water supply,,,,,,,,,,,,,,
label,8cd3c81a-eb5f-5f54-9a72-34b2a242ec50,,note,Method - Visual inspection of hydrant use form,,,,,,,,,,,,,,
label,3c1e697d-d0dd-51e1-b0c3-264b95ae46ea,,note,Frequency - per truck load,,,,,,,,,,,,,,
label,050c5a4d-31d5-5998-9883-2f2f03177500,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,a65cfbd5-aae1-523f-a3b6-a12bbf12f9c0,,note,Verifying Document - Hydrant use form,,,,,,,,,,,,,,
label,61b8b6d5-a509-5692-a675-66a7f5961bf8,,note,Conduct - Sp or S,,,,,,,,,,,,,,
label,aef3c1a6-38c2-5c40-8098-9cfd05800652,,note,Produce Record - Sp or S,,,,,,,,,,,,,,
label,c577caed-6f11-575d-a2d0-217ad30b5a76,,note,Approval - C,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Materials: Geotextile - Geotextile (Strength Class C) A29 or greater,,,,,,,,,,,,,,
label,7a36f510-a953-583e-a9c9-2ca2e2a5cad3,,note,Controlling Documents - TNZ F7 Specification,,,,,,,,,,,,,,
label,484225e7-97cf-5336-8b40-beab3183e637,,note,Acceptance Criteria - Details on Docket,,,,,,,,,,,,,,
label,daaafd5d-1ac7-5210-88bb-27807f606361,,note,Method - Visual inspection,,,,,,,,,,,,,,
label,51e50d52-ea25-5a7c-86fd-31a89bb8a76d,,note,Frequency - Per Delivery,,,,,,,,,,,,,,
label,335058a8-c3e4-5c72-8143-47857cc1562c,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,452bd89d-2484-5519-9605-f747a82f44c0,,note,Verifying Document - MDS,,,,,,,,,,,,,,
label,87d6b003-ab4e-502e-9418-ec5c607ef383,,note,Conduct - Sp or S,,,,,,,,,,,,,,
label,d4e41c8e-c0aa-5ff8-8e5f-c2704d117ddb,,note,Produce Record - Sp or S,,,,,,,,,,,,,,
label,3ef38987-1cda-5ccd-8d22-cffb31b2f7ad,,note,Approval - C,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Materials: Geogrid - Geogrid secugrid 30/30 Q1 or similar equivalent,,,,,,,,,,,,,,
label,78706d49-de75-55a0-a291-f725b423b4f6,,note,Controlling Documents - As per NZTA list of approved materials/suppliers,,,,,,,,,,,,,,
label,063e98de-18ed-558e-ac4d-08dcc59c1684,,note,Acceptance Criteria - Details on Docket,,,,,,,,,,,,,,
label,8e178181-a4fe-56c4-9f74-80ce73f3f929,,note,Method - Visual inspection,,,,,,,,,,,,,,
label,75b0c512-4def-5a38-a80c-577339cffb26,,note,Frequency - Per Delivery,,,,,,,,,,,,,,
label,158491aa-097e-55da-8150-9347cf79c497,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,c064f96b-bb2e-5cb2-bdfc-10e38691d37f,,note,Verifying Document - MDS,,,,,,,,,,,,,,
label,2d1fe28f-cb6f-57b8-adb5-a852dd9106d6,,note,Conduct - Sp or S,,,,,,,,,,,,,,
label,6a6e36c4-dd8d-5037-aaa6-48a24eb380ba,,note,Produce Record - Sp or S,,,,,,,,,,,,,,
label,39cdf57a-41d4-5491-b6b2-00ddae2d92c2,,note,Approval - C,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-group,,,section,2. Pre-Implementation,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Production Testing of stabilised material - OMC/MDD,,,,,,,,,,,,,,
label,a31bcf1b-545b-5bd1-a481-1bd548f2ad97,,note,Controlling Documents - TNZ B/5 section 7.5 & 7.7.1,,,,,,,,,,,,,,
label,9a2c5a21-1adb-50bc-8775-48a9d8d310e4,,note,Acceptance Criteria - To obtain OMC & MDD,,,,,,,,,,,,,,
label,de7cbdce-8fa4-5537-8d58-edefa40ea929,,note,"Method - NZS 4402, test 4.1.3, New Zealand vibrating hammer compaction test.",,,,,,,,,,,,,,
label,7962b460-19a6-500d-9090-e3e1551c47cf,,note,Frequency - Once on commencement and then each stablilised layer at one test per 5000m2,,,,,,,,,,,,,,
label,989346aa-1daf-5306-a2ed-b980b4084ffc,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,d135680f-5980-5547-97ad-d27f73aa2968,,note,Verifying Document - Test report,,,,,,,,,,,,,,
label,6cacdffa-338c-5b71-a3b3-60afaa60512b,,note,Conduct - C,,,,,,,,,,,,,,
label,1122a200-060f-5482-b072-e6a9b51af156,,note,Witness - C,,,,,,,,,,,,,,
label,4ada8327-fdbf-5ce4-acb7-bbe2e7ea8910,,note,Produce Record - C,,,,,,,,,,,,,,
label,62515aac-b75b-5cd6-87f3-60fc67190c5b,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Production Testing of stabilised material - Solid Density,,,,,,,,,,,,,,
label,d10f5358-073d-568a-881a-a80cbf789162,,note,Controlling Documents - TNZ B/5 section 7.7,,,,,,,,,,,,,,
label,7681980d-db0d-5b48-ba3e-94450e6ee2cc,,note,Acceptance Criteria - For info. and use in MDD calculation,,,,,,,,,,,,,,
label,3a4cc5d0-452c-539d-876c-a34fbed2a1cf,,note,Method - NZS 4407; test 3.7.1,,,,,,,,,,,,,,
label,3d72ca88-5c2a-5b9e-81a6-902bd5faffb8,,note,Frequency - Once on commencement and if any materials chage,,,,,,,,,,,,,,
label,c4c8d312-092c-5f04-b8f3-fe098818df2b,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,6e2fd9f9-4cd0-5f7d-9a73-bd47f3643542,,note,Verifying Document - Test report,,,,,,,,,,,,,,
label,e0c0c1a2-cc31-5179-ace2-13f7b3eb3807,,note,Conduct - C,,,,,,,,,,,,,,
label,af2d1a6f-34f0-52f7-8607-80abf467d1cd,,note,Witness - C,,,,,,,,,,,,,,
label,f51a737d-bf40-58bd-a5fd-da75cc5ae5f0,,note,Produce Record - C,,,,,,,,,,,,,,
label,61d67565-dc89-5ca1-b34b-268d18fc3845,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Project survey setting out,,,,,,,,,,,,,,
label,66e6bf0c-4753-59eb-bcc6-09b44c5aeb9e,,note,Controlling Documents - Reference from Project Drawings,,,,,,,,,,,,,,
label,1ce0aee6-20dc-597b-b16a-66381803f16a,,note,"Method - Survey/Mobile Roads, Marks with Dazzle",,,,,,,,,,,,,,
label,0ff74122-8795-5c37-a6bb-5d0a1287ae52,,note,Frequency - Chainages for every different pavement sections,,,,,,,,,,,,,,
label,ca32387b-66f0-553e-8dbc-0b58da6f8172,,note,Responsible Person - Subcontractor/ Engineer,,,,,,,,,,,,,,
label,af74c8de-63b0-5089-ae7a-75c619b37ff5,,note,Verifying Document - Construction drawings,,,,,,,,,,,,,,
label,0b983238-6d56-5271-adec-92544d793b67,,note,Conduct - C,,,,,,,,,,,,,,
label,06447191-cca0-533d-a2fc-2ec60d9b3c0b,,note,Produce Record - C,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Records Management (i.e. it is known what documented records are to be kept),,,,,,,,,,,,,,
label,f1d09f25-0bb4-5c4e-9482-09269c4ca491,,note,Controlling Documents - ITP and QMP state what quality documentation is required,,,,,,,,,,,,,,
label,cf64fa62-02d9-5fcf-82bb-aa05bf12a89e,,note,Acceptance Criteria - Filled in and Signed ITP,,,,,,,,,,,,,,
label,f6899979-ac96-5200-828a-779c381518cf,,note,"Method - Visual inspection, recording and approval",,,,,,,,,,,,,,
label,5a80382a-1651-52f4-94ac-57cfbd18a936,,note,Frequency - As per hold points in collaboration with the programme,,,,,,,,,,,,,,
label,e4e3a714-19b4-5e18-98d4-5e12f19a6736,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,8cdb3711-8cd5-5b8b-969d-5c7d97e1a92a,,note,Verifying Document - ITP and all referenced documents,,,,,,,,,,,,,,
label,23eb6e1f-67cb-56d7-9e72-462776b58135,,note,Conduct - C,,,,,,,,,,,,,,
label,0f49e85a-beb7-5564-b2ff-b338e5548260,,note,Produce Record - C,,,,,,,,,,,,,,
label,f6ef7cfe-b2cc-57f4-94c4-d68f3c031eb4,,note,Approval - E,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-group,,,section,3. Construction - Pre-treatment Digouts,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pre-treatment Repair Method Selection,,,,,,,,,,,,,,
label,d4bf2a20-bfc9-5907-bd9d-8f93ff082c09,,note,Controlling Documents - Site specifics to be confirmed,,,,,,,,,,,,,,
label,269fa6c3-252d-5e46-adb5-3aa4ccc03f46,,note,Acceptance Criteria - Confirm scala acceptance criteria based on treatment type,,,,,,,,,,,,,,
label,aa2ef8d2-13f8-5134-85c8-7b0ac573400f,,note,Method - Scala Penetrometer on Excavation Floor,,,,,,,,,,,,,,
label,26e12e74-9592-5f88-9e93-919f1267c346,,note,Frequency - As required,,,,,,,,,,,,,,
label,f594435b-58da-5214-a516-7c75f5d651b2,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,766307ee-e353-530e-a27a-38d33695a4e4,,note,Verifying Document - Agreed treatment plan,,,,,,,,,,,,,,
label,91e3415c-e60f-5d7f-abbe-937eed9f00af,,note,Conduct - S,,,,,,,,,,,,,,
label,2ae95e0f-d28d-59af-879b-d4c2138ffe5e,,note,Witness - C,,,,,,,,,,,,,,
label,b9ab0c4a-1547-5644-9c46-9cd74181651c,,note,Produce Record - S,,,,,,,,,,,,,,
label,96da6661-999c-58c2-b9e6-5e0126771b10,,note,Approval - E,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Excavation floor drainage,,,,,,,,,,,,,,
label,0e9e65af-8ed6-5e47-8735-95e2c7978a39,,note,Controlling Documents - Higgins SOP 0128 - Digout Repair,,,,,,,,,,,,,,
label,d4a20cc1-b819-5fb0-8654-5dfc5d38d68c,,note,Acceptance Criteria - 4-8% toward edge of seal,,,,,,,,,,,,,,
label,07708576-05ae-52fb-a220-7ab527641102,,note,Method - Digital level,,,,,,,,,,,,,,
label,b91a7dd3-3d24-5a1d-a91f-0f53bc28c724,,note,Frequency - As required,,,,,,,,,,,,,,
label,a6cc1a1e-88b9-58ba-a8b1-fbddad84505f,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,614290d5-58a3-5526-9f0d-87962f2715ac,,note,Verifying Document - Dig out QA form,,,,,,,,,,,,,,
