"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d365d5fa-61c9-49a3-aeed-96dd907aeda6","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"62d513ab-699e-58a5-b46c-986bfd4cf11c","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"23fd21d0-d76a-4e4e-bba9-17f00b013321","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture"
"02e5b060-d1ca-4108-94d4-971d19ab6063","","checklist-sectioned","pass","d445abf1a31c2db1731abc4e69e7a97b58c2708cdb80c557fdb618a745b730f8","checklist","FALSE","FALSE","Precast Manufacture","WELD PLATE DETAILS"
"1e3207d8-ad52-526d-86bf-fbb722daca3c","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","WELD PLATE DETAILS","Weld plate details"
"48d4a2af-edca-5dc1-8d6c-d4a206b7afc6","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","WELD PLATE DETAILS","Weld plate details","Edge Detail"
"758d6f45-b19a-5228-a017-7e870ada868f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","WELD PLATE DETAILS","Weld plate details","Bar Projections"
"92bc2813-4043-5a85-abf5-8814f70e7731","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","WELD PLATE DETAILS","Weld plate details","Cast in items"
"e97a792b-39c8-45ea-862d-b15dbae508fc","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels 30 - 49"
"78caf3c8-4846-49ec-8bd1-53fefd120de6","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 30 - 49","Panel - 30"
"78ebd773-5ca8-5bbd-801a-30b3750aae06","","checkpoint-group","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Pre-Pour Check"
"041c0b35-c17f-507e-a788-b8566548aefc","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Post Pour Check","Edge Detail"
"af702bbb-3fe8-5a95-a200-8e22d7e21052","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Post Pour Check","Bar Projections"
"9a7b6463-bf9b-5174-91cf-ca3367632adc","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Post Pour Check","Cast in items"
"1a1b8e1e-5ac3-572f-ac6a-65e8360d0870","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Stripping and Stacking"
"5c23dd5f-f2c9-542c-99aa-2d1b17749f40","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Stripping and Stacking","Stripping & Stacking"
"1b4853fd-bf8b-41c5-a787-b53273361af7","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 30 - 49","Panel - 31"
"596ebcac-bcd8-54f9-9371-57a389590ad5","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Pre-Pour Check"
"f8f93cfc-90e8-50b8-aa9c-dbe534c02bb5","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Pre-Pour Check","Dimensions"
"2ea8999f-7274-5e99-abe3-7efcec9b9a70","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Pre-Pour Check","Mould Clean"
"6f93c07a-32ec-5d79-bacc-3323589d8750","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Pre-Pour Check","Mould Oiled"
"6a0bda72-b3ce-5ed6-8928-531347055067","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Pre-Pour Check","Mould - Workmanship"
"5d1f3fac-475d-5fcf-824d-2d010b7a38d9","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Pre-Pour Check","Reinforcing"
"eab0858b-92b7-5c14-abc0-189485a928be","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Pre-Pour Check","Cast In Items"
"ec5dfb4f-c900-5c35-849a-edcd75dc1f86","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Pre-Pour Check","Marker Position and No."
"c63f3ffd-aeda-5a62-ae98-1d5570e8539e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Pre-Pour Check","Make mould to Green Status"
"bd8bd2ca-8f98-54c2-887f-e14669308f23","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Concrete Works"
"e4721558-b091-54af-ad45-a7aa55586693","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Concrete Works","Concrete Works Details"
"64a8be44-64e8-55d2-99c7-249cf5c3ee65","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Concrete Works","Wilco Sample Taken"
"7dc2a6b4-3d54-51bf-acad-cb12b4bd26ee","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Concrete Works","Bridgeman Sample Taken"
"342a20cf-e6e8-5da1-9285-afac6780c295","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Concrete Works","Supervisor Approval"
"a2452b01-7678-5d57-b7db-b9e8bdae7631","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Post Pour Check"
"7c0de733-55d4-5174-a856-badc900b1a43","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Post Pour Check","Edge Detail"
"865be54f-5a15-5dfa-b689-f6f7f7881a1b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Post Pour Check","Bar Projections"
"14e5198a-b84c-5da5-8fc6-f83b1c8318c3","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Post Pour Check","Cast in items"
"57dca95d-4a24-5bb7-a451-56ae65e2c325","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Stripping and Stacking"
"7b4d1270-448b-56f7-bc63-24c7ce27dd16","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 31","Stripping and Stacking","Stripping & Stacking"
"a2fe7fd1-301d-434c-8ebc-046d0e5af933","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 30 - 49","Panel - 32"
"dffa8426-c1d3-58fb-b815-9e58979f727e","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Pre-Pour Check"
"e0f40a03-aa96-5981-9bd5-cce9becf1a4b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Pre-Pour Check","Dimensions"
"62816f8e-cf4d-59c1-866e-406dd8728bde","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Pre-Pour Check","Mould Clean"
"2e85bbe9-fdb7-5a6d-84c0-3db0e84317fd","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Pre-Pour Check","Mould Oiled"
"a6d55b48-171d-5582-8d7a-9c3453a4c0d5","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Pre-Pour Check","Mould - Workmanship"
"f3cb3748-1c41-5c6d-8e13-97e4d4b07084","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Pre-Pour Check","Reinforcing"
"664bf92b-b051-5a06-811b-a4245f78de2f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Pre-Pour Check","Cast In Items"
"872372e7-3dc3-5ca3-9e7b-d43b146c3f00","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Pre-Pour Check","Marker Position and No."
"21e01702-4225-5ea1-93a2-89f71b105b8c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Pre-Pour Check","Make mould to Green Status"
"e4a4a303-1dcc-5ebd-866e-58252d580a6e","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Concrete Works"
"41a1883a-2634-5125-b707-1b7883d5397c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Concrete Works","Concrete Works Details"
"e0b4a38d-ba7a-5ce3-8a3b-a865903ed04e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Concrete Works","Wilco Sample Taken"
"42cac07d-cb6a-55f8-a856-0787dfc7c640","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Concrete Works","Bridgeman Sample Taken"
"ce617f5d-07c7-5156-8b33-c0c9b45d9be8","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Concrete Works","Supervisor Approval"
"3ebb001f-45ea-5160-83e6-8ef2cdde85f8","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Post Pour Check"
"39b5e4bc-ec32-52be-bc91-885d28f0fdf1","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Post Pour Check","Edge Detail"
"ab44eda4-7a70-52d4-b0a4-6ad8b828378b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Post Pour Check","Bar Projections"
"561783ca-d39c-56f7-95b6-bc9aa4401bbf","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Post Pour Check","Cast in items"
"92f59f21-8b87-5054-9c08-a01bedb0661d","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Stripping and Stacking"
"7bd1a4b8-bcfd-5708-b090-1cd2034d7477","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 32","Stripping and Stacking","Stripping & Stacking"
"eaac4e74-dff6-4446-af4e-f3b9ad9d39d2","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 30 - 49","Panel - 33"
"af785a71-7485-561f-82ea-93cb0360bfa1","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Pre-Pour Check"
"a4102fc3-0f39-53de-ba15-dc3578788327","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Pre-Pour Check","Dimensions"
"edb9288e-7511-536e-97c8-3d0f02b12f36","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Pre-Pour Check","Mould Clean"
"a80d15fa-d127-5a96-b747-2df5c2f8c4b2","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Pre-Pour Check","Mould Oiled"
"f85f2c88-bb9c-58f0-abc4-06519c0ef0c2","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Pre-Pour Check","Mould - Workmanship"
"141eb15c-5406-520a-a2d6-cebf05cc87ae","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Pre-Pour Check","Reinforcing"
"85e58a85-3bc2-54f5-82fc-e278c90d300f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Pre-Pour Check","Cast In Items"
"3242250b-5b95-5755-a4cf-eabf431ebaa1","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Pre-Pour Check","Marker Position and No."
"9cc340f0-3b69-5c23-a5f4-39847df4998c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Pre-Pour Check","Make mould to Green Status"
"d38bbf9a-8eaa-5f31-8286-6381026e7120","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Concrete Works"
"8cea1ed8-3905-518e-9f99-4f65c0d0535e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Concrete Works","Concrete Works Details"
"9e527fb4-27b4-5662-beb5-39ff4b5d40aa","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Concrete Works","Wilco Sample Taken"
"e2aab148-b8ed-5f85-bd31-654855aa54e2","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Concrete Works","Bridgeman Sample Taken"
"bb7acfad-e62c-5a1a-9358-22b223a7399f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Concrete Works","Supervisor Approval"
"0b54a52e-1d39-50cd-9af8-c0832fdd2191","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Post Pour Check"
"0a3278cd-9996-51d8-abd4-e9b372387e65","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Post Pour Check","Edge Detail"
"b46961f6-593a-5090-ad09-5eb28b719c0e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Post Pour Check","Bar Projections"
"c808cd84-c482-5255-8bbd-b7967acc20d0","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Post Pour Check","Cast in items"
"6bff6f9b-4645-5f9d-b158-b50293cb2dfe","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Stripping and Stacking"
"c199f2e6-4d4d-5959-bc74-7bc53a67139e","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 33","Stripping and Stacking","Stripping & Stacking"
"75ef3a14-a344-4828-a231-02a17dfc2e84","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 30 - 49","Panel - 34"
"0645c003-f0c6-516c-b9e9-6039ab59846a","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Pre-Pour Check"
"57407e54-2af7-5082-9c7e-a43183d93d81","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Pre-Pour Check","Dimensions"
"d0741420-cb8e-536e-b2bf-892ad10bcded","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Pre-Pour Check","Mould Clean"
"fe62450b-fddd-577c-b4b2-ea05c1036271","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Pre-Pour Check","Mould Oiled"
"2c2a9de2-f49b-5220-966e-176f41b447cb","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Pre-Pour Check","Mould - Workmanship"
"daa3cb33-6eda-5b56-9273-2beafd78f48b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Pre-Pour Check","Reinforcing"
"b6103063-b55d-5972-b0d7-a914f45327d8","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Pre-Pour Check","Cast In Items"
"960e77b6-bafe-5193-8ef7-5a4b69bb30a7","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Pre-Pour Check","Marker Position and No."
"2258dd1c-075c-5e6f-9073-5b165906e2fa","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Pre-Pour Check","Make mould to Green Status"
"815d715e-5dce-5374-bc17-0ca4184e8807","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Concrete Works"
"4958d16d-0f94-569e-8fed-5a8287333052","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Concrete Works","Concrete Works Details"
"f79b41e3-f505-564b-89de-472c53db6216","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Concrete Works","Wilco Sample Taken"
"35ff2dc2-7dc6-53f3-9277-de7e2840d08e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Concrete Works","Bridgeman Sample Taken"
"07e13f08-8c3c-5205-b4d5-71145015884e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Concrete Works","Supervisor Approval"
"d81ec7d8-b51b-5e07-bad6-d796c6ea58a2","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Post Pour Check"
"c8fd704e-62fb-579b-9986-7132683cc75d","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Post Pour Check","Edge Detail"
"093f9ded-8762-56f0-ae51-8846bacdb41e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Post Pour Check","Bar Projections"
"0125a480-d6cd-5084-9f47-41c750e58c20","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Post Pour Check","Cast in items"
"919bfef4-decf-5713-bd3e-9800b9c3c798","","checkpoint-group","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Stripping and Stacking"
"64596aa7-b626-5680-b2af-550100943419","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 34","Stripping and Stacking","Stripping & Stacking"
"46b38947-737d-4dc5-bcbd-6a6eb03f02b5","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 30 - 49","Panel - 35"
"d3eb6203-0d9d-5335-b62b-388cec600490","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Pre-Pour Check"
"4ad53437-247c-5218-8a18-1fb0852ccac0","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Pre-Pour Check","Dimensions"
"26a6b65e-34e7-5bcb-bb0e-1f53e5bfa9a3","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Pre-Pour Check","Mould Clean"
"a2a963b4-a2eb-52b7-affe-0662678afcf1","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Pre-Pour Check","Mould Oiled"
"870f397d-88b2-5120-8c01-bbca768a1298","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Pre-Pour Check","Mould - Workmanship"
"376b9de9-c361-5258-8b9b-087ab21f8b9f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Pre-Pour Check","Reinforcing"
"ac11de22-3b77-550f-9a32-e8c2e421187c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Pre-Pour Check","Cast In Items"
"ec2bf00f-0b5b-5969-8351-626adaccce2d","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Pre-Pour Check","Marker Position and No."
"1c5aa890-b2d9-5f62-a87c-252a227e5e05","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Pre-Pour Check","Make mould to Green Status"
"3c5dfd2b-0340-5f6d-92c2-a294e32502b9","","checkpoint-group","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Concrete Works"
"d5b4b2c8-b6f1-501b-a9d5-03c882a8458b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Concrete Works","Concrete Works Details"
"d5eff001-ccb3-518e-991e-f09892c91730","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Concrete Works","Wilco Sample Taken"
"b69f0c2c-055a-5e0e-9da5-2cfbc4a27ce5","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Concrete Works","Bridgeman Sample Taken"
"65d49233-91e8-59ab-b40f-492c8c323ad7","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Concrete Works","Supervisor Approval"
"46dedce0-d2c1-508c-8279-0c3814b76377","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Post Pour Check"
"1f1115d7-f699-5223-9ec7-37568555af72","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Post Pour Check","Edge Detail"
"839e57dc-8175-5f39-b731-85b59237d437","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Post Pour Check","Bar Projections"
"17c2357f-96e9-5185-99bc-94a033ee80bc","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Post Pour Check","Cast in items"
"9ce24032-bbe7-5469-97cd-fea78d7d996e","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 35","Stripping and Stacking"
