"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4268d4c0-664d-4da5-b23f-b5921d58d91b","","folder-normal","fail","","step","TRUE","FALSE","External Envelope / Facade QA"
"55d94101-c298-4f1f-ba15-f132642a91e4","","folder-normal","pass","","step","TRUE","FALSE","External Envelope / Facade QA","Level 1"
"5c8a6358-abdc-5024-9ced-35f41449830c","","checklist-flat","pass","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 3","East Elevation"
"a2f70fb2-b62d-5751-9c7a-85225bb1d616","","checklist-flat","pass","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 3","South Elevation"
"b15deea7-bb8e-5b7a-94fb-8b0283057552","","checklist-flat","pass","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 3","West Elevation"
"34f9985e-ef8e-4f7f-9e4e-432b9fe95671","","folder-normal","fail","","step","TRUE","FALSE","External Envelope / Facade QA","Level 4"
"85a5895b-eb8b-5b78-9de0-0516fcf52312","","checklist-flat","pass","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 4","North Elevation"
"f0b94062-634a-5bf8-8c82-5e451477c4fa","","checklist-flat","pass","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 4","East Elevation"
"7302a49d-081c-567d-804f-3f718154901f","","checklist-flat","fail","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 4","South Elevation"
"c1b270b0-b68d-5bc2-bf82-02702fddb31f","","checklist-flat","fail","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 4","West Elevation"
"fa76e401-1ccf-4b7b-a861-c0cf8fa678c3","","folder-normal","fail","","step","TRUE","FALSE","External Envelope / Facade QA","Level 5"
"2ceadd92-56af-57f6-880d-554a94229503","","checklist-flat","fail","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 5","North Elevation"
"41a6bb97-ab15-50a4-b5cb-a081451e0f7c","","checklist-flat","fail","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 5","East Elevation"
"67140d39-e92b-536c-9f63-ce62d0a0113d","","checklist-flat","fail","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 5","South Elevation"
"beddcd78-c3b2-58d6-8410-276ccc804ac9","","checklist-flat","fail","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 5","West Elevation"
"93d708c4-bc2b-43c0-a72e-65f60fef1f50","","folder-normal","not-started","","step","TRUE","FALSE","External Envelope / Facade QA","Level 6"
"3a8bb769-cb6f-429b-a93b-3ae5f84746ad","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 6","North Elevation"
"f1c98ea5-2fc3-4399-8b54-1247556171df","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 6","East Elevation"
"bd336511-2430-447b-bd40-423b91d9acff","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 6","South Elevation"
"4053a85d-d548-4a99-a5f5-45cdbceaf7ad","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 6","West Elevation"
"92b4b935-0751-4419-a1bf-4b9cbddd8fd8","","folder-normal","not-started","","step","TRUE","FALSE","External Envelope / Facade QA","Level 7"
"fc26cad8-1b9d-4605-ba4a-24ae6390d473","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 7","North Elevation"
"5e5ff617-0182-44de-b941-e6cf11485a73","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 7","East Elevation"
"c88c83ec-a9d0-4869-a264-03634bc97526","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 7","South Elevation"
"be6c34d5-440d-47ea-b6ac-6d7128e1dffa","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 7","West Elevation"
"9d7b79b1-3bf9-4f01-9231-47b45ac68701","","folder-normal","not-started","","step","TRUE","FALSE","External Envelope / Facade QA","Level 8"
"8ad0bec6-80da-469a-ae4e-3b015e7b3814","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 8","North Elevation"
"f2b47a50-e048-47a4-8127-5015ea80493f","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 8","East Elevation"
"d8e74b8f-6f35-4b69-8692-bce30a11a437","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 8","South Elevation"
"967f0394-9ecf-4b03-a5d0-7df4aa94c685","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 8","West Elevation"
"16d80549-9171-40be-881a-3cd47f1e7e9a","","folder-normal","not-started","","step","TRUE","FALSE","External Envelope / Facade QA","Level 9"
"2c0e5c6e-27c2-4cbf-9cda-9ad71852ecdb","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 9","North Elevation"
"0bef74c6-6d3c-4c0e-8928-6430a80b5303","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 9","East Elevation"
"15228abe-a54d-44a1-90b4-396600a2ba07","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 9","South Elevation"
"48de632f-b22a-4deb-9835-35e085e153a9","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 9","West Elevation"
"48102857-80c0-40f9-a582-59dd478ab359","","folder-normal","not-started","","step","TRUE","FALSE","External Envelope / Facade QA","Level 10"
"f688c59b-805f-469b-aee1-1f212ea08079","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 10","North Elevation"
"d4c1c623-bf61-4e4a-8d81-e0a3c8d03c3f","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 10","East Elevation"
"140e0d5f-d56f-4e65-b408-08804c9ac44c","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 10","South Elevation"
"f050068b-b393-40f6-a8da-f7b84ce57eb4","","checklist-flat","not-started","QA - Facade","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 10","West Elevation"
"7f66c1db-33e1-5f6e-9c52-503145deca2a","","folder-normal","fail","","step","TRUE","FALSE","Health and Safety"
"0427f81c-9038-539f-8172-24311058c0c1","","folder-normal","fail","","step","TRUE","FALSE","Health and Safety","Pre-Start"
"4036b785-17ba-53db-9c0c-89b2adfd7af4","","folder-normal","fail","","step","TRUE","FALSE","Health and Safety","Pre-Start","March 2023"
"853dc101-3b99-58f3-afd4-fb049f84e907","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","March 2023","Date: 1/3/2023"
"95414c9a-641b-55c7-be50-3b9f9d0664f3","","checklist-flat","fail","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","March 2023","Date: 2/03/2023"
"f9d627e6-0174-5a38-8b23-7024eb96db3d","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","March 2023","Date: 3/3/2023"
"eedc5c65-d8e2-543c-8fe9-954e7b09a8d0","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","March 2023","Date: 4/3/2023"
"0c972ebe-2ff3-59d5-8520-28ec16208d00","","checklist-flat","fail","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","March 2023","Date: 5/03/2023"
"8e547289-f839-5de1-bc75-a9015e0076d9","","checklist-flat","fail","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","March 2023","Date: 8/03/2023"
"1ce1ee12-42e1-5845-b7c5-d9d4b6d58cda","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","March 2023","Date: 9/3/2023"
"4affb8d2-8afe-57f0-b2cf-83a78088cc8b","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","March 2023","Date: 10/3/2023"
"37faf612-aa4f-5fc8-b492-b3b5290a3a16","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","April 2023"
"b51ecf8b-5f7f-5ced-a8f0-6903df2dd437","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","May 2023"
"f4edc170-a9b4-5c9d-be06-557f5850dac5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","June 2023"
"42174328-7580-522c-92f1-afadb4d4cd62","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","July 2023"
"28254f80-65ba-55e3-b9de-8687eb89f523","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","August 2023"
"ff2144a0-d965-5e53-a20d-8c08e49c0eb5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","September 2023"
"55e03c13-d74b-5fca-9ee8-ff13c4c47c68","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","October 2023"
"82cbbba5-779b-539c-ac88-275ebdd7255f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","November 2023"
"d47a73e1-9275-5e6f-a579-3d7fc2df1cdc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","December 2023"
"8c881175-8393-5cef-b294-c8b1bf133ce0","","folder-normal","pass","","step","TRUE","FALSE","Health and Safety","Toolbox"
"4affa554-8dba-53e6-95f2-2d3ae7b65d0a","","folder-normal","pass","","step","TRUE","FALSE","Health and Safety","Toolbox","March 2023"
"5e7c1258-b347-50b5-a828-3e319797cceb","","checklist-sectioned","pass","H&S - Toolbox Meeting Minutes","checklist","FALSE","FALSE","Health and Safety","Toolbox","March 2023","Toolbox Meeting - 1/3/23"
"1b04e163-249d-5b35-b05c-ac567c35347b","","checklist-sectioned","pass","H&S - Toolbox Meeting Minutes","checklist","FALSE","FALSE","Health and Safety","Toolbox","March 2023","Toolbox Meeting - 2/3/23"
"08ae8b62-3d48-5fe9-9ebb-7b89bdd2df80","","checklist-sectioned","pass","H&S - Toolbox Meeting Minutes","checklist","FALSE","FALSE","Health and Safety","Toolbox","March 2023","Toolbox Meeting - 3/3/23"
"d429a47c-7220-5fac-b00f-ada9f7251d9d","","checklist-sectioned","pass","H&S - Toolbox Meeting Minutes","checklist","FALSE","FALSE","Health and Safety","Toolbox","March 2023","Toolbox Meeting - 4/3/23"
"13389609-0bcc-5e38-b989-013e9abed6d7","","checklist-sectioned","pass","H&S - Toolbox Meeting Minutes","checklist","FALSE","FALSE","Health and Safety","Toolbox","March 2023","Toolbox Meeting - 5/3/23"
"2cfabe65-d256-572b-9f23-c331df998b09","","checklist-sectioned","pass","H&S - Toolbox Meeting Minutes","checklist","FALSE","FALSE","Health and Safety","Toolbox","March 2023","Toolbox Meeting - 8/3/23"
"cb28a49b-848c-58cf-8c6c-49880f15b715","","checklist-sectioned","pass","H&S - Toolbox Meeting Minutes","checklist","FALSE","FALSE","Health and Safety","Toolbox","March 2023","Toolbox Meeting - 9/3/23"
"124e8b11-b171-5781-9803-b2c76273081b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","April 2023"
"21ea73a1-b2e9-58a8-bf3f-e248d0fe6133","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","May 2023"
"553f37b3-3dd5-5bdb-aa99-18190ab6d3a4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","June 2023"
"62311ae0-eb39-5f5e-b858-cac0053d20ab","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","July 2023"
"9654f2ad-6bba-5556-97f4-83eada837a94","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","August 2023"
"7c7ec686-4f76-56e1-b097-71ec5520bd0a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","September 2023"
"4d39483b-043e-5574-a5b8-65181f5b8197","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","October 2023"
"fc02b943-933b-5f95-b563-677c56d84bbb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","November 2023"
"1ccb219a-3d9a-59f2-9f3c-33903f59fad4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","December 2023"
"ba237d32-08e1-5220-b017-4e6e3ffd2193","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection"
"b1872410-4607-59a5-995b-83f7a70d9beb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","March 2023"
"924d4b0e-e96a-5d47-a052-732351ae20df","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","April 2023"
"c7dff156-fdc5-5231-8a09-fd3abd297488","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","May 2023"
"48bdc615-11bc-5858-a91b-a8747a15ac96","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","June 2023"
"c960c2f9-b929-5b06-b0cf-742f0793600a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","July 2023"
"63336115-4c1c-54fe-af87-25cf28e2db57","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","August 2023"
"cf0af26c-fa53-5cd0-a34c-f2cbcad61f8c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","September 2023"
"9626a6e7-addf-5613-a2ef-1ae5da335ea3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","October 2023"
"3cbfc5d5-2d57-58b4-840a-d2677bc8de50","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","November 2023"
"afd47494-ba07-56b1-afb7-571f292b97ea","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","December 2023"
"6daf2953-c888-5ead-a7c6-7780d970bc5a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation"
"52149e13-2710-59fe-b18c-c22b1f879724","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","March 2023"
"999a965e-14c6-5d52-aada-1a3669589efa","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","April 2023"
"c65f2972-2b60-57b5-885c-ca0a9ecd2969","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","May 2023"
"0e919690-18fa-58d5-a8c7-adc0a9610acd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","June 2023"
"ca0ddeb4-a958-5bc1-85b3-bccc62972d5b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","July 2023"
"0ae7555b-784f-5ff9-ba21-10cb7f78a28f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","August 2023"
"efde4c8d-76f9-53fc-8932-65e4ae7480ec","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","September 2023"
"7f0d58ad-86b8-547e-8543-54ff27b96ee1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","October 2023"
"c433ba3f-a17b-570c-aeb2-a4e3a098101b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","November 2023"
"f2fa6a00-a250-5a75-9788-b5de3a72b6a4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","December 2023"
"6d75508c-ade6-5b2a-81f6-a556da4e1389","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping"
"edf2ce1c-7884-50d1-b28f-4f57dab582a2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","March 2023"
"9fc37af5-9635-57b0-a4dc-9943efd2bc86","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","April 2023"
"e2fdb7c3-23f5-5b58-97e7-b080f295984f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","May 2023"
"d887372a-f72c-54d6-9e09-2e87ee612191","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","June 2023"
"9c349569-861c-566e-933e-9e91b3743e67","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","July 2023"
"131d663a-508e-5a24-b296-0c8b1e97324e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","August 2023"
"b64a4dae-4869-544d-b753-ffb7202a8b95","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","September 2023"
"6c0425ac-b00a-57a9-b6b5-8d36f115e453","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","October 2023"
"04e78dd6-7d67-5338-b040-d78a01e85a11","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","November 2023"
"82b811e5-3c21-5737-ae73-80168a7f3e92","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","December 2023"
"e3fb3729-ba5f-59d2-a45f-c723140d8146","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA"
"3d32295b-539b-54d9-917f-a8835a93a4f2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","March 2023"
"b9aae7f5-4d21-586d-9980-ba5599d50ce3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","April 2023"
"1569e02f-2e7e-5502-9841-3c3a2ee26363","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","May 2023"
"69820ca6-3c43-51f6-9cf5-711822c7fb72","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","June 2023"
"822aefae-0309-5b7d-9292-03f171d3d488","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","July 2023"
"86744800-f28d-5db5-a615-5a3be595bb69","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","August 2023"
"b93bf7f4-fde6-5024-8d06-93d01d18c0a7","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Health and Safety","TA/JSEA","September 2023"
"ded189e7-f425-58f1-b975-ff09f85c1bfa","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Health and Safety","TA/JSEA","October 2023"
"765164d3-3103-557a-8aca-dc53be42c54d","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Health and Safety","TA/JSEA","November 2023"
"3501bca6-3dce-535e-962c-13369e466070","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","December 2023"
"0b1441a5-6919-5ec8-accc-3ece6e396504","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Stand Down"
"c2bdc4bc-9a17-558f-be2b-d9a296a4278e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Documents"
"34a97cdd-e166-5afe-a3c5-78505eacd139","","folder-normal","not-started","","step","TRUE","FALSE","Variations"
"91d59fa6-5eee-51e6-b956-e298af329e1d","","checklist-flat","not-started","Variation Contract","checklist-flat","FALSE","FALSE","Variations","Variation Contract - 5797"
"3acbe46f-68aa-4775-b253-78d13b95cd31","","folder-normal","fail","","step","TRUE","FALSE","Checklists to be duplicated"
"37d96ebc-dde8-4d51-bb8e-4f81d8cd3d3d","","checklist-flat","pass","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","Checklists to be duplicated","QA - Facade ground level to level 4 East elevation"
"3732f676-6317-4e5b-b25e-e5d09ba30df0","","checklist-flat","fail","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","Checklists to be duplicated","QA - Facade Level 4, south and west elevation"
"ee8ec854-7369-5b88-be89-957b59dc58b3","","checklist-flat","fail","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","Checklists to be duplicated","QA - Facade Level 5"
