type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,
dropdown,Type of roof edge protection,"Prefabricated proprietary system, Scaffolding",,,,,,,
textbox,Name of system,,,,,,,,
textbox,Type of scaffolding,,,,,,,,
textbox,Name of person in charge of installation,,,,,,,,
note,Installer organisation name: All relevant inspections & checks have been carried out prior to the issue of this Certificate,,,,,,,,
checkpoint,Certified issued on behalf of:,,,,,,,,
checkpoint,Certified received on behalf of,,,,,,,,
,,,,,,,,,
checklist,Handrail Inspection Report,,,,,,Handrail Inspection Report,590bb197-e2e5-4c8f-ae47-d7b575aa50ff,
section,Details,,,,,,,,
checkpoint,Handrail Inspection Report Complete,,,,,,,,
textbox,Supervisor:,,,,,,,,
textbox,Foreman:,,,,,,,,
textbox,Builder:,,,,,,,,
textbox,Inspection by:,,,,,,,,
textbox,Inspection date:,,,,,,,,
note,Report to be completed and compliance achieved for all areas of roof with temporary handrail works.,,,,,,,,
note,"Report to be conducted by a person Authorised, experienced and deemed competent by the Company HSE.",,,,,,,,
checkpoint,Bolt plate fixings,,,,,,,,
checkpoint,Rail joiners tight,,,,,,,,
checkpoint,Rail spacings not over 450mm,,,,,,,,
checkpoint,Top rail height   900mm -1100mm,,,,,,,,
checkpoint,Toe board infills if required,,,,,,,,
checkpoint,Deck clamp installations,,,,,,,,
checkpoint,Third rail not to exceed 250mm from building,,,,,,,,
checkpoint,Corner Joins / chain corners tight,,,,,,,,
checkpoint,V clamps correctly engaged with purlin toe,,,,,,,,
checkpoint,G clamps correctly engaged with purlin toe,,,,,,,,
checkpoint,Post distance from corners not exceeding 1mtr,,,,,,,,
checkpoint,Post spacings not to exceed 3mtr,,,,,,,,
checkpoint,Panel clamp installations,,,,,,,,
checkpoint,Support bar installations,,,,,,,,
checkpoint,Top posts / T posts wing bolts tight,,,,,,,,
checkpoint,Tele Extensions tight  where required,,,,,,,,
checkpoint,Rail lapping 100mm min lap,,,,,,,,
checkpoint,Installation Compliance,,,,,,,,
,,,,,,,,,
checklist,Hazard Inspection Report,,,,,,Hazard Inspection Report,f5c54ff7-abb0-496a-8621-d369cc714ec3,
section,Details,,,,,,,,
checkpoint,Hazard Inspection Report,,,,,,,,
textbox,Inspection date,,,,,,,,
textbox,Project,,,,,,,,
textbox,Work Area,,,,,,,,
textbox,Identified Hazard,,,,,,,,
textbox,Corrective Action Required,,,,,,,,
textbox,Action By,,,,,,,,
textbox,Due Date,,,,,,,,
checkpoint,Signed off be Foreman,,,,,,,,
,,,,,,,,,
checklist,Variation Contract,,,,,,Variation Contract -,52b14531-d459-429c-971f-ef95a1636a19,
section,Details,,,,,,,,
checkpoint-no-value,Job Details,,,,,,,,
textbox,Details of Work (Inc. Location),,,,,,,,
textbox,Client:,,,,,,,,
textbox,Project:,,,,,,,,
textbox,Reason for Variation:,,,,,,,,
textbox,Job No:,,,,,,,,
textbox,Hours:,,,,,,,,
textbox,Materials Equipment:,,,,,,,,
textbox,Site Instruction No:,,,,,,,,
textbox,Agreed Value:,,,,,,,,
checkpoint,Foreman Sign Off,,,,,,,,
textbox,Name:,,,,,,,,
checkpoint,Project Manager Sign Off,,,,,,,,
textbox,Name:,,,,,,,,
checkpoint,Signature of Authorising Officer,,,,,,,,
textbox,Name:,,,,,,,,
,,,,,,,,,
checklist,Wire Mesh Inspection Report,,,,,,Wire Mesh Inspection Report,e9c0d486-f3aa-4f39-84c2-65288dcf14ea,
section,Details,,,,,,,,
checkpoint,Wire Mesh Inspection Report Complete,,,,,,,,
textbox,Supervisor:,,,,,,,,
textbox,Foreman:,,,,,,,,
textbox,Builder:,,,,,,,,
textbox,Inspection by:,,,,,,,,
textbox,Inspection date:,,,,,,,,
note,Report to be completed and compliance achieved for all areas of roof with wire mesh installation.,,,,,,,,
note,"Report to be conducted by a person Authorised, experienced and deemed competent by the Company HSE.",,,,,,,,
checkpoint,Lapping adjoining wire,,,,,,,,
checkpoint,Tension,,,,,,,,
checkpoint,Maximum span purlin check 1.2m,,,,,,,,
checkpoint,Ring clamps corrected spacing        ( If required),,,,,,,,
checkpoint,Mesh material compliance AS/NZS4389,,,,,,,,
checkpoint,Parallel longitudinal alignment,,,,,,,,
checkpoint,Transverse wires 90deg to purlins,,,,,,,,
checkpoint,Transverse wires above logitudinal,,,,,,,,
checkpoint,Wiring around penetrations reinstated/ repaired?,,,,,,,,
checkpoint,Tags ends correctly tied,,,,,,,,
checkpoint,Tie configuration for timber fix correct,,,,,,,,
checkpoint,Timber fix,,,,,,,,
checkpoint,Lap twitching - correct spacing spacing if required,,,,,,,,
checkpoint,Longitudinal joins,,,,,,,,
checkpoint,Purlin wrapping where required,,,,,,,,
checkpoint,Twitching required over large penetrations ?,,,,,,,,
checkpoint,Start Gap,,,,,,,,
checkpoint,End Gap,,,,,,,,
checkpoint,Pre-drilled wire strip installed correctly,,,,,,,,
checkpoint,Job compliance,,,,,,,,
