"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d5e4ea84-8d21-40ff-9274-5228b9685b4c","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-set","checklist-flat","FALSE","FALSE","Overall Pre-set"
"b0e1cccd-e9fc-5fc9-becb-8b9e6d396f32","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-set","Overall Pre-set"
"23c6456d-84cd-51a0-b2a5-ed0b01c89e45","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","System information:"
"2d650379-6245-5604-9d4e-8e674b2f2720","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-set","SSP Attached"
"5acdd6d7-fd35-5a35-9ce3-48eca1713c25","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-set","Task Analysis Attached"
"1f807f9a-9565-5fb6-bf50-82a2d5979d18","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","Relevant Drawings Attached"
"ce106812-b477-4220-a8df-ebe208a728b0","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"eab2d2b3-6a21-4fc2-b1ff-a397da4ff8f4","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Block 01"
"119f158f-5e20-428f-98cb-d084523cc1e7","","folder-normal","pass","","step","TRUE","FALSE","QA","Block 01","RoofSafe Rail System"
"2b0844de-8025-4e52-9db1-782ed56d1392","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Block 01","RoofSafe Rail System","Pre-Fit Off Checklist - Rail 01"
"ebde424c-7170-588b-b66d-40a7f1efc7ce","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","RoofSafe Rail System","Rail Checklist - Rail 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"59acdd41-96af-488d-b067-bac96beb4667","","folder-normal","not-started","","step","TRUE","FALSE","QA","Block 01","RoofSafe Cable System"
"e31e0d3e-418f-40ab-b707-36d04872f537","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Block 01","RoofSafe Cable System","Pre-Fit Off Checklist - Line 01"
"4f875401-c182-56a3-9997-a336fb31516e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","RoofSafe Cable System","Pre-Fit Off Checklist - Line 01","Confirm structure is in accordance to the details provided"
"f7856533-af76-549d-8af9-2ba0488d9737","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","RoofSafe Cable System","Pre-Fit Off Checklist - Line 01","EMAIL PM"
"e0d51757-6908-536d-8ae9-54a0c9a41a31","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","RoofSafe Cable System","Pre-Fit Off Checklist - Line 01","Plinths/ bases/post installed in accordance with details provided"
"3ff6d4dc-d4ba-507f-ac8f-790c61866be4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","RoofSafe Cable System","Pre-Fit Off Checklist - Line 01","Photos taken"
"c3d6883e-ca91-48b5-ab25-688d803b7964","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","Block 01","RoofSafe Cable System","Fit Off Checklist - Line 01"
"b3edf23c-adac-57f8-bc87-a1e89165723c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","RoofSafe Cable System","Fit Off Checklist - Line 01","Confirm the structure is in accordance with the details supplied by PBI"
"f2eda66c-c3c0-52b8-ab57-fbfea4948420","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","RoofSafe Cable System","Fit Off Checklist - Line 01","EMAIL PM"
"6e54a9f4-84da-566a-84e4-60c873fde204","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","RoofSafe Cable System","Fit Off Checklist - Line 01","Photo taken of line pull test - 4 photos required"
"2fdcf3cf-b64f-59b8-beb5-d06570d45631","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","RoofSafe Cable System","Fit Off Checklist - Line 01","Photo taken of Swages - 12 photos required"
"e8621c5f-f1d7-5ed8-8211-5b100d4ba7e2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","RoofSafe Cable System","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
"c2d5fffd-96f9-5bc7-a657-64cbe35cedd4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","RoofSafe Cable System","Fit Off Checklist - Line 01","Video taken of system"
"e4d0f5d9-8540-5bb0-9ffb-f9a30f3cbf99","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","RoofSafe Cable System","Fit Off Checklist - Line 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"067b870c-e2e1-4791-a15a-3c341b48b8df","","folder-normal","pass","","step","TRUE","FALSE","QA","Block 01","Fall Arrest & Abseil Anchors"
"81b2ee5c-ec17-468a-8511-999078650e2e","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Block 01","Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist - Anchors 1 - 12"
"29464d91-979a-505b-b79e-7898c5a45cad","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist - Anchors 1 - 12","Confirm structure is in accordance to the details provided"
"4cd0c84e-6537-5930-8236-2f97ac619c41","","holdpoint","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist - Anchors 1 - 12","EMAIL PM"
"ae8b1e8b-8a26-5822-9b46-e49af2f6668d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist - Anchors 1 - 12","Plinths/ bases/post installed in accordance with details provided"
"b3e00922-022f-50a5-95e7-078e65f89a8c","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist - Anchors 1 - 12","Photos taken"
"8f59d818-c1a5-4598-97a8-1a64147ca772","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 01"
"4395d319-8131-53f5-b2d5-1dc95d44e004","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 01","Confirm the structure is in accordance with the details supplied by PBI"
"97f3a6c1-335d-5711-ba88-f6d28481b03b","","holdpoint","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 01","EMAIL PM"
"6b5e563d-1106-518a-87bd-ea5571b3f1dd","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 01","Required number of photo(s) taken of installed anchor(s)"
"36a44c8c-79d3-567f-8f08-fcd8d935ab0e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"52a4b554-2b35-44e2-8a00-861e7797e187","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 02"
"92faf3d2-17a0-5160-a642-6bac3a752592","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 02","Confirm the structure is in accordance with the details supplied by PBI"
"67d1168c-2dc3-564a-84e4-ba87f61a9533","","holdpoint","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 02","EMAIL PM"
"fc7fbb09-ddae-5d16-9e84-ab03aaa9e357","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 02","Required number of photo(s) taken of installed anchor(s)"
"98e22d49-bc01-5e8d-9382-1616a72b0f37","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"9443a5b7-88d2-4e0c-ab97-319154fcba86","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 03"
"73be71b3-8505-5832-b054-529d73e7701f","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 03","Confirm the structure is in accordance with the details supplied by PBI"
"b7f2def1-90f9-532c-8e42-07fcdafb31b1","","holdpoint","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 03","EMAIL PM"
"0a6661a8-2613-5ca2-b7ca-e07dc01b3737","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 03","Required number of photo(s) taken of installed anchor(s)"
"91498b91-2efe-59b6-9928-566fa7779f3a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"9312f7bd-0d7b-4ee9-9b9c-97b4b34452af","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 04"
"33e8883d-4943-5495-bb23-ebf6e0a76b3e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 04","Confirm the structure is in accordance with the details supplied by PBI"
"b08a1c87-e06f-54e6-a3f6-f9865f2f4065","","holdpoint","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 04","EMAIL PM"
"9ccce6b0-d6c7-5897-8527-ccac10804818","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 04","Required number of photo(s) taken of installed anchor(s)"
"dd7eabc8-e47a-5768-98d7-5c74e3641fa5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"078cc768-0637-4488-9450-1a0acf5dd906","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 05"
"b811f6a6-04ac-590a-97ee-90a64ea99fd1","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 05","Confirm the structure is in accordance with the details supplied by PBI"
"eef959ad-2175-548c-8241-04220efb8362","","holdpoint","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 05","EMAIL PM"
"ad6d77ba-3b15-56e2-922e-20fe0697d810","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 05","Required number of photo(s) taken of installed anchor(s)"
"d3766720-b311-59be-9941-23e4a0fba05c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"40408677-3139-4ae0-9fe1-e44d59163183","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 06"
"b842170d-5126-5ed1-af78-9a3ed58c8fbc","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 06","Confirm the structure is in accordance with the details supplied by PBI"
"80cf94e2-8c97-57af-ae25-8a1e3e580f24","","holdpoint","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 06","EMAIL PM"
"ae937625-63e9-5833-8c1e-c61d8d62276b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 06","Required number of photo(s) taken of installed anchor(s)"
"e66563b8-baf3-5a38-814c-ce5b09cc754e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"411e5d00-ea4d-4ce4-9d0e-a36b1baafdf9","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 07"
"5535683f-30f0-5dac-8790-86e28f19ad19","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 07","Confirm the structure is in accordance with the details supplied by PBI"
"88edcccb-f3b8-593a-8b0a-0fb1f0898657","","holdpoint","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 07","EMAIL PM"
"5945b579-8b89-5a41-a6cc-52bdb5804f48","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 07","Required number of photo(s) taken of installed anchor(s)"
"524f5e0e-dace-5243-b0dd-6da2fe8a684a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 07","Installed as per PBI drawings supplied and manufacturer's requirements"
"5700c6b4-e06f-45fd-8631-f3fde3b4480a","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 08"
"ae0d6d07-528f-531f-9244-55e06cb4adc7","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 08","Confirm the structure is in accordance with the details supplied by PBI"
"9e57c3fa-0906-51a5-96b2-8a09a08ad96d","","holdpoint","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 08","EMAIL PM"
"1ccbea5e-eb49-57df-8feb-0dbd562b6b7b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 08","Required number of photo(s) taken of installed anchor(s)"
"cb305167-af3d-5fea-896c-0ef051de12d5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 08","Installed as per PBI drawings supplied and manufacturer's requirements"
"62b618c7-23c0-4754-8353-dceefce35059","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 09"
"8d84d7dd-176d-53d2-9129-1704dfc5be3b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 09","Confirm the structure is in accordance with the details supplied by PBI"
"a5482ec5-3106-5cb3-8675-ea435d8a31f7","","holdpoint","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 09","EMAIL PM"
"c54476a2-2dc7-5b7d-bc25-7b7318ffb48e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 09","Required number of photo(s) taken of installed anchor(s)"
"5eef73eb-340c-5b65-861b-6d7b2678e6e5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 09","Installed as per PBI drawings supplied and manufacturer's requirements"
"cbe77665-6b2d-4017-8665-b4744f359ac9","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 10"
"4ed6dd6d-3709-51ff-bd76-d2bdfd73ad84","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 10","Confirm the structure is in accordance with the details supplied by PBI"
"4d8931fc-1a26-50b4-a221-ab9db7fe7172","","holdpoint","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 10","EMAIL PM"
"b6e01d21-9f43-584f-80bc-70f4213e7ad3","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 10","Required number of photo(s) taken of installed anchor(s)"
"f526a1b7-3c7e-5431-a282-9602f114a5f1","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 10","Installed as per PBI drawings supplied and manufacturer's requirements"
"f6352859-3672-4b79-aab7-eed161dbfedb","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 11"
"0b867fd6-9caf-5842-9c73-a4bd5df12a47","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 11","Confirm the structure is in accordance with the details supplied by PBI"
"c446f045-224e-50a2-b65d-17bfe9ba03ad","","holdpoint","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 11","EMAIL PM"
"7ebfb91b-fb37-5fac-b719-738aa5bbcedb","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 11","Required number of photo(s) taken of installed anchor(s)"
"7537c093-5322-5cb0-b899-32d0f1bf430f","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 11","Installed as per PBI drawings supplied and manufacturer's requirements"
"432b0d4e-4398-4731-87e5-dff6196fce10","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 12"
"f844f242-2ab1-5d94-8a20-2c89cb7f07ad","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 12","Confirm the structure is in accordance with the details supplied by PBI"
"d3f86858-d13b-50f6-9572-c39ef349151c","","holdpoint","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 12","EMAIL PM"
"9ba2ee2b-3334-5b42-9437-8664420fc1ab","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 12","Required number of photo(s) taken of installed anchor(s)"
"519bef1f-f638-5adb-9c40-8c3e344c4ce7","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 12","Installed as per PBI drawings supplied and manufacturer's requirements"
"9bffb649-e21f-4d52-9c9b-639c57456bdf","","folder-normal","not-started","","step","TRUE","FALSE","QA","Block 01","Spanning Brackets"
"d909fbaa-42de-4ca9-8d4b-4d8d91861e27","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Pre-Fit Off Checklist - 36no Pairs of Spanning Brackets"
"4d604a97-11ee-5cd8-b38b-ae1d2f332bac","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Pre-Fit Off Checklist - 36no Pairs of Spanning Brackets","Confirm structure is in accordance to the details provided"
"0b704a05-5577-566a-8050-40d83bfa05a3","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Pre-Fit Off Checklist - 36no Pairs of Spanning Brackets","EMAIL PM"
"1d138c76-97b7-52b5-9b65-cd338a911ac9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Pre-Fit Off Checklist - 36no Pairs of Spanning Brackets","Plinths/ bases/post installed in accordance with details provided"
"a4044a6e-4b3f-5f59-a07c-9faba8e758a7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Pre-Fit Off Checklist - 36no Pairs of Spanning Brackets","Photos taken"
"903af67b-c1ab-41c6-aba8-3df7a8474eca","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #1"
"3fb2e970-6346-5d84-ba37-170c00448a37","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #1","Confirm the structure is in accordance with the details supplied by PBI"
"4954f235-f5a4-5704-b4c6-c43a4b9ee842","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #1","EMAIL PM"
"0fa10b5d-b7c2-511a-a669-fcf8fce37af7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #1","Photos taken of installed item"
"8cc4ad29-55eb-59b7-8dfb-1792b6ddf8af","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #1","Installed as per PBI drawings supplied and manufacturer's requirements"
"b7ea3fd1-bc8c-4bed-b2c1-3828ae6e2c61","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #2"
"71c1b13e-3c8b-5a8e-bf01-2953ae9b9b1d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #2","Confirm the structure is in accordance with the details supplied by PBI"
"2e51acdf-768b-526a-9371-06de7ae12913","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #2","EMAIL PM"
"2fb5052b-0f8b-5ab2-b301-f9eb9abc9bd5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #2","Photos taken of installed item"
"c826077c-9654-5887-aa58-b1ac320507f1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #2","Installed as per PBI drawings supplied and manufacturer's requirements"
"c5b05dbb-3df7-48d1-a5bf-81750bcc4783","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #3"
"c89fe100-6cc7-5017-aac5-00c889c5fad9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #3","Confirm the structure is in accordance with the details supplied by PBI"
"ab431306-851a-5d82-b16e-5c266b6ecf71","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #3","EMAIL PM"
